,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Ghatal,2015-12-08,4400.0,14.0,24.4,clear
1,Mustard,Ghatal,2015-12-09,4370.0,10.0,25.4,clear
2,Mustard,Ghatal,2015-12-10,4420.0,11.0,25.8,clear
3,Mustard,Ghatal,2015-12-11,4770.0,7.0,25.4,clear
4,Mustard,Ghatal,2015-12-12,4780.0,10.0,27.4,clear
5,Mustard,Ghatal,2015-12-14,4770.0,9.0,24.0,clear
6,Mustard,Ghatal,2015-12-15,4790.0,10.0,21.8,clear
7,Mustard,Ghatal,2015-12-16,4790.0,11.0,21.4,clear
8,Mustard,Ghatal,2015-12-17,4780.0,8.0,21.0,clear
9,Mustard,Ghatal,2015-12-18,4790.0,12.0,20.4,clear
10,Mustard,Ghatal,2015-12-21,4800.0,8.0,21.4,clear
11,Mustard,Ghatal,2015-12-23,4750.0,11.0,23.4,clear
12,Mustard,Ghatal,2015-12-24,4750.0,10.0,22.4,clear
13,Mustard,Ghatal,2015-12-25,4760.0,11.0,20.8,clear
14,Mustard,Ghatal,2015-12-26,4750.0,10.0,22.0,clear
15,Mustard,Ghatal,2015-12-28,4780.0,8.0,22.4,clear
16,Mustard,Ghatal,2015-12-29,4790.0,11.0,22.8,clear
17,Mustard,Ghatal,2015-12-30,4750.0,9.0,23.8,clear
18,Mustard,Ghatal,2015-12-31,4720.0,8.0,23.4,clear
19,Mustard,Ghatal,2016-01-01,4750.0,7.0,23.8,clear
20,Mustard,Ghatal,2016-04-01,4700.0,6.0,29.8,clear
21,Mustard,Ghatal,2016-05-01,4720.0,10.0,37.0,clear
22,Mustard,Ghatal,2016-06-01,4680.0,9.0,30.8,clear
23,Mustard,Ghatal,2016-07-01,4690.0,8.0,30.4,rain
24,Mustard,Ghatal,2016-08-01,4680.0,10.0,28.4,rain
25,Mustard,Ghatal,2016-09-01,4700.0,9.0,31.0,clear
26,Mustard,Ghatal,2016-12-01,4660.0,9.0,25.8,clear
27,Mustard,Ghatal,2016-01-13,4650.0,10.0,23.4,clear
28,Mustard,Ghatal,2016-01-14,4630.0,8.0,24.4,clear
29,Mustard,Ghatal,2016-01-15,4640.0,10.0,25.8,clear
30,Mustard,Ghatal,2016-01-16,4630.0,9.0,25.4,clear
31,Mustard,Ghatal,2016-01-18,4650.0,10.0,25.0,clear
32,Mustard,Ghatal,2016-01-19,4600.0,9.0,25.8,clear
33,Mustard,Ghatal,2016-01-20,4620.0,7.0,19.4,clear
34,Mustard,Ghatal,2016-01-21,4600.0,6.0,21.4,clear
35,Mustard,Ghatal,2016-01-22,4500.0,9.0,21.4,clear
36,Mustard,Ghatal,2016-01-23,4480.0,10.0,20.8,clear
37,Mustard,Ghatal,2016-01-25,4400.0,8.0,22.8,clear
38,Mustard,Ghatal,2016-01-26,4350.0,7.0,22.8,clear
39,Mustard,Ghatal,2016-01-27,4380.0,8.0,25.0,clear
40,Mustard,Ghatal,2016-01-28,4400.0,6.0,25.4,clear
41,Mustard,Ghatal,2016-01-02,4400.0,8.0,23.4,clear
42,Mustard,Ghatal,2016-03-02,4350.0,8.0,30.0,clear
43,Mustard,Ghatal,2016-04-02,4200.0,9.0,31.8,clear
44,Mustard,Ghatal,2016-05-02,4000.0,8.0,37.4,clear
45,Mustard,Ghatal,2016-06-02,3600.0,10.0,34.4,clear
46,Mustard,Ghatal,2016-08-02,3600.0,8.0,27.2,rain
47,Mustard,Ghatal,2016-09-02,3580.0,10.0,31.4,clear
48,Mustard,Ghatal,2016-10-02,3550.0,9.0,31.0,clear
49,Mustard,Ghatal,2016-12-02,3540.0,10.0,26.4,clear
50,Mustard,Ghatal,2016-02-13,3530.0,12.0,27.8,clear
51,Mustard,Ghatal,2016-02-15,3550.0,15.0,27.8,clear
52,Mustard,Ghatal,2016-02-16,3530.0,12.0,29.8,clear
53,Mustard,Ghatal,2016-02-17,3520.0,13.0,30.8,clear
54,Mustard,Ghatal,2016-02-19,3450.0,13.0,25.0,clear
55,Mustard,Ghatal,2016-02-22,3420.0,12.0,30.8,clear
56,Mustard,Ghatal,2016-02-23,3410.0,12.5,28.4,clear
57,Mustard,Ghatal,2016-02-24,3400.0,14.0,24.8,clear
58,Mustard,Ghatal,2016-02-25,3420.0,14.0,25.8,clear
59,Mustard,Ghatal,2016-02-26,3400.0,17.0,24.0,rain
60,Mustard,Ghatal,2016-02-27,3410.0,19.0,25.4,clear
61,Mustard,Ghatal,2016-01-03,3600.0,22.0,23.8,clear
62,Mustard,Ghatal,2016-05-03,3770.0,21.0,36.8,clear
63,Mustard,Ghatal,2016-07-03,3780.0,23.0,27.0,rain
64,Mustard,Ghatal,2016-08-03,3850.0,24.0,30.0,rain
65,Mustard,Ghatal,2016-09-03,3900.0,20.0,29.0,rain
66,Mustard,Ghatal,2016-10-03,3950.0,22.0,31.8,clear
67,Mustard,Ghatal,2016-12-03,3880.0,22.0,26.4,clear
68,Mustard,Ghatal,2016-03-15,3780.0,22.0,31.4,clear
69,Mustard,Ghatal,2016-03-16,3750.0,21.0,31.8,clear
70,Mustard,Ghatal,2016-03-17,3770.0,23.0,30.4,clear
71,Mustard,Ghatal,2016-03-18,3780.0,22.0,32.2,clear
72,Mustard,Ghatal,2016-03-19,3750.0,24.0,27.0,rain
73,Mustard,Ghatal,2016-03-21,3770.0,26.0,33.8,clear
74,Mustard,Ghatal,2016-03-22,3780.0,25.0,31.8,clear
75,Mustard,Ghatal,2016-03-23,3770.0,20.0,31.6,clear
76,Mustard,Ghatal,2016-03-24,3800.0,19.0,32.4,clear
77,Mustard,Ghatal,2016-03-25,3820.0,22.0,32.4,clear
78,Mustard,Ghatal,2016-03-26,3830.0,23.0,33.0,clear
79,Mustard,Ghatal,2016-03-28,3800.0,20.0,33.0,clear
80,Mustard,Ghatal,2016-03-29,3820.0,25.0,33.0,clear
81,Mustard,Ghatal,2016-03-30,3800.0,26.0,29.8,rain
82,Mustard,Ghatal,2016-03-31,3810.0,25.0,31.4,clear
83,Mustard,Ghatal,2016-01-04,3780.0,24.0,23.4,clear
84,Mustard,Ghatal,2016-05-04,3820.0,24.0,31.4,clear
85,Mustard,Ghatal,2016-06-04,3840.0,25.0,33.4,clear
86,Mustard,Ghatal,2016-07-04,3850.0,27.0,28.4,clear
87,Mustard,Ghatal,2016-08-04,3840.0,28.0,30.4,rain
88,Mustard,Ghatal,2016-09-04,3850.0,25.0,27.8,rain
89,Mustard,Ghatal,2016-12-04,3850.0,28.0,25.8,clear
90,Mustard,Ghatal,2016-04-13,3850.0,27.0,37.0,clear
91,Mustard,Ghatal,2016-04-14,3860.0,23.0,37.6,clear
92,Mustard,Ghatal,2016-04-15,3850.0,25.0,38.0,clear
93,Mustard,Ghatal,2016-04-16,3840.0,27.0,36.0,clear
94,Mustard,Ghatal,2016-04-18,3850.0,26.0,36.6,clear
95,Mustard,Ghatal,2016-04-19,3870.0,27.0,38.0,clear
96,Mustard,Ghatal,2016-04-20,3850.0,25.0,36.8,clear
97,Mustard,Ghatal,2016-04-21,3840.0,26.0,36.8,clear
98,Mustard,Ghatal,2016-04-22,3850.0,27.0,39.8,clear
99,Mustard,Ghatal,2016-04-23,3860.0,26.0,40.4,clear
100,Mustard,Ghatal,2016-04-25,3900.0,27.0,38.4,clear
101,Mustard,Ghatal,2016-04-26,3880.0,25.0,35.8,clear
102,Mustard,Ghatal,2016-04-27,3900.0,24.0,38.4,clear
103,Mustard,Ghatal,2016-04-30,3880.0,28.0,37.0,clear
104,Mustard,Ghatal,2016-03-05,4050.0,26.0,31.8,clear
105,Mustard,Ghatal,2016-04-05,4080.0,25.0,34.4,clear
106,Mustard,Ghatal,2016-05-05,4100.0,26.0,34.8,clear
107,Mustard,Ghatal,2016-06-05,4120.0,27.0,33.4,clear
108,Mustard,Ghatal,2016-07-05,4130.0,27.0,27.4,rain
109,Mustard,Ghatal,2016-09-05,4160.0,23.0,27.2,rain
110,Mustard,Ghatal,2016-10-05,4170.0,22.0,29.4,clear
111,Mustard,Ghatal,2016-12-05,4160.0,24.0,24.8,clear
112,Mustard,Ghatal,2016-05-13,4150.0,23.0,37.0,clear
113,Mustard,Ghatal,2016-05-14,4170.0,26.0,34.4,clear
114,Mustard,Ghatal,2016-05-16,4180.0,27.0,34.8,clear
115,Mustard,Ghatal,2016-05-17,4200.0,25.0,34.8,clear
116,Mustard,Ghatal,2016-05-18,4180.0,24.0,33.8,clear
117,Mustard,Ghatal,2016-05-19,4100.0,23.0,31.4,rain
118,Mustard,Ghatal,2016-05-20,4080.0,22.0,27.4,rain
119,Mustard,Ghatal,2016-05-21,4080.0,25.0,33.0,clear
120,Mustard,Ghatal,2016-05-23,4100.0,23.0,35.0,clear
121,Mustard,Ghatal,2016-05-24,4120.0,22.0,34.6,clear
122,Mustard,Ghatal,2016-05-25,4140.0,24.0,30.4,clear
123,Mustard,Ghatal,2016-05-26,4150.0,23.0,35.4,clear
124,Mustard,Ghatal,2016-05-27,4130.0,22.0,34.2,clear
125,Mustard,Ghatal,2016-05-28,4160.0,23.0,34.8,clear
126,Mustard,Ghatal,2016-05-30,4170.0,24.0,35.8,clear
127,Mustard,Ghatal,2016-05-31,4180.0,22.0,35.0,clear
128,Mustard,Ghatal,2016-01-06,4170.0,20.0,22.8,clear
129,Mustard,Ghatal,2016-03-06,4100.0,23.0,30.0,clear
130,Mustard,Ghatal,2016-04-06,4080.0,25.0,35.8,clear
131,Mustard,Ghatal,2016-06-06,4100.0,23.0,32.0,clear
132,Mustard,Ghatal,2016-07-06,4120.0,22.0,29.8,clear
133,Mustard,Ghatal,2016-08-06,4140.0,24.0,28.4,clear
134,Mustard,Ghatal,2016-09-06,4150.0,22.5,27.0,rain
135,Mustard,Ghatal,2016-10-06,4130.0,23.0,26.4,clear
136,Mustard,Ghatal,2016-06-13,4120.0,20.0,29.4,clear
137,Mustard,Ghatal,2016-06-14,4140.0,22.0,31.8,clear
138,Mustard,Ghatal,2016-06-15,4120.0,23.0,31.4,clear
139,Mustard,Ghatal,2016-06-16,4100.0,24.0,31.4,clear
140,Mustard,Ghatal,2016-06-17,4050.0,23.0,30.0,rain
141,Mustard,Ghatal,2016-06-18,4060.0,25.0,29.6,rain
142,Mustard,Ghatal,2016-06-20,4050.0,26.0,32.4,clear
143,Mustard,Ghatal,2016-06-21,4070.0,23.0,32.8,clear
144,Mustard,Ghatal,2016-06-22,4080.0,24.0,33.8,clear
145,Mustard,Ghatal,2016-06-23,4060.0,24.0,33.8,clear
146,Mustard,Ghatal,2016-06-24,4050.0,22.0,34.4,clear
147,Mustard,Ghatal,2016-06-25,4060.0,23.0,35.8,clear
148,Mustard,Ghatal,2016-06-27,4080.0,25.0,30.0,rain
149,Mustard,Ghatal,2016-06-28,4090.0,26.0,30.4,rain
150,Mustard,Ghatal,2016-06-29,4070.0,24.0,32.8,clear
151,Mustard,Ghatal,2016-06-30,4050.0,22.5,32.4,rain
152,Mustard,Ghatal,2016-05-07,4080.0,20.0,36.0,clear
153,Mustard,Ghatal,2016-06-07,4060.0,22.0,34.0,clear
154,Mustard,Ghatal,2016-07-07,4070.0,20.0,29.4,clear
155,Mustard,Ghatal,2016-09-07,4050.0,22.0,28.4,clear
156,Mustard,Ghatal,2016-07-13,4060.0,25.0,32.4,clear
157,Mustard,Ghatal,2016-07-14,4050.0,22.0,31.0,clear
158,Mustard,Ghatal,2016-07-15,4040.0,21.0,28.8,rain
159,Mustard,Ghatal,2016-07-16,4050.0,19.0,29.8,clear
160,Mustard,Ghatal,2016-07-18,4060.0,22.0,30.4,rain
161,Mustard,Ghatal,2016-07-19,4050.0,21.0,32.0,clear
162,Mustard,Ghatal,2016-07-21,4060.0,19.0,31.8,clear
163,Mustard,Ghatal,2016-07-23,4070.0,23.0,29.0,rain
164,Mustard,Ghatal,2016-07-25,4060.0,20.0,30.0,rain
165,Mustard,Ghatal,2016-07-26,4050.0,19.0,27.8,rain
166,Mustard,Ghatal,2016-07-27,4070.0,22.0,31.4,clear
167,Mustard,Ghatal,2016-07-28,4050.0,20.0,32.4,clear
168,Mustard,Ghatal,2016-07-29,4060.0,22.0,31.4,rain
169,Mustard,Ghatal,2016-07-30,4070.0,23.0,30.4,clear
170,Mustard,Ghatal,2016-03-08,4350.0,21.0,31.8,clear
171,Mustard,Ghatal,2016-04-08,4400.0,22.0,35.4,clear
172,Mustard,Ghatal,2016-05-08,4420.0,23.0,31.8,clear
173,Mustard,Ghatal,2016-06-08,4430.0,22.0,31.8,clear
174,Mustard,Ghatal,2016-08-08,4420.0,20.0,30.4,rain
175,Mustard,Ghatal,2016-09-08,4450.0,18.0,30.2,clear
176,Mustard,Ghatal,2016-10-08,4400.0,20.0,29.6,clear
177,Mustard,Ghatal,2016-12-08,4430.0,22.0,24.4,clear
178,Mustard,Ghatal,2016-08-13,4450.0,21.0,30.8,rain
179,Mustard,Ghatal,2016-08-15,4420.0,23.0,30.4,clear
180,Mustard,Ghatal,2016-08-16,4400.0,22.0,31.4,rain
181,Mustard,Ghatal,2016-08-17,4400.0,23.0,26.4,rain
182,Mustard,Ghatal,2016-08-18,4430.0,22.0,30.4,clear
183,Mustard,Ghatal,2016-08-20,4480.0,23.0,30.0,clear
184,Mustard,Ghatal,2016-08-22,4470.0,24.0,26.0,rain
185,Mustard,Ghatal,2016-08-24,4470.0,22.0,29.6,rain
186,Mustard,Ghatal,2016-08-25,4480.0,21.0,28.8,rain
187,Mustard,Ghatal,2016-08-26,4470.0,22.0,31.8,rain
188,Mustard,Ghatal,2016-08-27,4450.0,23.0,31.0,clear
189,Mustard,Ghatal,2016-08-29,4460.0,20.0,31.4,clear
190,Mustard,Ghatal,2016-08-31,4450.0,22.0,30.4,clear
191,Mustard,Ghatal,2016-01-09,4450.0,20.0,25.4,clear
192,Mustard,Ghatal,2016-03-09,4440.0,20.0,32.0,clear
193,Mustard,Ghatal,2016-05-09,4450.0,21.0,35.0,clear
194,Mustard,Ghatal,2016-06-09,4450.0,20.0,34.8,clear
195,Mustard,Ghatal,2016-07-09,4470.0,22.0,30.6,clear
196,Mustard,Ghatal,2016-08-09,4450.0,20.0,28.4,rain
197,Mustard,Ghatal,2016-09-09,4460.0,21.0,30.4,clear
198,Mustard,Ghatal,2016-10-09,4450.0,22.0,28.0,clear
199,Mustard,Ghatal,2016-12-09,4450.0,20.0,23.4,clear
200,Mustard,Ghatal,2016-09-13,4460.0,22.0,29.0,clear
201,Mustard,Ghatal,2016-09-14,4470.0,23.0,29.8,clear
202,Mustard,Ghatal,2016-09-15,4450.0,22.0,31.0,clear
203,Mustard,Ghatal,2016-09-16,4470.0,20.0,31.4,clear
204,Mustard,Ghatal,2016-09-17,4460.0,22.0,30.4,clear
205,Mustard,Ghatal,2016-09-19,4450.0,20.0,31.8,clear
206,Mustard,Ghatal,2016-09-20,4460.0,21.0,31.4,clear
207,Mustard,Ghatal,2016-09-22,4450.0,23.0,28.6,rain
208,Mustard,Ghatal,2016-09-23,4450.0,22.0,29.4,clear
209,Mustard,Ghatal,2016-09-24,4460.0,20.0,30.4,clear
210,Mustard,Ghatal,2016-09-26,4450.0,22.0,28.0,clear
211,Mustard,Ghatal,2016-09-27,4440.0,20.0,31.0,clear
212,Mustard,Ghatal,2016-09-28,4450.0,22.0,29.4,clear
213,Mustard,Ghatal,2016-09-29,4460.0,22.5,29.0,clear
214,Mustard,Ghatal,2016-09-30,4480.0,22.0,29.8,clear
215,Mustard,Ghatal,2016-01-10,4450.0,23.0,24.4,clear
216,Mustard,Ghatal,2016-11-29,4250.0,20.0,25.4,clear
217,Mustard,Ghatal,2016-11-30,4200.0,23.0,26.0,clear
218,Mustard,Ghatal,2016-01-12,4200.0,23.0,24.0,clear
219,Mustard,Ghatal,2016-02-12,4200.0,21.0,28.0,clear
220,Mustard,Ghatal,2016-05-12,4200.0,18.0,36.8,clear
221,Mustard,Ghatal,2016-06-12,4200.0,20.0,35.4,clear
222,Mustard,Ghatal,2016-07-12,4250.0,15.0,31.8,clear
223,Mustard,Ghatal,2016-09-12,4250.0,16.0,29.4,clear
224,Mustard,Ghatal,2016-10-12,4250.0,17.0,30.4,clear
225,Mustard,Ghatal,2017-03-01,4100.0,1.8,31.2,clear
226,Mustard,Ghatal,2017-05-01,4200.0,2.0,32.4,clear
227,Mustard,Ghatal,2017-06-01,4200.0,26.0,33.4,clear
228,Mustard,Ghatal,2017-09-01,4100.0,29.0,28.4,rain
229,Mustard,Ghatal,2017-10-01,4100.0,3.0,28.4,clear
230,Mustard,Ghatal,2017-11-01,4100.0,26.0,26.4,clear
231,Mustard,Ghatal,2017-01-13,4100.0,31.0,20.8,clear
232,Mustard,Ghatal,2017-01-16,4000.0,25.0,23.8,clear
233,Mustard,Ghatal,2017-01-17,4000.0,27.0,25.8,clear
234,Mustard,Ghatal,2017-01-18,4000.0,28.0,24.8,clear
235,Mustard,Ghatal,2017-01-19,4000.0,27.0,25.4,clear
236,Mustard,Ghatal,2017-01-20,4000.0,30.0,26.4,clear
237,Mustard,Ghatal,2017-01-21,4000.0,30.0,25.0,clear
238,Mustard,Ghatal,2017-01-24,4000.0,21.0,26.8,clear
239,Mustard,Ghatal,2017-01-25,3900.0,29.0,26.0,clear
240,Mustard,Ghatal,2017-01-26,3900.0,26.0,26.8,clear
241,Mustard,Ghatal,2017-01-27,3800.0,25.0,26.4,clear
242,Mustard,Ghatal,2017-01-28,3700.0,30.0,25.4,clear
243,Mustard,Ghatal,2017-01-31,3700.0,29.0,26.0,clear
244,Mustard,Ghatal,2017-01-02,3700.0,25.0,24.4,clear
245,Mustard,Ghatal,2017-03-02,3600.0,25.0,32.8,clear
246,Mustard,Ghatal,2017-06-02,3600.0,25.0,34.0,clear
247,Mustard,Ghatal,2017-07-02,3700.0,23.0,28.8,clear
248,Mustard,Ghatal,2017-08-02,3800.0,20.0,31.6,clear
249,Mustard,Ghatal,2017-09-02,3800.0,16.0,30.0,clear
250,Mustard,Ghatal,2017-10-02,3800.0,16.0,29.6,clear
251,Mustard,Ghatal,2017-11-02,3700.0,15.0,27.0,clear
252,Mustard,Ghatal,2017-02-13,3800.0,16.0,28.4,clear
253,Mustard,Ghatal,2017-02-14,3750.0,17.0,20.2,clear
254,Mustard,Ghatal,2017-02-15,3750.0,18.0,28.4,clear
255,Mustard,Ghatal,2017-02-16,3800.0,17.0,27.8,clear
256,Mustard,Ghatal,2017-02-17,3750.0,15.0,27.8,clear
257,Mustard,Ghatal,2017-02-18,3800.0,20.0,28.4,clear
258,Mustard,Ghatal,2017-02-20,3700.0,25.0,32.4,clear
259,Mustard,Ghatal,2017-02-22,3700.0,24.0,30.4,clear
260,Mustard,Ghatal,2017-02-23,3700.0,22.0,30.4,clear
261,Mustard,Ghatal,2017-02-24,3650.0,19.0,29.0,clear
262,Mustard,Ghatal,2017-02-27,3750.0,30.0,29.8,clear
263,Mustard,Ghatal,2017-02-28,3750.0,32.0,29.8,clear
264,Mustard,Ghatal,2017-01-03,3800.0,29.0,24.4,clear
265,Mustard,Ghatal,2017-03-03,3750.0,30.0,32.8,clear
266,Mustard,Ghatal,2017-06-03,3800.0,26.0,37.4,clear
267,Mustard,Ghatal,2017-07-03,3800.0,30.0,32.2,clear
268,Mustard,Ghatal,2017-08-03,3800.0,27.0,29.4,clear
269,Mustard,Ghatal,2017-09-03,3750.0,30.0,31.8,clear
270,Mustard,Ghatal,2017-10-03,3750.0,35.0,30.6,clear
271,Mustard,Ghatal,2017-11-03,3800.0,28.0,27.4,clear
272,Mustard,Ghatal,2017-03-14,3800.0,26.0,28.4,clear
273,Mustard,Ghatal,2017-03-16,3800.0,25.0,22.4,clear
274,Mustard,Ghatal,2017-03-04,3800.0,30.0,29.8,clear
275,Mustard,Ghatal,2017-05-04,3800.0,28.0,37.4,clear
