,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Soyabean,Kawardha,2015-12-07,2850.0,9.55,30.0,clear
1,Soyabean,Kawardha,2015-12-10,3417.0,14.3,29.6,clear
2,Soyabean,Kawardha,2015-12-21,3375.0,16.16,25.0,clear
3,Soyabean,Kawardha,2015-12-22,3350.0,,26.0,clear
4,Soyabean,Kawardha,2015-12-23,3325.0,,23.2,clear
5,Soyabean,Kawardha,2015-12-27,3208.0,,25.6,clear
6,Soyabean,Kawardha,2015-12-28,3301.0,9.52,27.2,clear
7,Soyabean,Kawardha,2015-12-30,3325.0,14.46,29.2,clear
8,Soyabean,Kawardha,2015-12-31,3340.0,25.44,29.4,clear
9,Soyabean,Kawardha,2016-03-01,3402.0,16.36,32.4,clear
10,Soyabean,Kawardha,2016-04-01,3425.0,7.16,39.0,clear
11,Soyabean,Kawardha,2016-05-01,3345.0,4.56,43.2,clear
12,Soyabean,Kawardha,2016-06-01,3350.0,,41.8,clear
13,Soyabean,Kawardha,2016-07-01,3300.0,6.73,36.4,clear
14,Soyabean,Kawardha,2016-10-01,3250.0,11.66,32.0,clear
15,Soyabean,Kawardha,2016-11-01,3330.0,0.55,29.6,clear
16,Soyabean,Kawardha,2016-12-01,3200.0,,27.6,clear
17,Soyabean,Kawardha,2016-01-13,3300.0,7.76,28.0,clear
18,Soyabean,Kawardha,2016-01-14,3300.0,0.34,28.2,clear
19,Soyabean,Kawardha,2016-01-16,3354.0,,27.6,clear
20,Soyabean,Kawardha,2016-01-18,3250.0,11.14,25.2,clear
21,Soyabean,Kawardha,2016-01-19,3100.0,0.19,25.8,clear
22,Soyabean,Kawardha,2016-01-20,3400.0,3.36,24.0,clear
23,Soyabean,Kawardha,2016-01-21,3700.0,,23.6,clear
24,Soyabean,Kawardha,2016-01-23,3300.0,3.26,24.2,clear
25,Soyabean,Kawardha,2016-01-25,3300.0,0.68,27.0,clear
26,Soyabean,Kawardha,2016-01-28,3350.0,1.92,29.2,clear
27,Soyabean,Kawardha,2016-01-30,3350.0,18.98,31.0,clear
28,Soyabean,Kawardha,2016-01-31,3400.0,4.51,33.0,clear
29,Soyabean,Kawardha,2016-01-02,3300.0,1.4,28.4,clear
30,Soyabean,Kawardha,2016-02-02,3200.0,5.83,32.0,clear
31,Soyabean,Kawardha,2016-03-02,3475.0,1.81,34.0,clear
32,Soyabean,Kawardha,2016-04-02,3450.0,6.06,40.0,clear
33,Soyabean,Kawardha,2016-06-02,3460.0,17.15,42.8,clear
34,Soyabean,Kawardha,2016-08-02,3377.0,14.2,28.6,clear
35,Soyabean,Kawardha,2016-09-02,3500.0,,32.2,rain
36,Soyabean,Kawardha,2016-10-02,3350.0,1.13,30.6,clear
37,Soyabean,Kawardha,2016-02-13,3500.0,2.52,32.0,clear
38,Soyabean,Kawardha,2016-02-14,3400.0,,33.0,clear
39,Soyabean,Kawardha,2016-02-16,3355.0,11.79,33.0,clear
40,Soyabean,Kawardha,2016-02-17,3400.0,10.47,33.2,clear
41,Soyabean,Kawardha,2016-02-18,3451.0,,34.6,clear
42,Soyabean,Kawardha,2016-02-20,3375.0,9.69,36.2,clear
43,Soyabean,Kawardha,2016-02-21,3425.0,10.1,36.2,clear
44,Soyabean,Kawardha,2016-02-22,3370.0,8.0,34.0,clear
45,Soyabean,Kawardha,2016-02-23,3425.0,0.9,33.2,clear
46,Soyabean,Kawardha,2016-02-24,3100.0,1.2,32.8,clear
47,Soyabean,Kawardha,2016-02-25,3400.0,2.1,33.0,clear
48,Soyabean,Kawardha,2016-02-27,3412.0,1.9,30.6,clear
49,Soyabean,Kawardha,2016-02-29,3375.0,2.2,32.4,clear
50,Soyabean,Kawardha,2016-01-03,3341.0,17.5,27.6,clear
51,Soyabean,Kawardha,2016-03-03,3250.0,3.8,36.0,clear
52,Soyabean,Kawardha,2016-05-03,3321.0,3.6,40.6,clear
53,Soyabean,Kawardha,2016-06-03,3320.0,2.5,42.0,clear
54,Soyabean,Kawardha,2016-08-03,3320.0,4.1,30.2,rain
55,Soyabean,Kawardha,2016-09-03,3300.0,5.8,29.2,clear
56,Soyabean,Kawardha,2016-10-03,3300.0,6.5,32.0,clear
57,Soyabean,Kawardha,2016-12-03,3301.0,4.7,28.6,clear
58,Soyabean,Kawardha,2016-03-14,3401.0,3.6,27.0,clear
59,Soyabean,Kawardha,2016-03-15,3400.0,0.4,30.8,clear
60,Soyabean,Kawardha,2016-03-20,3302.0,5.8,37.4,clear
61,Soyabean,Kawardha,2016-03-21,3451.0,1.6,38.0,clear
62,Soyabean,Kawardha,2016-03-29,3400.0,14.3,37.2,clear
63,Soyabean,Kawardha,2016-03-30,3450.0,5.3,37.8,clear
64,Soyabean,Kawardha,2016-03-31,3502.0,3.9,38.4,clear
65,Soyabean,Kawardha,2016-02-04,3500.0,10.2,28.8,clear
66,Soyabean,Kawardha,2016-03-04,3510.0,0.6,35.0,clear
67,Soyabean,Kawardha,2016-04-04,3550.0,3.5,42.8,clear
68,Soyabean,Kawardha,2016-05-04,3600.0,24.1,39.8,clear
69,Soyabean,Kawardha,2016-06-04,3475.0,3.3,38.4,clear
70,Soyabean,Kawardha,2016-07-04,3450.0,1.8,28.4,clear
71,Soyabean,Kawardha,2016-09-04,3600.0,26.7,28.4,rain
72,Soyabean,Kawardha,2016-10-04,3650.0,6.8,32.4,clear
73,Soyabean,Kawardha,2016-11-04,3578.0,4.9,30.4,clear
74,Soyabean,Kawardha,2016-12-04,3400.0,12.8,28.4,clear
75,Soyabean,Kawardha,2016-04-13,3550.0,20.6,40.6,clear
76,Soyabean,Kawardha,2016-04-20,3700.0,7.6,44.2,clear
77,Soyabean,Kawardha,2016-04-21,3600.0,2.5,43.2,clear
78,Soyabean,Kawardha,2016-04-23,3700.0,3.0,42.0,clear
79,Soyabean,Kawardha,2016-04-24,3501.0,0.6,41.2,clear
80,Soyabean,Kawardha,2016-04-26,3600.0,9.7,43.2,clear
81,Soyabean,Kawardha,2016-04-28,3600.0,0.8,41.2,clear
82,Soyabean,Kawardha,2016-04-30,3450.0,0.2,40.4,clear
83,Soyabean,Kawardha,2016-03-05,3500.0,11.5,36.0,clear
84,Soyabean,Kawardha,2016-04-05,3500.0,0.9,39.8,clear
85,Soyabean,Kawardha,2016-05-05,3451.0,1.6,38.0,clear
86,Soyabean,Kawardha,2016-07-05,3580.0,0.9,28.4,clear
87,Soyabean,Kawardha,2016-08-05,3410.0,18.1,30.2,rain
88,Soyabean,Kawardha,2016-10-05,3450.0,4.8,32.4,clear
89,Soyabean,Kawardha,2016-11-05,3640.0,6.1,30.4,clear
90,Soyabean,Kawardha,2016-12-05,3640.0,0.7,27.4,clear
91,Soyabean,Kawardha,2016-05-14,3502.0,22.1,43.2,clear
92,Soyabean,Kawardha,2016-05-16,3551.0,1.9,43.2,clear
93,Soyabean,Kawardha,2016-05-17,3500.0,1.8,42.4,clear
94,Soyabean,Kawardha,2016-05-18,3510.0,17.3,38.4,clear
95,Soyabean,Kawardha,2016-05-22,3500.0,0.3,41.2,clear
96,Soyabean,Kawardha,2016-05-23,3500.0,2.2,41.6,rain
97,Soyabean,Kawardha,2016-05-29,3451.0,1.6,40.2,clear
98,Soyabean,Kawardha,2016-05-31,3420.0,2.7,41.6,clear
99,Soyabean,Kawardha,2016-06-06,3440.0,2.8,40.0,clear
100,Soyabean,Kawardha,2016-07-06,3451.0,3.7,29.0,clear
101,Soyabean,Kawardha,2016-09-06,3401.0,2.3,30.0,clear
102,Soyabean,Kawardha,2016-11-06,3300.0,1.8,30.2,clear
103,Soyabean,Kawardha,2016-12-06,3424.0,7.6,27.4,clear
104,Soyabean,Kawardha,2016-06-13,3500.0,3.4,40.8,clear
105,Soyabean,Kawardha,2016-06-14,3500.0,3.4,40.4,clear
106,Soyabean,Kawardha,2016-06-15,3500.0,1.1,41.0,clear
107,Soyabean,Kawardha,2016-06-16,3000.0,14.5,39.4,clear
108,Soyabean,Kawardha,2016-06-21,3499.0,8.8,36.8,clear
109,Soyabean,Kawardha,2016-06-24,3562.0,2.8,31.4,clear
110,Soyabean,Kawardha,2016-06-25,3531.0,4.3,35.8,clear
111,Soyabean,Kawardha,2016-06-26,3500.0,0.2,36.6,clear
112,Soyabean,Kawardha,2016-06-28,3472.0,0.5,34.6,clear
113,Soyabean,Kawardha,2016-02-07,3501.0,10.3,31.4,clear
114,Soyabean,Kawardha,2016-09-07,3360.0,20.1,28.6,clear
115,Soyabean,Kawardha,2016-10-07,3310.0,9.3,29.2,rain
116,Soyabean,Kawardha,2016-11-07,3431.0,16.2,30.2,clear
117,Soyabean,Kawardha,2016-12-07,3350.0,13.9,27.8,clear
118,Soyabean,Kawardha,2016-07-13,3330.0,8.0,28.4,clear
119,Soyabean,Kawardha,2016-07-16,3400.0,3.0,29.2,rain
120,Soyabean,Kawardha,2016-07-17,3450.0,2.3,30.4,rain
121,Soyabean,Kawardha,2016-07-19,3450.0,2.4,30.2,rain
122,Soyabean,Kawardha,2016-07-21,3381.0,2.3,31.0,clear
123,Soyabean,Kawardha,2016-07-23,3521.0,1.9,30.4,clear
124,Soyabean,Kawardha,2016-07-24,3500.0,0.2,31.8,clear
125,Soyabean,Kawardha,2016-07-26,3451.0,2.0,29.8,clear
126,Soyabean,Kawardha,2016-07-28,3483.0,17.2,32.0,clear
127,Soyabean,Kawardha,2016-03-08,3301.0,0.1,32.6,clear
128,Soyabean,Kawardha,2016-04-08,3499.0,1.9,39.8,clear
129,Soyabean,Kawardha,2016-09-08,3420.0,2.2,31.4,clear
130,Soyabean,Kawardha,2016-10-08,3351.0,0.4,30.8,clear
131,Soyabean,Kawardha,2016-11-08,3445.0,12.0,30.2,clear
132,Soyabean,Kawardha,2016-08-13,3299.0,1.8,29.8,clear
133,Soyabean,Kawardha,2016-08-14,3414.0,2.1,29.2,clear
134,Soyabean,Kawardha,2016-08-16,3402.0,0.8,28.2,clear
135,Soyabean,Kawardha,2016-08-17,3350.0,0.1,27.6,clear
136,Soyabean,Kawardha,2016-08-21,3350.0,21.7,32.0,clear
137,Soyabean,Kawardha,2016-08-22,3300.0,2.8,28.6,rain
138,Soyabean,Kawardha,2016-08-24,3200.0,1.1,32.0,clear
139,Soyabean,Kawardha,2016-07-09,2976.0,6.5,30.2,clear
140,Soyabean,Kawardha,2016-08-09,3025.0,4.1,29.8,clear
141,Soyabean,Kawardha,2016-09-21,3100.0,2.6,33.2,clear
142,Soyabean,Kawardha,2016-09-22,3101.0,0.9,32.0,clear
143,Soyabean,Kawardha,2016-09-24,3100.0,0.6,30.2,clear
144,Soyabean,Kawardha,2016-09-27,2651.0,1.1,28.2,clear
145,Soyabean,Kawardha,2016-09-28,3001.0,0.6,29.4,rain
146,Soyabean,Kawardha,2016-04-10,2950.0,0.2,41.4,clear
147,Soyabean,Kawardha,2016-08-10,1404.0,0.3,29.0,clear
148,Soyabean,Kawardha,2016-10-13,2400.0,3.5,32.2,clear
149,Soyabean,Kawardha,2016-10-15,2300.0,22.3,32.4,clear
150,Soyabean,Kawardha,2016-10-16,2353.0,3.2,31.0,clear
151,Soyabean,Kawardha,2016-10-17,2282.0,5.0,30.0,clear
152,Soyabean,Kawardha,2016-10-18,2200.0,16.0,30.6,clear
153,Soyabean,Kawardha,2016-10-19,2100.0,11.4,29.6,clear
154,Soyabean,Kawardha,2016-10-20,2375.0,20.0,30.6,clear
155,Soyabean,Kawardha,2016-10-22,2275.0,55.9,31.4,clear
156,Soyabean,Kawardha,2016-10-23,2300.0,49.4,32.4,clear
157,Soyabean,Kawardha,2016-10-24,2390.0,49.1,31.4,clear
158,Soyabean,Kawardha,2016-10-25,2400.0,50.0,31.2,clear
159,Soyabean,Kawardha,2016-10-26,2451.0,53.5,31.2,clear
160,Soyabean,Kawardha,2016-10-27,2651.0,32.0,30.2,clear
161,Soyabean,Kawardha,2016-05-11,2611.0,60.2,41.2,clear
162,Soyabean,Kawardha,2016-06-11,2677.0,17.2,40.8,clear
163,Soyabean,Kawardha,2016-07-11,2466.0,36.3,29.8,clear
164,Soyabean,Kawardha,2016-08-11,2400.0,43.7,28.8,clear
165,Soyabean,Kawardha,2016-01-12,2799.0,12.2,28.0,clear
166,Soyabean,Kawardha,2016-03-12,2480.0,25.6,38.0,clear
167,Soyabean,Kawardha,2016-04-12,2795.0,15.4,41.2,clear
168,Soyabean,Kawardha,2016-05-12,2613.0,11.7,40.2,rain
169,Soyabean,Kawardha,2016-06-12,2450.0,39.8,41.0,clear
170,Soyabean,Kawardha,2016-07-12,2500.0,30.6,28.0,clear
171,Soyabean,Kawardha,2016-08-12,2600.0,31.7,27.6,clear
172,Soyabean,Kawardha,2016-10-12,2461.0,99.7,31.2,clear
173,Soyabean,Kawardha,2016-11-12,2450.0,21.7,28.4,clear
174,Soyabean,Kawardha,2016-12-13,2002.0,16.4,28.6,clear
175,Soyabean,Kawardha,2016-12-14,2400.0,14.1,28.0,clear
176,Soyabean,Kawardha,2016-12-15,2400.0,47.9,27.4,clear
177,Soyabean,Kawardha,2016-12-17,2661.0,34.4,26.2,clear
178,Soyabean,Kawardha,2016-12-19,2620.0,27.1,26.0,clear
179,Soyabean,Kawardha,2016-12-20,2600.0,30.5,27.0,clear
180,Soyabean,Kawardha,2016-12-21,2452.0,32.5,27.6,clear
181,Soyabean,Kawardha,2016-12-24,2401.0,59.9,26.0,clear
182,Soyabean,Kawardha,2016-12-26,2501.0,45.6,27.2,clear
183,Soyabean,Kawardha,2016-12-28,2552.0,20.9,26.4,clear
184,Soyabean,Pandariya,2016-12-28,2610.0,12.0,26.4,clear
185,Soyabean,Kawardha,2016-12-29,2688.0,29.7,27.0,clear
186,Soyabean,Kawardha,2016-12-31,2650.0,13.2,28.0,clear
187,Soyabean,Kawardha,2017-02-01,2650.0,19.9,30.6,clear
188,Soyabean,Kawardha,2017-03-01,2750.0,15.5,35.6,clear
