,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Pratappur,2015-12-11,4030.0,2.0,26.8,clear
1,Groundnut,Pratappur,2015-12-12,4030.0,3.2,24.8,clear
2,Groundnut,Pratappur,2015-12-13,4030.0,12.5,23.4,clear
3,Groundnut,Pratappur,2015-12-14,4030.0,1.2,21.0,clear
4,Groundnut,Pratappur,2015-12-16,4030.0,2.0,21.6,clear
5,Groundnut,Pratappur,2015-12-17,4030.0,1.2,22.0,clear
6,Groundnut,Pratappur,2015-12-18,4030.0,3.2,21.6,clear
7,Groundnut,Pratappur,2015-12-19,4030.0,3.2,20.2,clear
8,Mustard,Pratappur,2015-12-19,3100.0,1.0,20.2,clear
9,Groundnut,Pratappur,2015-12-21,4030.0,1.2,22.0,clear
10,Groundnut,Ramanujganj,2015-12-21,4030.0,1.7,22.0,clear
11,Groundnut,Pratappur,2015-12-23,4030.0,3.2,21.8,clear
12,Groundnut,Pratappur,2015-12-24,4030.0,1.2,20.2,clear
13,Groundnut,Pratappur,2015-12-26,4030.0,4.4,18.2,clear
14,Groundnut,Pratappur,2015-12-28,4030.0,2.0,23.4,clear
15,Groundnut,Sitapur,2015-12-15,4040.0,7.7,20.8,clear
16,Groundnut,Sitapur,2015-12-31,4040.0,3.6,25.6,clear
17,Mustard,Surajpur,2015-12-30,3000.0,0.7,24.0,clear
18,Groundnut,Pratappur,2016-01-01,4030.0,7.2,25.8,clear
19,Groundnut,Pratappur,2016-06-01,4030.0,4.8,38.8,clear
20,Groundnut,Pratappur,2016-07-01,4030.0,2.4,37.4,rain
21,Groundnut,Pratappur,2016-08-01,4030.0,1.2,26.2,clear
22,Groundnut,Pratappur,2016-09-01,4030.0,2.0,29.2,clear
23,Groundnut,Pratappur,2016-12-01,4030.0,2.0,25.8,clear
24,Groundnut,Sitapur,2016-12-01,4040.0,2.4,25.8,clear
25,Groundnut,Pratappur,2016-01-17,4030.0,3.2,21.4,clear
26,Groundnut,Pratappur,2016-01-18,4030.0,2.4,19.0,clear
27,Groundnut,Ramanujganj,2016-01-18,4030.0,0.5,19.0,clear
28,Groundnut,Sitapur,2016-01-18,4040.0,4.4,19.0,clear
29,Groundnut,Surajpur,2016-01-18,4000.0,7.0,19.0,clear
30,Groundnut,Pratappur,2016-01-22,4030.0,1.2,17.8,clear
31,Groundnut,Pratappur,2016-01-23,4030.0,1.2,19.6,clear
32,Groundnut,Pratappur,2016-01-27,4030.0,2.0,24.8,clear
33,Groundnut,Pratappur,2016-01-02,4030.0,1.2,24.6,clear
34,Groundnut,Pratappur,2016-03-02,4030.0,1.2,31.4,clear
35,Groundnut,Surajpur,2016-03-02,4030.0,7.0,31.4,clear
36,Groundnut,Pratappur,2016-04-02,4030.0,2.0,38.2,clear
37,Groundnut,Pratappur,2016-06-02,4030.0,1.2,39.6,clear
38,Groundnut,Pratappur,2016-07-02,4030.0,2.0,31.2,rain
39,Groundnut,Pratappur,2016-09-02,4030.0,3.2,31.0,clear
40,Groundnut,Pratappur,2016-11-02,4030.0,3.2,26.4,clear
41,Groundnut,Pratappur,2016-12-02,4030.0,2.0,24.8,clear
42,Groundnut,Surajpur,2016-12-02,4030.0,3.0,24.8,clear
43,Mustard,Surajpur,2016-12-02,3000.0,2.0,24.8,clear
44,Groundnut,Pratappur,2016-02-15,4030.0,1.2,25.2,clear
45,Groundnut,Ramanujganj,2016-02-15,4030.0,1.0,25.2,clear
46,Mustard,Ambikapur,2016-02-15,3110.0,2.0,25.2,clear
47,Mustard,Pratappur,2016-02-15,3110.0,1.0,25.2,clear
48,Mustard,Ramanujganj,2016-02-15,3200.0,1.0,25.2,clear
49,Groundnut,Pratappur,2016-02-18,4030.0,4.4,28.4,clear
50,Groundnut,Pratappur,2016-02-22,4030.0,2.0,29.6,clear
51,Groundnut,Pratappur,2016-02-25,4030.0,2.0,29.0,clear
52,Groundnut,Pratappur,2016-01-03,4030.0,3.2,24.2,clear
53,Groundnut,Pratappur,2016-03-03,4030.0,1.2,33.2,clear
54,Groundnut,Ramanujganj,2016-03-03,4030.0,1.5,33.2,clear
55,Groundnut,Pratappur,2016-10-03,4030.0,2.4,29.6,clear
56,Mustard,Pratappur,2016-10-03,3110.0,1.0,29.6,clear
57,Groundnut,Pratappur,2016-03-14,4030.0,3.2,27.2,clear
58,Groundnut,Pratappur,2016-03-16,4030.0,2.0,29.0,clear
59,Groundnut,Pratappur,2016-03-17,4030.0,2.4,30.8,clear
60,Groundnut,Pratappur,2016-03-29,4030.0,2.0,34.8,clear
61,Groundnut,Pratappur,2016-03-31,4030.0,2.0,36.4,clear
62,Groundnut,Surajpur,2016-03-31,4030.0,5.0,36.4,clear
63,Mustard,Ambikapur,2016-03-31,3110.0,2.0,36.4,clear
64,Mustard,Pratappur,2016-03-31,3350.0,1.0,36.4,clear
65,Mustard,Sitapur,2016-03-31,2500.0,1.0,36.4,clear
66,Groundnut,Pratappur,2016-10-04,4030.0,1.2,29.4,rain
67,Groundnut,Pratappur,2016-12-04,4030.0,2.0,24.8,clear
68,Groundnut,Pratappur,2016-04-17,4030.0,2.0,40.6,clear
69,Groundnut,Pratappur,2016-04-23,4030.0,2.0,41.3,clear
70,Groundnut,Pratappur,2016-04-28,4030.0,2.0,38.2,clear
71,Mustard,Sitapur,2016-04-28,3350.0,1.0,38.2,clear
72,Mustard,Surajpur,2016-04-28,3000.0,0.5,38.2,clear
73,Groundnut,Pratappur,2016-09-05,4030.0,2.0,27.4,clear
74,Groundnut,Sitapur,2016-09-05,4040.0,2.0,27.4,clear
75,Groundnut,Pratappur,2016-10-05,4030.0,1.2,28.0,clear
76,Groundnut,Surajpur,2016-10-05,4030.0,2.0,28.0,clear
77,Groundnut,Pratappur,2016-11-05,4030.0,1.2,27.4,clear
78,Groundnut,Pratappur,2016-05-14,4030.0,1.2,39.6,clear
79,Groundnut,Surajpur,2016-05-14,4030.0,1.0,39.6,clear
80,Mustard,Surajpur,2016-05-14,3100.0,0.5,39.6,clear
81,Groundnut,Pratappur,2016-05-15,4030.0,2.0,40.6,clear
82,Groundnut,Pratappur,2016-05-16,4030.0,2.0,40.6,clear
83,Groundnut,Pratappur,2016-05-23,4030.0,2.0,40.6,rain
84,Groundnut,Pratappur,2016-05-25,4030.0,2.0,37.6,clear
85,Mustard,Ramanujganj,2016-05-25,3400.0,1.0,37.6,clear
86,Groundnut,Pratappur,2016-05-29,4030.0,1.2,39.4,rain
87,Groundnut,Pratappur,2016-08-06,4030.0,1.2,29.2,rain
88,Groundnut,Pratappur,2016-06-13,4030.0,1.2,40.4,clear
89,Mustard,Sitapur,2016-06-13,3350.0,1.0,40.4,clear
90,Groundnut,Pratappur,2016-06-14,4030.0,1.2,40.0,clear
91,Groundnut,Pratappur,2016-06-18,4030.0,1.2,32.6,clear
92,Groundnut,Pratappur,2016-06-25,4030.0,1.2,36.4,clear
93,Groundnut,Pratappur,2016-06-28,4030.0,3.2,33.8,clear
94,Groundnut,Pratappur,2016-06-30,4030.0,4.0,36.4,clear
95,Groundnut,Surajpur,2016-06-30,4000.0,1.7,36.4,clear
96,Mustard,Ambikapur,2016-06-30,3375.0,3.0,36.4,clear
97,Mustard,Kusmee,2016-06-30,4000.0,4.0,36.4,clear
98,Mustard,Ramanujganj,2016-06-30,3400.0,2.0,36.4,clear
99,Mustard,Surajpur,2016-06-30,3000.0,1.1,36.4,clear
100,Groundnut,Pratappur,2016-01-07,4030.0,1.2,25.2,clear
101,Groundnut,Pratappur,2016-08-07,4030.0,1.2,26.2,clear
102,Groundnut,Pratappur,2016-09-07,4030.0,3.2,24.2,rain
103,Groundnut,Pratappur,2016-10-07,4030.0,1.2,28.0,clear
104,Groundnut,Pratappur,2016-11-07,4030.0,1.2,26.8,clear
105,Groundnut,Pratappur,2016-12-07,4030.0,2.0,23.4,clear
106,Groundnut,Surajpur,2016-12-07,4030.0,0.6,23.4,clear
107,Groundnut,Pratappur,2016-07-13,4030.0,2.4,30.0,clear
108,Groundnut,Pratappur,2016-07-14,4030.0,1.2,28.2,clear
109,Groundnut,Pratappur,2016-07-15,4030.0,3.2,27.4,rain
110,Groundnut,Pratappur,2016-07-16,4030.0,1.2,27.2,rain
111,Groundnut,Pratappur,2016-07-17,4030.0,1.2,25.8,clear
112,Groundnut,Pratappur,2016-07-18,4030.0,1.2,26.2,clear
113,Groundnut,Pratappur,2016-07-19,4030.0,1.2,27.2,clear
114,Groundnut,Pratappur,2016-07-22,4030.0,1.2,27.4,clear
115,Groundnut,Pratappur,2016-07-23,4030.0,2.0,28.2,clear
116,Groundnut,Pratappur,2016-07-24,4030.0,2.0,30.2,clear
117,Groundnut,Pratappur,2016-07-25,4030.0,2.0,31.4,clear
118,Groundnut,Sitapur,2016-07-25,4040.0,1.2,31.4,clear
119,Mustard,Sitapur,2016-07-25,3350.0,1.0,31.4,clear
120,Groundnut,Pratappur,2016-07-28,4030.0,1.2,30.0,clear
121,Groundnut,Pratappur,2016-01-08,4030.0,3.6,24.8,clear
122,Groundnut,Pratappur,2016-02-08,4030.0,1.2,25.8,clear
123,Groundnut,Pratappur,2016-03-08,4030.0,1.2,31.8,clear
124,Groundnut,Pratappur,2016-04-08,4030.0,3.2,37.8,clear
