,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Shimoga,2016-08-03,8650.0,0.0,22.4,clear
1,Sunflower,Shikaripura,2016-08-03,3300.0,19.0,22.4,clear
2,Groundnut,Shimoga,2016-09-20,10000.0,1.0,23.4,clear
3,Groundnut,Sorabha,2016-10-20,3200.0,20.0,30.0,clear
4,Groundnut,Sorabha,2016-10-24,3500.0,15.0,28.0,clear
5,Groundnut,Sorabha,2016-03-11,3500.0,3.0,32.0,clear
6,Groundnut,Sorabha,2016-04-11,3500.0,15.0,25.0,clear
7,Groundnut,Sorabha,2016-10-11,4000.0,10.0,25.4,clear
8,Groundnut,Sorabha,2016-11-16,4000.0,12.0,31.0,clear
9,Groundnut,Sorabha,2016-11-24,4000.0,1.0,29.0,clear
10,Groundnut,Sorabha,2016-12-15,4000.0,5.0,28.4,clear
11,Sunflower,Shikaripura,2016-06-01,3200.0,27.0,30.4,clear
12,Sunflower,Shikaripura,2016-01-18,3400.0,12.0,26.4,clear
13,Sunflower,Shikaripura,2016-09-02,3300.0,8.0,21.6,clear
14,Sunflower,Shikaripura,2016-02-15,3300.0,9.0,26.4,clear
15,Sunflower,Shikaripura,2016-02-17,3300.0,17.0,29.4,clear
16,Sunflower,Shikaripura,2016-02-19,3100.0,9.0,33.4,clear
17,Sunflower,Shikaripura,2016-02-20,3200.0,11.0,33.0,clear
18,Sunflower,Shikaripura,2016-02-23,3100.0,4.0,29.4,clear
19,Sunflower,Shikaripura,2016-02-26,3100.0,13.0,34.0,clear
20,Sunflower,Shikaripura,2016-02-29,3200.0,37.0,31.0,clear
21,Sunflower,Shikaripura,2016-01-03,3400.0,14.0,31.0,clear
22,Sunflower,Shikaripura,2016-03-03,3400.0,21.0,34.4,clear
23,Sunflower,Shikaripura,2016-04-03,3200.0,11.0,33.0,clear
24,Sunflower,Shikaripura,2016-09-03,3400.0,17.0,24.0,clear
25,Sunflower,Shikaripura,2016-03-14,3300.0,29.0,32.4,clear
26,Sunflower,Shikaripura,2016-03-17,3300.0,15.0,30.4,clear
27,Sunflower,Shikaripura,2016-03-18,3300.0,13.0,24.0,clear
28,Sunflower,Shikaripura,2016-03-19,3000.0,6.0,31.0,clear
29,Sunflower,Shikaripura,2016-03-21,3000.0,31.0,31.0,clear
30,Sunflower,Shikaripura,2016-03-22,2900.0,14.0,34.0,clear
31,Sunflower,Shikaripura,2016-03-23,3100.0,22.0,33.4,clear
32,Sunflower,Shikaripura,2016-03-28,3200.0,62.0,33.0,clear
33,Sunflower,Shikaripura,2016-03-29,3300.0,7.0,29.4,clear
