,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Black Gram (Urd Beans),Amadalavalasa,2015-11-19,6750.0,2.4,28.0,clear
1,Black Gram (Urd Beans),Ponduru,2015-11-19,6000.0,0.0,28.0,clear
2,Black Gram (Urd Beans),Amadalavalasa,2015-11-23,8000.0,1.5,28.8,clear
3,Black Gram (Urd Beans),Palakonda,2015-11-23,6000.0,7.7,28.8,clear
4,Black Gram (Urd Beans),Pathapatnam,2015-11-23,9500.0,0.0,28.8,clear
5,Black Gram (Urd Beans),Ponduru,2015-11-23,6000.0,0.0,28.8,clear
6,Black Gram (Urd Beans),Amadalavalasa,2015-11-24,9000.0,0.3,29.6,clear
7,Black Gram (Urd Beans),Pathapatnam,2015-11-24,9500.0,0.0,29.6,clear
8,Black Gram (Urd Beans),Ponduru,2015-11-24,6000.0,0.0,29.6,clear
9,Black Gram (Urd Beans),Amadalavalasa,2015-11-26,9000.0,0.98,28.8,clear
10,Black Gram (Urd Beans),Palakonda,2015-11-26,6000.0,4.7,28.8,clear
11,Black Gram (Urd Beans),Ponduru,2015-11-26,6000.0,0.0,28.8,clear
12,Black Gram (Urd Beans),Amadalavalasa,2015-11-27,9000.0,0.3,29.2,clear
13,Black Gram (Urd Beans),Palakonda,2015-11-27,1380.0,1.0,29.2,clear
14,Black Gram (Urd Beans),Pathapatnam,2015-11-27,9500.0,0.0,29.2,clear
15,Black Gram (Urd Beans),Ponduru,2015-11-27,6000.0,0.0,29.2,clear
16,Black Gram (Urd Beans),Amadalavalasa,2015-01-12,8000.0,1.08,27.6,clear
17,Black Gram (Urd Beans),Ponduru,2015-01-12,7000.0,0.0,27.6,clear
18,Black Gram (Urd Beans),Amadalavalasa,2015-12-19,7000.0,1.02,28.4,clear
19,Green Gram (Moong),Amadalavalasa,2015-12-19,5600.0,0.54,28.4,clear
20,Black Gram (Urd Beans),Hiramandalam,2015-04-16,5800.0,12.3,31.6,clear
21,Black Gram (Urd Beans),Hiramandalam,2015-04-26,5500.0,1.8,31.0,clear
22,Green Gram (Moong),Hiramandalam,2015-04-26,5500.0,7.2,31.0,clear
23,Black Gram (Urd Beans),Ichapuram,2015-11-29,9200.0,17.0,29.8,clear
24,Black Gram (Urd Beans),Pathapatnam,2015-11-29,9700.0,3.0,29.8,clear
25,Black Gram (Urd Beans),Palakonda,2015-11-18,6000.0,1.5,25.4,clear
26,Black Gram (Urd Beans),Ponduru,2015-11-18,6000.0,0.0,25.4,clear
27,Black Gram (Urd Beans),Palakonda,2015-11-20,6000.0,2.5,28.6,clear
28,Black Gram (Urd Beans),Ponduru,2015-11-20,6000.0,0.0,28.6,clear
29,Black Gram (Urd Beans),Palakonda,2015-11-21,6000.0,1.4,28.6,clear
30,Black Gram (Urd Beans),Pathapatnam,2015-11-21,9500.0,2.28,28.6,clear
31,Black Gram (Urd Beans),Ponduru,2015-11-21,6000.0,0.0,28.6,clear
32,Black Gram (Urd Beans),Palakonda,2015-11-22,6000.0,2.6,28.6,clear
33,Black Gram (Urd Beans),Ponduru,2015-11-22,6000.0,0.0,28.6,clear
34,Black Gram (Urd Beans),Palakonda,2015-11-28,6000.0,5.4,28.8,clear
35,Black Gram (Urd Beans),Pathapatnam,2015-11-28,9500.0,0.0,28.8,clear
