,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Polavaram,2015-11-20,4700.0,0.0,29.6,clear
1,Black Gram (Urd Beans),Denduluru,2015-11-20,4300.0,0.0,29.6,clear
2,Black Gram (Urd Beans),Polavaram,2015-11-20,8000.0,0.0,29.6,clear
3,Bengal Gram(Gram),Polavaram,2015-11-21,4700.0,0.0,31.2,clear
4,Bengal Gram(Gram),Polavaram,2015-11-23,4600.0,0.0,31.6,clear
5,Black Gram (Urd Beans),Denduluru,2015-11-23,4500.0,0.0,31.6,clear
6,Black Gram (Urd Beans),Polavaram,2015-11-23,8000.0,0.0,31.6,clear
7,Black Gram (Urd Beans),Undi,2015-11-23,4700.0,0.1,31.6,clear
8,Bengal Gram(Gram),Polavaram,2015-11-24,4500.0,0.0,31.4,clear
9,Black Gram (Urd Beans),Denduluru,2015-11-24,4500.0,0.0,31.4,clear
10,Black Gram (Urd Beans),Polavaram,2015-11-24,8500.0,0.0,31.4,clear
11,Green Gram (Moong),Polavaram,2015-11-24,5400.0,0.0,31.4,clear
12,Bengal Gram(Gram),Polavaram,2015-11-25,4600.0,0.0,31.6,clear
13,Black Gram (Urd Beans),Denduluru,2015-11-25,4500.0,0.0,31.6,clear
14,Black Gram (Urd Beans),Undi,2015-11-25,4700.0,0.1,31.6,clear
15,Bengal Gram(Gram),Polavaram,2015-11-27,4700.0,0.0,31.4,clear
16,Black Gram (Urd Beans),Denduluru,2015-11-27,4550.0,0.0,31.4,clear
17,Black Gram (Urd Beans),Polavaram,2015-11-27,12000.0,0.0,31.4,clear
18,Black Gram (Urd Beans),Undi,2015-11-27,4700.0,0.1,31.4,clear
19,Bengal Gram(Gram),Polavaram,2015-11-28,4800.0,0.0,31.0,clear
20,Black Gram (Urd Beans),Polavaram,2015-11-28,10000.0,0.0,31.0,clear
21,Black Gram (Urd Beans),Undi,2015-11-28,4700.0,0.1,31.0,clear
22,Bengal Gram(Gram),Polavaram,2015-11-30,4600.0,0.0,29.8,clear
23,Black Gram (Urd Beans),Polavaram,2015-11-30,9500.0,0.0,29.8,clear
24,Bengal Gram(Gram),Polavaram,2015-01-12,4700.0,0.0,28.8,clear
25,Black Gram (Urd Beans),Narsapuram,2015-01-12,4425.0,0.0,28.8,clear
26,Black Gram (Urd Beans),Palakole,2015-01-12,4425.0,0.0,28.8,clear
27,Black Gram (Urd Beans),Polavaram,2015-01-12,10000.0,0.0,28.8,clear
28,Black Gram (Urd Beans),Undi,2015-01-12,4600.0,0.1,28.8,clear
29,Green Gram (Moong),Palakole,2015-01-12,4650.0,0.0,28.8,clear
30,Bengal Gram(Gram),Polavaram,2015-04-12,4500.0,0.0,31.4,clear
31,Black Gram (Urd Beans),Narsapuram,2015-04-12,4425.0,0.0,31.4,clear
32,Black Gram (Urd Beans),Palakole,2015-04-12,4425.0,0.0,31.4,clear
33,Black Gram (Urd Beans),Polavaram,2015-04-12,10000.0,0.0,31.4,clear
34,Green Gram (Moong),Palakole,2015-04-12,4650.0,0.0,31.4,clear
35,Bengal Gram(Gram),Polavaram,2015-10-12,4800.0,0.0,36.2,clear
36,Black Gram (Urd Beans),Narsapuram,2015-10-12,4425.0,0.0,36.2,clear
37,Black Gram (Urd Beans),Palakole,2015-10-12,4425.0,0.0,36.2,clear
38,Black Gram (Urd Beans),Polavaram,2015-10-12,10000.0,0.0,36.2,clear
