,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Green Gram (Moong),Cachar,2015-12-16,10500.0,10.0,22.4,clear
1,Lentil(Masur),Cachar,2015-12-16,10300.0,20.0,22.4,clear
2,Green Gram (Moong),Cachar,2015-12-24,10500.0,10.0,22.8,clear
3,Lentil(Masur),Cachar,2015-12-24,10300.0,20.0,22.8,clear
4,Lentil(Masur),Cachar,2015-12-08,9900.0,10.0,25.6,clear
5,Lentil(Masur),Cachar,2015-12-09,9900.0,10.0,26.0,clear
6,Lentil(Masur),Cachar,2015-12-14,10300.0,10.0,24.6,clear
7,Lentil(Masur),Cachar,2015-12-15,10300.0,10.0,22.8,clear
8,Lentil(Masur),Cachar,2015-12-17,10300.0,10.0,22.6,clear
9,Lentil(Masur),Cachar,2015-12-18,10300.0,10.0,22.4,clear
10,Lentil(Masur),Cachar,2015-12-21,10300.0,10.0,22.8,clear
11,Lentil(Masur),Cachar,2015-12-23,10300.0,10.0,23.2,clear
12,Lentil(Masur),Cachar,2015-12-25,10300.0,10.0,20.6,clear
13,Lentil(Masur),Cachar,2015-12-28,10300.0,10.0,23.6,clear
14,Lentil(Masur),Cachar,2015-12-30,10300.0,10.0,23.8,clear
15,Arhar (Tur/Red Gram),Cachar,2016-05-23,11800.0,5.0,33.8,clear
16,Green Gram (Moong),Cachar,2016-05-23,10300.0,10.0,33.8,clear
17,Lentil(Masur),Cachar,2016-05-23,10500.0,10.0,33.8,clear
18,Arhar (Tur/Red Gram),Cachar,2016-06-13,11800.0,10.0,30.8,clear
19,Green Gram (Moong),Cachar,2016-06-13,10500.0,5.0,30.8,clear
20,Lentil(Masur),Cachar,2016-06-13,9800.0,10.0,30.8,clear
21,Arhar (Tur/Red Gram),Cachar,2016-06-18,11800.0,5.0,33.6,clear
22,Lentil(Masur),Cachar,2016-06-18,9800.0,10.0,33.6,clear
23,Arhar (Tur/Red Gram),Cachar,2016-04-07,11800.0,10.0,32.2,clear
24,Green Gram (Moong),Cachar,2016-04-07,10500.0,20.0,32.2,clear
25,Lentil(Masur),Cachar,2016-04-07,9800.0,20.0,32.2,clear
26,Arhar (Tur/Red Gram),Cachar,2016-07-13,11800.0,10.0,32.6,rain
27,Green Gram (Moong),Cachar,2016-07-13,10500.0,10.0,32.6,rain
28,Lentil(Masur),Cachar,2016-07-13,9800.0,10.0,32.6,rain
29,Arhar (Tur/Red Gram),Cachar,2016-01-09,13700.0,5.0,20.8,rain
30,Green Gram (Moong),Cachar,2016-01-09,7100.0,5.0,20.8,rain
31,Lentil(Masur),Cachar,2016-01-09,9800.0,10.0,20.8,rain
32,Arhar (Tur/Red Gram),Cachar,2016-06-09,13700.0,10.0,32.0,clear
33,Lentil(Masur),Cachar,2016-06-09,9800.0,10.0,32.0,clear
34,Green Gram (Moong),Cachar,2016-02-01,10300.0,10.0,23.8,clear
35,Lentil(Masur),Cachar,2016-02-01,10300.0,20.0,23.8,clear
36,Green Gram (Moong),Cachar,2016-04-01,10300.0,10.0,27.4,clear
37,Lentil(Masur),Cachar,2016-04-01,10300.0,20.0,27.4,clear
38,Green Gram (Moong),Cachar,2016-11-01,10300.0,10.0,32.6,clear
39,Lentil(Masur),Cachar,2016-11-01,10300.0,9.0,32.6,clear
40,Green Gram (Moong),Cachar,2016-01-13,10300.0,10.0,23.4,clear
41,Lentil(Masur),Cachar,2016-01-13,10300.0,20.0,23.4,clear
42,Green Gram (Moong),Cachar,2016-01-14,10300.0,20.0,23.0,clear
43,Lentil(Masur),Cachar,2016-01-14,10300.0,30.0,23.0,clear
44,Green Gram (Moong),Cachar,2016-01-20,10300.0,10.0,21.8,clear
45,Lentil(Masur),Cachar,2016-01-20,10300.0,10.0,21.8,clear
46,Green Gram (Moong),Cachar,2016-01-28,10300.0,10.0,23.2,clear
47,Lentil(Masur),Cachar,2016-01-28,10300.0,10.0,23.2,clear
48,Green Gram (Moong),Cachar,2016-06-02,10300.0,10.0,35.0,clear
49,Lentil(Masur),Cachar,2016-06-02,10300.0,10.0,35.0,clear
50,Green Gram (Moong),Cachar,2016-11-02,10500.0,10.0,33.0,clear
51,Lentil(Masur),Cachar,2016-11-02,10300.0,20.0,33.0,clear
52,Green Gram (Moong),Cachar,2016-02-15,10500.0,10.0,29.0,clear
53,Lentil(Masur),Cachar,2016-02-15,10300.0,10.0,29.0,clear
54,Green Gram (Moong),Cachar,2016-02-17,10500.0,10.0,29.6,clear
55,Lentil(Masur),Cachar,2016-02-17,10300.0,10.0,29.6,clear
56,Green Gram (Moong),Cachar,2016-02-04,10500.0,5.0,25.4,clear
57,Lentil(Masur),Cachar,2016-02-04,10300.0,10.0,25.4,clear
58,Green Gram (Moong),Cachar,2016-06-04,10500.0,5.0,34.8,clear
59,Lentil(Masur),Cachar,2016-06-04,10300.0,10.0,34.8,clear
60,Green Gram (Moong),Cachar,2016-12-04,10500.0,10.0,28.8,clear
61,Lentil(Masur),Cachar,2016-12-04,10300.0,10.0,28.8,clear
62,Green Gram (Moong),Cachar,2016-04-16,10500.0,10.0,28.6,rain
63,Lentil(Masur),Cachar,2016-04-16,10300.0,10.0,28.6,rain
64,Green Gram (Moong),Cachar,2016-04-18,10500.0,10.0,31.6,clear
65,Lentil(Masur),Cachar,2016-04-18,10300.0,10.0,31.6,clear
66,Green Gram (Moong),Cachar,2016-04-20,10500.0,5.0,30.4,clear
67,Lentil(Masur),Cachar,2016-04-20,10300.0,10.0,30.4,clear
68,Green Gram (Moong),Cachar,2016-04-26,10300.0,10.0,32.0,clear
69,Lentil(Masur),Cachar,2016-04-26,10500.0,10.0,32.0,clear
70,Green Gram (Moong),Cachar,2016-04-05,10300.0,10.0,26.6,rain
71,Lentil(Masur),Cachar,2016-04-05,10500.0,100.0,26.6,rain
72,Green Gram (Moong),Cachar,2016-09-05,10300.0,5.0,32.2,clear
73,Lentil(Masur),Cachar,2016-09-05,10500.0,10.0,32.2,clear
74,Green Gram (Moong),Cachar,2016-05-13,10500.0,5.0,27.6,rain
75,Lentil(Masur),Cachar,2016-05-13,10500.0,10.0,27.6,rain
76,Green Gram (Moong),Cachar,2016-05-18,10300.0,5.0,26.6,clear
77,Lentil(Masur),Cachar,2016-05-18,10500.0,10.0,26.6,clear
78,Green Gram (Moong),Cachar,2016-05-30,10500.0,10.0,33.0,rain
79,Lentil(Masur),Cachar,2016-05-30,10500.0,10.0,33.0,rain
80,Green Gram (Moong),Cachar,2016-01-06,10500.0,10.0,24.2,clear
81,Lentil(Masur),Cachar,2016-01-06,10500.0,10.0,24.2,clear
82,Green Gram (Moong),Cachar,2016-08-06,10500.0,5.0,33.0,clear
83,Lentil(Masur),Cachar,2016-08-06,9500.0,10.0,33.0,clear
84,Green Gram (Moong),Cachar,2016-06-16,10500.0,5.0,32.6,clear
85,Lentil(Masur),Cachar,2016-06-16,9800.0,10.0,32.6,clear
86,Green Gram (Moong),Cachar,2016-06-17,10500.0,5.0,32.4,clear
87,Lentil(Masur),Cachar,2016-06-17,9800.0,10.0,32.4,clear
88,Green Gram (Moong),Cachar,2016-06-27,10500.0,5.0,35.0,clear
89,Lentil(Masur),Cachar,2016-06-27,9800.0,10.0,35.0,clear
90,Green Gram (Moong),Cachar,2016-01-07,10500.0,5.0,24.2,clear
91,Lentil(Masur),Cachar,2016-01-07,9800.0,10.0,24.2,clear
