,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-04-01,5280.0,28.0,35.2,clear
1,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-04-01,3780.0,18.5,35.2,clear
2,Green Gram (Moong),P.O. Uparhali Guwahati,2012-04-01,6670.0,30.0,35.2,clear
3,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-05-01,5340.0,34.0,27.6,rain
4,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-05-01,3850.0,16.0,27.6,rain
5,Green Gram (Moong),P.O. Uparhali Guwahati,2012-05-01,6750.0,32.5,27.6,rain
6,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-09-01,5150.0,26.0,32.4,clear
7,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-09-01,3850.0,17.0,32.4,clear
8,Green Gram (Moong),P.O. Uparhali Guwahati,2012-09-01,6950.0,27.5,32.4,clear
9,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-10-01,5150.0,34.0,28.2,clear
10,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-10-01,3900.0,24.0,28.2,clear
11,Green Gram (Moong),P.O. Uparhali Guwahati,2012-10-01,6850.0,32.0,28.2,clear
12,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-11-01,5200.0,31.0,29.6,clear
13,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-11-01,4050.0,25.0,29.6,clear
14,Green Gram (Moong),P.O. Uparhali Guwahati,2012-11-01,6940.0,28.0,29.6,clear
15,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-01-13,5260.0,30.0,18.0,clear
16,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-01-13,4100.0,21.0,18.0,clear
17,Green Gram (Moong),P.O. Uparhali Guwahati,2012-01-13,6950.0,31.0,18.0,clear
18,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-01-17,5260.0,32.0,21.2,clear
19,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-01-17,4100.0,23.0,21.2,clear
20,Green Gram (Moong),P.O. Uparhali Guwahati,2012-01-17,6950.0,30.0,21.2,clear
21,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-10-02,5520.0,28.0,26.4,clear
22,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-10-02,3950.0,24.0,26.4,clear
23,Green Gram (Moong),P.O. Uparhali Guwahati,2012-10-02,5830.0,32.0,26.4,clear
24,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-02-14,5540.0,26.0,26.0,clear
25,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-02-14,4050.0,22.0,26.0,clear
26,Green Gram (Moong),P.O. Uparhali Guwahati,2012-02-14,5960.0,31.0,26.0,clear
27,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-02-16,5640.0,26.0,26.8,clear
28,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-02-16,4070.0,23.0,26.8,clear
29,Green Gram (Moong),P.O. Uparhali Guwahati,2012-02-16,5950.0,32.0,26.8,clear
30,Arhar (Tur/Red Gram),P.O. Uparhali Guwahati,2012-02-17,5680.0,27.0,28.8,clear
31,Bengal Gram(Gram),P.O. Uparhali Guwahati,2012-02-17,4070.0,25.0,28.8,clear
32,Green Gram (Moong),P.O. Uparhali Guwahati,2012-02-17,5950.0,30.0,28.8,clear
