,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Dhekiajuli,2014-02-08,4500.0,0.5,23.8,clear
1,Bengal Gram(Gram),Dhekiajuli,2014-03-08,4500.0,1.0,28.6,clear
2,Bengal Gram(Gram),Dhekiajuli,2014-04-08,4500.0,1.0,28.8,rain
3,Bengal Gram(Gram),Dhekiajuli,2014-06-08,4700.0,3.0,30.8,clear
4,Bengal Gram(Gram),Dhekiajuli,2014-07-08,4500.0,2.0,31.0,clear
5,Bengal Gram(Gram),Dhekiajuli,2014-08-08,4500.0,2.0,32.6,clear
6,Bengal Gram(Gram),Dhekiajuli,2014-09-08,4500.0,2.0,33.2,clear
7,Green Gram (Moong),Dhekiajuli,2014-09-08,7500.0,2.0,33.2,clear
8,Bengal Gram(Gram),Dhekiajuli,2014-10-08,4600.0,3.0,33.8,clear
9,Green Gram (Moong),Dhekiajuli,2014-10-08,7200.0,3.4,33.8,clear
10,Bengal Gram(Gram),Dhekiajuli,2014-11-08,4500.0,4.0,31.6,clear
11,Green Gram (Moong),Dhekiajuli,2014-11-08,6900.0,2.0,31.6,clear
12,Bengal Gram(Gram),Dhekiajuli,2014-08-13,4500.0,1.5,30.4,clear
13,Green Gram (Moong),Dhekiajuli,2014-08-13,7000.0,2.5,30.4,clear
14,Bengal Gram(Gram),Dhekiajuli,2014-08-16,4500.0,1.5,28.8,clear
15,Green Gram (Moong),Dhekiajuli,2014-08-16,7500.0,4.0,28.8,clear
16,Bengal Gram(Gram),Dhekiajuli,2014-08-17,4500.0,3.0,27.4,clear
17,Green Gram (Moong),Dhekiajuli,2014-08-17,7400.0,4.0,27.4,clear
18,Bengal Gram(Gram),Dhekiajuli,2014-08-18,5000.0,2.5,31.6,clear
19,Green Gram (Moong),Dhekiajuli,2014-08-18,7000.0,1.0,31.6,clear
20,Bengal Gram(Gram),Dhekiajuli,2014-08-19,4500.0,2.5,31.6,clear
21,Bengal Gram(Gram),Dhekiajuli,2014-08-20,4500.0,0.8,32.8,clear
22,Green Gram (Moong),Dhekiajuli,2014-08-20,7000.0,4.0,32.8,clear
23,Bengal Gram(Gram),Dhekiajuli,2014-08-21,4500.0,2.0,32.6,clear
24,Bengal Gram(Gram),Dhekiajuli,2014-08-23,4500.0,2.0,28.0,clear
25,Green Gram (Moong),Dhekiajuli,2014-08-23,7000.0,2.5,28.0,clear
26,Bengal Gram(Gram),Dhekiajuli,2014-08-25,4800.0,1.0,27.0,clear
27,Green Gram (Moong),Dhekiajuli,2014-08-25,7000.0,2.4,27.0,clear
28,Bengal Gram(Gram),Dhekiajuli,2014-08-27,5000.0,5.0,31.2,clear
29,Green Gram (Moong),Dhekiajuli,2014-08-27,6500.0,2.5,31.2,clear
30,Bengal Gram(Gram),Dhekiajuli,2014-08-30,5000.0,2.0,34.2,clear
31,Bengal Gram(Gram),Dhekiajuli,2014-02-09,4600.0,2.2,26.6,clear
32,Green Gram (Moong),Dhekiajuli,2014-02-09,7000.0,3.0,26.6,clear
33,Bengal Gram(Gram),Dhekiajuli,2014-03-09,4500.0,3.0,28.4,clear
34,Green Gram (Moong),Dhekiajuli,2014-03-09,6500.0,5.0,28.4,clear
35,Bengal Gram(Gram),Dhekiajuli,2014-04-09,4500.0,1.6,28.6,clear
36,Green Gram (Moong),Dhekiajuli,2014-04-09,6500.0,2.0,28.6,clear
37,Bengal Gram(Gram),Dhekiajuli,2014-09-09,5000.0,5.0,34.0,clear
38,Bengal Gram(Gram),Dhekiajuli,2014-12-09,5000.0,5.0,30.4,clear
39,Green Gram (Moong),Dhekiajuli,2014-12-09,6000.0,7.0,30.4,clear
40,Bengal Gram(Gram),Dhekiajuli,2014-09-16,5500.0,3.0,32.6,clear
41,Green Gram (Moong),Dhekiajuli,2014-09-16,6500.0,1.0,32.6,clear
42,Bengal Gram(Gram),Dhekiajuli,2014-09-19,5500.0,2.0,28.4,clear
43,Bengal Gram(Gram),Dhekiajuli,2014-09-22,5500.0,4.0,24.8,rain
44,Green Gram (Moong),Dhekiajuli,2014-09-22,6500.0,3.0,24.8,rain
45,Bengal Gram(Gram),Dhekiajuli,2014-09-23,5500.0,1.5,25.4,rain
46,Bengal Gram(Gram),Dhekiajuli,2014-09-26,5500.0,4.0,28.6,clear
47,Green Gram (Moong),Dhekiajuli,2014-09-26,6000.0,4.0,28.6,clear
48,Bengal Gram(Gram),Dhekiajuli,2014-04-10,5500.0,0.0,33.8,clear
49,Bengal Gram(Gram),Dhekiajuli,2014-06-10,5500.0,5.0,30.4,rain
50,Bengal Gram(Gram),Dhekiajuli,2014-07-10,6000.0,4.0,33.0,clear
51,Green Gram (Moong),Dhekiajuli,2014-07-10,6000.0,6.0,33.0,clear
52,Bengal Gram(Gram),Dhekiajuli,2014-08-10,5000.0,5.0,32.0,clear
53,Green Gram (Moong),Dhekiajuli,2014-08-10,6000.0,4.0,32.0,clear
54,Bengal Gram(Gram),Dhekiajuli,2014-10-15,5000.0,5.0,31.4,clear
55,Green Gram (Moong),Dhekiajuli,2014-10-15,6000.0,3.0,31.4,clear
56,Bengal Gram(Gram),Dhekiajuli,2014-10-16,5000.0,3.0,32.8,clear
57,Green Gram (Moong),Dhekiajuli,2014-10-16,5500.0,5.0,32.8,clear
58,Bengal Gram(Gram),Dhekiajuli,2014-10-17,5500.0,3.0,32.0,clear
59,Bengal Gram(Gram),Dhekiajuli,2014-10-18,5500.0,6.0,32.4,clear
60,Green Gram (Moong),Dhekiajuli,2014-10-18,6000.0,3.0,32.4,clear
61,Bengal Gram(Gram),Dhekiajuli,2014-10-19,5000.0,2.0,29.4,clear
62,Green Gram (Moong),Dhekiajuli,2014-10-19,6000.0,5.0,29.4,clear
63,Bengal Gram(Gram),Dhekiajuli,2014-10-20,5000.0,3.0,30.6,clear
64,Bengal Gram(Gram),Dhekiajuli,2014-10-21,5500.0,6.0,31.0,clear
65,Green Gram (Moong),Dhekiajuli,2014-10-21,6000.0,5.0,31.0,clear
