,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Dholka,2012-02-01,2800.0,17.0,25.4,clear
1,Arhar (Tur/Red Gram),Sanad,2012-02-01,2400.0,1.0,25.4,clear
2,Arhar (Tur/Red Gram),Dholka,2012-03-01,2600.0,17.0,29.4,clear
3,Arhar (Tur/Red Gram),Dholka,2012-03-02,3200.0,16.0,30.0,clear
4,Arhar (Tur/Red Gram),Dholka,2012-02-17,2700.0,18.0,27.8,clear
5,Arhar (Tur/Red Gram),Dholka,2012-02-24,1700.0,18.0,29.0,clear
6,Arhar (Tur/Red Gram),Sanad,2012-02-24,3500.0,1.0,29.0,clear
7,Arhar (Tur/Red Gram),Dholka,2012-02-25,1800.0,8.0,30.4,clear
8,Arhar (Tur/Red Gram),Sanad,2012-02-25,3305.0,1.0,30.4,clear
9,Arhar (Tur/Red Gram),Dholka,2012-12-03,2450.0,15.0,30.6,clear
10,Arhar (Tur/Red Gram),Sanad,2012-12-03,3385.0,3.0,30.6,clear
11,Arhar (Tur/Red Gram),Dholka,2012-03-19,1550.0,9.0,37.4,clear
12,Arhar (Tur/Red Gram),Sanad,2012-03-19,3120.0,1.0,37.4,clear
13,Arhar (Tur/Red Gram),Dholka,2012-03-28,2000.0,21.0,38.2,clear
14,Arhar (Tur/Red Gram),Dholka,2012-04-04,2100.0,15.0,40.4,clear
15,Arhar (Tur/Red Gram),Sanad,2012-04-04,2635.0,5.0,40.4,clear
16,Arhar (Tur/Red Gram),Dholka,2012-05-04,2100.0,15.0,39.0,clear
17,Arhar (Tur/Red Gram),Sanad,2012-05-04,3045.0,10.0,39.0,clear
18,Arhar (Tur/Red Gram),Dholka,2012-08-09,3500.0,12.0,31.8,clear
19,Arhar (Tur/Red Gram),Sanad,2012-08-09,4200.0,2.0,31.8,clear
20,Arhar (Tur/Red Gram),Dholka,2012-04-10,4500.0,10.0,40.2,clear
21,Arhar (Tur/Red Gram),Sanad,2012-04-10,3653.0,3.0,40.2,clear
22,Arhar (Tur/Red Gram),Dholka,2012-05-10,2700.0,5.0,41.2,clear
23,Arhar (Tur/Red Gram),Dholka,2012-08-10,3500.0,17.0,32.4,clear
24,Arhar (Tur/Red Gram),Sanad,2012-08-10,2450.0,5.0,32.4,clear
25,Arhar (Tur/Red Gram),Dholka,2012-09-10,3500.0,8.0,27.4,clear
26,Arhar (Tur/Red Gram),Dholka,2012-10-10,5500.0,14.0,36.4,clear
27,Arhar (Tur/Red Gram),Dholka,2012-11-10,5000.0,10.0,33.0,clear
28,Arhar (Tur/Red Gram),Sanad,2012-11-10,2198.0,1.0,33.0,clear
29,Arhar (Tur/Red Gram),Dholka,2012-12-10,3000.0,7.0,30.0,clear
30,Arhar (Tur/Red Gram),Dholka,2012-10-16,4000.0,5.0,35.4,clear
31,Arhar (Tur/Red Gram),Dholka,2012-10-17,3500.0,12.0,34.4,clear
32,Arhar (Tur/Red Gram),Dholka,2012-10-22,4000.0,8.0,35.4,clear
33,Arhar (Tur/Red Gram),Dholka,2012-10-31,4000.0,5.0,32.0,clear
34,Arhar (Tur/Red Gram),Dholka,2012-11-24,1900.0,20.0,31.0,clear
35,Arhar (Tur/Red Gram),Dholka,2012-11-29,2000.0,48.0,30.6,clear
36,Arhar (Tur/Red Gram),Sanad,2012-11-29,3710.0,1.0,30.6,clear
