,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Godhra,2015-12-19,8800.0,13.5,29.4,clear
1,Arhar (Tur/Red Gram),Godhra,2015-12-21,8700.0,1.8,27.8,clear
2,Arhar (Tur/Red Gram),Godhra,2015-12-23,8700.0,1.3,26.4,clear
3,Arhar (Tur/Red Gram),Gogamba,2015-04-20,5700.0,0.0,37.8,clear
4,Arhar (Tur/Red Gram),Gogamba,2015-12-12,8650.0,1.0,27.4,clear
5,Arhar (Tur/Red Gram),Gogamba(Similiya),2015-12-12,8350.0,0.0,27.4,clear
6,Black Gram (Urd Beans),Gogamba,2015-12-12,8900.0,0.0,27.4,clear
7,Arhar (Tur/Red Gram),Gogamba,2015-12-14,8600.0,2.0,27.4,clear
8,Arhar (Tur/Red Gram),Gogamba(Similiya),2015-12-14,8350.0,0.0,27.4,clear
9,Black Gram (Urd Beans),Gogamba,2015-12-14,9050.0,0.0,27.4,clear
10,Arhar (Tur/Red Gram),Gogamba,2015-12-15,8700.0,0.7,27.8,clear
11,Black Gram (Urd Beans),Gogamba,2015-12-15,9000.0,0.0,27.8,clear
12,Arhar (Tur/Red Gram),Gogamba,2015-12-16,8750.0,0.4,28.2,clear
13,Black Gram (Urd Beans),Gogamba,2015-12-16,8900.0,0.0,28.2,clear
14,Arhar (Tur/Red Gram),Godhra,2016-05-01,8200.0,2.2,41.2,clear
15,Arhar (Tur/Red Gram),Gogamba,2016-05-01,8550.0,0.8,41.2,clear
16,Arhar (Tur/Red Gram),Gogamba(Similiya),2016-05-01,8300.0,0.4,41.2,clear
17,Black Gram (Urd Beans),Gogamba,2016-05-01,9100.0,0.0,41.2,clear
18,Arhar (Tur/Red Gram),Godhra,2016-06-01,8800.0,4.6,38.8,clear
19,Arhar (Tur/Red Gram),Gogamba,2016-06-01,8800.0,0.6,38.8,clear
20,Arhar (Tur/Red Gram),Godhra,2016-07-01,8500.0,8.5,35.0,clear
21,Arhar (Tur/Red Gram),Gogamba,2016-07-01,8700.0,0.2,35.0,clear
22,Arhar (Tur/Red Gram),Gogamba(Similiya),2016-07-01,8500.0,0.0,35.0,clear
23,Arhar (Tur/Red Gram),Godhra,2016-08-01,8400.0,1.2,31.4,clear
24,Arhar (Tur/Red Gram),Gogamba,2016-08-01,8850.0,0.7,31.4,clear
25,Arhar (Tur/Red Gram),Godhra,2016-11-01,8400.0,0.7,33.2,clear
26,Arhar (Tur/Red Gram),Godhra,2016-03-03,7000.0,5.1,36.2,clear
27,Arhar (Tur/Red Gram),Godhra,2016-09-03,7200.0,2.4,32.0,clear
28,Arhar (Tur/Red Gram),Godhra,2016-11-03,7200.0,5.1,32.8,clear
29,Arhar (Tur/Red Gram),Godhra,2016-03-17,7325.0,0.0,37.2,clear
30,Arhar (Tur/Red Gram),Godhra(Timbaroad),2016-03-17,7400.0,0.0,37.2,clear
31,Arhar (Tur/Red Gram),Godhra,2016-03-19,7100.0,0.0,36.6,clear
32,Black Gram (Urd Beans),Godhra,2016-03-19,8500.0,0.0,36.6,clear
33,Arhar (Tur/Red Gram),Godhra,2016-04-20,7700.0,1.9,39.2,clear
34,Arhar (Tur/Red Gram),Godhra,2016-04-21,7550.0,6.0,38.6,clear
35,Arhar (Tur/Red Gram),Godhra,2016-04-23,7700.0,6.0,37.8,clear
36,Green Gram (Moong),Godhra,2016-04-23,6800.0,4.7,37.8,clear
37,Arhar (Tur/Red Gram),Godhra,2016-10-06,7600.0,3.5,30.0,clear
38,Arhar (Tur/Red Gram),Gogamba,2016-10-06,8450.0,0.0,30.0,clear
39,Arhar (Tur/Red Gram),Godhra,2016-06-13,8000.0,3.7,39.0,clear
40,Black Gram (Urd Beans),Godhra,2016-06-13,10000.0,1.6,39.0,clear
41,Green Gram (Moong),Godhra,2016-06-13,5800.0,15.8,39.0,clear
42,Arhar (Tur/Red Gram),Godhra,2016-05-07,7250.0,3.5,38.0,clear
