,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Daltenganj,2013-05-31,4850.0,15.0,31.2,clear
1,Arhar (Tur/Red Gram),Daltenganj,2013-06-22,5500.0,15.0,35.2,clear
2,Bengal Gram(Gram),Daltenganj,2013-05-25,3400.0,1.0,41.0,clear
3,Arhar (Tur/Red Gram),Daltenganj,2014-01-10,6800.0,0.0,21.6,clear
4,Bengal Gram(Gram),Daltenganj,2014-01-10,4700.0,0.0,21.6,clear
5,Lentil(Masur),Daltenganj,2014-01-10,6800.0,0.0,21.6,clear
6,Arhar (Tur/Red Gram),Daltenganj,2014-04-10,6900.0,0.0,36.8,clear
7,Bengal Gram(Gram),Daltenganj,2014-04-10,4600.0,0.0,36.8,clear
8,Lentil(Masur),Daltenganj,2014-04-10,6900.0,0.0,36.8,clear
9,Arhar (Tur/Red Gram),Daltenganj,2014-06-10,6900.0,0.0,39.6,clear
10,Lentil(Masur),Daltenganj,2014-06-10,6800.0,0.0,39.6,clear
11,Arhar (Tur/Red Gram),Daltenganj,2014-07-10,6900.0,0.0,36.4,clear
12,Bengal Gram(Gram),Daltenganj,2014-07-10,4800.0,0.0,36.4,clear
13,Lentil(Masur),Daltenganj,2014-07-10,6800.0,0.0,36.4,clear
14,Arhar (Tur/Red Gram),Daltenganj,2014-08-10,6900.0,0.0,29.2,clear
15,Bengal Gram(Gram),Daltenganj,2014-08-10,4800.0,0.0,29.2,clear
16,Lentil(Masur),Daltenganj,2014-08-10,6800.0,0.0,29.2,clear
17,Arhar (Tur/Red Gram),Daltenganj,2014-09-10,6900.0,0.0,33.4,clear
18,Bengal Gram(Gram),Daltenganj,2014-09-10,4800.0,0.0,33.4,clear
19,Lentil(Masur),Daltenganj,2014-09-10,6850.0,0.0,33.4,clear
20,Arhar (Tur/Red Gram),Daltenganj,2014-10-10,6950.0,0.0,33.4,clear
21,Bengal Gram(Gram),Daltenganj,2014-10-10,4850.0,0.0,33.4,clear
22,Lentil(Masur),Daltenganj,2014-10-10,6850.0,0.0,33.4,clear
23,Arhar (Tur/Red Gram),Daltenganj,2014-11-10,6940.0,0.0,32.0,clear
24,Bengal Gram(Gram),Daltenganj,2014-11-10,4840.0,0.0,32.0,clear
25,Lentil(Masur),Daltenganj,2014-11-10,6840.0,0.0,32.0,clear
26,Arhar (Tur/Red Gram),Daltenganj,2014-10-13,6900.0,0.0,30.6,clear
27,Bengal Gram(Gram),Daltenganj,2014-10-13,4850.0,0.0,30.6,clear
28,Lentil(Masur),Daltenganj,2014-10-13,6850.0,0.0,30.6,clear
29,Arhar (Tur/Red Gram),Daltenganj,2014-10-14,6910.0,0.0,29.0,clear
30,Bengal Gram(Gram),Daltenganj,2014-10-14,4840.0,0.0,29.0,clear
31,Lentil(Masur),Daltenganj,2014-10-14,6820.0,0.0,29.0,clear
32,Arhar (Tur/Red Gram),Daltenganj,2014-10-15,6970.0,0.0,30.6,clear
33,Bengal Gram(Gram),Daltenganj,2014-10-15,4820.0,0.0,30.6,clear
34,Lentil(Masur),Daltenganj,2014-10-15,6820.0,0.0,30.6,clear
35,Arhar (Tur/Red Gram),Daltenganj,2014-10-16,6900.0,0.0,32.4,clear
36,Bengal Gram(Gram),Daltenganj,2014-10-16,4800.0,0.0,32.4,clear
37,Lentil(Masur),Daltenganj,2014-10-16,6820.0,0.0,32.4,clear
38,Arhar (Tur/Red Gram),Daltenganj,2014-10-17,6900.0,0.0,31.2,clear
