,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Berasia,2012-02-01,2200.0,0.9,21.0,clear
1,Arhar (Tur/Red Gram),Bhopal,2012-02-01,2201.0,0.2,21.0,clear
2,Lentil(Masur),Bhopal,2012-02-01,2450.0,0.4,21.0,clear
3,Arhar (Tur/Red Gram),Berasia,2012-07-01,2500.0,6.7,37.6,clear
4,Arhar (Tur/Red Gram),Bhopal,2012-07-01,3000.0,1.6,37.6,clear
5,Lentil(Masur),Bhopal,2012-07-01,2574.0,0.4,37.6,clear
6,Arhar (Tur/Red Gram),Berasia,2012-09-01,2450.0,0.3,31.4,clear
7,Lentil(Masur),Bhopal,2012-09-01,2650.0,3.4,31.4,clear
8,Arhar (Tur/Red Gram),Berasia,2012-10-01,2101.0,0.2,33.0,clear
9,Arhar (Tur/Red Gram),Bhopal,2012-10-01,2560.0,2.3,33.0,clear
10,Lentil(Masur),Bhopal,2012-10-01,2650.0,0.1,33.0,clear
11,Arhar (Tur/Red Gram),Berasia,2012-11-01,2410.0,1.3,28.0,clear
12,Arhar (Tur/Red Gram),Berasia,2012-12-01,2296.0,1.0,23.0,clear
13,Arhar (Tur/Red Gram),Bhopal,2012-12-01,2802.0,2.9,23.0,clear
14,Arhar (Tur/Red Gram),Berasia,2012-01-13,2300.0,5.2,20.0,clear
15,Arhar (Tur/Red Gram),Bhopal,2012-01-13,2575.0,6.0,20.0,clear
16,Lentil(Masur),Bhopal,2012-01-13,2848.0,3.7,20.0,clear
17,Arhar (Tur/Red Gram),Berasia,2012-01-14,2426.0,0.01,23.0,clear
18,Arhar (Tur/Red Gram),Berasia,2012-01-16,2651.0,1.9,27.4,clear
19,Arhar (Tur/Red Gram),Bhopal,2012-01-16,2961.0,6.9,27.4,clear
20,Lentil(Masur),Bhopal,2012-01-16,2350.0,0.3,27.4,clear
21,Arhar (Tur/Red Gram),Berasia,2012-01-17,2800.0,0.6,24.6,clear
22,Arhar (Tur/Red Gram),Bhopal,2012-01-17,2460.0,4.3,24.6,clear
23,Lentil(Masur),Bhopal,2012-01-17,2755.0,7.5,24.6,clear
24,Arhar (Tur/Red Gram),Berasia,2012-01-18,2604.0,3.0,22.2,clear
25,Arhar (Tur/Red Gram),Bhopal,2012-01-18,2405.0,1.0,22.2,clear
26,Black Gram (Urd Beans),Bhopal,2012-01-18,1800.0,0.3,22.2,clear
27,Green Gram (Moong),Bhopal,2012-01-18,3000.0,0.6,22.2,clear
28,Lentil(Masur),Bhopal,2012-01-18,2711.0,4.2,22.2,clear
29,Arhar (Tur/Red Gram),Berasia,2012-01-19,2861.0,7.0,20.2,clear
30,Arhar (Tur/Red Gram),Bhopal,2012-01-19,2426.0,0.6,20.2,clear
31,Arhar (Tur/Red Gram),Berasia,2012-01-20,2700.0,2.9,18.4,clear
32,Arhar (Tur/Red Gram),Bhopal,2012-01-20,2426.0,0.6,18.4,clear
33,Lentil(Masur),Bhopal,2012-01-20,1800.0,0.2,18.4,clear
34,Arhar (Tur/Red Gram),Berasia,2012-01-21,2425.0,1.9,19.0,clear
35,Arhar (Tur/Red Gram),Bhopal,2012-01-21,2750.0,3.4,19.0,clear
36,Lentil(Masur),Bhopal,2012-01-21,2690.0,1.3,19.0,clear
37,Arhar (Tur/Red Gram),Berasia,2012-01-23,2600.0,4.0,24.8,clear
38,Arhar (Tur/Red Gram),Berasia,2012-01-24,2501.0,4.8,25.4,clear
39,Arhar (Tur/Red Gram),Bhopal,2012-01-24,3063.0,13.9,25.4,clear
40,Black Gram (Urd Beans),Bhopal,2012-01-24,2332.0,0.4,25.4,clear
41,Lentil(Masur),Bhopal,2012-01-24,2300.0,0.1,25.4,clear
42,Arhar (Tur/Red Gram),Berasia,2012-01-25,2500.0,4.5,23.4,clear
43,Arhar (Tur/Red Gram),Bhopal,2012-01-25,3181.0,6.2,23.4,clear
44,Lentil(Masur),Bhopal,2012-01-25,2402.0,0.8,23.4,clear
45,Arhar (Tur/Red Gram),Berasia,2012-01-27,2572.0,3.9,24.4,clear
46,Arhar (Tur/Red Gram),Bhopal,2012-01-27,2991.0,33.0,24.4,clear
47,Lentil(Masur),Bhopal,2012-01-27,2530.0,0.8,24.4,clear
48,Arhar (Tur/Red Gram),Berasia,2012-01-28,2400.0,3.0,25.0,clear
49,Arhar (Tur/Red Gram),Bhopal,2012-01-28,2991.0,4.8,25.0,clear
50,Black Gram (Urd Beans),Bhopal,2012-01-28,2201.0,1.0,25.0,clear
51,Arhar (Tur/Red Gram),Berasia,2012-01-30,2500.0,11.1,21.4,clear
52,Arhar (Tur/Red Gram),Bhopal,2012-01-30,2475.0,2.2,21.4,clear
53,Arhar (Tur/Red Gram),Berasia,2012-01-31,2650.0,5.6,22.8,clear
54,Arhar (Tur/Red Gram),Bhopal,2012-01-31,3038.0,7.5,22.8,clear
55,Lentil(Masur),Bhopal,2012-01-31,2650.0,1.0,22.8,clear
56,Arhar (Tur/Red Gram),Berasia,2012-01-02,2752.0,12.0,19.6,clear
57,Arhar (Tur/Red Gram),Bhopal,2012-01-02,3021.0,6.5,19.6,clear
58,Lentil(Masur),Bhopal,2012-01-02,2625.0,1.7,19.6,clear
59,Arhar (Tur/Red Gram),Berasia,2012-02-02,2775.0,7.1,22.6,clear
60,Arhar (Tur/Red Gram),Bhopal,2012-02-02,3061.0,8.3,22.6,clear
61,Lentil(Masur),Bhopal,2012-02-02,2635.0,3.0,22.6,clear
62,Arhar (Tur/Red Gram),Berasia,2012-03-02,2650.0,6.3,30.0,clear
63,Arhar (Tur/Red Gram),Bhopal,2012-03-02,2935.0,4.2,30.0,clear
64,Lentil(Masur),Bhopal,2012-03-02,2651.0,0.4,30.0,clear
65,Arhar (Tur/Red Gram),Berasia,2012-08-02,2552.0,12.5,26.2,clear
66,Arhar (Tur/Red Gram),Bhopal,2012-08-02,2950.0,8.1,26.2,clear
67,Black Gram (Urd Beans),Bhopal,2012-08-02,2100.0,0.6,26.2,clear
68,Lentil(Masur),Bhopal,2012-08-02,2750.0,1.3,26.2,clear
69,Arhar (Tur/Red Gram),Berasia,2012-09-02,2705.0,20.9,30.4,rain
70,Arhar (Tur/Red Gram),Bhopal,2012-09-02,2778.0,5.7,30.4,rain
71,Lentil(Masur),Bhopal,2012-09-02,2604.0,2.4,30.4,rain
72,Arhar (Tur/Red Gram),Berasia,2012-10-02,2700.0,18.3,32.8,clear
73,Arhar (Tur/Red Gram),Bhopal,2012-10-02,2905.0,2.5,32.8,clear
74,Lentil(Masur),Bhopal,2012-10-02,2515.0,0.9,32.8,clear
75,Arhar (Tur/Red Gram),Berasia,2012-11-02,2785.0,18.4,30.0,clear
76,Arhar (Tur/Red Gram),Bhopal,2012-11-02,2901.0,6.1,30.0,clear
77,Arhar (Tur/Red Gram),Berasia,2012-02-13,2640.0,21.7,28.6,clear
78,Arhar (Tur/Red Gram),Bhopal,2012-02-13,2810.0,4.5,28.6,clear
79,Lentil(Masur),Bhopal,2012-02-13,2461.0,1.3,28.6,clear
80,Arhar (Tur/Red Gram),Berasia,2012-02-14,2878.0,14.4,27.6,clear
81,Arhar (Tur/Red Gram),Bhopal,2012-02-14,2600.0,4.8,27.6,clear
82,Lentil(Masur),Bhopal,2012-02-14,2598.0,0.9,27.6,clear
83,Arhar (Tur/Red Gram),Berasia,2012-02-15,2552.0,14.0,28.6,clear
84,Arhar (Tur/Red Gram),Bhopal,2012-02-15,2950.0,0.7,28.6,clear
85,Arhar (Tur/Red Gram),Berasia,2012-02-16,2785.0,16.9,23.4,clear
86,Arhar (Tur/Red Gram),Bhopal,2012-02-16,2899.0,4.2,23.4,clear
