,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Lentil(Masur),Bichhiya,2015-12-10,5500.0,3.51,25.8,clear
1,Lentil(Masur),Bichhiya,2015-12-12,4800.0,1.3,19.0,clear
2,Lentil(Masur),Mandla,2015-12-12,4925.0,28.2,19.0,clear
3,Lentil(Masur),Bichhiya,2015-12-15,4500.0,1.5,21.0,clear
4,Lentil(Masur),Bichhiya,2015-12-20,4500.0,18.32,13.0,clear
5,Lentil(Masur),Mandla,2015-12-24,4600.0,2.8,13.0,clear
6,Arhar (Tur/Red Gram),Bichhiya,2016-01-16,7000.0,0.6,15.2,clear
7,Arhar (Tur/Red Gram),Mandla,2016-01-16,7550.0,7.9,15.2,clear
8,Arhar (Tur/Red Gram),Bichhiya,2016-01-23,6500.0,1.8,20.2,clear
9,Arhar (Tur/Red Gram),Bichhiya,2016-01-30,6500.0,1.67,28.8,clear
10,Arhar (Tur/Red Gram),Mandla,2016-01-30,6825.0,22.0,28.8,clear
11,Arhar (Tur/Red Gram),Bichhiya,2016-06-02,6500.0,1.14,41.6,clear
12,Arhar (Tur/Red Gram),Mandla,2016-06-02,6000.0,1.6,41.6,clear
13,Arhar (Tur/Red Gram),Bichhiya,2016-02-13,6500.0,2.64,16.0,clear
14,Arhar (Tur/Red Gram),Mandla,2016-02-13,6430.0,21.2,16.0,clear
15,Arhar (Tur/Red Gram),Bichhiya,2016-02-17,6500.0,4.8,31.4,clear
16,Arhar (Tur/Red Gram),Mandla,2016-02-17,6500.0,0.8,31.4,clear
17,Arhar (Tur/Red Gram),Bichhiya,2016-02-19,6500.0,1.8,32.0,clear
18,Arhar (Tur/Red Gram),Bichhiya,2016-02-24,4500.0,15.4,32.2,clear
19,Arhar (Tur/Red Gram),Bichhiya,2016-02-27,6200.0,0.72,30.0,clear
20,Arhar (Tur/Red Gram),Bichhiya,2016-03-03,6000.0,3.6,34.0,clear
21,Arhar (Tur/Red Gram),Bichhiya,2016-07-03,6000.0,1.8,26.0,clear
22,Lentil(Masur),Mandla,2016-07-03,4000.0,1.5,26.0,clear
23,Arhar (Tur/Red Gram),Bichhiya,2016-10-03,6000.0,6.12,25.4,clear
