,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Bareli,2015-12-14,8011.0,23.0,25.4,clear
1,Arhar (Tur/Red Gram),Begamganj,2015-12-14,8200.0,4.3,25.4,clear
2,Arhar (Tur/Red Gram),Udaipura,2015-12-14,7000.0,0.4,25.4,clear
3,Arhar (Tur/Red Gram),Bareli,2015-12-15,8085.0,20.0,22.8,clear
4,Arhar (Tur/Red Gram),Begamganj,2015-12-15,8200.0,4.3,22.8,clear
5,Arhar (Tur/Red Gram),Bareli,2015-12-16,7605.0,4.0,20.4,clear
6,Arhar (Tur/Red Gram),Udaipura,2015-12-16,7550.0,1.3,20.4,clear
7,Lentil(Masur),Gairatganj,2015-12-16,6000.0,5.0,20.4,clear
8,Arhar (Tur/Red Gram),Bareli,2015-12-17,8000.0,60.0,21.0,clear
9,Arhar (Tur/Red Gram),Udaipura,2015-12-17,7500.0,1.9,21.0,clear
10,Arhar (Tur/Red Gram),Bareli,2015-12-21,8450.0,75.0,20.0,clear
11,Arhar (Tur/Red Gram),Gairatganj,2015-12-21,8005.0,0.4,20.0,clear
12,Arhar (Tur/Red Gram),Bareli,2015-12-22,7880.0,79.0,20.4,clear
13,Arhar (Tur/Red Gram),Begamganj,2015-12-22,7500.0,3.9,20.4,clear
14,Arhar (Tur/Red Gram),Udaipura,2015-12-22,7550.0,6.4,20.4,clear
15,Arhar (Tur/Red Gram),Bareli,2015-12-23,7800.0,91.0,20.0,clear
16,Arhar (Tur/Red Gram),Begamganj,2015-12-23,7600.0,1.2,20.0,clear
17,Arhar (Tur/Red Gram),Gairatganj,2015-12-23,7200.0,0.9,20.0,clear
18,Arhar (Tur/Red Gram),Udaipura,2015-12-23,7000.0,4.5,20.0,clear
19,Arhar (Tur/Red Gram),Bareli,2015-12-28,7400.0,78.0,20.0,clear
20,Arhar (Tur/Red Gram),Gairatganj,2015-12-28,6680.0,2.4,20.0,clear
21,Arhar (Tur/Red Gram),Obedullaganj,2015-12-28,6625.0,0.6,20.0,clear
22,Arhar (Tur/Red Gram),Udaipura,2015-12-28,7200.0,13.3,20.0,clear
23,Black Gram (Urd Beans),Gairatganj,2015-12-28,6050.0,19.2,20.0,clear
24,Lentil(Masur),Obedullaganj,2015-12-28,4600.0,0.3,20.0,clear
25,Arhar (Tur/Red Gram),Bareli,2015-12-29,6750.0,68.0,19.2,clear
26,Arhar (Tur/Red Gram),Gairatganj,2015-12-29,5985.0,0.4,19.2,clear
27,Arhar (Tur/Red Gram),Obedullaganj,2015-12-29,6476.0,1.8,19.2,clear
28,Arhar (Tur/Red Gram),Udaipura,2015-12-29,7000.0,14.1,19.2,clear
29,Arhar (Tur/Red Gram),Bareli,2015-12-30,7050.0,79.0,21.4,clear
30,Arhar (Tur/Red Gram),Begamganj,2015-12-30,6300.0,5.6,21.4,clear
31,Arhar (Tur/Red Gram),Gairatganj,2015-12-30,6316.0,0.5,21.4,clear
32,Arhar (Tur/Red Gram),Obedullaganj,2015-12-30,6301.0,0.5,21.4,clear
33,Arhar (Tur/Red Gram),Udaipura,2015-12-30,7000.0,22.0,21.4,clear
34,Arhar (Tur/Red Gram),Begamganj,2015-12-12,8550.0,0.3,26.0,clear
35,Arhar (Tur/Red Gram),Begamganj,2015-12-19,8200.0,0.8,20.0,clear
36,Arhar (Tur/Red Gram),Obedullaganj,2015-12-19,7301.0,0.2,20.0,clear
37,Arhar (Tur/Red Gram),Udaipura,2015-12-19,7550.0,1.6,20.0,clear
38,Arhar (Tur/Red Gram),Begamganj,2015-12-31,6800.0,4.7,21.6,clear
