,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Biaora,2015-12-07,4115.0,2.4,26.4,clear
1,Green Gram (Moong),Biaora,2015-12-07,5100.0,1.5,26.4,clear
2,Lentil(Masur),Biaora,2015-12-07,6020.0,0.0,26.4,clear
3,Lentil(Masur),Sarangpur,2015-12-07,5600.0,2.5,26.4,clear
4,Bengal Gram(Gram),Biaora,2015-12-08,3900.0,2.6,26.2,clear
5,Bengal Gram(Gram),Kurawar,2015-12-08,3910.0,2.79,26.2,clear
6,Bengal Gram(Gram),Pachaur,2015-12-08,4000.0,2.9,26.2,clear
7,Green Gram (Moong),Biaora,2015-12-08,5350.0,0.0,26.2,clear
8,Lentil(Masur),Pachaur,2015-12-08,4500.0,0.92,26.2,clear
9,Bengal Gram(Gram),Biaora,2015-12-09,4250.0,1.2,26.6,clear
10,Bengal Gram(Gram),Jeerapur,2015-12-09,4200.0,7.5,26.6,clear
11,Bengal Gram(Gram),Pachaur,2015-12-09,4350.0,9.58,26.6,clear
12,Black Gram (Urd Beans),Pachaur,2015-12-09,7000.0,0.3,26.6,clear
13,Green Gram (Moong),Pachaur,2015-12-09,4855.0,0.06,26.6,clear
14,Lentil(Masur),Pachaur,2015-12-09,6000.0,4.86,26.6,clear
15,Bengal Gram(Gram),Biaora,2015-12-12,4165.0,6.6,21.2,clear
16,Bengal Gram(Gram),Pachaur,2015-12-12,4200.0,4.72,21.2,clear
17,Bengal Gram(Gram),Sarangpur,2015-12-12,3305.0,0.4,21.2,clear
18,Black Gram (Urd Beans),Pachaur,2015-12-12,9100.0,0.28,21.2,clear
19,Bengal Gram(Gram),Biaora,2015-12-13,4275.0,3.1,12.2,clear
20,Bengal Gram(Gram),Chhapiheda,2015-12-13,4490.0,6.6,12.2,clear
21,Bengal Gram(Gram),Kurawar,2015-12-13,4420.0,2.59,12.2,clear
22,Black Gram (Urd Beans),Chhapiheda,2015-12-13,8500.0,0.5,12.2,clear
23,Black Gram (Urd Beans),Khilchipur,2015-12-13,9000.0,1.0,12.2,clear
24,Lentil(Masur),Biaora,2015-12-13,5500.0,0.0,12.2,clear
25,Bengal Gram(Gram),Biaora,2015-12-15,4350.0,1.9,21.2,clear
26,Bengal Gram(Gram),Kurawar,2015-12-15,4450.0,1.84,21.2,clear
27,Bengal Gram(Gram),Pachaur,2015-12-15,4400.0,5.42,21.2,clear
28,Black Gram (Urd Beans),Biaora,2015-12-15,8920.0,1.0,21.2,clear
29,Black Gram (Urd Beans),Khilchipur,2015-12-15,9000.0,0.0,21.2,clear
30,Lentil(Masur),Pachaur,2015-12-15,6000.0,6.61,21.2,clear
31,Bengal Gram(Gram),Biaora,2015-12-16,4280.0,7.0,22.2,clear
32,Bengal Gram(Gram),Chhapiheda,2015-12-16,3791.0,0.5,22.2,clear
33,Bengal Gram(Gram),Kurawar,2015-12-16,4410.0,3.75,22.2,clear
34,Bengal Gram(Gram),Pachaur,2015-12-16,4050.0,6.03,22.2,clear
35,Black Gram (Urd Beans),Pachaur,2015-12-16,9000.0,0.88,22.2,clear
36,Lentil(Masur),Pachaur,2015-12-16,6000.0,8.27,22.2,clear
37,Bengal Gram(Gram),Biaora,2015-12-17,4245.0,4.3,24.2,clear
38,Bengal Gram(Gram),Pachaur,2015-12-17,4250.0,2.35,24.2,clear
39,Bengal Gram(Gram),Sarangpur,2015-12-17,4000.0,0.15,24.2,clear
40,Black Gram (Urd Beans),Khilchipur,2015-12-17,9300.0,1.3,24.2,clear
41,Black Gram (Urd Beans),Pachaur,2015-12-17,9350.0,1.05,24.2,clear
42,Lentil(Masur),Pachaur,2015-12-17,6250.0,2.44,24.2,clear
43,Bengal Gram(Gram),Biaora,2015-12-18,4200.0,1.1,21.2,clear
44,Bengal Gram(Gram),Pachaur,2015-12-18,4150.0,3.47,21.2,clear
45,Bengal Gram(Gram),Sarangpur,2015-12-18,4805.0,0.4,21.2,clear
46,Black Gram (Urd Beans),Pachaur,2015-12-18,9100.0,0.28,21.2,clear
47,Lentil(Masur),Pachaur,2015-12-18,6000.0,1.94,21.2,clear
48,Lentil(Masur),Sarangpur,2015-12-18,5200.0,0.2,21.2,clear
49,Bengal Gram(Gram),Biaora,2015-12-19,4150.0,5.4,22.2,clear
50,Bengal Gram(Gram),Chhapiheda,2015-12-19,4000.0,15.0,22.2,clear
51,Bengal Gram(Gram),Pachaur,2015-12-19,3900.0,5.26,22.2,clear
52,Black Gram (Urd Beans),Pachaur,2015-12-19,7800.0,0.56,22.2,clear
53,Lentil(Masur),Pachaur,2015-12-19,6000.0,1.3,22.2,clear
54,Bengal Gram(Gram),Biaora,2015-12-20,4115.0,4.03,24.2,clear
55,Bengal Gram(Gram),Pachaur,2015-12-20,4150.0,4.25,24.2,clear
56,Black Gram (Urd Beans),Pachaur,2015-12-20,7800.0,0.11,24.2,clear
57,Lentil(Masur),Chhapiheda,2015-12-20,5630.0,1.0,24.2,clear
58,Lentil(Masur),Pachaur,2015-12-20,6000.0,2.1,24.2,clear
59,Bengal Gram(Gram),Biaora,2015-12-22,4000.0,2.0,21.2,clear
60,Bengal Gram(Gram),Kurawar,2015-12-22,4490.0,6.59,21.2,clear
61,Bengal Gram(Gram),Pachaur,2015-12-22,3800.0,4.66,21.2,clear
62,Bengal Gram(Gram),Sarangpur,2015-12-22,3900.0,0.15,21.2,clear
63,Lentil(Masur),Pachaur,2015-12-22,5800.0,5.27,21.2,clear
64,Bengal Gram(Gram),Biaora,2015-12-23,4300.0,1.7,20.2,clear
65,Bengal Gram(Gram),Kurawar,2015-12-23,4550.0,1.94,20.2,clear
66,Bengal Gram(Gram),Pachaur,2015-12-23,4095.0,7.69,20.2,clear
67,Bengal Gram(Gram),Sarangpur,2015-12-23,3415.0,0.2,20.2,clear
68,Black Gram (Urd Beans),Pachaur,2015-12-23,9000.0,0.52,20.2,clear
69,Lentil(Masur),Pachaur,2015-12-23,6150.0,1.62,20.2,clear
70,Bengal Gram(Gram),Biaora,2015-12-26,4050.0,3.7,21.6,clear
71,Bengal Gram(Gram),Pachaur,2015-12-26,4000.0,2.36,21.6,clear
72,Lentil(Masur),Pachaur,2015-12-26,5800.0,6.34,21.6,clear
73,Bengal Gram(Gram),Biaora,2015-12-27,4180.0,1.2,23.2,clear
74,Bengal Gram(Gram),Kurawar,2015-12-27,4420.0,1.15,23.2,clear
75,Bengal Gram(Gram),Biaora,2015-12-29,4000.0,2.03,27.2,clear
76,Bengal Gram(Gram),Pachaur,2015-12-29,4000.0,3.13,27.2,clear
77,Black Gram (Urd Beans),Pachaur,2015-12-29,8200.0,0.12,27.2,clear
78,Lentil(Masur),Kurawar,2015-12-29,5410.0,0.23,27.2,clear
79,Lentil(Masur),Pachaur,2015-12-29,5900.0,1.24,27.2,clear
80,Bengal Gram(Gram),Chhapiheda,2015-12-21,8580.0,1.0,21.2,clear
81,Lentil(Masur),Sarangpur,2015-12-21,4855.0,0.1,21.2,clear
82,Bengal Gram(Gram),Kurawar,2015-12-14,4490.0,2.22,20.2,clear
83,Bengal Gram(Gram),Sarangpur,2015-12-14,4270.0,0.6,20.2,clear
84,Bengal Gram(Gram),Suthalia,2015-12-14,4050.0,0.04,20.2,clear
85,Lentil(Masur),Sarangpur,2015-12-14,5500.0,0.2,20.2,clear
86,Bengal Gram(Gram),Pachaur,2015-12-30,4000.0,3.9,28.2,clear
87,Black Gram (Urd Beans),Pachaur,2015-12-30,8000.0,0.15,28.2,clear
88,Lentil(Masur),Pachaur,2015-12-30,5500.0,1.08,28.2,clear
89,Arhar (Tur/Red Gram),Khilchipur,2016-09-01,7400.0,0.0,25.2,clear
90,Bengal Gram(Gram),Biaora,2016-09-01,4150.0,0.0,25.2,clear
91,Bengal Gram(Gram),Pachaur,2016-09-01,4200.0,3.22,25.2,clear
92,Lentil(Masur),Pachaur,2016-09-01,5850.0,1.58,25.2,clear
93,Arhar (Tur/Red Gram),Khilchipur,2016-10-01,7400.0,0.0,24.2,clear
94,Arhar (Tur/Red Gram),Khilchipur,2016-04-02,5000.0,49.1,37.4,clear
95,Bengal Gram(Gram),Biaora,2016-04-02,3600.0,0.0,37.4,clear
96,Bengal Gram(Gram),Jeerapur,2016-04-02,3400.0,2.5,37.4,clear
97,Bengal Gram(Gram),Khujner,2016-04-02,3450.0,0.8,37.4,clear
98,Bengal Gram(Gram),Pachaur,2016-04-02,3600.0,3.5,37.4,clear
99,Lentil(Masur),Jeerapur,2016-04-02,3900.0,1.5,37.4,clear
100,Lentil(Masur),Pachaur,2016-04-02,3800.0,1.92,37.4,clear
101,Arhar (Tur/Red Gram),Khilchipur,2016-02-27,7000.0,0.2,30.2,clear
102,Bengal Gram(Gram),Biaora,2016-02-27,4160.0,16.5,30.2,clear
103,Bengal Gram(Gram),Chhapiheda,2016-02-27,3701.0,0.2,30.2,clear
104,Bengal Gram(Gram),Khujner,2016-02-27,4300.0,1.5,30.2,clear
105,Bengal Gram(Gram),Pachaur,2016-02-27,4100.0,14.42,30.2,clear
106,Bengal Gram(Gram),Sarangpur,2016-02-27,4500.0,1.3,30.2,clear
107,Black Gram (Urd Beans),Khilchipur,2016-02-27,7000.0,0.2,30.2,clear
108,Lentil(Masur),Biaora,2016-02-27,4580.0,52.4,30.2,clear
109,Lentil(Masur),Chhapiheda,2016-02-27,4551.0,3.6,30.2,clear
110,Lentil(Masur),Khilchipur,2016-02-27,4900.0,22.2,30.2,clear
111,Lentil(Masur),Pachaur,2016-02-27,4400.0,196.29,30.2,clear
112,Lentil(Masur),Sarangpur,2016-02-27,4500.0,9.7,30.2,clear
113,Arhar (Tur/Red Gram),Khilchipur,2016-09-06,1630.0,27.5,28.2,clear
114,Bengal Gram(Gram),Biaora,2016-09-06,6100.0,8.9,28.2,clear
115,Bengal Gram(Gram),Jeerapur,2016-09-06,5400.0,7.1,28.2,clear
116,Bengal Gram(Gram),Narsinghgarh,2016-09-06,5850.0,8.4,28.2,clear
117,Bengal Gram(Gram),Pachaur,2016-09-06,6050.0,22.5,28.2,clear
118,Lentil(Masur),Jeerapur,2016-09-06,5700.0,32.5,28.2,clear
119,Lentil(Masur),Khilchipur,2016-09-06,5500.0,2.3,28.2,clear
120,Lentil(Masur),Khujner,2016-09-06,5370.0,16.3,28.2,clear
121,Lentil(Masur),Pachaur,2016-09-06,5500.0,189.22,28.2,clear
122,Arhar (Tur/Red Gram),Khilchipur,2016-07-26,1740.0,24.5,30.2,clear
123,Bengal Gram(Gram),Biaora,2016-07-26,7600.0,1.1,30.2,clear
124,Bengal Gram(Gram),Jeerapur,2016-07-26,7000.0,3.0,30.2,clear
125,Bengal Gram(Gram),Narsinghgarh,2016-07-26,7100.0,1.8,30.2,clear
126,Bengal Gram(Gram),Pachaur,2016-07-26,7450.0,2.35,30.2,clear
127,Lentil(Masur),Biaora,2016-07-26,5850.0,1.3,30.2,clear
128,Lentil(Masur),Jeerapur,2016-07-26,6100.0,4.0,30.2,clear
129,Lentil(Masur),Pachaur,2016-07-26,5800.0,11.75,30.2,clear
130,Arhar (Tur/Red Gram),Khilchipur,2016-11-09,1690.0,27.0,27.2,clear
131,Lentil(Masur),Jeerapur,2016-11-09,5000.0,0.3,27.2,clear
132,Arhar (Tur/Red Gram),Khilchipur,2016-05-10,6500.0,2.9,37.2,clear
