,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Singroli,2015-12-15,4600.0,11.6,19.8,clear
1,Bengal Gram(Gram),Singroli,2015-12-18,3600.0,5.0,19.8,clear
2,Lentil(Masur),Singroli,2015-12-10,4000.0,1.04,25.4,clear
3,Arhar (Tur/Red Gram),Singroli,2016-02-25,6000.0,5.0,29.0,clear
4,Arhar (Tur/Red Gram),Singroli,2016-03-30,5000.0,10.0,35.4,clear
5,Arhar (Tur/Red Gram),Singroli,2016-03-31,5000.0,10.0,36.4,clear
6,Arhar (Tur/Red Gram),Singroli,2016-07-04,4500.0,10.0,29.0,clear
7,Arhar (Tur/Red Gram),Singroli,2016-09-04,4500.0,1.75,27.6,clear
8,Bengal Gram(Gram),Singroli,2016-09-04,3425.0,0.5,27.6,clear
9,Arhar (Tur/Red Gram),Singroli,2016-04-26,5000.0,10.0,40.6,clear
10,Arhar (Tur/Red Gram),Singroli,2016-04-27,5000.0,5.0,39.4,clear
11,Arhar (Tur/Red Gram),Singroli,2016-04-30,5000.0,5.0,40.0,clear
12,Arhar (Tur/Red Gram),Singroli,2016-02-07,6000.0,5.0,26.0,clear
13,Arhar (Tur/Red Gram),Singroli,2016-08-09,4650.0,2.9,30.4,clear
14,Arhar (Tur/Red Gram),Singroli,2016-09-29,4700.0,8.1,27.6,clear
15,Bengal Gram(Gram),Singroli,2016-02-24,3500.0,4.03,29.2,clear
16,Lentil(Masur),Singroli,2016-10-17,4000.0,14.2,30.2,clear
17,Lentil(Masur),Singroli,2016-05-12,4500.0,15.0,41.6,clear
18,Arhar (Tur/Red Gram),Singroli,2017-04-13,4625.0,20.0,39.0,clear
19,Arhar (Tur/Red Gram),Singroli,2017-07-24,5450.0,16.0,27.0,clear
20,Lentil(Masur),Singroli,2017-07-24,3950.0,9.0,27.0,clear
21,Arhar (Tur/Red Gram),Singroli,2017-08-31,5450.0,7.0,31.8,clear
22,Arhar (Tur/Red Gram),Singroli,2017-10-28,1350.0,5.0,30.2,clear
23,Black Gram (Urd Beans),Singroli,2017-10-28,1600.0,0.28,30.2,clear
24,Bengal Gram(Gram),Singroli,2017-09-16,4000.0,7.5,28.2,clear
25,Black Gram (Urd Beans),Singroli,2017-10-31,3000.0,0.03,29.4,clear
26,Lentil(Masur),Singroli,2017-04-20,3325.0,20.1,41.0,clear
27,Lentil(Masur),Singroli,2017-01-09,3950.0,5.0,22.2,clear
