,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Ambad (Vadigodri),2015-12-12,8900.0,19.0,20.0,clear
1,Arhar (Tur/Red Gram),Ashti(Jalna),2015-12-12,8570.0,1.0,20.0,clear
2,Arhar (Tur/Red Gram),Jalna(Badnapur),2015-12-12,9300.0,1.0,20.0,clear
3,Bengal Gram(Gram),Jalana,2015-12-12,4600.0,2.0,20.0,clear
4,Arhar (Tur/Red Gram),Ambad (Vadigodri),2015-12-14,8900.0,23.0,31.0,clear
5,Arhar (Tur/Red Gram),Ashti(Jalna),2015-12-14,8825.0,2.0,31.0,clear
6,Arhar (Tur/Red Gram),Jalna(Badnapur),2015-12-14,9610.0,1.0,31.0,clear
7,Arhar (Tur/Red Gram),Mantha,2015-12-14,8500.0,4.0,31.0,clear
8,Bengal Gram(Gram),Jalana,2015-12-14,4211.0,1.0,31.0,clear
9,Bengal Gram(Gram),Mantha,2015-12-14,4000.0,1.0,31.0,clear
10,Black Gram (Urd Beans),Mantha,2015-12-14,7025.0,0.0,31.0,clear
11,Green Gram (Moong),Jalana,2015-12-14,7300.0,1.0,31.0,clear
12,Arhar (Tur/Red Gram),Ambad (Vadigodri),2015-12-15,8450.0,20.0,19.0,clear
13,Arhar (Tur/Red Gram),Mantha,2015-12-15,8700.0,3.0,19.0,clear
14,Arhar (Tur/Red Gram),Partur,2015-12-15,9200.0,8.0,19.0,clear
15,Green Gram (Moong),Jalana,2015-12-15,7250.0,0.0,19.0,clear
16,Arhar (Tur/Red Gram),Ambad (Vadigodri),2015-12-16,8590.0,26.0,31.0,clear
17,Arhar (Tur/Red Gram),Ashti(Jalna),2015-12-16,8400.0,1.0,31.0,clear
18,Arhar (Tur/Red Gram),Ghansawangi,2015-12-16,7500.0,39.0,31.0,clear
19,Arhar (Tur/Red Gram),Jalna(Badnapur),2015-12-16,8700.0,2.0,31.0,clear
20,Arhar (Tur/Red Gram),Mantha,2015-12-16,8500.0,5.0,31.0,clear
21,Bengal Gram(Gram),Jalana,2015-12-16,3500.0,3.0,31.0,clear
22,Black Gram (Urd Beans),Mantha,2015-12-16,6775.0,0.0,31.0,clear
