,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Moreh,2013-03-06,5500.0,15.0,31.0,clear
1,Bengal Gram(Gram),Moreh,2013-03-07,5475.0,12.0,30.4,clear
2,Bengal Gram(Gram),Moreh,2013-01-08,5225.0,14.4,21.0,clear
3,Bengal Gram(Gram),Moreh,2013-03-09,4966.0,13.2,28.2,clear
4,Bengal Gram(Gram),Moreh,2013-08-10,4500.0,9.0,30.6,clear
5,Arhar (Tur/Red Gram),Moreh,2014-06-09,8800.0,0.0,31.4,clear
6,Bengal Gram(Gram),Moreh,2014-06-09,4600.0,0.0,31.4,clear
7,Black Gram (Urd Beans),Moreh,2014-06-09,5600.0,0.0,31.4,clear
8,Green Gram (Moong),Moreh,2014-06-09,11800.0,0.0,31.4,clear
9,Lentil(Masur),Moreh,2014-06-09,8800.0,0.0,31.4,clear
10,Arhar (Tur/Red Gram),Moreh,2014-09-15,8800.0,0.0,29.0,clear
11,Bengal Gram(Gram),Moreh,2014-09-15,4600.0,0.0,29.0,clear
12,Black Gram (Urd Beans),Moreh,2014-09-15,5600.0,0.0,29.0,clear
13,Green Gram (Moong),Moreh,2014-09-15,11800.0,0.0,29.0,clear
14,Lentil(Masur),Moreh,2014-09-15,8800.0,0.0,29.0,clear
15,Arhar (Tur/Red Gram),Moreh,2014-09-20,9100.0,0.0,28.2,rain
16,Bengal Gram(Gram),Moreh,2014-09-20,4600.0,0.0,28.2,rain
17,Black Gram (Urd Beans),Moreh,2014-09-20,5600.0,0.0,28.2,rain
18,Green Gram (Moong),Moreh,2014-09-20,11800.0,0.0,28.2,rain
19,Lentil(Masur),Moreh,2014-09-20,8800.0,0.0,28.2,rain
20,Arhar (Tur/Red Gram),Moreh,2014-09-27,9500.0,0.0,26.0,clear
21,Bengal Gram(Gram),Moreh,2014-09-27,5000.0,0.0,26.0,clear
22,Black Gram (Urd Beans),Moreh,2014-09-27,6000.0,0.0,26.0,clear
23,Green Gram (Moong),Moreh,2014-09-27,12200.0,0.0,26.0,clear
24,Lentil(Masur),Moreh,2014-09-27,9200.0,0.0,26.0,clear
25,Arhar (Tur/Red Gram),Moreh,2014-04-10,8500.0,0.0,31.0,clear
26,Bengal Gram(Gram),Moreh,2014-04-10,4500.0,0.0,31.0,clear
27,Black Gram (Urd Beans),Moreh,2014-04-10,5500.0,0.0,31.0,clear
28,Green Gram (Moong),Moreh,2014-04-10,11500.0,0.0,31.0,clear
29,Lentil(Masur),Moreh,2014-04-10,8500.0,0.0,31.0,clear
30,Arhar (Tur/Red Gram),Moreh,2014-10-13,8500.0,0.0,30.4,clear
31,Bengal Gram(Gram),Moreh,2014-10-13,4500.0,0.0,30.4,clear
32,Black Gram (Urd Beans),Moreh,2014-10-13,5500.0,0.0,30.4,clear
33,Green Gram (Moong),Moreh,2014-10-13,11500.0,0.0,30.4,clear
34,Lentil(Masur),Moreh,2014-10-13,8500.0,0.0,30.4,clear
35,Arhar (Tur/Red Gram),Moreh,2014-10-18,7350.0,0.0,27.4,clear
36,Bengal Gram(Gram),Moreh,2014-10-18,5800.0,0.0,27.4,clear
37,Black Gram (Urd Beans),Moreh,2014-10-18,8800.0,0.0,27.4,clear
38,Green Gram (Moong),Moreh,2014-10-18,10800.0,0.0,27.4,clear
39,Lentil(Masur),Moreh,2014-10-18,8800.0,0.0,27.4,clear
40,Arhar (Tur/Red Gram),Moreh,2014-10-27,7300.0,0.0,19.8,clear
41,Bengal Gram(Gram),Moreh,2014-10-27,5800.0,0.0,19.8,clear
42,Black Gram (Urd Beans),Moreh,2014-10-27,8800.0,0.0,19.8,clear
43,Green Gram (Moong),Moreh,2014-10-27,10800.0,0.0,19.8,clear
44,Lentil(Masur),Moreh,2014-10-27,8800.0,0.0,19.8,clear
45,Arhar (Tur/Red Gram),Moreh,2014-10-11,7300.0,0.0,29.6,clear
