,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-11,4425.0,6.0,28.4,clear
1,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-12,4425.0,5.0,29.0,clear
2,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-16,4425.0,6.0,24.8,clear
3,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-17,4425.0,6.0,26.0,rain
4,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-18,4425.0,6.0,27.6,clear
5,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-20,4425.0,6.0,25.4,clear
6,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-21,4425.0,6.0,25.4,clear
7,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-23,4425.0,6.0,25.2,clear
8,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-25,4425.0,6.0,22.2,clear
9,Black Gram (Urd Beans),Kendrapara(Marshaghai),2015-12-26,5000.0,6.0,23.8,clear
10,Black Gram (Urd Beans),Kendrapara(Marshaghai),2016-03-19,9000.0,5.0,31.0,clear
