,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Black Gram (Urd Beans),Thattanchavady,2015-12-08,7154.0,0.3,27.4,clear
1,Black Gram (Urd Beans),Thattanchavady,2015-12-10,10778.0,0.3,29.6,clear
2,Green Gram (Moong),Thattanchavady,2015-12-10,6681.0,0.2,29.6,clear
3,Black Gram (Urd Beans),Thattanchavady,2015-12-14,8709.0,0.1,30.0,clear
4,Black Gram (Urd Beans),Thattanchavady,2015-12-15,8548.0,0.1,31.0,clear
5,Black Gram (Urd Beans),Thattanchavady,2015-12-18,8559.0,0.3,30.6,clear
6,Black Gram (Urd Beans),Thattanchavady,2015-12-21,10909.0,0.2,32.6,clear
7,Green Gram (Moong),Thattanchavady,2015-12-21,5300.0,0.1,32.6,clear
8,Black Gram (Urd Beans),Thattanchavady,2015-12-22,7109.0,0.2,31.4,clear
9,Black Gram (Urd Beans),Thattanchavady,2015-12-23,9953.0,0.2,32.2,clear
10,Green Gram (Moong),Thattanchavady,2015-12-23,5397.0,0.1,32.2,clear
11,Black Gram (Urd Beans),Thattanchavady,2015-12-28,9958.0,0.2,30.0,clear
12,Black Gram (Urd Beans),Thattanchavady,2015-12-30,9869.0,0.2,31.2,clear
13,Green Gram (Moong),Thattanchavady,2015-12-29,4397.0,0.1,31.8,clear
14,Black Gram (Urd Beans),Madagadipet,2016-04-01,7651.0,0.06,33.6,clear
15,Black Gram (Urd Beans),Thattanchavady,2016-04-01,7844.0,0.1,33.6,clear
16,Green Gram (Moong),Thattanchavady,2016-04-01,5699.0,0.1,33.6,clear
17,Black Gram (Urd Beans),Madagadipet,2016-01-28,9429.0,0.35,31.0,clear
18,Black Gram (Urd Beans),Madagadipet,2016-02-02,8350.0,0.08,31.8,clear
19,Black Gram (Urd Beans),Thattanchavady,2016-02-02,7411.0,2.5,31.8,clear
20,Black Gram (Urd Beans),Madagadipet,2016-03-02,8850.0,0.39,32.4,clear
21,Black Gram (Urd Beans),Thattanchavady,2016-03-02,8979.0,2.3,32.4,clear
22,Black Gram (Urd Beans),Madagadipet,2016-04-02,8419.0,0.11,33.6,clear
23,Black Gram (Urd Beans),Thattanchavady,2016-04-02,9011.0,5.0,33.6,clear
24,Green Gram (Moong),Thattanchavady,2016-04-02,5007.0,0.2,33.6,clear
25,Black Gram (Urd Beans),Madagadipet,2016-05-02,9001.0,0.18,36.0,clear
26,Black Gram (Urd Beans),Thattanchavady,2016-05-02,8988.0,1.5,36.0,clear
27,Black Gram (Urd Beans),Madagadipet,2016-02-24,9289.0,0.08,33.0,clear
28,Black Gram (Urd Beans),Thattanchavady,2016-02-24,7861.0,8.0,33.0,clear
29,Green Gram (Moong),Thattanchavady,2016-02-24,5297.0,0.1,33.0,clear
30,Black Gram (Urd Beans),Madagadipet,2016-02-26,8976.0,0.05,31.6,clear
31,Black Gram (Urd Beans),Thattanchavady,2016-02-26,8430.0,7.0,31.6,clear
32,Green Gram (Moong),Thattanchavady,2016-02-26,5047.0,0.3,31.6,clear
33,Black Gram (Urd Beans),Madagadipet,2016-01-03,9415.0,0.37,32.0,clear
34,Black Gram (Urd Beans),Thattanchavady,2016-01-03,7598.0,14.0,32.0,clear
35,Green Gram (Moong),Madagadipet,2016-01-03,4671.0,0.01,32.0,clear
36,Green Gram (Moong),Thattanchavady,2016-01-03,6157.0,0.3,32.0,clear
37,Black Gram (Urd Beans),Madagadipet,2016-03-03,9319.0,2.19,32.4,clear
38,Black Gram (Urd Beans),Thattanchavady,2016-03-03,7504.0,30.0,32.4,clear
39,Green Gram (Moong),Madagadipet,2016-03-03,5964.0,0.12,32.4,clear
