,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Bandikui,2012-10-12,3125.0,0.1,34.8,clear
1,Bengal Gram(Gram),Dausa,2012-02-15,3125.0,6.0,21.8,clear
2,Bengal Gram(Gram),Dausa,2012-02-18,3050.0,5.0,23.4,clear
3,Bengal Gram(Gram),Dausa,2012-02-21,3225.0,15.0,30.6,clear
4,Bengal Gram(Gram),Dausa,2012-02-22,3205.0,7.0,28.8,clear
5,Bengal Gram(Gram),Dausa,2012-02-23,3200.0,1.0,28.6,clear
6,Bengal Gram(Gram),Dausa,2012-02-24,3515.0,3.0,25.8,clear
7,Bengal Gram(Gram),Dausa,2012-02-27,3500.0,7.0,26.8,clear
8,Bengal Gram(Gram),Dausa,2012-02-28,3355.0,20.0,27.0,clear
9,Bengal Gram(Gram),Dausa,2012-02-29,3377.0,8.0,27.2,clear
10,Bengal Gram(Gram),Dausa,2012-02-03,3130.0,804.0,23.6,clear
11,Bengal Gram(Gram),Dausa,2012-05-03,3175.0,7.0,37.2,clear
12,Bengal Gram(Gram),Dausa,2012-06-03,3101.0,5.0,40.4,clear
13,Bengal Gram(Gram),Dausa,2012-11-03,3290.0,14.0,28.6,clear
14,Bengal Gram(Gram),Dausa,2012-03-14,3395.0,21.0,27.8,clear
15,Bengal Gram(Gram),Dausa,2012-03-15,3348.0,57.0,30.4,clear
16,Bengal Gram(Gram),Dausa,2012-03-16,3495.0,101.0,33.0,clear
17,Bengal Gram(Gram),Dausa,2012-03-17,3577.0,198.0,34.2,clear
18,Bengal Gram(Gram),Dausa,2012-03-19,3286.0,644.0,37.0,clear
19,Bengal Gram(Gram),Dausa,2012-03-20,3287.0,854.0,33.0,clear
20,Bengal Gram(Gram),Dausa,2012-03-21,3556.0,1081.0,27.6,clear
21,Bengal Gram(Gram),Dausa,2012-03-22,3525.0,1149.0,28.2,clear
22,Bengal Gram(Gram),Dausa,2012-03-23,3382.0,2320.0,31.8,clear
23,Bengal Gram(Gram),Dausa,2012-03-24,3286.0,2182.0,34.4,clear
24,Bengal Gram(Gram),Dausa,2012-03-26,3216.0,2551.0,36.0,clear
25,Bengal Gram(Gram),Dausa,2012-03-27,3195.0,1988.0,35.8,clear
26,Bengal Gram(Gram),Dausa,2012-02-04,3130.0,804.0,26.0,clear
27,Bengal Gram(Gram),Dausa,2012-03-04,3240.0,1531.0,33.0,clear
28,Bengal Gram(Gram),Dausa,2012-04-04,3250.0,1214.0,37.6,clear
29,Bengal Gram(Gram),Dausa,2012-05-04,3226.0,1296.0,37.8,clear
30,Bengal Gram(Gram),Dausa,2012-06-04,3209.0,1302.0,40.4,clear
31,Bengal Gram(Gram),Dausa,2012-07-04,3225.0,1132.0,41.6,clear
32,Bengal Gram(Gram),Dausa,2012-08-04,3269.0,1182.0,33.8,clear
