,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Bhawani Mandi,2012-03-01,2550.0,1.0,28.6,clear
1,Black Gram (Urd Beans),Bhawani Mandi,2012-03-01,2660.0,41.5,28.6,clear
2,Bengal Gram(Gram),Bhawani Mandi,2012-04-01,2575.0,1.8,39.4,clear
3,Black Gram (Urd Beans),Bhawani Mandi,2012-04-01,2675.0,44.0,39.4,clear
4,Bengal Gram(Gram),Bhawani Mandi,2012-05-01,2600.0,4.5,37.6,clear
5,Black Gram (Urd Beans),Bhawani Mandi,2012-05-01,2725.0,52.5,37.6,clear
6,Bengal Gram(Gram),Bhawani Mandi,2012-06-01,2450.0,1.0,44.4,clear
7,Black Gram (Urd Beans),Bhawani Mandi,2012-06-01,2670.0,40.0,44.4,clear
8,Bengal Gram(Gram),Bhawani Mandi,2012-07-01,2350.0,1.2,42.8,clear
9,Black Gram (Urd Beans),Bhawani Mandi,2012-07-01,2600.0,55.0,42.8,clear
10,Bengal Gram(Gram),Bhawani Mandi,2012-09-01,2450.0,1.5,34.0,clear
11,Black Gram (Urd Beans),Bhawani Mandi,2012-09-01,2636.0,19.0,34.0,clear
12,Bengal Gram(Gram),Bhawani Mandi,2012-10-01,2425.0,0.5,35.0,clear
13,Black Gram (Urd Beans),Bhawani Mandi,2012-10-01,2590.0,13.5,35.0,clear
14,Bengal Gram(Gram),Bhawani Mandi,2012-11-01,2303.0,3.5,31.0,clear
15,Black Gram (Urd Beans),Bhawani Mandi,2012-11-01,2545.0,28.0,31.0,clear
16,Bengal Gram(Gram),Bhawani Mandi,2012-01-16,2450.0,0.5,25.4,clear
17,Black Gram (Urd Beans),Bhawani Mandi,2012-01-16,2592.0,6.7,25.4,clear
18,Bengal Gram(Gram),Bhawani Mandi,2012-01-18,2350.0,1.0,17.6,clear
19,Black Gram (Urd Beans),Bhawani Mandi,2012-01-18,2486.0,27.2,17.6,clear
20,Bengal Gram(Gram),Bhawani Mandi,2012-01-19,2350.0,1.5,19.0,clear
21,Black Gram (Urd Beans),Bhawani Mandi,2012-01-19,2560.0,23.0,19.0,clear
22,Bengal Gram(Gram),Bhawani Mandi,2012-01-21,2285.0,1.4,18.8,clear
23,Black Gram (Urd Beans),Bhawani Mandi,2012-01-21,2550.0,20.2,18.8,clear
24,Bengal Gram(Gram),Bhawani Mandi,2012-01-24,2300.0,0.9,21.4,clear
25,Black Gram (Urd Beans),Bhawani Mandi,2012-01-24,2535.0,19.0,21.4,clear
26,Bengal Gram(Gram),Bhawani Mandi,2012-01-02,2300.0,0.6,17.4,clear
27,Black Gram (Urd Beans),Bhawani Mandi,2012-01-02,2250.0,6.0,17.4,clear
28,Bengal Gram(Gram),Bhawani Mandi,2012-03-02,2297.0,5.3,29.0,clear
29,Bengal Gram(Gram),Bhawani Mandi,2012-04-02,2300.0,2.5,40.0,clear
30,Black Gram (Urd Beans),Bhawani Mandi,2012-04-02,2352.0,23.6,40.0,clear
31,Bengal Gram(Gram),Bhawani Mandi,2012-07-02,2455.0,7.2,43.8,clear
32,Black Gram (Urd Beans),Bhawani Mandi,2012-07-02,2350.0,6.4,43.8,clear
33,Bengal Gram(Gram),Bhawani Mandi,2012-08-02,2165.0,0.5,32.2,clear
34,Black Gram (Urd Beans),Bhawani Mandi,2012-08-02,2305.0,8.0,32.2,clear
35,Bengal Gram(Gram),Bhawani Mandi,2012-09-02,2601.0,2.8,32.6,clear
36,Black Gram (Urd Beans),Bhawani Mandi,2012-09-02,2487.0,2.8,32.6,clear
37,Bengal Gram(Gram),Bhawani Mandi,2012-10-02,2559.0,3.2,35.8,clear
38,Black Gram (Urd Beans),Bhawani Mandi,2012-10-02,2375.0,9.3,35.8,clear
39,Bengal Gram(Gram),Bhawani Mandi,2012-11-02,2840.0,2.8,30.6,clear
40,Black Gram (Urd Beans),Bhawani Mandi,2012-11-02,2195.0,6.0,30.6,clear
41,Bengal Gram(Gram),Bhawani Mandi,2012-02-13,2710.0,3.0,26.6,clear
42,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-13,2763.0,0.7,26.6,clear
43,Black Gram (Urd Beans),Bhawani Mandi,2012-02-13,2472.0,18.5,26.6,clear
44,Bengal Gram(Gram),Bhawani Mandi,2012-02-14,2570.0,9.0,25.0,clear
45,Black Gram (Urd Beans),Bhawani Mandi,2012-02-14,2220.0,5.5,25.0,clear
46,Bengal Gram(Gram),Bhawani Mandi,2012-02-15,2940.0,5.9,22.2,clear
47,Black Gram (Urd Beans),Bhawani Mandi,2012-02-15,2375.0,5.0,22.2,clear
48,Bengal Gram(Gram),Bhawani Mandi,2012-02-16,2925.0,3.5,21.6,clear
49,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-16,3025.0,1.5,21.6,clear
50,Black Gram (Urd Beans),Bhawani Mandi,2012-02-16,2283.0,7.0,21.6,clear
51,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-02-16,2653.0,0.5,21.6,clear
52,Bengal Gram(Gram),Bhawani Mandi,2012-02-17,2832.0,9.5,22.0,clear
53,Black Gram (Urd Beans),Bhawani Mandi,2012-02-17,2365.0,6.6,22.0,clear
54,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-02-17,2263.0,0.2,22.0,clear
55,Bengal Gram(Gram),Bhawani Mandi,2012-02-18,3006.0,3.5,32.8,clear
56,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-18,3070.0,0.1,32.8,clear
57,Black Gram (Urd Beans),Bhawani Mandi,2012-02-18,2439.0,3.5,32.8,clear
58,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-02-18,2585.0,0.3,32.8,clear
59,Bengal Gram(Gram),Bhawani Mandi,2012-02-21,3032.0,0.2,35.0,clear
60,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-21,3185.0,0.9,35.0,clear
61,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-02-21,2675.0,0.2,35.0,clear
62,Bengal Gram(Gram),Bhawani Mandi,2012-02-22,2985.0,37.0,33.0,clear
63,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-22,3205.0,0.6,33.0,clear
64,Black Gram (Urd Beans),Bhawani Mandi,2012-02-22,2418.0,1.7,33.0,clear
65,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-02-22,2741.0,0.1,33.0,clear
66,Bengal Gram(Gram),Bhawani Mandi,2012-02-23,3169.0,32.6,29.0,clear
67,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-23,3290.0,0.8,29.0,clear
68,Black Gram (Urd Beans),Bhawani Mandi,2012-02-23,2435.0,10.0,29.0,clear
69,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-02-23,2780.0,0.3,29.0,clear
70,Bengal Gram(Gram),Bhawani Mandi,2012-02-24,3334.0,21.8,26.6,clear
71,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-24,3485.0,1.3,26.6,clear
72,Black Gram (Urd Beans),Bhawani Mandi,2012-02-24,2504.0,2.1,26.6,clear
73,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-02-24,2737.0,0.9,26.6,clear
74,Bengal Gram(Gram),Bhawani Mandi,2012-02-25,3150.0,35.62,24.6,clear
75,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-25,3485.0,1.1,24.6,clear
76,Black Gram (Urd Beans),Bhawani Mandi,2012-02-25,2650.0,5.54,24.6,clear
77,Bengal Gram(Gram),Bhawani Mandi,2012-02-26,3150.0,35.62,24.8,clear
78,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-26,3000.0,1.1,24.8,clear
79,Black Gram (Urd Beans),Bhawani Mandi,2012-02-26,2700.0,5.44,24.8,clear
80,Bengal Gram(Gram),Bhawani Mandi,2012-02-27,3040.0,35.62,27.6,clear
81,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-27,3000.0,1.1,27.6,clear
82,Black Gram (Urd Beans),Bhawani Mandi,2012-02-27,2470.0,5.54,27.6,clear
83,Bengal Gram(Gram),Bhawani Mandi,2012-02-28,3070.0,35.62,29.0,clear
84,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-28,3000.0,1.1,29.0,clear
85,Black Gram (Urd Beans),Bhawani Mandi,2012-02-28,2470.0,5.54,29.0,clear
86,Bengal Gram(Gram),Bhawani Mandi,2012-02-29,3070.0,35.62,28.0,clear
87,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-02-29,3000.0,1.1,28.0,clear
88,Black Gram (Urd Beans),Bhawani Mandi,2012-02-29,2470.0,5.54,28.0,clear
89,Bengal Gram(Gram),Bhawani Mandi,2012-01-03,3025.0,55.0,19.4,clear
90,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-01-03,3131.0,6.8,19.4,clear
91,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-01-03,2500.0,0.6,19.4,clear
92,Bengal Gram(Gram),Bhawani Mandi,2012-02-03,3100.0,32.7,24.2,clear
93,Black Gram (Urd Beans),Bhawani Mandi,2012-02-03,2250.0,2.0,24.2,clear
94,Bengal Gram(Gram),Bhawani Mandi,2012-03-03,3065.0,40.0,30.8,clear
95,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-03-03,3168.0,2.4,30.8,clear
96,Black Gram (Urd Beans),Bhawani Mandi,2012-03-03,2645.0,2.0,30.8,clear
97,Bengal Gram(Gram),Bhawani Mandi,2012-05-03,3096.0,4.2,41.0,clear
98,Bengal Gram(Gram),Bhawani Mandi,2012-06-03,3027.0,0.2,41.6,clear
99,Bengal Gram(Gram),Bhawani Mandi,2012-09-03,3085.0,32.2,32.2,clear
100,Bengal Gram(Gram),Bhawani Mandi,2012-10-03,3100.0,38.7,36.2,clear
101,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-10-03,3195.0,1.1,36.2,clear
102,Bengal Gram(Gram),Bhawani Mandi,2012-12-03,3040.0,30.0,26.2,clear
103,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-12-03,3236.0,0.1,26.2,clear
104,Bengal Gram(Gram),Bhawani Mandi,2012-03-13,3043.0,32.5,28.2,clear
105,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-03-13,0.0,1.3,28.2,clear
106,Black Gram (Urd Beans),Bhawani Mandi,2012-03-13,2275.0,3.5,28.2,clear
107,Bengal Gram(Gram),Bhawani Mandi,2012-03-14,3070.0,35.0,27.8,clear
108,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-03-14,3232.0,0.9,27.8,clear
109,Black Gram (Urd Beans),Bhawani Mandi,2012-03-14,2470.0,0.4,27.8,clear
110,Bengal Gram(Gram),Bhawani Mandi,2012-03-15,3224.0,21.5,31.2,clear
111,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-03-15,3267.0,1.3,31.2,clear
112,Bengal Gram(Gram),Bhawani Mandi,2012-03-16,3078.0,26.6,34.2,clear
113,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-03-16,3331.0,3.6,34.2,clear
114,Black Gram (Urd Beans),Bhawani Mandi,2012-03-16,2398.0,0.5,34.2,clear
115,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-03-16,2425.0,1.2,34.2,clear
116,Bengal Gram(Gram),Bhawani Mandi,2012-03-17,3125.0,20.7,35.4,clear
117,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-03-17,3364.0,2.2,35.4,clear
118,Bengal Gram(Gram),Bhawani Mandi,2012-03-19,3133.0,20.3,37.2,clear
119,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-03-19,3287.0,320.7,37.2,clear
120,Black Gram (Urd Beans),Bhawani Mandi,2012-03-19,2200.0,1.0,37.2,clear
121,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-03-19,2500.0,0.1,37.2,clear
122,Bengal Gram(Gram),Bhawani Mandi,2012-03-20,3050.0,16.0,36.0,clear
123,Bengal Gram(Gram),Bhawani Mandi,2012-03-21,3150.0,17.0,29.4,clear
124,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-03-21,3447.0,4.5,29.4,clear
125,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-03-21,2448.0,0.2,29.4,clear
126,Bengal Gram(Gram),Bhawani Mandi,2012-03-24,3102.0,28.7,34.8,clear
127,Bengal Gram(Gram),Bhawani Mandi,2012-02-04,3060.0,12.7,28.2,clear
128,Bengal Gram(Gram),Bhawani Mandi,2012-03-04,3060.0,12.5,35.0,clear
129,Bengal Gram(Gram),Bhawani Mandi,2012-05-04,3100.0,32.5,36.8,clear
130,Black Gram (Urd Beans),Bhawani Mandi,2012-05-04,2200.0,1.0,36.8,clear
131,Bengal Gram(Gram),Bhawani Mandi,2012-07-04,3055.0,15.0,41.8,rain
132,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-07-04,3136.0,0.9,41.8,rain
133,Black Gram (Urd Beans),Bhawani Mandi,2012-07-04,2125.0,1.0,41.8,rain
134,Black Gram (Urd Beans),Bhawani Mandi(Raipur),2012-07-04,3385.0,16.4,41.8,rain
135,Bengal Gram(Gram),Bhawani Mandi,2012-09-04,2986.0,20.7,32.0,clear
136,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-09-04,3000.0,2.0,32.0,clear
137,Black Gram (Urd Beans),Bhawani Mandi,2012-09-04,2360.0,2.0,32.0,clear
138,Bengal Gram(Gram),Bhawani Mandi,2012-10-04,3100.0,19.7,35.4,clear
139,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-10-04,3230.0,1.8,35.4,clear
140,Bengal Gram(Gram),Bhawani Mandi,2012-11-04,3016.0,18.0,30.0,clear
141,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-11-04,3160.0,2.2,30.0,clear
142,Black Gram (Urd Beans),Bhawani Mandi,2012-11-04,2200.0,3.0,30.0,clear
143,Bengal Gram(Gram),Bhawani Mandi,2012-12-04,3033.0,18.0,27.2,clear
144,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-12-04,3180.0,0.9,27.2,clear
145,Black Gram (Urd Beans),Bhawani Mandi,2012-12-04,2200.0,2.4,27.2,clear
146,Black Gram (Urd Beans),Jhalarapatan,2012-12-04,2400.0,1.4,27.2,clear
147,Bengal Gram(Gram),Bhawani Mandi,2012-04-13,3115.0,21.1,36.8,clear
148,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-04-13,3175.0,2.1,36.8,clear
149,Black Gram (Urd Beans),Bhawani Mandi,2012-04-13,2175.0,2.5,36.8,clear
150,Bengal Gram(Gram),Bhawani Mandi,2012-04-14,3150.0,0.4,36.8,rain
151,Bengal Gram(Gram),Bhawani Mandi,2012-04-16,3050.0,21.2,37.2,clear
152,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-04-16,3080.0,0.6,37.2,clear
153,Black Gram (Urd Beans),Bhawani Mandi,2012-04-16,2300.0,3.0,37.2,clear
154,Bengal Gram(Gram),Bhawani Mandi,2012-04-17,3019.0,27.0,38.0,clear
155,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-04-17,3172.0,3.0,38.0,clear
156,Black Gram (Urd Beans),Bhawani Mandi,2012-04-17,2370.0,5.0,38.0,clear
157,Bengal Gram(Gram),Bhawani Mandi,2012-04-18,2960.0,12.6,38.4,clear
158,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-04-18,3215.0,3.6,38.4,clear
159,Bengal Gram(Gram),Bhawani Mandi,2012-04-19,2999.0,10.0,38.4,clear
160,Bengal Gram(Gram),Bhawani Mandi(Raipur),2012-04-19,2281.0,1.1,38.4,clear
161,Black Gram (Urd Beans),Bhawani Mandi,2012-04-19,2658.0,2.0,38.4,clear
162,Bengal Gram(Gram),Bhawani Mandi,2012-04-20,3030.0,8.8,35.0,clear
