,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Sri Madhopur,2015-12-08,4100.0,0.7,12.8,clear
1,Bengal Gram(Gram),Sri Madhopur,2015-12-09,4300.0,0.5,12.6,clear
2,Green Gram (Moong),Sri Madhopur,2015-12-09,6400.0,0.7,12.6,clear
3,Bengal Gram(Gram),Sri Madhopur,2015-12-15,4000.0,0.5,6.6,clear
4,Green Gram (Moong),Sri Madhopur,2015-12-15,7000.0,0.3,6.6,clear
5,Bengal Gram(Gram),Sri Madhopur,2015-12-16,4600.0,0.3,7.0,clear
6,Green Gram (Moong),Sikar,2015-12-16,7000.0,0.0,7.0,clear
7,Bengal Gram(Gram),Sri Madhopur,2015-12-17,4700.0,0.3,6.2,clear
8,Green Gram (Moong),Sri Madhopur,2015-12-17,7100.0,1.0,6.2,clear
9,Bengal Gram(Gram),Sri Madhopur,2015-12-18,4500.0,0.3,6.4,clear
10,Green Gram (Moong),Sri Madhopur,2015-12-18,6500.0,0.5,6.4,clear
11,Bengal Gram(Gram),Sri Madhopur,2015-12-19,4300.0,0.7,7.0,clear
12,Bengal Gram(Gram),Sri Madhopur,2015-12-21,4400.0,1.8,7.0,clear
13,Green Gram (Moong),Fatehpur,2015-12-21,7000.0,0.2,7.0,clear
14,Bengal Gram(Gram),Sri Madhopur,2015-12-22,4150.0,0.2,7.2,clear
15,Bengal Gram(Gram),Sri Madhopur,2015-12-23,4300.0,1.0,7.6,clear
16,Green Gram (Moong),Fatehpur,2015-12-23,7000.0,0.3,7.6,clear
17,Bengal Gram(Gram),Sri Madhopur,2015-12-24,4600.0,1.4,7.2,clear
18,Green Gram (Moong),Sri Madhopur,2015-12-24,6800.0,0.5,7.2,clear
19,Bengal Gram(Gram),Sri Madhopur,2015-12-25,4600.0,0.4,7.0,clear
20,Bengal Gram(Gram),Sri Madhopur,2015-12-26,4300.0,2.6,6.4,clear
21,Green Gram (Moong),Sri Madhopur,2015-12-26,6800.0,0.8,6.4,clear
22,Bengal Gram(Gram),Sri Madhopur,2015-12-29,4150.0,3.6,11.2,clear
23,Green Gram (Moong),Fatehpur,2015-12-10,8000.0,3.3,12.2,clear
24,Green Gram (Moong),Fatehpur,2015-12-14,7000.0,0.2,6.8,clear
25,Bengal Gram(Gram),Fatehpur,2016-03-23,4300.0,0.8,34.0,clear
26,Bengal Gram(Gram),Fatehpur,2016-03-26,4300.0,0.7,27.6,clear
27,Bengal Gram(Gram),Fatehpur,2016-03-29,4300.0,2.0,38.6,clear
28,Bengal Gram(Gram),Sri Madhopur,2016-03-29,4150.0,2.8,38.6,clear
29,Bengal Gram(Gram),Fatehpur,2016-03-30,4200.0,2.9,23.0,clear
30,Bengal Gram(Gram),Sri Madhopur,2016-03-30,4250.0,3.5,23.0,clear
31,Bengal Gram(Gram),Fatehpur,2016-01-04,4550.0,10.1,12.0,clear
32,Bengal Gram(Gram),Sikar,2016-01-04,4432.0,20.6,12.0,clear
33,Bengal Gram(Gram),Sri Madhopur,2016-01-04,3850.0,8.4,12.0,clear
34,Bengal Gram(Gram),Fatehpur,2016-02-04,4550.0,12.5,11.8,clear
35,Bengal Gram(Gram),Sikar,2016-02-04,4542.0,18.3,11.8,clear
36,Bengal Gram(Gram),Sri Madhopur,2016-02-04,4300.0,6.7,11.8,clear
37,Bengal Gram(Gram),Fatehpur,2016-04-04,4650.0,6.0,25.4,clear
