,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Black Gram (Urd Beans),Bishalgarh,2016-10-29,9500.0,0.8,30.5,clear
1,Black Gram (Urd Beans),Bishalgarh,2016-01-11,10000.0,0.9,25.0,clear
2,Black Gram (Urd Beans),Bishalgarh,2016-05-11,10200.0,1.2,38.0,clear
3,Black Gram (Urd Beans),Bishalgarh,2016-08-11,10800.0,1.2,29.0,clear
4,Black Gram (Urd Beans),Bishalgarh,2016-12-11,10500.0,0.8,27.8,clear
5,Black Gram (Urd Beans),Bishalgarh,2016-11-15,10500.0,0.8,28.0,clear
6,Black Gram (Urd Beans),Bishalgarh,2016-11-19,10500.0,0.7,28.0,clear
7,Black Gram (Urd Beans),Bishalgarh,2016-11-22,10500.0,0.9,27.8,clear
8,Black Gram (Urd Beans),Bishalgarh,2016-11-29,9000.0,0.5,26.8,clear
9,Black Gram (Urd Beans),Bishalgarh,2016-03-12,9700.0,0.7,25.2,clear
10,Black Gram (Urd Beans),Bishalgarh,2016-05-12,9800.0,0.7,34.0,clear
11,Black Gram (Urd Beans),Bishalgarh,2016-12-13,9500.0,0.8,25.0,clear
12,Black Gram (Urd Beans),Bishalgarh,2016-12-17,9700.0,0.9,26.4,clear
13,Black Gram (Urd Beans),Bishalgarh,2016-12-20,8500.0,0.9,23.8,clear
14,Black Gram (Urd Beans),Bishalgarh,2016-12-27,9500.0,0.9,25.4,clear
15,Black Gram (Urd Beans),Bishalgarh,2016-12-31,8700.0,0.8,27.0,clear
16,Black Gram (Urd Beans),Bishalgarh,2017-03-01,8500.0,0.6,30.0,clear
17,Black Gram (Urd Beans),Bishalgarh,2017-07-01,8500.0,0.7,30.5,clear
18,Black Gram (Urd Beans),Bishalgarh,2017-10-01,8500.0,0.8,33.5,clear
19,Black Gram (Urd Beans),Bishalgarh,2017-01-17,8800.0,0.9,24.0,clear
20,Black Gram (Urd Beans),Bishalgarh,2017-01-21,6800.0,1.0,25.0,clear
21,Black Gram (Urd Beans),Bishalgarh,2017-01-24,8500.0,0.8,27.0,clear
22,Black Gram (Urd Beans),Bishalgarh,2017-01-28,8700.0,1.0,28.0,clear
23,Black Gram (Urd Beans),Bishalgarh,2017-01-31,7200.0,0.7,24.2,clear
24,Black Gram (Urd Beans),Bishalgarh,2017-04-02,7000.0,1.0,30.5,clear
25,Black Gram (Urd Beans),Bishalgarh,2017-07-02,7200.0,1.2,28.3,clear
26,Black Gram (Urd Beans),Bishalgarh,2017-11-02,9000.0,1.2,30.6,clear
27,Black Gram (Urd Beans),Bishalgarh,2017-02-14,8500.0,1.2,29.6,clear
28,Black Gram (Urd Beans),Bishalgarh,2017-02-18,7200.0,1.0,22.0,clear
29,Black Gram (Urd Beans),Bishalgarh,2017-02-21,7200.0,1.0,29.0,clear
30,Black Gram (Urd Beans),Bishalgarh,2017-02-25,7500.0,1.0,29.1,clear
31,Black Gram (Urd Beans),Bishalgarh,2017-02-28,7200.0,1.0,30.0,clear
32,Black Gram (Urd Beans),Bishalgarh,2017-04-03,7200.0,1.0,29.6,clear
33,Black Gram (Urd Beans),Bishalgarh,2017-07-03,9500.0,1.0,28.0,clear
34,Black Gram (Urd Beans),Bishalgarh,2017-03-14,8200.0,1.2,29.3,clear
35,Black Gram (Urd Beans),Bishalgarh,2017-03-18,6800.0,1.2,24.0,clear
36,Black Gram (Urd Beans),Bishalgarh,2017-03-21,7000.0,1.2,28.0,clear
37,Black Gram (Urd Beans),Bishalgarh,2017-03-25,7000.0,1.2,25.7,clear
38,Black Gram (Urd Beans),Bishalgarh,2017-03-28,6800.0,1.0,30.3,clear
39,Black Gram (Urd Beans),Bishalgarh,2017-01-04,7500.0,1.2,26.4,clear
40,Black Gram (Urd Beans),Bishalgarh,2017-04-04,7500.0,1.2,27.7,clear
41,Black Gram (Urd Beans),Bishalgarh,2017-08-04,7700.0,1.4,33.5,clear
42,Black Gram (Urd Beans),Bishalgarh,2017-11-04,7200.0,1.4,32.0,clear
43,Black Gram (Urd Beans),Bishalgarh,2017-04-15,6800.0,1.2,33.0,clear
44,Black Gram (Urd Beans),Bishalgarh,2017-04-18,6800.0,1.0,33.5,clear
45,Black Gram (Urd Beans),Bishalgarh,2017-04-22,7200.0,1.0,23.5,clear
46,Black Gram (Urd Beans),Bishalgarh,2017-04-25,7000.0,1.2,30.5,clear
47,Black Gram (Urd Beans),Bishalgarh,2017-04-29,7000.0,1.0,33.0,clear
48,Black Gram (Urd Beans),Bishalgarh,2017-02-05,7200.0,1.2,32.2,clear
49,Black Gram (Urd Beans),Bishalgarh,2017-06-05,7200.0,1.2,32.6,clear
50,Black Gram (Urd Beans),Bishalgarh,2017-09-05,7300.0,1.0,32.2,clear
51,Black Gram (Urd Beans),Bishalgarh,2017-05-13,7000.0,1.0,33.8,clear
52,Black Gram (Urd Beans),Bishalgarh,2017-05-16,7200.0,1.2,28.2,clear
53,Black Gram (Urd Beans),Bishalgarh,2017-05-20,7500.0,1.0,34.8,clear
54,Black Gram (Urd Beans),Bishalgarh,2017-05-23,8000.0,1.2,35.5,clear
55,Black Gram (Urd Beans),Bishalgarh,2017-05-27,7000.0,1.2,36.2,clear
56,Black Gram (Urd Beans),Bishalgarh,2017-05-30,7000.0,1.0,26.5,rain
57,Black Gram (Urd Beans),Bishalgarh,2017-03-06,7000.0,0.8,27.8,clear
58,Black Gram (Urd Beans),Bishalgarh,2017-06-06,7000.0,1.0,33.5,clear
59,Black Gram (Urd Beans),Bishalgarh,2017-10-06,6800.0,1.2,33.0,clear
60,Black Gram (Urd Beans),Bishalgarh,2017-06-13,7000.0,0.6,27.5,rain
61,Black Gram (Urd Beans),Bishalgarh,2017-06-20,7000.0,0.8,30.5,clear
62,Black Gram (Urd Beans),Bishalgarh,2017-06-24,7000.0,0.6,33.8,clear
63,Black Gram (Urd Beans),Bishalgarh,2017-06-27,6800.0,1.0,32.5,clear
64,Black Gram (Urd Beans),Bishalgarh,2017-01-07,7000.0,0.8,19.8,clear
