,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Anwala,2012-04-28,5600.0,15.0,34.6,clear
1,Arhar (Tur/Red Gram),Bareilly,2012-04-28,5625.0,20.0,34.6,clear
2,Bengal Gram(Gram),Anwala,2012-04-28,3650.0,18.0,34.6,clear
3,Bengal Gram(Gram),Bareilly,2012-04-28,4010.0,21.0,34.6,clear
4,Black Gram (Urd Beans),Anwala,2012-04-28,4650.0,12.0,34.6,clear
5,Black Gram (Urd Beans),Bareilly,2012-04-28,4022.5,20.0,34.6,clear
6,Arhar (Tur/Red Gram),Anwala,2012-09-28,6200.0,7.0,34.4,clear
7,Arhar (Tur/Red Gram),Bareilly,2012-09-28,6250.0,9.0,34.4,clear
8,Bengal Gram(Gram),Anwala,2012-09-28,4700.0,5.2,34.4,clear
9,Bengal Gram(Gram),Bareilly,2012-09-28,5015.0,26.0,34.4,clear
10,Black Gram (Urd Beans),Anwala,2012-09-28,5000.0,5.5,34.4,clear
11,Black Gram (Urd Beans),Bareilly,2012-09-28,4550.0,6.0,34.4,clear
12,Arhar (Tur/Red Gram),Anwala,2012-10-31,6200.0,36.0,30.6,clear
13,Arhar (Tur/Red Gram),Bareilly,2012-10-31,6230.0,19.8,30.6,clear
14,Bengal Gram(Gram),Anwala,2012-10-31,4800.0,65.0,30.6,clear
15,Bengal Gram(Gram),Bareilly,2012-10-31,5000.0,82.0,30.6,clear
16,Black Gram (Urd Beans),Anwala,2012-10-31,5200.0,24.0,30.6,clear
17,Black Gram (Urd Beans),Bareilly,2012-10-31,4550.0,58.0,30.6,clear
18,Arhar (Tur/Red Gram),Anwala,2012-11-29,6250.0,29.0,25.2,clear
19,Arhar (Tur/Red Gram),Bahedi,2012-11-29,5225.0,6.8,25.2,clear
20,Arhar (Tur/Red Gram),Bareilly,2012-11-29,6320.0,5.4,25.2,clear
21,Bengal Gram(Gram),Anwala,2012-11-29,4680.0,48.0,25.2,clear
22,Bengal Gram(Gram),Bahedi,2012-11-29,4750.0,20.0,25.2,clear
23,Bengal Gram(Gram),Bareilly,2012-11-29,5020.0,21.0,25.2,clear
24,Black Gram (Urd Beans),Anwala,2012-11-29,5125.0,39.5,25.2,clear
25,Black Gram (Urd Beans),Bahedi,2012-11-29,5150.0,14.0,25.2,clear
26,Black Gram (Urd Beans),Bareilly,2012-11-29,4565.0,9.6,25.2,clear
27,Arhar (Tur/Red Gram),Anwala,2012-12-26,6200.0,36.0,11.8,clear
28,Arhar (Tur/Red Gram),Bareilly,2012-12-26,6200.0,7.2,11.8,clear
29,Bengal Gram(Gram),Anwala,2012-12-26,4500.0,65.0,11.8,clear
30,Bengal Gram(Gram),Bareilly,2012-12-26,4400.0,25.0,11.8,clear
31,Black Gram (Urd Beans),Bareilly,2012-12-26,4980.0,18.0,11.8,clear
32,Arhar (Tur/Red Gram),Bareilly,2012-01-01,5800.0,21.5,21.2,clear
33,Bengal Gram(Gram),Bareilly,2012-01-01,3712.5,18.0,21.2,clear
34,Black Gram (Urd Beans),Bareilly,2012-01-01,4062.5,30.5,21.2,clear
35,Arhar (Tur/Red Gram),Bareilly,2012-02-01,5800.0,0.0,19.6,clear
36,Bengal Gram(Gram),Bareilly,2012-02-01,3712.5,20.0,19.6,clear
37,Black Gram (Urd Beans),Bareilly,2012-02-01,4062.5,10.0,19.6,clear
38,Arhar (Tur/Red Gram),Bareilly,2012-03-01,5775.0,9.0,28.0,clear
39,Bengal Gram(Gram),Bareilly,2012-03-01,3712.5,30.0,28.0,clear
40,Black Gram (Urd Beans),Bareilly,2012-03-01,4062.5,15.0,28.0,clear
41,Arhar (Tur/Red Gram),Bareilly,2012-04-01,5800.0,9.0,33.0,clear
42,Bengal Gram(Gram),Bareilly,2012-04-01,3700.0,0.0,33.0,clear
43,Black Gram (Urd Beans),Bareilly,2012-04-01,4052.5,15.0,33.0,clear
44,Arhar (Tur/Red Gram),Bareilly,2012-05-01,5820.0,9.0,36.4,clear
45,Bengal Gram(Gram),Bareilly,2012-05-01,3712.5,0.0,36.4,clear
46,Black Gram (Urd Beans),Bareilly,2012-05-01,4050.0,15.0,36.4,clear
47,Arhar (Tur/Red Gram),Bareilly,2012-06-01,5810.0,9.0,41.6,clear
48,Bengal Gram(Gram),Bareilly,2012-06-01,3707.5,20.0,41.6,clear
49,Black Gram (Urd Beans),Bareilly,2012-06-01,4070.0,10.0,41.6,clear
50,Arhar (Tur/Red Gram),Bareilly,2012-07-01,5800.0,9.0,40.0,clear
51,Bengal Gram(Gram),Bareilly,2012-07-01,3725.0,20.0,40.0,clear
52,Black Gram (Urd Beans),Bareilly,2012-07-01,4062.5,10.0,40.0,clear
53,Arhar (Tur/Red Gram),Bareilly,2012-08-01,5800.0,9.0,31.0,clear
54,Bengal Gram(Gram),Bareilly,2012-08-01,3725.0,20.0,31.0,clear
55,Black Gram (Urd Beans),Bareilly,2012-08-01,4062.5,10.0,31.0,clear
56,Arhar (Tur/Red Gram),Bareilly,2012-09-01,5775.0,9.0,33.0,clear
57,Bengal Gram(Gram),Bareilly,2012-09-01,3737.5,24.0,33.0,clear
58,Black Gram (Urd Beans),Bareilly,2012-09-01,4062.5,9.0,33.0,clear
59,Arhar (Tur/Red Gram),Bareilly,2012-10-01,5760.0,19.0,33.8,clear
60,Bengal Gram(Gram),Bareilly,2012-10-01,3737.5,18.5,33.8,clear
61,Black Gram (Urd Beans),Bareilly,2012-10-01,4060.0,18.0,33.8,clear
62,Arhar (Tur/Red Gram),Bareilly,2012-11-01,5750.0,0.0,30.2,clear
63,Bengal Gram(Gram),Bareilly,2012-11-01,3712.5,26.0,30.2,clear
64,Black Gram (Urd Beans),Bareilly,2012-11-01,4062.5,14.5,30.2,clear
65,Arhar (Tur/Red Gram),Bareilly,2012-12-01,5760.0,0.0,24.4,clear
66,Bengal Gram(Gram),Bareilly,2012-12-01,3725.0,28.0,24.4,clear
67,Black Gram (Urd Beans),Bareilly,2012-12-01,4062.5,11.0,24.4,clear
68,Arhar (Tur/Red Gram),Bareilly,2012-01-13,5750.0,21.0,18.6,clear
69,Bengal Gram(Gram),Bareilly,2012-01-13,3712.5,34.0,18.6,clear
70,Black Gram (Urd Beans),Bareilly,2012-01-13,4077.5,8.0,18.6,clear
71,Arhar (Tur/Red Gram),Bareilly,2012-01-14,5775.0,16.0,20.6,clear
72,Bengal Gram(Gram),Bareilly,2012-01-14,3775.0,28.0,20.6,clear
73,Black Gram (Urd Beans),Bareilly,2012-01-14,4075.0,6.5,20.6,clear
74,Arhar (Tur/Red Gram),Bareilly,2012-01-15,5775.0,16.0,20.2,clear
75,Bengal Gram(Gram),Bareilly,2012-01-15,3775.0,28.0,20.2,clear
76,Black Gram (Urd Beans),Bareilly,2012-01-15,4075.0,6.5,20.2,clear
77,Arhar (Tur/Red Gram),Bareilly,2012-01-16,5760.0,17.2,17.0,clear
78,Bengal Gram(Gram),Bareilly,2012-01-16,3780.0,26.5,17.0,clear
79,Black Gram (Urd Beans),Bareilly,2012-01-16,4075.0,9.0,17.0,clear
80,Arhar (Tur/Red Gram),Bareilly,2012-01-17,5800.0,0.0,17.6,clear
81,Bengal Gram(Gram),Bareilly,2012-01-17,3800.0,24.0,17.6,clear
82,Black Gram (Urd Beans),Bareilly,2012-01-17,4100.0,12.0,17.6,clear
83,Arhar (Tur/Red Gram),Bareilly,2012-01-18,5800.0,10.0,11.4,clear
84,Bengal Gram(Gram),Bareilly,2012-01-18,3820.0,15.0,11.4,clear
85,Black Gram (Urd Beans),Bareilly,2012-01-18,4120.0,12.0,11.4,clear
86,Arhar (Tur/Red Gram),Bareilly,2012-01-19,5800.0,18.0,16.0,clear
87,Bengal Gram(Gram),Bareilly,2012-01-19,3812.5,26.0,16.0,clear
88,Black Gram (Urd Beans),Bareilly,2012-01-19,4125.0,9.6,16.0,clear
89,Arhar (Tur/Red Gram),Bareilly,2012-01-20,5800.0,0.0,16.6,clear
90,Bengal Gram(Gram),Bareilly,2012-01-20,3825.0,24.0,16.6,clear
91,Black Gram (Urd Beans),Bareilly,2012-01-20,4100.0,12.0,16.6,clear
92,Arhar (Tur/Red Gram),Bareilly,2012-01-21,5775.0,54.5,18.4,clear
93,Bengal Gram(Gram),Bareilly,2012-01-21,3787.5,31.0,18.4,clear
94,Black Gram (Urd Beans),Bareilly,2012-01-21,4087.5,1.0,18.4,clear
95,Arhar (Tur/Red Gram),Bareilly,2012-01-22,5775.0,54.5,19.4,clear
96,Bengal Gram(Gram),Bareilly,2012-01-22,3787.5,31.0,19.4,clear
97,Black Gram (Urd Beans),Bareilly,2012-01-22,4087.5,1.0,19.4,clear
98,Arhar (Tur/Red Gram),Bareilly,2012-01-23,5800.0,0.0,21.0,clear
99,Bengal Gram(Gram),Bareilly,2012-01-23,3812.5,28.5,21.0,clear
100,Black Gram (Urd Beans),Bareilly,2012-01-23,4062.5,14.0,21.0,clear
101,Arhar (Tur/Red Gram),Bareilly,2012-01-24,5800.0,21.0,22.2,clear
102,Bengal Gram(Gram),Bareilly,2012-01-24,3820.0,26.0,22.2,clear
103,Black Gram (Urd Beans),Bareilly,2012-01-24,4055.0,17.2,22.2,clear
104,Arhar (Tur/Red Gram),Bareilly,2012-01-25,5825.0,0.0,19.2,clear
105,Bengal Gram(Gram),Bareilly,2012-01-25,3787.5,28.5,19.2,clear
106,Black Gram (Urd Beans),Bareilly,2012-01-25,4075.0,15.0,19.2,clear
107,Arhar (Tur/Red Gram),Bareilly,2012-01-26,5800.0,0.0,23.6,clear
108,Bengal Gram(Gram),Bareilly,2012-01-26,3750.0,38.5,23.6,clear
109,Black Gram (Urd Beans),Bareilly,2012-01-26,4037.5,16.8,23.6,clear
110,Arhar (Tur/Red Gram),Bareilly,2012-01-27,5750.0,10.2,21.2,clear
111,Bengal Gram(Gram),Bareilly,2012-01-27,4370.0,38.9,21.2,clear
112,Black Gram (Urd Beans),Bareilly,2012-01-27,4000.0,11.8,21.2,clear
113,Arhar (Tur/Red Gram),Bareilly,2012-01-28,5750.0,0.0,21.6,clear
114,Bengal Gram(Gram),Bareilly,2012-01-28,3775.0,26.0,21.6,clear
115,Black Gram (Urd Beans),Bareilly,2012-01-28,4012.5,12.5,21.6,clear
116,Arhar (Tur/Red Gram),Bareilly,2012-01-29,5775.0,0.0,20.2,clear
117,Bengal Gram(Gram),Bareilly,2012-01-29,3800.0,26.0,20.2,clear
118,Black Gram (Urd Beans),Bareilly,2012-01-29,4012.5,12.5,20.2,clear
119,Arhar (Tur/Red Gram),Bareilly,2012-01-30,5775.0,28.0,19.6,clear
120,Bengal Gram(Gram),Bareilly,2012-01-30,3800.0,23.0,19.6,clear
121,Black Gram (Urd Beans),Bareilly,2012-01-30,4012.5,11.0,19.6,clear
122,Arhar (Tur/Red Gram),Bareilly,2012-01-02,5700.0,30.0,18.4,clear
123,Bengal Gram(Gram),Bareilly,2012-01-02,3750.0,31.0,18.4,clear
124,Black Gram (Urd Beans),Bareilly,2012-01-02,4000.0,10.0,18.4,clear
125,Arhar (Tur/Red Gram),Bareilly,2012-02-02,5750.0,0.0,21.6,clear
126,Bengal Gram(Gram),Bareilly,2012-02-02,3775.0,28.6,21.6,clear
127,Black Gram (Urd Beans),Bareilly,2012-02-02,4025.0,17.0,21.6,clear
128,Arhar (Tur/Red Gram),Bareilly,2012-03-02,5800.0,0.0,29.0,clear
129,Bengal Gram(Gram),Bareilly,2012-03-02,3772.5,23.0,29.0,clear
130,Black Gram (Urd Beans),Bareilly,2012-03-02,3975.0,24.0,29.0,clear
131,Arhar (Tur/Red Gram),Bareilly,2012-04-02,5800.0,0.0,36.4,clear
132,Bengal Gram(Gram),Bareilly,2012-04-02,3762.5,26.0,36.4,clear
133,Black Gram (Urd Beans),Bareilly,2012-04-02,4000.0,16.0,36.4,clear
134,Arhar (Tur/Red Gram),Bareilly,2012-05-02,5800.0,0.0,37.4,clear
135,Bengal Gram(Gram),Bareilly,2012-05-02,3762.5,26.0,37.4,clear
136,Black Gram (Urd Beans),Bareilly,2012-05-02,4000.0,16.0,37.4,clear
137,Arhar (Tur/Red Gram),Bareilly,2012-06-02,5850.0,32.0,42.0,clear
138,Bengal Gram(Gram),Bareilly,2012-06-02,3762.5,23.5,42.0,clear
139,Black Gram (Urd Beans),Bareilly,2012-06-02,3975.0,19.5,42.0,clear
140,Arhar (Tur/Red Gram),Bareilly,2012-07-02,5825.0,0.0,38.8,clear
141,Bengal Gram(Gram),Bareilly,2012-07-02,3762.5,28.0,38.8,clear
142,Black Gram (Urd Beans),Bareilly,2012-07-02,4005.0,22.0,38.8,clear
143,Arhar (Tur/Red Gram),Bareilly,2012-08-02,5850.0,14.5,31.8,clear
144,Bengal Gram(Gram),Bareilly,2012-08-02,3800.0,41.0,31.8,clear
145,Black Gram (Urd Beans),Bareilly,2012-08-02,3975.0,38.0,31.8,clear
146,Arhar (Tur/Red Gram),Bareilly,2012-09-02,5900.0,12.0,27.2,clear
147,Bengal Gram(Gram),Bareilly,2012-09-02,3837.5,36.0,27.2,clear
148,Black Gram (Urd Beans),Bareilly,2012-09-02,3950.0,24.0,27.2,clear
149,Arhar (Tur/Red Gram),Bareilly,2012-10-02,5900.0,0.0,34.0,clear
150,Bengal Gram(Gram),Bareilly,2012-10-02,3862.5,28.5,34.0,clear
151,Black Gram (Urd Beans),Bareilly,2012-10-02,4000.0,18.0,34.0,clear
152,Arhar (Tur/Red Gram),Bareilly,2012-11-02,5900.0,0.0,30.0,clear
153,Bengal Gram(Gram),Bareilly,2012-11-02,3870.0,26.0,30.0,clear
154,Black Gram (Urd Beans),Bareilly,2012-11-02,3987.5,22.0,30.0,clear
155,Arhar (Tur/Red Gram),Bareilly,2012-12-02,5900.0,0.0,21.0,clear
156,Bengal Gram(Gram),Bareilly,2012-12-02,3870.0,26.0,21.0,clear
157,Black Gram (Urd Beans),Bareilly,2012-12-02,3987.5,22.0,21.0,clear
158,Arhar (Tur/Red Gram),Bareilly,2012-02-13,5925.0,19.0,23.6,clear
159,Bengal Gram(Gram),Bareilly,2012-02-13,3887.5,24.0,23.6,clear
