,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Gazipur,2015-12-08,4720.0,5.0,18.6,clear
1,Bengal Gram(Gram),Yusufpur,2015-12-08,4925.0,1.0,18.6,clear
2,Bengal Gram(Gram),Gazipur,2015-12-09,5000.0,2.5,20.0,clear
3,Bengal Gram(Gram),Yusufpur,2015-12-09,4920.0,1.0,20.0,clear
4,Bengal Gram(Gram),Gazipur,2015-12-10,5070.0,3.4,15.4,clear
5,Bengal Gram(Gram),Yusufpur,2015-12-10,5030.0,1.5,15.4,clear
6,Bengal Gram(Gram),Gazipur,2015-12-11,5700.0,2.8,22.4,clear
7,Bengal Gram(Gram),Yusufpur,2015-12-11,5600.0,0.0,22.4,clear
8,Bengal Gram(Gram),Gazipur,2015-12-12,5740.0,2.0,21.4,clear
9,Bengal Gram(Gram),Yusufpur,2015-12-12,5650.0,1.0,21.4,clear
10,Bengal Gram(Gram),Gazipur,2015-12-14,5740.0,2.5,19.0,clear
11,Bengal Gram(Gram),Yusufpur,2015-12-14,5650.0,2.0,19.0,clear
12,Bengal Gram(Gram),Gazipur,2015-12-15,5740.0,3.0,18.0,clear
13,Bengal Gram(Gram),Yusufpur,2015-12-15,5650.0,2.5,18.0,clear
14,Bengal Gram(Gram),Gazipur,2015-12-16,5740.0,3.5,19.0,clear
15,Bengal Gram(Gram),Gazipur,2015-12-17,5740.0,4.5,19.0,clear
16,Bengal Gram(Gram),Yusufpur,2015-12-17,5625.0,1.5,19.0,clear
17,Bengal Gram(Gram),Gazipur,2015-12-18,5745.0,2.0,18.0,clear
18,Bengal Gram(Gram),Yusufpur,2015-12-18,5625.0,1.0,18.0,clear
19,Bengal Gram(Gram),Gazipur,2015-12-19,5745.0,2.5,18.0,clear
20,Bengal Gram(Gram),Yusufpur,2015-12-19,5625.0,2.0,18.0,clear
21,Bengal Gram(Gram),Gazipur,2015-12-21,5745.0,3.0,13.4,clear
22,Bengal Gram(Gram),Yusufpur,2015-12-21,5625.0,1.0,13.4,clear
23,Bengal Gram(Gram),Gazipur,2015-12-22,5745.0,3.5,17.4,clear
24,Bengal Gram(Gram),Yusufpur,2015-12-22,5625.0,2.5,17.4,clear
25,Bengal Gram(Gram),Gazipur,2015-12-23,5740.0,4.0,18.4,clear
26,Bengal Gram(Gram),Yusufpur,2015-12-23,5625.0,1.0,18.4,clear
27,Bengal Gram(Gram),Gazipur,2015-12-24,5745.0,4.5,20.0,clear
28,Bengal Gram(Gram),Gazipur,2015-12-25,5750.0,4.8,20.0,clear
29,Bengal Gram(Gram),Yusufpur,2015-12-25,5600.0,1.0,20.0,clear
30,Bengal Gram(Gram),Gazipur,2015-12-26,5750.0,1.8,20.0,clear
31,Bengal Gram(Gram),Yusufpur,2015-12-26,5600.0,2.0,20.0,clear
32,Bengal Gram(Gram),Gazipur,2015-12-28,5750.0,2.4,13.4,clear
33,Bengal Gram(Gram),Yusufpur,2015-12-28,5600.0,1.0,13.4,clear
34,Bengal Gram(Gram),Gazipur,2015-12-29,5750.0,3.0,20.4,clear
35,Bengal Gram(Gram),Gazipur,2015-12-30,5750.0,3.5,22.4,clear
36,Bengal Gram(Gram),Gazipur,2015-12-31,5750.0,4.0,22.0,clear
37,Bengal Gram(Gram),Yusufpur,2015-12-31,5700.0,3.0,22.0,clear
38,Bengal Gram(Gram),Gazipur,2016-01-01,5750.0,4.5,20.0,clear
39,Bengal Gram(Gram),Yusufpur,2016-01-01,5700.0,0.0,20.0,clear
40,Bengal Gram(Gram),Gazipur,2016-02-01,5750.0,5.0,25.0,clear
41,Bengal Gram(Gram),Gazipur,2016-04-01,5800.0,2.0,35.0,clear
42,Bengal Gram(Gram),Yusufpur,2016-04-01,5680.0,1.5,35.0,clear
43,Bengal Gram(Gram),Gazipur,2016-05-01,5800.0,2.5,37.4,clear
