,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Gonda,2013-05-29,4440.0,0.5,37.6,clear
1,Arhar (Tur/Red Gram),Gonda,2015-12-10,7085.0,0.0,25.0,clear
2,Arhar (Tur/Red Gram),Gonda,2015-12-12,9025.0,0.0,23.6,clear
3,Arhar (Tur/Red Gram),Gonda,2015-12-14,9030.0,0.0,16.0,clear
4,Arhar (Tur/Red Gram),Gonda,2015-12-15,9040.0,0.0,20.2,clear
5,Arhar (Tur/Red Gram),Gonda,2015-12-18,9100.0,0.0,21.6,clear
6,Arhar (Tur/Red Gram),Gonda,2015-12-19,9100.0,0.0,23.6,clear
7,Arhar (Tur/Red Gram),Gonda,2015-12-21,9120.0,0.0,21.6,clear
8,Arhar (Tur/Red Gram),Gonda,2015-12-22,9120.0,0.0,20.0,clear
9,Arhar (Tur/Red Gram),Gonda,2015-12-24,9000.0,0.0,21.2,clear
10,Arhar (Tur/Red Gram),Gonda,2015-12-25,9000.0,0.0,22.0,clear
11,Arhar (Tur/Red Gram),Gonda,2015-12-26,9000.0,0.0,21.4,clear
12,Arhar (Tur/Red Gram),Gonda,2015-12-29,9000.0,0.0,20.6,clear
13,Arhar (Tur/Red Gram),Gonda,2015-12-31,9070.0,0.0,24.0,clear
14,Lentil(Masur),Nawabganj,2015-12-31,6820.0,1.3,24.0,clear
15,Arhar (Tur/Red Gram),Gonda,2016-01-01,9070.0,0.0,31.0,clear
16,Arhar (Tur/Red Gram),Gonda,2016-02-01,9050.0,0.0,26.2,clear
17,Arhar (Tur/Red Gram),Gonda,2016-04-01,9050.0,0.0,35.0,clear
18,Arhar (Tur/Red Gram),Gonda,2016-05-01,9050.0,0.0,41.0,clear
19,Arhar (Tur/Red Gram),Gonda,2016-06-01,9050.0,0.0,35.6,clear
20,Arhar (Tur/Red Gram),Gonda,2016-11-01,9050.0,0.0,31.0,clear
21,Arhar (Tur/Red Gram),Gonda,2016-12-01,9050.0,0.0,27.6,clear
22,Arhar (Tur/Red Gram),Gonda,2016-01-13,9050.0,0.0,23.6,clear
23,Arhar (Tur/Red Gram),Gonda,2016-01-18,1900.0,0.0,20.2,clear
24,Arhar (Tur/Red Gram),Gonda,2016-01-19,9100.0,0.0,15.2,rain
25,Arhar (Tur/Red Gram),Gonda,2016-01-20,9100.0,0.0,19.0,clear
26,Arhar (Tur/Red Gram),Gonda,2016-01-21,9100.0,0.0,14.6,clear
27,Arhar (Tur/Red Gram),Gonda,2016-01-22,9100.0,0.0,12.4,clear
28,Arhar (Tur/Red Gram),Gonda,2016-01-23,9150.0,0.0,17.0,clear
29,Arhar (Tur/Red Gram),Gonda,2016-01-25,9150.0,0.0,21.4,clear
30,Arhar (Tur/Red Gram),Gonda,2016-01-28,9200.0,0.0,22.0,clear
31,Arhar (Tur/Red Gram),Gonda,2016-01-29,1200.0,0.0,21.0,clear
32,Arhar (Tur/Red Gram),Gonda,2016-02-02,9350.0,0.0,24.6,clear
33,Arhar (Tur/Red Gram),Gonda,2016-03-02,9340.0,0.0,31.6,clear
34,Arhar (Tur/Red Gram),Gonda,2016-04-02,9340.0,0.0,34.0,clear
35,Arhar (Tur/Red Gram),Gonda,2016-08-02,9350.0,0.0,34.2,clear
36,Arhar (Tur/Red Gram),Gonda,2016-09-02,9350.0,0.0,33.8,clear
37,Arhar (Tur/Red Gram),Gonda,2016-10-02,9350.0,0.0,34.0,clear
38,Arhar (Tur/Red Gram),Gonda,2016-11-02,9380.0,0.0,31.0,clear
39,Arhar (Tur/Red Gram),Gonda,2016-12-02,9370.0,0.0,26.6,clear
40,Arhar (Tur/Red Gram),Gonda,2016-02-15,9370.0,0.0,29.6,clear
41,Arhar (Tur/Red Gram),Gonda,2016-02-16,9370.0,0.0,27.6,clear
42,Arhar (Tur/Red Gram),Gonda,2016-02-17,9370.0,0.0,30.4,clear
43,Arhar (Tur/Red Gram),Gonda,2016-02-18,9350.0,0.0,32.0,clear
44,Arhar (Tur/Red Gram),Gonda,2016-02-19,9300.0,0.0,34.0,clear
45,Arhar (Tur/Red Gram),Gonda,2016-02-20,9300.0,0.0,26.0,clear
46,Arhar (Tur/Red Gram),Gonda,2016-02-25,9300.0,0.0,28.0,clear
47,Arhar (Tur/Red Gram),Gonda,2016-02-26,9350.0,0.0,28.8,clear
48,Arhar (Tur/Red Gram),Gonda,2016-02-27,9350.0,0.0,27.4,clear
49,Arhar (Tur/Red Gram),Gonda,2016-03-03,9340.0,0.0,31.6,clear
50,Arhar (Tur/Red Gram),Gonda,2016-04-03,9400.0,0.0,34.6,clear
51,Arhar (Tur/Red Gram),Gonda,2016-05-03,9345.0,0.0,40.0,clear
52,Arhar (Tur/Red Gram),Gonda,2016-07-03,9340.0,0.0,33.2,rain
53,Arhar (Tur/Red Gram),Gonda,2016-09-03,9320.0,0.0,32.6,clear
54,Arhar (Tur/Red Gram),Gonda,2016-10-03,9300.0,0.0,35.6,clear
55,Arhar (Tur/Red Gram),Gonda,2016-03-16,9310.0,0.0,31.4,clear
56,Arhar (Tur/Red Gram),Gonda,2016-03-17,9310.0,0.0,31.0,clear
57,Arhar (Tur/Red Gram),Gonda,2016-03-18,9310.0,0.0,32.6,clear
58,Arhar (Tur/Red Gram),Gonda,2016-03-19,9310.0,0.0,35.0,clear
59,Arhar (Tur/Red Gram),Gonda,2016-03-21,9300.0,0.0,34.6,clear
60,Arhar (Tur/Red Gram),Gonda,2016-03-22,9300.0,0.0,30.2,clear
61,Arhar (Tur/Red Gram),Gonda,2016-03-25,9270.0,0.0,34.0,clear
62,Arhar (Tur/Red Gram),Gonda,2016-03-28,9300.0,0.0,35.0,clear
63,Arhar (Tur/Red Gram),Gonda,2016-03-31,9300.0,0.0,36.4,clear
64,Arhar (Tur/Red Gram),Karnailganj,2016-03-31,9000.0,0.0,36.4,clear
65,Lentil(Masur),Nawabganj,2016-03-31,6200.0,1.4,36.4,clear
66,Arhar (Tur/Red Gram),Gonda,2016-01-04,9270.0,0.0,23.4,clear
67,Arhar (Tur/Red Gram),Gonda,2016-02-04,9250.0,0.0,23.2,clear
68,Arhar (Tur/Red Gram),Gonda,2016-04-04,9250.0,0.0,36.0,clear
69,Arhar (Tur/Red Gram),Gonda,2016-05-04,9000.0,0.0,33.0,clear
70,Arhar (Tur/Red Gram),Gonda,2016-06-04,8850.0,0.0,37.0,clear
