,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Orai,2015-12-08,4100.0,250.0,24.0,clear
1,Lentil(Masur),Orai,2015-12-08,6054.0,40.0,24.0,clear
2,Lentil(Masur),Jalaun,2015-12-12,4780.0,3.9,21.0,clear
3,Lentil(Masur),Orai,2015-12-12,5100.0,60.0,21.0,clear
4,Lentil(Masur),Jalaun,2015-12-26,4473.0,0.8,19.5,clear
5,Lentil(Masur),Orai,2015-12-26,5099.0,45.0,19.5,clear
6,Lentil(Masur),Orai,2015-12-09,5550.0,20.0,24.0,clear
7,Lentil(Masur),Orai,2015-12-10,5521.0,30.0,16.5,clear
8,Lentil(Masur),Orai,2015-12-13,4975.0,75.0,20.5,clear
9,Lentil(Masur),Orai,2015-12-14,5031.0,45.0,20.0,clear
10,Lentil(Masur),Orai,2015-12-20,5000.0,40.0,20.0,clear
11,Lentil(Masur),Orai,2015-12-21,5249.0,25.0,18.5,clear
12,Lentil(Masur),Orai,2015-12-23,5324.0,30.0,19.0,clear
13,Lentil(Masur),Orai,2015-12-24,5300.0,40.0,19.0,clear
14,Lentil(Masur),Orai,2015-12-25,4850.0,30.0,19.0,clear
15,Lentil(Masur),Orai,2015-12-27,5000.0,50.0,19.0,clear
16,Lentil(Masur),Orai,2015-12-28,5024.0,75.0,10.5,clear
17,Lentil(Masur),Orai,2015-12-30,5025.0,75.0,22.0,clear
18,Lentil(Masur),Orai,2015-12-31,5000.0,50.0,23.5,clear
19,Arhar (Tur/Red Gram),Orai,2016-07-04,8000.0,0.5,31.5,clear
20,Bengal Gram(Gram),Orai,2016-07-04,5000.0,175.0,31.5,clear
21,Lentil(Masur),Jalaun,2016-07-04,5311.0,3.0,31.5,clear
22,Lentil(Masur),Orai,2016-07-04,5416.0,45.0,31.5,clear
23,Arhar (Tur/Red Gram),Orai,2016-04-23,9500.0,7.5,39.0,clear
24,Bengal Gram(Gram),Orai,2016-04-23,5800.0,350.0,39.0,clear
25,Lentil(Masur),Jalaun,2016-04-23,5661.0,7.5,39.0,clear
26,Lentil(Masur),Orai,2016-04-23,5575.0,45.0,39.0,clear
27,Arhar (Tur/Red Gram),Orai,2016-04-24,10300.0,8.0,39.5,clear
