,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Banthara,2012-12-26,4100.0,40.0,14.4,clear
1,Arhar (Tur/Red Gram),Lucknow,2012-12-26,4150.0,66.0,14.4,clear
2,Bengal Gram(Gram),Banthara,2012-12-26,4750.0,40.0,14.4,clear
3,Bengal Gram(Gram),Lucknow,2012-12-26,4785.0,100.0,14.4,clear
4,Black Gram (Urd Beans),Lucknow,2012-12-26,4200.0,55.0,14.4,clear
5,Green Gram (Moong),Lucknow,2012-12-26,4750.0,53.0,14.4,clear
6,Arhar (Tur/Red Gram),Banthara,2012-12-27,3980.0,37.5,12.8,clear
7,Arhar (Tur/Red Gram),Lucknow,2012-12-27,4150.0,64.0,12.8,clear
8,Bengal Gram(Gram),Banthara,2012-12-27,4840.0,32.0,12.8,clear
9,Bengal Gram(Gram),Lucknow,2012-12-27,4775.0,103.0,12.8,clear
10,Black Gram (Urd Beans),Lucknow,2012-12-27,4150.0,62.5,12.8,clear
11,Green Gram (Moong),Lucknow,2012-12-27,4800.0,57.0,12.8,clear
12,Arhar (Tur/Red Gram),Lucknow,2012-02-01,3900.0,27.0,19.8,clear
13,Bengal Gram(Gram),Lucknow,2012-02-01,3950.0,34.5,19.8,clear
14,Black Gram (Urd Beans),Lucknow,2012-02-01,3675.0,34.0,19.8,clear
15,Green Gram (Moong),Lucknow,2012-02-01,3850.0,24.0,19.8,clear
16,Arhar (Tur/Red Gram),Lucknow,2012-03-01,3900.0,26.5,28.6,clear
17,Bengal Gram(Gram),Lucknow,2012-03-01,3950.0,35.0,28.6,clear
18,Black Gram (Urd Beans),Lucknow,2012-03-01,3675.0,37.0,28.6,clear
19,Green Gram (Moong),Lucknow,2012-03-01,3850.0,26.5,28.6,clear
20,Arhar (Tur/Red Gram),Lucknow,2012-04-01,3900.0,26.0,36.8,clear
21,Bengal Gram(Gram),Lucknow,2012-04-01,3925.0,36.0,36.8,clear
22,Black Gram (Urd Beans),Lucknow,2012-04-01,3675.0,36.0,36.8,clear
23,Green Gram (Moong),Lucknow,2012-04-01,3850.0,26.5,36.8,clear
24,Arhar (Tur/Red Gram),Lucknow,2012-05-01,3900.0,26.0,38.0,clear
25,Bengal Gram(Gram),Lucknow,2012-05-01,3925.0,33.5,38.0,clear
26,Black Gram (Urd Beans),Lucknow,2012-05-01,3660.0,37.0,38.0,clear
27,Green Gram (Moong),Lucknow,2012-05-01,3845.0,26.0,38.0,clear
28,Arhar (Tur/Red Gram),Lucknow,2012-06-01,3900.0,27.0,43.6,clear
29,Bengal Gram(Gram),Lucknow,2012-06-01,3925.0,34.0,43.6,clear
30,Black Gram (Urd Beans),Lucknow,2012-06-01,3660.0,37.5,43.6,clear
31,Green Gram (Moong),Lucknow,2012-06-01,3845.0,28.0,43.6,clear
32,Arhar (Tur/Red Gram),Lucknow,2012-07-01,3900.0,24.0,40.6,clear
33,Bengal Gram(Gram),Lucknow,2012-07-01,3900.0,35.0,40.6,clear
34,Black Gram (Urd Beans),Lucknow,2012-07-01,3660.0,36.0,40.6,clear
35,Green Gram (Moong),Lucknow,2012-07-01,3845.0,27.0,40.6,clear
36,Arhar (Tur/Red Gram),Lucknow,2012-09-01,3900.0,23.0,33.4,clear
37,Bengal Gram(Gram),Lucknow,2012-09-01,3900.0,34.0,33.4,clear
38,Black Gram (Urd Beans),Lucknow,2012-09-01,3660.0,37.0,33.4,clear
39,Green Gram (Moong),Lucknow,2012-09-01,3845.0,25.0,33.4,clear
40,Arhar (Tur/Red Gram),Lucknow,2012-10-01,3915.0,23.5,34.6,clear
41,Bengal Gram(Gram),Lucknow,2012-10-01,3950.0,35.0,34.6,clear
42,Black Gram (Urd Beans),Lucknow,2012-10-01,3675.0,35.0,34.6,clear
43,Green Gram (Moong),Lucknow,2012-10-01,3845.0,26.0,34.6,clear
44,Arhar (Tur/Red Gram),Lucknow,2012-11-01,3915.0,23.0,29.4,clear
45,Bengal Gram(Gram),Lucknow,2012-11-01,3950.0,35.5,29.4,clear
46,Black Gram (Urd Beans),Lucknow,2012-11-01,3675.0,37.0,29.4,clear
47,Green Gram (Moong),Lucknow,2012-11-01,3845.0,25.0,29.4,clear
48,Arhar (Tur/Red Gram),Lucknow,2012-12-01,3915.0,23.5,25.2,clear
49,Bengal Gram(Gram),Lucknow,2012-12-01,3950.0,35.0,25.2,clear
50,Black Gram (Urd Beans),Lucknow,2012-12-01,3675.0,36.5,25.2,clear
51,Green Gram (Moong),Lucknow,2012-12-01,3875.0,27.0,25.2,clear
