,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Lentil(Masur),Tamkuhi Road,2013-01-01,0.0,1.6,21.2,clear
1,Lentil(Masur),Tamkuhi Road,2013-02-01,0.0,2.4,25.0,clear
2,Lentil(Masur),Tamkuhi Road,2013-03-01,0.0,2.0,25.0,clear
3,Lentil(Masur),Tamkuhi Road,2013-04-01,0.0,1.0,34.0,clear
4,Lentil(Masur),Tamkuhi Road,2013-05-01,0.0,2.0,40.6,clear
5,Lentil(Masur),Tamkuhi Road,2013-07-01,0.0,1.6,31.0,rain
6,Lentil(Masur),Tamkuhi Road,2013-08-01,0.0,0.8,33.2,clear
7,Lentil(Masur),Tamkuhi Road,2013-09-01,0.0,1.5,32.6,clear
8,Lentil(Masur),Tamkuhi Road,2013-10-01,0.0,1.0,30.0,clear
9,Lentil(Masur),Tamkuhi Road,2013-11-01,0.0,1.5,24.0,clear
10,Lentil(Masur),Tamkuhi Road,2013-12-01,0.0,4.0,26.0,clear
11,Lentil(Masur),Tamkuhi Road,2013-01-14,0.0,2.0,22.6,clear
12,Lentil(Masur),Tamkuhi Road,2013-01-15,0.0,2.4,24.2,clear
13,Lentil(Masur),Tamkuhi Road,2013-01-16,0.0,1.6,23.6,clear
14,Lentil(Masur),Tamkuhi Road,2013-01-17,0.0,1.5,23.0,clear
15,Lentil(Masur),Tamkuhi Road,2013-01-18,0.0,2.4,25.4,rain
16,Lentil(Masur),Tamkuhi Road,2013-01-19,0.0,1.6,20.6,clear
17,Lentil(Masur),Tamkuhi Road,2013-01-21,0.0,0.8,16.0,clear
18,Lentil(Masur),Tamkuhi Road,2013-01-22,0.0,0.4,16.6,clear
19,Lentil(Masur),Tamkuhi Road,2013-01-23,0.0,1.5,13.2,clear
20,Lentil(Masur),Tamkuhi Road,2013-01-24,0.0,3.0,14.4,clear
21,Lentil(Masur),Tamkuhi Road,2013-01-25,0.0,4.0,20.4,clear
22,Lentil(Masur),Tamkuhi Road,2013-01-28,0.0,2.4,15.8,clear
23,Lentil(Masur),Tamkuhi Road,2013-01-29,0.0,3.0,16.2,clear
24,Lentil(Masur),Tamkuhi Road,2013-01-30,0.0,2.4,19.4,clear
25,Lentil(Masur),Tamkuhi Road,2013-01-31,0.0,3.0,24.4,clear
26,Lentil(Masur),Tamkuhi Road,2013-01-02,0.0,1.5,23.0,clear
27,Lentil(Masur),Tamkuhi Road,2013-02-02,0.0,1.2,22.4,clear
28,Lentil(Masur),Tamkuhi Road,2013-01-09,3900.0,2.8,12.6,clear
29,Lentil(Masur),Tamkuhi Road,2013-02-09,3900.0,2.8,22.6,clear
30,Lentil(Masur),Tamkuhi Road,2013-03-09,3920.0,3.5,29.6,clear
31,Lentil(Masur),Tamkuhi Road,2013-04-09,3925.0,1.6,38.2,clear
32,Lentil(Masur),Tamkuhi Road,2013-05-09,3925.0,1.8,38.4,clear
33,Lentil(Masur),Tamkuhi Road,2013-06-09,3925.0,1.5,36.6,clear
34,Lentil(Masur),Tamkuhi Road,2013-07-09,3950.0,1.2,31.0,clear
35,Lentil(Masur),Tamkuhi Road,2013-09-09,3950.0,1.2,31.4,clear
36,Lentil(Masur),Tamkuhi Road,2013-10-09,3950.0,1.0,32.2,clear
37,Lentil(Masur),Tamkuhi Road,2013-11-09,3900.0,1.2,28.0,clear
38,Lentil(Masur),Tamkuhi Road,2013-09-13,3900.0,1.2,34.0,clear
39,Lentil(Masur),Tamkuhi Road,2013-09-14,3800.0,1.5,34.6,clear
40,Lentil(Masur),Tamkuhi Road,2013-09-16,3825.0,1.0,33.0,clear
