,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Chutmalpur,2015-12-28,5400.0,0.0,12.0,clear
1,Bengal Gram(Gram),Saharanpur,2015-12-28,5340.0,11.0,12.0,clear
2,Green Gram (Moong),Saharanpur,2015-12-28,7200.0,6.0,12.0,clear
3,Bengal Gram(Gram),Devband,2015-12-31,5340.0,1.0,21.4,clear
4,Bengal Gram(Gram),Saharanpur,2015-12-31,5340.0,12.0,21.4,clear
5,Green Gram (Moong),Saharanpur,2015-12-31,7200.0,4.5,21.4,clear
6,Bengal Gram(Gram),Saharanpur,2015-12-10,4980.0,8.0,15.6,clear
7,Green Gram (Moong),Saharanpur,2015-12-10,6880.0,7.0,15.6,clear
8,Bengal Gram(Gram),Saharanpur,2015-12-14,5390.0,8.5,21.2,clear
9,Green Gram (Moong),Saharanpur,2015-12-14,7170.0,6.0,21.2,clear
10,Bengal Gram(Gram),Saharanpur,2015-12-15,5400.0,7.0,19.8,clear
11,Green Gram (Moong),Saharanpur,2015-12-15,7150.0,4.0,19.8,clear
12,Bengal Gram(Gram),Saharanpur,2015-12-18,5410.0,7.0,19.0,clear
13,Green Gram (Moong),Saharanpur,2015-12-18,7180.0,6.0,19.0,clear
14,Bengal Gram(Gram),Saharanpur,2015-12-19,5410.0,9.0,18.8,clear
15,Green Gram (Moong),Saharanpur,2015-12-19,7180.0,4.0,18.8,clear
16,Bengal Gram(Gram),Saharanpur,2015-12-21,5400.0,8.0,19.0,clear
17,Green Gram (Moong),Saharanpur,2015-12-21,7180.0,6.0,19.0,clear
18,Bengal Gram(Gram),Saharanpur,2015-12-22,5380.0,7.0,18.6,clear
19,Green Gram (Moong),Saharanpur,2015-12-22,7200.0,6.0,18.6,clear
20,Bengal Gram(Gram),Saharanpur,2015-12-29,5340.0,8.0,21.4,clear
21,Bengal Gram(Gram),Sultanpurchilkana,2015-12-29,5330.0,1.0,21.4,clear
22,Green Gram (Moong),Saharanpur,2015-12-29,7220.0,7.0,21.4,clear
23,Bengal Gram(Gram),Saharanpur,2015-12-30,5340.0,10.0,12.6,clear
24,Green Gram (Moong),Saharanpur,2015-12-30,7200.0,5.0,12.6,clear
25,Bengal Gram(Gram),Chutmalpur,2016-04-27,5460.0,0.0,34.2,clear
26,Bengal Gram(Gram),Saharanpur,2016-04-27,5480.0,11.0,34.2,clear
27,Green Gram (Moong),Saharanpur,2016-04-27,7020.0,4.0,34.2,clear
28,Bengal Gram(Gram),Chutmalpur,2016-05-30,6115.0,15.0,32.2,clear
29,Bengal Gram(Gram),Saharanpur,2016-05-30,6070.0,8.0,32.2,clear
30,Green Gram (Moong),Saharanpur,2016-05-30,6980.0,3.0,32.2,clear
31,Bengal Gram(Gram),Chutmalpur,2016-06-27,6290.0,10.0,32.8,clear
32,Bengal Gram(Gram),Saharanpur,2016-06-27,6955.0,14.0,32.8,clear
33,Green Gram (Moong),Saharanpur,2016-06-27,7295.0,11.0,32.8,clear
34,Bengal Gram(Gram),Devband,2016-02-27,5350.0,2.0,26.4,clear
35,Bengal Gram(Gram),Saharanpur,2016-02-27,5310.0,10.0,26.4,clear
36,Green Gram (Moong),Saharanpur,2016-02-27,7170.0,5.0,26.4,clear
37,Bengal Gram(Gram),Devband,2016-04-26,5450.0,1.0,34.4,clear
38,Bengal Gram(Gram),Saharanpur,2016-04-26,5470.0,8.0,34.4,clear
39,Green Gram (Moong),Saharanpur,2016-04-26,7020.0,6.0,34.4,clear
40,Bengal Gram(Gram),Devband,2016-05-28,6150.0,36.0,28.2,clear
41,Bengal Gram(Gram),Saharanpur,2016-05-28,6125.0,6.0,28.2,clear
42,Green Gram (Moong),Saharanpur,2016-05-28,7025.0,5.0,28.2,clear
43,Bengal Gram(Gram),Devband,2016-06-29,6285.0,40.0,32.6,clear
44,Bengal Gram(Gram),Saharanpur,2016-06-29,6300.0,6.0,32.6,clear
45,Green Gram (Moong),Saharanpur,2016-06-29,7300.0,6.0,32.6,clear
46,Bengal Gram(Gram),Gangoh,2016-04-30,5750.0,1.0,34.2,clear
47,Bengal Gram(Gram),Saharanpur,2016-04-30,5750.0,6.0,34.2,clear
48,Green Gram (Moong),Saharanpur,2016-04-30,7040.0,5.0,34.2,clear
49,Bengal Gram(Gram),Gangoh,2016-06-28,6420.0,13.0,32.2,clear
50,Bengal Gram(Gram),Saharanpur,2016-06-28,6290.0,9.0,32.2,clear
51,Bengal Gram(Gram),Sultanpurchilkana,2016-06-28,6320.0,6.0,32.2,clear
52,Green Gram (Moong),Saharanpur,2016-06-28,7290.0,10.0,32.2,clear
53,Bengal Gram(Gram),Rampurmaniharan,2016-04-29,5460.0,0.0,34.6,clear
54,Bengal Gram(Gram),Saharanpur,2016-04-29,5700.0,7.0,34.6,clear
55,Green Gram (Moong),Saharanpur,2016-04-29,7030.0,6.0,34.6,clear
56,Bengal Gram(Gram),Rampurmaniharan,2016-06-30,6400.0,6.0,32.4,clear
57,Bengal Gram(Gram),Saharanpur,2016-06-30,6320.0,5.0,32.4,clear
58,Green Gram (Moong),Saharanpur,2016-06-30,7350.0,8.0,32.4,clear
59,Bengal Gram(Gram),Saharanpur,2016-01-01,5340.0,9.0,21.4,clear
60,Green Gram (Moong),Saharanpur,2016-01-01,7210.0,6.0,21.4,clear
61,Bengal Gram(Gram),Saharanpur,2016-02-01,5330.0,13.0,18.6,clear
62,Green Gram (Moong),Saharanpur,2016-02-01,7200.0,5.0,18.6,clear
63,Bengal Gram(Gram),Saharanpur,2016-05-01,5340.0,12.0,34.6,clear
64,Green Gram (Moong),Saharanpur,2016-05-01,7200.0,7.0,34.6,clear
65,Bengal Gram(Gram),Saharanpur,2016-08-01,5310.0,15.0,29.6,clear
66,Green Gram (Moong),Saharanpur,2016-08-01,7220.0,6.0,29.6,clear
67,Bengal Gram(Gram),Saharanpur,2016-11-01,5310.0,10.0,27.2,clear
68,Green Gram (Moong),Saharanpur,2016-11-01,7230.0,7.0,27.2,clear
69,Bengal Gram(Gram),Saharanpur,2016-12-01,5300.0,8.0,22.6,clear
70,Green Gram (Moong),Saharanpur,2016-12-01,7220.0,3.0,22.6,clear
71,Bengal Gram(Gram),Saharanpur,2016-01-13,5300.0,9.0,20.6,clear
72,Green Gram (Moong),Saharanpur,2016-01-13,7230.0,5.0,20.6,clear
73,Bengal Gram(Gram),Saharanpur,2016-01-14,5300.0,8.0,15.4,clear
74,Green Gram (Moong),Saharanpur,2016-01-14,7240.0,6.5,15.4,clear
75,Bengal Gram(Gram),Saharanpur,2016-01-15,5300.0,11.0,14.6,clear
76,Green Gram (Moong),Saharanpur,2016-01-15,7240.0,7.0,14.6,clear
77,Bengal Gram(Gram),Saharanpur,2016-01-18,5320.0,8.5,18.2,clear
78,Green Gram (Moong),Saharanpur,2016-01-18,7380.0,9.0,18.2,clear
79,Bengal Gram(Gram),Saharanpur,2016-01-19,5320.0,9.0,8.8,clear
80,Green Gram (Moong),Saharanpur,2016-01-19,7390.0,7.0,8.8,clear
81,Bengal Gram(Gram),Saharanpur,2016-01-20,5350.0,7.0,14.0,clear
82,Green Gram (Moong),Saharanpur,2016-01-20,7350.0,6.0,14.0,clear
83,Bengal Gram(Gram),Saharanpur,2016-01-22,5370.0,5.0,15.4,clear
84,Green Gram (Moong),Saharanpur,2016-01-22,7230.0,4.0,15.4,clear
85,Bengal Gram(Gram),Saharanpur,2016-01-23,5370.0,4.0,16.6,clear
86,Green Gram (Moong),Saharanpur,2016-01-23,7240.0,5.0,16.6,clear
87,Bengal Gram(Gram),Saharanpur,2016-01-25,5380.0,7.0,18.0,clear
88,Green Gram (Moong),Saharanpur,2016-01-25,7250.0,3.0,18.0,clear
89,Bengal Gram(Gram),Saharanpur,2016-01-27,5380.0,60.0,17.0,clear
90,Green Gram (Moong),Saharanpur,2016-01-27,7250.0,4.0,17.0,clear
91,Bengal Gram(Gram),Saharanpur,2016-01-29,5370.0,14.0,16.6,clear
92,Green Gram (Moong),Saharanpur,2016-01-29,7250.0,7.0,16.6,clear
93,Bengal Gram(Gram),Saharanpur,2016-01-30,5380.0,15.0,17.0,clear
94,Green Gram (Moong),Saharanpur,2016-01-30,7260.0,5.0,17.0,clear
95,Bengal Gram(Gram),Saharanpur,2016-01-02,5380.0,8.0,21.2,clear
96,Green Gram (Moong),Saharanpur,2016-01-02,7250.0,6.0,21.2,clear
97,Bengal Gram(Gram),Saharanpur,2016-02-02,5385.0,11.0,18.8,clear
98,Green Gram (Moong),Saharanpur,2016-02-02,7260.0,4.0,18.8,clear
99,Bengal Gram(Gram),Saharanpur,2016-03-02,5390.0,13.0,17.8,clear
100,Green Gram (Moong),Saharanpur,2016-03-02,7260.0,5.0,17.8,clear
101,Bengal Gram(Gram),Saharanpur,2016-04-02,5390.0,14.0,34.2,clear
102,Green Gram (Moong),Saharanpur,2016-04-02,7260.0,6.5,34.2,clear
103,Bengal Gram(Gram),Saharanpur,2016-05-02,5385.0,8.0,34.6,clear
104,Green Gram (Moong),Saharanpur,2016-05-02,7250.0,7.0,34.6,clear
105,Bengal Gram(Gram),Saharanpur,2016-06-02,5390.0,6.0,36.0,clear
106,Green Gram (Moong),Saharanpur,2016-06-02,7260.0,6.0,36.0,clear
107,Bengal Gram(Gram),Saharanpur,2016-08-02,5400.0,5.0,30.2,clear
108,Green Gram (Moong),Saharanpur,2016-08-02,7270.0,8.0,30.2,clear
109,Bengal Gram(Gram),Saharanpur,2016-09-02,5400.0,6.5,31.2,clear
110,Green Gram (Moong),Saharanpur,2016-09-02,7280.0,10.0,31.2,clear
111,Bengal Gram(Gram),Saharanpur,2016-10-02,5400.0,7.0,32.2,clear
112,Green Gram (Moong),Saharanpur,2016-10-02,7270.0,14.0,32.2,clear
113,Bengal Gram(Gram),Saharanpur,2016-11-02,5400.0,8.0,19.4,clear
114,Green Gram (Moong),Saharanpur,2016-11-02,7280.0,15.0,19.4,clear
115,Bengal Gram(Gram),Saharanpur,2016-02-15,5400.0,9.0,21.4,clear
116,Green Gram (Moong),Saharanpur,2016-02-15,7285.0,14.0,21.4,clear
117,Bengal Gram(Gram),Saharanpur,2016-02-16,5380.0,8.0,23.8,clear
118,Green Gram (Moong),Saharanpur,2016-02-16,7250.0,5.0,23.8,clear
119,Bengal Gram(Gram),Saharanpur,2016-02-17,5380.0,9.0,25.4,clear
120,Green Gram (Moong),Saharanpur,2016-02-17,7250.0,7.0,25.4,clear
121,Bengal Gram(Gram),Saharanpur,2016-02-19,5350.0,14.0,24.4,clear
122,Green Gram (Moong),Saharanpur,2016-02-19,7260.0,10.0,24.4,clear
123,Bengal Gram(Gram),Saharanpur,2016-02-22,5330.0,7.0,24.6,clear
124,Green Gram (Moong),Saharanpur,2016-02-22,7220.0,5.0,24.6,clear
125,Bengal Gram(Gram),Saharanpur,2016-02-25,5320.0,7.5,24.6,clear
126,Green Gram (Moong),Saharanpur,2016-02-25,7200.0,5.0,24.6,clear
127,Bengal Gram(Gram),Saharanpur,2016-02-29,5280.0,12.0,17.6,clear
128,Green Gram (Moong),Saharanpur,2016-02-29,7150.0,3.0,17.6,clear
129,Bengal Gram(Gram),Saharanpur,2016-01-03,5250.0,9.0,8.8,clear
130,Green Gram (Moong),Saharanpur,2016-01-03,7120.0,4.0,8.8,clear
131,Bengal Gram(Gram),Saharanpur,2016-04-03,5210.0,13.0,34.0,clear
132,Green Gram (Moong),Saharanpur,2016-04-03,7000.0,4.0,34.0,clear
133,Bengal Gram(Gram),Saharanpur,2016-08-03,5120.0,9.0,31.2,clear
134,Green Gram (Moong),Saharanpur,2016-08-03,6960.0,5.0,31.2,clear
135,Bengal Gram(Gram),Saharanpur,2016-09-03,5100.0,10.0,31.4,clear
136,Green Gram (Moong),Saharanpur,2016-09-03,7000.0,8.0,31.4,clear
137,Bengal Gram(Gram),Saharanpur,2016-10-03,5100.0,12.0,32.4,clear
138,Green Gram (Moong),Saharanpur,2016-10-03,7000.0,10.0,32.4,clear
139,Bengal Gram(Gram),Saharanpur,2016-11-03,5100.0,14.0,27.4,clear
