,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Dehradoon,2012-12-27,6000.0,2.0,13.8,clear
1,Arhar (Tur/Red Gram),Rishikesh,2012-03-01,4250.0,1.8,25.0,clear
2,Black Gram (Urd Beans),Rishikesh,2012-03-01,3243.0,2.0,25.0,clear
3,Arhar (Tur/Red Gram),Rishikesh,2012-09-01,4040.0,1.2,31.0,clear
4,Black Gram (Urd Beans),Rishikesh,2012-09-01,2750.0,2.5,31.0,clear
5,Arhar (Tur/Red Gram),Rishikesh,2012-01-17,3540.0,0.8,17.4,clear
6,Arhar (Tur/Red Gram),Rishikesh,2012-01-20,4941.0,2.2,16.2,clear
7,Arhar (Tur/Red Gram),Rishikesh,2012-01-23,4250.0,5.7,21.4,clear
8,Black Gram (Urd Beans),Rishikesh,2012-01-23,3325.0,8.4,21.4,clear
9,Arhar (Tur/Red Gram),Rishikesh,2012-01-24,4298.0,5.7,22.0,clear
10,Arhar (Tur/Red Gram),Rishikesh,2012-01-25,5222.0,3.5,20.8,clear
11,Arhar (Tur/Red Gram),Rishikesh,2012-01-27,4300.0,3.0,21.0,clear
12,Arhar (Tur/Red Gram),Rishikesh,2012-01-29,4272.0,2.2,21.2,clear
13,Arhar (Tur/Red Gram),Rishikesh,2012-01-02,5000.0,3.8,19.6,clear
14,Black Gram (Urd Beans),Rishikesh,2012-01-02,3310.0,1.2,19.6,clear
15,Green Gram (Moong),Rishikesh,2012-01-02,5200.0,1.6,19.6,clear
16,Arhar (Tur/Red Gram),Rishikesh,2012-03-02,4850.0,2.0,25.0,clear
17,Arhar (Tur/Red Gram),Rishikesh,2012-10-02,5255.0,4.1,29.8,clear
18,Bengal Gram(Gram),Rishikesh,2012-10-02,3850.0,11.0,29.8,clear
19,Arhar (Tur/Red Gram),Rishikesh,2012-11-02,3260.0,0.3,26.0,clear
20,Arhar (Tur/Red Gram),Rishikesh,2012-02-13,5002.0,2.3,20.0,clear
21,Black Gram (Urd Beans),Rishikesh,2012-02-13,3982.0,2.0,20.0,clear
22,Green Gram (Moong),Rishikesh,2012-02-13,4882.0,1.7,20.0,clear
23,Arhar (Tur/Red Gram),Rishikesh,2012-02-15,4300.0,2.7,20.4,clear
24,Bengal Gram(Gram),Rishikesh,2012-02-15,3950.0,31.0,20.4,clear
25,Black Gram (Urd Beans),Rishikesh,2012-02-15,4400.0,0.5,20.4,clear
26,Arhar (Tur/Red Gram),Rishikesh,2012-02-18,4300.0,4.1,24.2,clear
27,Bengal Gram(Gram),Rishikesh,2012-02-18,3100.0,30.0,24.2,clear
28,Black Gram (Urd Beans),Rishikesh,2012-02-18,3850.0,9.8,24.2,clear
29,Arhar (Tur/Red Gram),Rishikesh,2012-02-19,4200.0,5.1,23.6,clear
30,Bengal Gram(Gram),Rishikesh,2012-02-19,3850.0,15.0,23.6,clear
31,Black Gram (Urd Beans),Rishikesh,2012-02-19,3162.0,2.2,23.6,clear
