,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Sainthia,2015-12-13,15150.0,14.5,26.8,clear
1,Black Gram (Urd Beans),Sainthia,2015-12-13,10150.0,16.4,26.8,clear
2,Arhar (Tur/Red Gram),Sainthia,2015-12-14,15120.0,14.8,25.0,clear
3,Black Gram (Urd Beans),Sainthia,2015-12-14,10220.0,16.1,25.0,clear
4,Arhar (Tur/Red Gram),Sainthia,2015-12-15,15100.0,15.0,24.6,clear
5,Black Gram (Urd Beans),Sainthia,2015-12-15,10250.0,16.0,24.6,clear
6,Arhar (Tur/Red Gram),Sainthia,2015-12-16,15140.0,14.8,23.8,clear
7,Black Gram (Urd Beans),Sainthia,2015-12-16,10280.0,15.7,23.8,clear
8,Arhar (Tur/Red Gram),Sainthia,2015-12-17,15160.0,14.5,23.6,clear
9,Black Gram (Urd Beans),Sainthia,2015-12-17,10250.0,16.2,23.6,clear
10,Arhar (Tur/Red Gram),Sainthia,2015-12-20,15350.0,13.7,24.2,clear
11,Black Gram (Urd Beans),Sainthia,2015-12-20,10200.0,16.15,24.2,clear
12,Arhar (Tur/Red Gram),Sainthia,2015-12-21,15400.0,13.3,22.4,clear
13,Black Gram (Urd Beans),Sainthia,2015-12-21,10200.0,16.4,22.4,clear
14,Arhar (Tur/Red Gram),Sainthia,2015-12-22,15440.0,13.8,22.4,clear
15,Black Gram (Urd Beans),Sainthia,2015-12-22,10200.0,16.25,22.4,clear
16,Arhar (Tur/Red Gram),Sainthia,2015-12-26,15550.0,13.0,24.6,clear
17,Black Gram (Urd Beans),Sainthia,2015-12-26,10250.0,15.1,24.6,clear
18,Arhar (Tur/Red Gram),Sainthia,2015-12-27,15570.0,12.9,24.8,clear
19,Black Gram (Urd Beans),Sainthia,2015-12-27,10270.0,14.9,24.8,clear
20,Arhar (Tur/Red Gram),Sainthia,2015-12-29,15610.0,12.7,25.0,clear
21,Black Gram (Urd Beans),Sainthia,2015-12-29,10260.0,15.3,25.0,clear
22,Arhar (Tur/Red Gram),Sainthia,2016-03-01,15590.0,13.5,33.0,clear
23,Arhar (Tur/Red Gram),Sainthia,2016-04-01,15600.0,13.3,28.6,clear
24,Black Gram (Urd Beans),Sainthia,2016-04-01,10200.0,15.7,28.6,clear
25,Arhar (Tur/Red Gram),Sainthia,2016-05-01,15600.0,13.6,41.6,rain
26,Black Gram (Urd Beans),Sainthia,2016-05-01,10200.0,16.0,41.6,rain
27,Arhar (Tur/Red Gram),Sainthia,2016-06-01,15600.0,13.5,33.0,clear
28,Black Gram (Urd Beans),Sainthia,2016-06-01,10200.0,15.7,33.0,clear
29,Arhar (Tur/Red Gram),Sainthia,2016-07-01,15800.0,12.8,33.4,clear
30,Black Gram (Urd Beans),Sainthia,2016-07-01,10350.0,15.0,33.4,clear
31,Arhar (Tur/Red Gram),Sainthia,2016-08-01,15830.0,12.4,32.6,rain
32,Black Gram (Urd Beans),Sainthia,2016-08-01,10360.0,14.75,32.6,rain
33,Arhar (Tur/Red Gram),Sainthia,2016-10-01,15500.0,14.0,34.2,clear
34,Black Gram (Urd Beans),Sainthia,2016-10-01,10300.0,15.0,34.2,clear
35,Arhar (Tur/Red Gram),Sainthia,2016-11-01,15500.0,14.5,33.2,clear
36,Black Gram (Urd Beans),Sainthia,2016-11-01,10270.0,15.3,33.2,clear
37,Arhar (Tur/Red Gram),Sainthia,2016-01-13,15550.0,14.2,25.4,clear
38,Black Gram (Urd Beans),Sainthia,2016-01-13,10260.0,15.4,25.4,clear
39,Arhar (Tur/Red Gram),Sainthia,2016-01-14,15600.0,14.0,25.8,clear
40,Black Gram (Urd Beans),Sainthia,2016-01-14,10280.0,15.3,25.8,clear
41,Arhar (Tur/Red Gram),Sainthia,2016-01-15,15600.0,13.8,28.0,clear
42,Black Gram (Urd Beans),Sainthia,2016-01-15,10300.0,15.1,28.0,clear
43,Arhar (Tur/Red Gram),Sainthia,2016-01-16,15650.0,13.3,26.4,clear
44,Black Gram (Urd Beans),Sainthia,2016-01-16,10330.0,15.0,26.4,clear
45,Arhar (Tur/Red Gram),Sainthia,2016-01-18,15800.0,13.0,25.6,clear
46,Black Gram (Urd Beans),Sainthia,2016-01-18,10360.0,14.7,25.6,clear
47,Arhar (Tur/Red Gram),Sainthia,2016-01-19,15830.0,12.8,22.4,clear
48,Black Gram (Urd Beans),Sainthia,2016-01-19,10370.0,14.6,22.4,clear
49,Arhar (Tur/Red Gram),Sainthia,2016-01-20,15850.0,12.7,18.6,clear
50,Black Gram (Urd Beans),Sainthia,2016-01-20,10380.0,14.4,18.6,clear
51,Arhar (Tur/Red Gram),Sainthia,2016-01-22,15900.0,12.5,20.6,clear
52,Black Gram (Urd Beans),Sainthia,2016-01-22,10550.0,14.0,20.6,clear
53,Arhar (Tur/Red Gram),Sainthia,2016-01-24,15930.0,12.3,21.4,clear
54,Black Gram (Urd Beans),Sainthia,2016-01-24,10530.0,14.4,21.4,clear
55,Arhar (Tur/Red Gram),Sainthia,2016-01-25,15910.0,12.6,23.0,clear
56,Black Gram (Urd Beans),Sainthia,2016-01-25,10500.0,14.8,23.0,clear
57,Arhar (Tur/Red Gram),Sainthia,2016-01-26,15930.0,12.5,24.0,clear
58,Black Gram (Urd Beans),Sainthia,2016-01-26,10520.0,14.7,24.0,clear
59,Arhar (Tur/Red Gram),Sainthia,2016-01-27,15920.0,12.6,24.2,clear
60,Black Gram (Urd Beans),Sainthia,2016-01-27,10520.0,14.6,24.2,clear
61,Arhar (Tur/Red Gram),Sainthia,2016-01-28,15880.0,13.1,25.4,clear
62,Black Gram (Urd Beans),Sainthia,2016-01-28,10500.0,14.8,25.4,clear
63,Arhar (Tur/Red Gram),Sainthia,2016-02-02,15800.0,13.75,29.6,clear
64,Arhar (Tur/Red Gram),Sainthia,2016-05-02,15850.0,13.6,35.6,clear
65,Black Gram (Urd Beans),Sainthia,2016-05-02,10450.0,15.0,35.6,clear
66,Arhar (Tur/Red Gram),Sainthia,2016-06-02,15830.0,14.1,35.0,clear
67,Black Gram (Urd Beans),Sainthia,2016-06-02,10460.0,14.85,35.0,clear
68,Arhar (Tur/Red Gram),Sainthia,2016-07-02,15800.0,14.5,32.0,clear
69,Black Gram (Urd Beans),Sainthia,2016-07-02,10430.0,15.0,32.0,clear
70,Arhar (Tur/Red Gram),Sainthia,2016-09-02,15860.0,14.3,35.2,rain
71,Black Gram (Urd Beans),Sainthia,2016-09-02,10350.0,15.4,35.2,rain
72,Arhar (Tur/Red Gram),Sainthia,2016-10-02,15875.0,14.1,34.4,clear
73,Black Gram (Urd Beans),Sainthia,2016-10-02,10350.0,15.5,34.4,clear
74,Arhar (Tur/Red Gram),Sainthia,2016-11-02,15900.0,14.0,33.8,clear
75,Black Gram (Urd Beans),Sainthia,2016-11-02,10330.0,15.9,33.8,clear
76,Arhar (Tur/Red Gram),Sainthia,2016-12-02,15900.0,13.8,29.8,clear
77,Black Gram (Urd Beans),Sainthia,2016-12-02,10300.0,16.1,29.8,clear
78,Arhar (Tur/Red Gram),Sainthia,2016-02-13,15950.0,13.4,28.8,clear
79,Black Gram (Urd Beans),Sainthia,2016-02-13,10320.0,15.9,28.8,clear
80,Arhar (Tur/Red Gram),Sainthia,2016-02-14,15970.0,13.25,28.0,clear
81,Black Gram (Urd Beans),Sainthia,2016-02-14,10300.0,16.0,28.0,clear
