,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Asansol,2015-12-08,10500.0,16.0,24.8,clear
1,Lentil(Masur),Asansol,2015-12-08,9400.0,24.0,24.8,clear
2,Arhar (Tur/Red Gram),Asansol,2015-12-10,15000.0,15.5,18.2,clear
3,Lentil(Masur),Asansol,2015-12-10,10000.0,24.0,18.2,clear
4,Lentil(Masur),Durgapur,2015-12-10,10000.0,23.5,18.2,clear
5,Arhar (Tur/Red Gram),Asansol,2015-12-12,16500.0,15.0,24.0,clear
6,Black Gram (Urd Beans),Asansol,2015-12-12,14000.0,20.0,24.0,clear
7,Lentil(Masur),Asansol,2015-12-12,10000.0,22.0,24.0,clear
8,Arhar (Tur/Red Gram),Asansol,2015-12-13,16500.0,16.5,21.8,clear
9,Black Gram (Urd Beans),Asansol,2015-12-13,14000.0,20.5,21.8,clear
10,Lentil(Masur),Asansol,2015-12-13,10000.0,22.5,21.8,clear
11,Arhar (Tur/Red Gram),Asansol,2015-12-14,16500.0,17.0,23.0,clear
12,Black Gram (Urd Beans),Asansol,2015-12-14,14000.0,22.5,23.0,clear
13,Lentil(Masur),Asansol,2015-12-14,10000.0,25.0,23.0,clear
14,Arhar (Tur/Red Gram),Asansol,2015-12-15,16500.0,16.0,23.0,clear
15,Black Gram (Urd Beans),Asansol,2015-12-15,14000.0,22.0,23.0,clear
16,Lentil(Masur),Asansol,2015-12-15,10000.0,23.0,23.0,clear
17,Lentil(Masur),Durgapur,2015-12-15,10200.0,23.0,23.0,clear
18,Arhar (Tur/Red Gram),Asansol,2015-12-16,16500.0,15.0,22.0,clear
19,Black Gram (Urd Beans),Asansol,2015-12-16,14000.0,20.0,22.0,clear
20,Lentil(Masur),Asansol,2015-12-16,10000.0,22.0,22.0,clear
21,Lentil(Masur),Durgapur,2015-12-16,10000.0,23.5,22.0,clear
22,Arhar (Tur/Red Gram),Asansol,2015-12-17,16500.0,16.0,21.0,clear
23,Black Gram (Urd Beans),Asansol,2015-12-17,14000.0,22.0,21.0,clear
24,Lentil(Masur),Asansol,2015-12-17,10000.0,20.0,21.0,clear
25,Lentil(Masur),Durgapur,2015-12-17,10000.0,22.0,21.0,clear
26,Arhar (Tur/Red Gram),Asansol,2015-12-18,16500.0,16.0,17.8,clear
27,Black Gram (Urd Beans),Asansol,2015-12-18,14000.0,22.0,17.8,clear
28,Lentil(Masur),Asansol,2015-12-18,10000.0,20.0,17.8,clear
29,Arhar (Tur/Red Gram),Asansol,2015-12-19,16500.0,15.0,13.6,clear
30,Black Gram (Urd Beans),Asansol,2015-12-19,14000.0,20.5,13.6,clear
31,Lentil(Masur),Asansol,2015-12-19,9800.0,22.0,13.6,clear
32,Arhar (Tur/Red Gram),Asansol,2015-12-20,16500.0,15.0,20.4,clear
33,Black Gram (Urd Beans),Asansol,2015-12-20,14000.0,20.5,20.4,clear
34,Lentil(Masur),Asansol,2015-12-20,9500.0,22.0,20.4,clear
35,Arhar (Tur/Red Gram),Asansol,2015-12-21,16500.0,16.5,19.6,clear
36,Black Gram (Urd Beans),Asansol,2015-12-21,14000.0,20.0,19.6,clear
37,Lentil(Masur),Asansol,2015-12-21,9500.0,22.5,19.6,clear
38,Arhar (Tur/Red Gram),Asansol,2015-12-22,16500.0,16.0,19.8,clear
39,Black Gram (Urd Beans),Asansol,2015-12-22,14000.0,22.0,19.8,clear
40,Lentil(Masur),Asansol,2015-12-22,9500.0,23.0,19.8,clear
41,Arhar (Tur/Red Gram),Asansol,2015-12-23,16500.0,15.0,20.0,clear
42,Black Gram (Urd Beans),Asansol,2015-12-23,14000.0,20.0,20.0,clear
43,Lentil(Masur),Asansol,2015-12-23,10000.0,22.0,20.0,clear
44,Arhar (Tur/Red Gram),Asansol,2015-12-28,16500.0,16.0,21.4,clear
45,Black Gram (Urd Beans),Asansol,2015-12-28,14000.0,20.5,21.4,clear
46,Lentil(Masur),Asansol,2015-12-28,9800.0,20.0,21.4,clear
47,Arhar (Tur/Red Gram),Asansol,2015-12-29,16500.0,15.0,20.0,clear
48,Black Gram (Urd Beans),Asansol,2015-12-29,14000.0,20.0,20.0,clear
49,Lentil(Masur),Asansol,2015-12-29,9800.0,20.5,20.0,clear
50,Arhar (Tur/Red Gram),Asansol,2015-12-30,16500.0,15.5,23.0,clear
51,Black Gram (Urd Beans),Asansol,2015-12-30,14000.0,22.0,23.0,clear
52,Lentil(Masur),Asansol,2015-12-30,9800.0,20.0,23.0,clear
53,Arhar (Tur/Red Gram),Asansol,2015-12-31,16500.0,16.0,26.0,clear
54,Black Gram (Urd Beans),Asansol,2015-12-31,14000.0,22.0,26.0,clear
55,Lentil(Masur),Asansol,2015-12-31,9800.0,22.0,26.0,clear
56,Lentil(Masur),Asansol,2015-12-09,9800.0,24.5,22.8,clear
57,Lentil(Masur),Durgapur,2015-12-09,9800.0,24.0,22.8,clear
58,Arhar (Tur/Red Gram),Asansol,2016-01-01,16000.0,15.0,26.2,clear
59,Black Gram (Urd Beans),Asansol,2016-01-01,13500.0,20.0,26.2,clear
60,Lentil(Masur),Asansol,2016-01-01,10000.0,20.0,26.2,clear
61,Arhar (Tur/Red Gram),Asansol,2016-02-01,16000.0,15.5,22.0,clear
62,Black Gram (Urd Beans),Asansol,2016-02-01,13500.0,20.5,22.0,clear
63,Lentil(Masur),Asansol,2016-02-01,10000.0,21.0,22.0,clear
64,Arhar (Tur/Red Gram),Asansol,2016-03-01,16000.0,17.0,28.0,clear
65,Black Gram (Urd Beans),Asansol,2016-03-01,13500.0,21.0,28.0,clear
66,Lentil(Masur),Asansol,2016-03-01,10000.0,22.0,28.0,clear
67,Arhar (Tur/Red Gram),Asansol,2016-04-01,16000.0,17.5,29.0,clear
68,Black Gram (Urd Beans),Asansol,2016-04-01,13500.0,20.5,29.0,clear
69,Lentil(Masur),Asansol,2016-04-01,10000.0,20.0,29.0,clear
70,Arhar (Tur/Red Gram),Asansol,2016-05-01,16000.0,16.0,37.8,clear
71,Black Gram (Urd Beans),Asansol,2016-05-01,13500.0,22.0,37.8,clear
72,Lentil(Masur),Asansol,2016-05-01,10000.0,20.5,37.8,clear
73,Arhar (Tur/Red Gram),Asansol,2016-06-01,16000.0,15.0,32.0,clear
74,Black Gram (Urd Beans),Asansol,2016-06-01,13500.0,20.0,32.0,clear
75,Lentil(Masur),Asansol,2016-06-01,10000.0,20.0,32.0,clear
76,Arhar (Tur/Red Gram),Asansol,2016-07-01,16000.0,15.5,32.8,clear
77,Black Gram (Urd Beans),Asansol,2016-07-01,13500.0,20.5,32.8,clear
78,Lentil(Masur),Asansol,2016-07-01,10000.0,22.0,32.8,clear
79,Arhar (Tur/Red Gram),Asansol,2016-08-01,16000.0,16.0,28.2,rain
80,Black Gram (Urd Beans),Asansol,2016-08-01,13500.0,22.0,28.2,rain
81,Lentil(Masur),Asansol,2016-08-01,10000.0,20.0,28.2,rain
82,Arhar (Tur/Red Gram),Asansol,2016-09-01,16000.0,15.0,32.4,clear
83,Black Gram (Urd Beans),Asansol,2016-09-01,13500.0,20.0,32.4,clear
84,Lentil(Masur),Asansol,2016-09-01,10000.0,22.0,32.4,clear
85,Arhar (Tur/Red Gram),Asansol,2016-10-01,16000.0,15.5,29.2,rain
86,Black Gram (Urd Beans),Asansol,2016-10-01,13500.0,20.5,29.2,rain
87,Lentil(Masur),Asansol,2016-10-01,10000.0,20.0,29.2,rain
88,Arhar (Tur/Red Gram),Asansol,2016-11-01,15000.0,16.0,29.2,clear
89,Black Gram (Urd Beans),Asansol,2016-11-01,13000.0,20.0,29.2,clear
90,Lentil(Masur),Asansol,2016-11-01,10000.0,22.0,29.2,clear
91,Arhar (Tur/Red Gram),Asansol,2016-12-01,15000.0,18.0,28.2,clear
92,Black Gram (Urd Beans),Asansol,2016-12-01,13000.0,22.0,28.2,clear
93,Lentil(Masur),Asansol,2016-12-01,10000.0,20.0,28.2,clear
94,Arhar (Tur/Red Gram),Asansol,2016-01-13,15000.0,16.5,23.0,clear
95,Black Gram (Urd Beans),Asansol,2016-01-13,13000.0,20.0,23.0,clear
96,Lentil(Masur),Asansol,2016-01-13,10000.0,20.5,23.0,clear
97,Arhar (Tur/Red Gram),Asansol,2016-01-14,15000.0,20.0,23.4,clear
98,Black Gram (Urd Beans),Asansol,2016-01-14,13000.0,18.0,23.4,clear
99,Lentil(Masur),Asansol,2016-01-14,10000.0,20.0,23.4,clear
100,Lentil(Masur),Durgapur,2016-01-14,10000.0,20.5,23.4,clear
101,Arhar (Tur/Red Gram),Asansol,2016-01-15,15000.0,17.5,19.2,clear
102,Black Gram (Urd Beans),Asansol,2016-01-15,13000.0,18.5,19.2,clear
103,Lentil(Masur),Asansol,2016-01-15,10000.0,22.0,19.2,clear
104,Lentil(Masur),Durgapur,2016-01-15,10000.0,22.0,19.2,clear
105,Arhar (Tur/Red Gram),Asansol,2016-01-16,15000.0,18.0,23.8,clear
106,Black Gram (Urd Beans),Asansol,2016-01-16,13000.0,20.0,23.8,clear
107,Lentil(Masur),Asansol,2016-01-16,10000.0,20.0,23.8,clear
108,Lentil(Masur),Durgapur,2016-01-16,10000.0,20.0,23.8,clear
109,Arhar (Tur/Red Gram),Asansol,2016-01-17,15000.0,18.5,23.8,clear
110,Black Gram (Urd Beans),Asansol,2016-01-17,13000.0,18.0,23.8,clear
111,Lentil(Masur),Asansol,2016-01-17,10000.0,20.5,23.8,clear
112,Lentil(Masur),Durgapur,2016-01-17,10000.0,20.5,23.8,clear
113,Arhar (Tur/Red Gram),Asansol,2016-01-18,15000.0,17.0,22.8,clear
114,Black Gram (Urd Beans),Asansol,2016-01-18,13000.0,18.5,22.8,clear
115,Lentil(Masur),Asansol,2016-01-18,10000.0,20.0,22.8,clear
116,Lentil(Masur),Durgapur,2016-01-18,10000.0,20.0,22.8,clear
117,Arhar (Tur/Red Gram),Asansol,2016-01-19,15000.0,20.0,23.0,clear
118,Black Gram (Urd Beans),Asansol,2016-01-19,13000.0,18.0,23.0,clear
119,Lentil(Masur),Asansol,2016-01-19,10000.0,23.0,23.0,clear
120,Lentil(Masur),Durgapur,2016-01-19,10000.0,22.0,23.0,clear
121,Arhar (Tur/Red Gram),Asansol,2016-01-20,15000.0,18.0,16.0,rain
122,Black Gram (Urd Beans),Asansol,2016-01-20,13000.0,20.0,16.0,rain
123,Lentil(Masur),Asansol,2016-01-20,10000.0,22.0,16.0,rain
124,Lentil(Masur),Durgapur,2016-01-20,10000.0,20.0,16.0,rain
125,Arhar (Tur/Red Gram),Asansol,2016-01-21,15000.0,18.5,21.0,clear
126,Black Gram (Urd Beans),Asansol,2016-01-21,13000.0,22.0,21.0,clear
127,Lentil(Masur),Asansol,2016-01-21,10000.0,20.5,21.0,clear
128,Lentil(Masur),Durgapur,2016-01-21,10000.0,22.0,21.0,clear
129,Arhar (Tur/Red Gram),Asansol,2016-01-22,15000.0,20.0,19.0,clear
130,Black Gram (Urd Beans),Asansol,2016-01-22,13000.0,20.5,19.0,clear
131,Lentil(Masur),Asansol,2016-01-22,10000.0,22.0,19.0,clear
132,Lentil(Masur),Durgapur,2016-01-22,10000.0,20.0,19.0,clear
133,Arhar (Tur/Red Gram),Asansol,2016-01-28,13500.0,20.0,23.0,clear
134,Black Gram (Urd Beans),Asansol,2016-01-28,13000.0,20.5,23.0,clear
135,Lentil(Masur),Asansol,2016-01-28,10000.0,23.0,23.0,clear
136,Lentil(Masur),Durgapur,2016-01-28,10000.0,22.0,23.0,clear
137,Arhar (Tur/Red Gram),Asansol,2016-01-29,13500.0,20.5,20.0,clear
138,Black Gram (Urd Beans),Asansol,2016-01-29,13000.0,20.0,20.0,clear
139,Lentil(Masur),Asansol,2016-01-29,10000.0,22.0,20.0,clear
140,Lentil(Masur),Durgapur,2016-01-29,10000.0,22.5,20.0,clear
141,Arhar (Tur/Red Gram),Asansol,2016-01-30,13500.0,20.0,21.0,clear
142,Black Gram (Urd Beans),Asansol,2016-01-30,13000.0,21.0,21.0,clear
143,Lentil(Masur),Asansol,2016-01-30,10000.0,22.5,21.0,clear
144,Lentil(Masur),Durgapur,2016-01-30,10000.0,20.0,21.0,clear
145,Arhar (Tur/Red Gram),Asansol,2016-01-31,13500.0,18.0,23.0,clear
146,Black Gram (Urd Beans),Asansol,2016-01-31,13000.0,20.0,23.0,clear
147,Lentil(Masur),Asansol,2016-01-31,10000.0,22.0,23.0,clear
148,Lentil(Masur),Durgapur,2016-01-31,10000.0,22.0,23.0,clear
149,Arhar (Tur/Red Gram),Asansol,2016-09-03,13000.0,25.0,29.0,rain
150,Black Gram (Urd Beans),Asansol,2016-09-03,13000.0,20.0,29.0,rain
151,Lentil(Masur),Asansol,2016-09-03,9000.0,20.0,29.0,rain
152,Lentil(Masur),Durgapur,2016-09-03,9000.0,22.5,29.0,rain
153,Arhar (Tur/Red Gram),Asansol,2016-10-03,13000.0,22.0,31.0,clear
154,Black Gram (Urd Beans),Asansol,2016-10-03,13000.0,20.5,31.0,clear
155,Lentil(Masur),Asansol,2016-10-03,9000.0,20.5,31.0,clear
156,Lentil(Masur),Durgapur,2016-10-03,9000.0,25.0,31.0,clear
157,Arhar (Tur/Red Gram),Asansol,2016-11-03,13000.0,20.0,29.2,clear
158,Black Gram (Urd Beans),Asansol,2016-11-03,13000.0,25.0,29.2,clear
159,Lentil(Masur),Asansol,2016-11-03,9000.0,20.0,29.2,clear
160,Lentil(Masur),Durgapur,2016-11-03,9000.0,20.0,29.2,clear
161,Arhar (Tur/Red Gram),Asansol,2016-12-03,13000.0,20.5,27.8,clear
162,Black Gram (Urd Beans),Asansol,2016-12-03,13000.0,20.0,27.8,clear
163,Lentil(Masur),Asansol,2016-12-03,9000.0,25.0,27.8,clear
164,Lentil(Masur),Durgapur,2016-12-03,9000.0,20.5,27.8,clear
165,Arhar (Tur/Red Gram),Asansol,2016-03-13,13000.0,20.0,28.4,clear
166,Black Gram (Urd Beans),Asansol,2016-03-13,13000.0,22.0,28.4,clear
167,Lentil(Masur),Asansol,2016-03-13,9000.0,22.0,28.4,clear
168,Lentil(Masur),Durgapur,2016-03-13,9000.0,25.0,28.4,clear
169,Arhar (Tur/Red Gram),Asansol,2016-03-14,12000.0,25.0,27.2,rain
170,Black Gram (Urd Beans),Asansol,2016-03-14,13000.0,22.5,27.2,rain
171,Lentil(Masur),Asansol,2016-03-14,9000.0,20.0,27.2,rain
172,Arhar (Tur/Red Gram),Asansol,2016-03-15,12000.0,22.0,29.0,clear
173,Black Gram (Urd Beans),Asansol,2016-03-15,13000.0,20.0,29.0,clear
174,Lentil(Masur),Asansol,2016-03-15,9000.0,20.5,29.0,clear
175,Lentil(Masur),Durgapur,2016-03-15,9000.0,20.0,29.0,clear
176,Arhar (Tur/Red Gram),Asansol,2016-03-16,12000.0,20.0,29.0,clear
177,Black Gram (Urd Beans),Asansol,2016-03-16,13000.0,25.0,29.0,clear
178,Lentil(Masur),Asansol,2016-03-16,9000.0,25.0,29.0,clear
179,Lentil(Masur),Durgapur,2016-03-16,9000.0,22.0,29.0,clear
180,Arhar (Tur/Red Gram),Asansol,2016-03-17,12000.0,22.0,29.6,clear
181,Black Gram (Urd Beans),Asansol,2016-03-17,13000.0,20.0,29.6,clear
182,Lentil(Masur),Asansol,2016-03-17,9000.0,20.0,29.6,clear
183,Lentil(Masur),Durgapur,2016-03-17,9000.0,20.0,29.6,clear
184,Arhar (Tur/Red Gram),Asansol,2016-03-18,12000.0,20.0,29.2,clear
185,Black Gram (Urd Beans),Asansol,2016-03-18,13000.0,20.5,29.2,clear
186,Lentil(Masur),Asansol,2016-03-18,9000.0,20.5,29.2,clear
187,Lentil(Masur),Durgapur,2016-03-18,9000.0,22.0,29.2,clear
188,Arhar (Tur/Red Gram),Asansol,2016-03-19,12000.0,22.5,29.4,clear
189,Black Gram (Urd Beans),Asansol,2016-03-19,13000.0,20.0,29.4,clear
190,Lentil(Masur),Asansol,2016-03-19,9000.0,25.0,29.4,clear
191,Lentil(Masur),Durgapur,2016-03-19,9000.0,20.0,29.4,clear
192,Arhar (Tur/Red Gram),Asansol,2016-03-20,12000.0,20.0,29.8,clear
193,Black Gram (Urd Beans),Asansol,2016-03-20,13000.0,20.5,29.8,clear
194,Lentil(Masur),Asansol,2016-03-20,9000.0,20.5,29.8,clear
195,Lentil(Masur),Durgapur,2016-03-20,9000.0,22.0,29.8,clear
196,Arhar (Tur/Red Gram),Asansol,2016-03-21,12000.0,22.0,29.8,clear
197,Black Gram (Urd Beans),Asansol,2016-03-21,13000.0,20.0,29.8,clear
198,Lentil(Masur),Asansol,2016-03-21,9000.0,22.0,29.8,clear
199,Lentil(Masur),Durgapur,2016-03-21,9000.0,25.0,29.8,clear
200,Arhar (Tur/Red Gram),Asansol,2016-03-22,12000.0,20.0,29.8,clear
201,Black Gram (Urd Beans),Asansol,2016-03-22,13000.0,20.0,29.8,clear
202,Lentil(Masur),Asansol,2016-03-22,9000.0,25.0,29.8,clear
203,Lentil(Masur),Durgapur,2016-03-22,9000.0,20.0,29.8,clear
204,Arhar (Tur/Red Gram),Asansol,2016-03-23,12000.0,20.5,29.8,clear
205,Black Gram (Urd Beans),Asansol,2016-03-23,13000.0,22.0,29.8,clear
206,Lentil(Masur),Asansol,2016-03-23,9000.0,22.0,29.8,clear
207,Lentil(Masur),Durgapur,2016-03-23,9000.0,20.5,29.8,clear
208,Arhar (Tur/Red Gram),Asansol,2016-03-24,12000.0,25.0,28.8,clear
209,Black Gram (Urd Beans),Asansol,2016-03-24,13000.0,20.0,28.8,clear
210,Lentil(Masur),Asansol,2016-03-24,9000.0,20.0,28.8,clear
211,Lentil(Masur),Durgapur,2016-03-24,9000.0,20.0,28.8,clear
212,Arhar (Tur/Red Gram),Asansol,2016-03-25,12000.0,22.0,29.4,clear
213,Black Gram (Urd Beans),Asansol,2016-03-25,13000.0,20.5,29.4,clear
214,Lentil(Masur),Asansol,2016-03-25,9000.0,25.0,29.4,clear
215,Lentil(Masur),Durgapur,2016-03-25,9000.0,25.0,29.4,clear
216,Arhar (Tur/Red Gram),Asansol,2016-03-26,12000.0,20.0,29.8,clear
217,Black Gram (Urd Beans),Asansol,2016-03-26,12000.0,25.0,29.8,clear
218,Lentil(Masur),Asansol,2016-03-26,8500.0,20.0,29.8,clear
219,Lentil(Masur),Durgapur,2016-03-26,9000.0,20.0,29.8,clear
220,Arhar (Tur/Red Gram),Asansol,2016-03-27,12000.0,22.0,30.8,clear
221,Black Gram (Urd Beans),Asansol,2016-03-27,12000.0,20.5,30.8,clear
222,Lentil(Masur),Asansol,2016-03-27,8500.0,20.5,30.8,clear
223,Arhar (Tur/Red Gram),Asansol,2016-03-28,12000.0,20.0,30.2,clear
224,Black Gram (Urd Beans),Asansol,2016-03-28,12000.0,20.0,30.2,clear
225,Lentil(Masur),Asansol,2016-03-28,8500.0,25.0,30.2,clear
226,Lentil(Masur),Durgapur,2016-03-28,9000.0,20.0,30.2,clear
227,Arhar (Tur/Red Gram),Asansol,2016-03-29,12000.0,25.0,30.2,clear
228,Black Gram (Urd Beans),Asansol,2016-03-29,12000.0,22.0,30.2,clear
229,Lentil(Masur),Asansol,2016-03-29,8500.0,20.0,30.2,clear
230,Lentil(Masur),Durgapur,2016-03-29,9000.0,25.0,30.2,clear
231,Arhar (Tur/Red Gram),Asansol,2016-03-30,12000.0,20.0,30.0,rain
232,Black Gram (Urd Beans),Asansol,2016-03-30,12000.0,20.5,30.0,rain
233,Lentil(Masur),Asansol,2016-03-30,8500.0,25.0,30.0,rain
234,Lentil(Masur),Durgapur,2016-03-30,9000.0,20.0,30.0,rain
235,Arhar (Tur/Red Gram),Asansol,2016-03-31,12000.0,22.0,30.4,clear
236,Black Gram (Urd Beans),Asansol,2016-03-31,12000.0,20.0,30.4,clear
237,Lentil(Masur),Asansol,2016-03-31,8500.0,22.0,30.4,clear
238,Lentil(Masur),Durgapur,2016-03-31,9000.0,20.5,30.4,clear
239,Arhar (Tur/Red Gram),Asansol,2016-05-05,14000.0,25.0,34.2,clear
240,Black Gram (Urd Beans),Asansol,2016-05-05,15000.0,20.0,34.2,clear
241,Lentil(Masur),Asansol,2016-05-05,9500.0,22.0,34.2,clear
242,Lentil(Masur),Durgapur,2016-05-05,9500.0,20.0,34.2,clear
243,Arhar (Tur/Red Gram),Asansol,2016-06-05,14000.0,30.0,32.8,clear
244,Black Gram (Urd Beans),Asansol,2016-06-05,15000.0,25.0,32.8,clear
245,Lentil(Masur),Asansol,2016-06-05,9500.0,20.0,32.8,clear
246,Lentil(Masur),Durgapur,2016-06-05,9500.0,25.0,32.8,clear
247,Arhar (Tur/Red Gram),Asansol,2016-07-05,14000.0,25.0,28.0,rain
