,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Kawardha,2015-12-07,7201.0,1.3,30.0,clear
1,Arhar (Tur/Red Gram),Kawardha,2015-12-29,7046.0,0.45,28.4,clear
2,Arhar (Tur/Red Gram),Kawardha,2016-03-01,8206.0,5.08,32.4,clear
3,Arhar (Tur/Red Gram),Kawardha,2016-04-01,8450.0,2.76,39.0,clear
4,Arhar (Tur/Red Gram),Kawardha,2016-05-01,9110.0,5.82,43.2,clear
5,Arhar (Tur/Red Gram),Kawardha,2016-06-01,9100.0,11.17,41.8,clear
6,Arhar (Tur/Red Gram),Kawardha,2016-07-01,9012.0,15.47,36.4,clear
7,Arhar (Tur/Red Gram),Kawardha,2016-09-01,8400.0,20.01,31.8,clear
8,Arhar (Tur/Red Gram),Kawardha,2016-10-01,8200.0,18.08,32.0,clear
9,Arhar (Tur/Red Gram),Kawardha,2016-11-01,8857.0,18.07,29.6,clear
10,Arhar (Tur/Red Gram),Kawardha,2016-12-01,8700.0,22.38,27.6,clear
11,Arhar (Tur/Red Gram),Kawardha,2016-01-13,4076.0,29.66,28.0,clear
12,Arhar (Tur/Red Gram),Kawardha,2016-01-14,8804.0,21.48,28.2,clear
13,Arhar (Tur/Red Gram),Kawardha,2016-01-16,8500.0,34.67,27.6,clear
14,Arhar (Tur/Red Gram),Kawardha,2016-01-17,8600.0,5.01,24.2,clear
15,Arhar (Tur/Red Gram),Kawardha,2016-01-18,8800.0,21.62,25.2,clear
16,Arhar (Tur/Red Gram),Kawardha,2016-01-19,8704.0,14.44,25.8,clear
17,Arhar (Tur/Red Gram),Kawardha,2016-01-20,8625.0,7.95,24.0,clear
18,Arhar (Tur/Red Gram),Kawardha,2016-01-21,8372.0,10.46,23.6,clear
19,Arhar (Tur/Red Gram),Kawardha,2016-01-23,8290.0,20.35,24.2,clear
20,Arhar (Tur/Red Gram),Kawardha,2016-01-24,8370.0,2.85,26.0,clear
21,Arhar (Tur/Red Gram),Kawardha,2016-01-25,8435.0,16.16,27.0,clear
22,Arhar (Tur/Red Gram),Kawardha,2016-01-27,8440.0,26.27,28.0,clear
23,Arhar (Tur/Red Gram),Kawardha,2016-01-28,8152.0,17.89,29.2,clear
24,Arhar (Tur/Red Gram),Kawardha,2016-01-30,7929.0,21.92,31.0,clear
25,Arhar (Tur/Red Gram),Kawardha,2016-01-31,7800.0,12.0,33.0,clear
26,Arhar (Tur/Red Gram),Kawardha,2016-01-02,7825.0,11.82,28.4,clear
27,Arhar (Tur/Red Gram),Kawardha,2016-02-02,7391.0,12.29,32.0,clear
28,Arhar (Tur/Red Gram),Kawardha,2016-03-02,7550.0,4.9,34.0,clear
29,Arhar (Tur/Red Gram),Kawardha,2016-04-02,7401.0,3.17,40.0,clear
30,Arhar (Tur/Red Gram),Kawardha,2016-06-02,7451.0,12.47,42.8,clear
31,Arhar (Tur/Red Gram),Kawardha,2016-07-02,7741.0,4.89,31.8,clear
32,Arhar (Tur/Red Gram),Kawardha,2016-08-02,7706.0,14.1,28.6,clear
33,Arhar (Tur/Red Gram),Kawardha,2016-09-02,8300.0,10.51,32.2,rain
34,Arhar (Tur/Red Gram),Kawardha,2016-10-02,8150.0,15.04,30.6,clear
35,Arhar (Tur/Red Gram),Kawardha,2016-11-02,8000.0,11.63,31.0,clear
36,Arhar (Tur/Red Gram),Kawardha,2016-02-13,7692.0,9.88,32.0,clear
37,Arhar (Tur/Red Gram),Kawardha,2016-02-14,7600.0,4.93,33.0,clear
38,Arhar (Tur/Red Gram),Kawardha,2016-02-15,7800.0,5.2,31.2,clear
39,Arhar (Tur/Red Gram),Kawardha,2016-02-16,7700.0,7.37,33.0,clear
40,Arhar (Tur/Red Gram),Kawardha,2016-02-17,7500.0,14.74,33.2,clear
41,Arhar (Tur/Red Gram),Kawardha,2016-02-18,7450.0,5.08,34.6,clear
42,Arhar (Tur/Red Gram),Kawardha,2016-02-20,7601.0,3.76,36.2,clear
43,Arhar (Tur/Red Gram),Kawardha,2016-02-21,7651.0,1.1,36.2,clear
44,Arhar (Tur/Red Gram),Kawardha,2016-02-22,7499.0,1.7,34.0,clear
45,Arhar (Tur/Red Gram),Kawardha,2016-02-23,7399.0,9.3,33.2,clear
46,Arhar (Tur/Red Gram),Kawardha,2016-02-24,7373.0,3.3,32.8,clear
47,Arhar (Tur/Red Gram),Kawardha,2016-02-25,7792.0,13.1,33.0,clear
48,Arhar (Tur/Red Gram),Kawardha,2016-02-27,7850.0,14.5,30.6,clear
49,Arhar (Tur/Red Gram),Kawardha,2016-02-28,7707.0,10.8,32.0,clear
50,Arhar (Tur/Red Gram),Kawardha,2016-02-29,7600.0,14.2,32.4,clear
51,Arhar (Tur/Red Gram),Kawardha,2016-01-03,7450.0,14.1,27.6,clear
52,Arhar (Tur/Red Gram),Kawardha,2016-02-03,7599.0,10.8,31.0,clear
53,Arhar (Tur/Red Gram),Kawardha,2016-03-03,7600.0,17.8,36.0,clear
54,Arhar (Tur/Red Gram),Kawardha,2016-05-03,7700.0,14.2,40.6,clear
55,Arhar (Tur/Red Gram),Kawardha,2016-06-03,7900.0,9.6,42.0,clear
56,Arhar (Tur/Red Gram),Kawardha,2016-08-03,8275.0,25.8,30.2,rain
57,Arhar (Tur/Red Gram),Kawardha,2016-09-03,7861.0,33.4,29.2,clear
58,Arhar (Tur/Red Gram),Kawardha,2016-10-03,7781.0,34.3,32.0,clear
59,Arhar (Tur/Red Gram),Kawardha,2016-12-03,7400.0,8.3,28.6,clear
60,Arhar (Tur/Red Gram),Kawardha,2016-03-13,7450.0,5.2,30.4,clear
61,Arhar (Tur/Red Gram),Kawardha,2016-03-14,7651.0,8.3,27.0,clear
62,Arhar (Tur/Red Gram),Kawardha,2016-03-16,8000.0,9.6,33.0,clear
63,Arhar (Tur/Red Gram),Kawardha,2016-03-17,7701.0,21.7,34.6,clear
64,Arhar (Tur/Red Gram),Kawardha,2016-03-20,8151.0,15.8,37.4,clear
65,Arhar (Tur/Red Gram),Kawardha,2016-03-21,8051.0,6.9,38.0,clear
66,Arhar (Tur/Red Gram),Kawardha,2016-03-22,8000.0,1.2,37.4,clear
67,Arhar (Tur/Red Gram),Kawardha,2016-03-29,8120.0,38.3,37.2,clear
68,Arhar (Tur/Red Gram),Kawardha,2016-03-30,8201.0,23.2,37.8,clear
69,Arhar (Tur/Red Gram),Kawardha,2016-03-31,8352.0,30.7,38.4,clear
70,Arhar (Tur/Red Gram),Kawardha,2016-02-04,8385.0,22.0,28.8,clear
71,Arhar (Tur/Red Gram),Kawardha,2016-03-04,8888.0,39.5,35.0,clear
72,Arhar (Tur/Red Gram),Kawardha,2016-04-04,8751.0,48.1,42.8,clear
73,Arhar (Tur/Red Gram),Kawardha,2016-05-04,8520.0,16.9,39.8,clear
74,Arhar (Tur/Red Gram),Kawardha,2016-06-04,8470.0,27.7,38.4,clear
75,Arhar (Tur/Red Gram),Kawardha,2016-07-04,8600.0,24.4,28.4,clear
76,Arhar (Tur/Red Gram),Kawardha,2016-09-04,8700.0,18.7,28.4,rain
77,Arhar (Tur/Red Gram),Kawardha,2016-10-04,8652.0,8.3,32.4,clear
78,Arhar (Tur/Red Gram),Kawardha,2016-11-04,8499.0,14.0,30.4,clear
79,Arhar (Tur/Red Gram),Kawardha,2016-12-04,8700.0,20.8,28.4,clear
80,Arhar (Tur/Red Gram),Kawardha,2016-04-13,8880.0,9.7,40.6,clear
81,Arhar (Tur/Red Gram),Kawardha,2016-04-20,8702.0,9.4,44.2,clear
82,Arhar (Tur/Red Gram),Kawardha,2016-04-21,8350.0,5.0,43.2,clear
83,Arhar (Tur/Red Gram),Kawardha,2016-04-23,8891.0,2.3,42.0,clear
84,Arhar (Tur/Red Gram),Kawardha,2016-04-24,8901.0,8.5,41.2,clear
85,Arhar (Tur/Red Gram),Kawardha,2016-04-25,8781.0,4.9,42.6,clear
86,Arhar (Tur/Red Gram),Kawardha,2016-04-26,8901.0,4.2,43.2,clear
87,Arhar (Tur/Red Gram),Kawardha,2016-04-27,8001.0,1.1,42.0,clear
88,Arhar (Tur/Red Gram),Kawardha,2016-04-28,8401.0,1.8,41.2,clear
89,Arhar (Tur/Red Gram),Pandariya,2016-04-28,4950.0,100.0,41.2,clear
90,Arhar (Tur/Red Gram),Kawardha,2016-04-30,8700.0,0.7,40.4,clear
91,Arhar (Tur/Red Gram),Kawardha,2016-01-05,8700.0,0.7,28.0,clear
92,Arhar (Tur/Red Gram),Kawardha,2016-02-05,8400.0,7.1,30.8,clear
93,Arhar (Tur/Red Gram),Kawardha,2016-03-05,8500.0,7.7,36.0,clear
94,Arhar (Tur/Red Gram),Kawardha,2016-04-05,8400.0,1.2,39.8,clear
95,Arhar (Tur/Red Gram),Kawardha,2016-05-05,8300.0,14.0,38.0,clear
96,Arhar (Tur/Red Gram),Kawardha,2016-07-05,8501.0,13.3,28.4,clear
97,Arhar (Tur/Red Gram),Kawardha,2016-08-05,9004.0,3.8,30.2,rain
98,Arhar (Tur/Red Gram),Kawardha,2016-10-05,8800.0,5.4,32.4,clear
99,Arhar (Tur/Red Gram),Kawardha,2016-11-05,8501.0,10.2,30.4,clear
100,Arhar (Tur/Red Gram),Kawardha,2016-12-05,8600.0,13.2,27.4,clear
101,Arhar (Tur/Red Gram),Kawardha,2016-05-14,8700.0,7.4,43.2,clear
102,Arhar (Tur/Red Gram),Pandariya,2016-05-14,5000.0,50.0,43.2,clear
103,Arhar (Tur/Red Gram),Kawardha,2016-05-15,8601.0,5.8,43.4,clear
104,Arhar (Tur/Red Gram),Kawardha,2016-05-16,8700.0,8.0,43.2,clear
105,Arhar (Tur/Red Gram),Kawardha,2016-05-17,8800.0,8.4,42.4,clear
106,Arhar (Tur/Red Gram),Kawardha,2016-05-18,8701.0,9.9,38.4,clear
107,Arhar (Tur/Red Gram),Kawardha,2016-05-19,8500.0,11.3,38.0,clear
108,Arhar (Tur/Red Gram),Kawardha,2016-05-22,8610.0,8.1,41.2,clear
109,Arhar (Tur/Red Gram),Kawardha,2016-05-23,8501.0,6.7,41.6,rain
110,Arhar (Tur/Red Gram),Kawardha,2016-05-24,8702.0,15.6,40.8,rain
111,Arhar (Tur/Red Gram),Kawardha,2016-05-26,8702.0,19.8,36.2,clear
112,Arhar (Tur/Red Gram),Kawardha,2016-05-29,8400.0,12.2,40.2,clear
113,Arhar (Tur/Red Gram),Kawardha,2016-05-31,8561.0,5.9,41.6,clear
114,Arhar (Tur/Red Gram),Kawardha,2016-01-06,8400.0,13.6,28.8,clear
115,Arhar (Tur/Red Gram),Kawardha,2016-02-06,8300.0,10.5,31.4,clear
116,Arhar (Tur/Red Gram),Kawardha,2016-04-06,8800.0,15.9,37.4,clear
117,Arhar (Tur/Red Gram),Kawardha,2016-05-06,8500.0,5.3,35.0,clear
118,Arhar (Tur/Red Gram),Kawardha,2016-06-06,8600.0,8.8,40.0,clear
119,Arhar (Tur/Red Gram),Kawardha,2016-07-06,8500.0,19.5,29.0,clear
120,Arhar (Tur/Red Gram),Kawardha,2016-08-06,8750.0,7.3,27.8,clear
121,Arhar (Tur/Red Gram),Kawardha,2016-09-06,8750.0,10.6,30.0,clear
122,Arhar (Tur/Red Gram),Kawardha,2016-11-06,8799.0,15.7,30.2,clear
123,Arhar (Tur/Red Gram),Kawardha,2016-12-06,8840.0,5.7,27.4,clear
124,Arhar (Tur/Red Gram),Kawardha,2016-06-13,8700.0,25.3,40.8,clear
125,Arhar (Tur/Red Gram),Kawardha,2016-06-14,8500.0,8.5,40.4,clear
126,Arhar (Tur/Red Gram),Kawardha,2016-06-15,8599.0,6.2,41.0,clear
127,Arhar (Tur/Red Gram),Kawardha,2016-06-16,8776.0,5.0,39.4,clear
128,Arhar (Tur/Red Gram),Kawardha,2016-06-21,8599.0,8.8,36.8,clear
129,Arhar (Tur/Red Gram),Kawardha,2016-06-22,8551.0,7.8,37.4,clear
130,Arhar (Tur/Red Gram),Kawardha,2016-06-23,8550.0,0.0,39.4,rain
131,Arhar (Tur/Red Gram),Kawardha,2016-06-25,8800.0,6.1,35.8,clear
132,Arhar (Tur/Red Gram),Kawardha,2016-06-26,8792.0,4.3,36.6,clear
133,Arhar (Tur/Red Gram),Kawardha,2016-06-27,8600.0,5.0,34.4,clear
134,Arhar (Tur/Red Gram),Kawardha,2016-06-28,8880.0,7.2,34.6,clear
135,Arhar (Tur/Red Gram),Kawardha,2016-06-30,8900.0,5.1,35.8,clear
136,Arhar (Tur/Red Gram),Kawardha,2016-02-07,8800.0,7.8,31.4,clear
137,Arhar (Tur/Red Gram),Kawardha,2016-03-07,8825.0,10.3,32.4,clear
138,Arhar (Tur/Red Gram),Kawardha,2016-04-07,8700.0,10.5,35.6,clear
