,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Green Gram (Moong),Surajpur,2012-04-08,2000.0,1.0,31.4,clear
1,Arhar (Tur/Red Gram),Ambikapur,2015-12-31,5100.0,0.8,25.6,clear
2,Arhar (Tur/Red Gram),Ramanujganj,2015-12-31,4430.0,9.0,25.6,clear
3,Lentil(Masur),Ambikapur,2015-12-31,4500.0,1.5,25.6,clear
4,Arhar (Tur/Red Gram),Ambikapur,2016-02-29,4355.0,4.0,30.8,clear
5,Arhar (Tur/Red Gram),Ramanujganj,2016-02-29,4430.0,10.0,30.8,clear
6,Black Gram (Urd Beans),Sitapur,2016-02-29,4425.0,1.0,30.8,clear
7,Arhar (Tur/Red Gram),Ambikapur,2016-04-26,5000.0,1.1,40.4,clear
8,Arhar (Tur/Red Gram),Ramanujganj,2016-01-25,4430.0,1.5,21.6,clear
9,Arhar (Tur/Red Gram),Ramanujganj,2016-10-02,4430.0,1.0,30.4,clear
10,Arhar (Tur/Red Gram),Ramanujganj,2016-02-22,4430.0,2.0,29.6,clear
11,Arhar (Tur/Red Gram),Ramanujganj,2016-03-14,4450.0,4.5,27.2,clear
12,Arhar (Tur/Red Gram),Ramanujganj,2016-03-28,1600.0,8.0,33.6,clear
13,Arhar (Tur/Red Gram),Ramanujganj,2016-05-31,4430.0,30.0,38.6,clear
14,Black Gram (Urd Beans),Sitapur,2016-05-31,4425.0,0.7,38.6,clear
15,Arhar (Tur/Red Gram),Ramanujganj,2016-06-30,4430.0,3.5,36.4,clear
16,Arhar (Tur/Red Gram),Surajpur,2016-06-30,4500.0,10.0,36.4,clear
17,Black Gram (Urd Beans),Surajpur,2016-06-30,4500.0,19.0,36.4,clear
18,Lentil(Masur),Ambikapur,2016-06-30,4700.0,2.7,36.4,clear
19,Arhar (Tur/Red Gram),Ramanujganj,2016-08-26,4430.0,10.5,29.4,rain
20,Arhar (Tur/Red Gram),Ramanujganj,2016-08-31,5050.0,5.0,28.0,clear
21,Arhar (Tur/Red Gram),Ramanujganj,2016-09-19,4430.0,5.0,29.4,clear
22,Arhar (Tur/Red Gram),Ramanujganj,2016-10-13,4630.0,1.5,28.8,clear
23,Arhar (Tur/Red Gram),Ramanujganj,2016-10-17,4630.0,3.0,27.2,clear
24,Arhar (Tur/Red Gram),Ramanujganj,2016-10-21,4630.0,2.0,28.0,clear
25,Arhar (Tur/Red Gram),Sitapur,2016-03-16,5000.0,0.6,29.0,clear
26,Arhar (Tur/Red Gram),Surajpur,2016-02-23,4425.0,10.0,27.8,clear
27,Arhar (Tur/Red Gram),Surajpur,2016-04-21,4500.0,3.0,41.8,clear
