,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Bengal Gram(Gram),Chickkaballapura,2014-05-30,2700.0,3.0,35.8,clear
1,Bengal Gram(Gram),Chickkaballapura,2014-05-09,4000.0,2.0,31.0,clear
2,Bengal Gram(Gram),Chintamani,2014-12-28,3000.0,17.0,26.8,clear
3,Bengal Gram(Gram),Gowribidanoor,2014-08-14,4400.0,1.0,31.5,clear
4,Bengal Gram(Gram),Gowribidanoor,2014-11-20,3000.0,4.0,28.8,clear
5,Black Gram (Urd Beans),Bangarpet,2014-07-23,6800.0,7.0,31.9,clear
6,Black Gram (Urd Beans),Bangarpet,2014-07-28,6900.0,11.0,31.3,clear
7,Black Gram (Urd Beans),Bangarpet,2014-07-29,7000.0,7.0,33.1,clear
8,Black Gram (Urd Beans),Bangarpet,2014-04-08,7020.0,6.0,38.3,clear
9,Black Gram (Urd Beans),Bangarpet,2014-08-23,7020.0,5.0,33.3,clear
10,Black Gram (Urd Beans),Bangarpet,2014-09-15,7250.0,12.0,31.7,clear
11,Black Gram (Urd Beans),Bangarpet,2014-12-13,7000.0,11.0,28.3,clear
12,Arhar (Tur/Red Gram),Bangarpet,2015-01-09,10800.0,3.0,29.2,clear
13,Arhar (Tur/Red Gram),Bangarpet,2015-07-09,10800.0,11.0,32.4,clear
14,Arhar (Tur/Red Gram),Bangarpet,2015-09-28,11000.0,9.0,31.4,clear
15,Green Gram (Moong),Bangarpet,2015-09-28,8400.0,5.0,31.4,clear
16,Arhar (Tur/Red Gram),Bangarpet,2015-09-29,11000.0,12.0,31.8,clear
17,Arhar (Tur/Red Gram),Bangarpet,2015-10-14,11000.0,14.0,33.8,clear
18,Arhar (Tur/Red Gram),Kolar,2015-10-14,12483.0,4.0,33.8,clear
19,Arhar (Tur/Red Gram),Bangarpet,2015-10-21,11000.0,3.0,33.1,clear
20,Arhar (Tur/Red Gram),Kolar,2015-10-21,12627.0,5.0,33.1,clear
21,Arhar (Tur/Red Gram),Bangarpet,2015-05-11,12800.0,5.0,32.7,clear
22,Arhar (Tur/Red Gram),Bangarpet,2015-11-26,12800.0,5.0,29.0,clear
23,Green Gram (Moong),Bangarpet,2015-11-26,8200.0,5.0,29.0,clear
24,Arhar (Tur/Red Gram),Bangarpet,2015-12-14,14200.0,5.0,32.0,clear
25,Arhar (Tur/Red Gram),Bangarpet,2015-12-17,14200.0,3.0,31.3,clear
26,Arhar (Tur/Red Gram),Bangarpet,2015-12-21,14200.0,3.0,30.5,clear
27,Arhar (Tur/Red Gram),Chintamani,2015-10-04,5200.0,21.0,31.5,clear
28,Arhar (Tur/Red Gram),Kolar,2015-02-09,12500.0,3.0,32.4,clear
29,Arhar (Tur/Red Gram),Kolar,2015-09-15,9660.0,1.0,30.6,clear
30,Arhar (Tur/Red Gram),Kolar,2015-09-16,10150.0,1.0,31.9,clear
31,Arhar (Tur/Red Gram),Kolar,2015-09-24,11529.0,1.0,34.1,clear
32,Arhar (Tur/Red Gram),Kolar,2015-01-10,11000.0,1.0,29.6,clear
33,Arhar (Tur/Red Gram),Kolar,2015-08-10,12400.0,3.0,31.4,clear
34,Arhar (Tur/Red Gram),Kolar,2015-10-15,11500.0,4.0,32.2,clear
