,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Kondotty,2015-12-08,9200.0,0.2,28.0,clear
1,Bengal Gram(Gram),Kondotty,2015-12-08,5900.0,0.25,28.0,clear
2,Black Gram (Urd Beans),Kondotty,2015-12-08,9900.0,0.25,28.0,clear
3,Arhar (Tur/Red Gram),Kondotty,2015-12-09,9900.0,0.0,31.2,clear
4,Bengal Gram(Gram),Kondotty,2015-12-09,5700.0,0.0,31.2,clear
5,Bengal Gram(Gram),Manjeri,2015-12-09,5500.0,4.0,31.2,clear
6,Black Gram (Urd Beans),Kondotty,2015-12-09,9100.0,0.0,31.2,clear
7,Arhar (Tur/Red Gram),Kondotty,2015-12-10,9300.0,0.5,32.8,clear
8,Bengal Gram(Gram),Kondotty,2015-12-10,6100.0,0.5,32.8,clear
9,Bengal Gram(Gram),Manjeri,2015-12-10,5900.0,4.0,32.8,clear
10,Black Gram (Urd Beans),Kondotty,2015-12-10,9500.0,0.2,32.8,clear
11,Green Gram (Moong),Manjeri,2015-12-10,8900.0,4.0,32.8,clear
12,Arhar (Tur/Red Gram),Kondotty,2015-12-11,13100.0,0.0,30.2,clear
13,Bengal Gram(Gram),Kondotty,2015-12-11,6100.0,0.0,30.2,clear
14,Bengal Gram(Gram),Manjeri,2015-12-11,6300.0,4.0,30.2,clear
15,Black Gram (Urd Beans),Kondotty,2015-12-11,15100.0,0.0,30.2,clear
16,Green Gram (Moong),Manjeri,2015-12-11,9300.0,4.0,30.2,clear
17,Arhar (Tur/Red Gram),Kondotty,2015-12-18,9100.0,0.0,31.8,clear
18,Bengal Gram(Gram),Kondotty,2015-12-18,5900.0,0.0,31.8,clear
19,Bengal Gram(Gram),Manjeri,2015-12-18,6300.0,4.0,31.8,clear
20,Black Gram (Urd Beans),Kondotty,2015-12-18,9500.0,0.0,31.8,clear
21,Green Gram (Moong),Manjeri,2015-12-18,9600.0,4.0,31.8,clear
22,Bengal Gram(Gram),Kondotty,2015-12-14,5900.0,0.5,29.0,clear
23,Bengal Gram(Gram),Manjeri,2015-12-14,6300.0,4.0,29.0,clear
24,Black Gram (Urd Beans),Kondotty,2015-12-14,9100.0,0.5,29.0,clear
25,Green Gram (Moong),Manjeri,2015-12-14,9600.0,4.0,29.0,clear
26,Bengal Gram(Gram),Kondotty,2015-12-15,6100.0,0.0,29.8,clear
27,Bengal Gram(Gram),Manjeri,2015-12-15,6300.0,4.0,29.8,clear
28,Green Gram (Moong),Manjeri,2015-12-15,9600.0,4.0,29.8,clear
29,Bengal Gram(Gram),Kondotty,2015-12-16,5900.0,0.0,29.2,clear
30,Bengal Gram(Gram),Manjeri,2015-12-16,6300.0,4.0,29.2,clear
31,Black Gram (Urd Beans),Kondotty,2015-12-16,8900.0,0.0,29.2,clear
32,Green Gram (Moong),Manjeri,2015-12-16,9600.0,4.0,29.2,clear
33,Bengal Gram(Gram),Kondotty,2015-12-19,6100.0,0.0,30.2,clear
34,Bengal Gram(Gram),Manjeri,2015-12-19,6300.0,4.0,30.2,clear
35,Black Gram (Urd Beans),Kondotty,2015-12-19,9100.0,0.0,30.2,clear
36,Green Gram (Moong),Manjeri,2015-12-19,9600.0,4.0,30.2,clear
37,Bengal Gram(Gram),Kondotty,2015-12-21,6100.0,0.5,30.4,clear
38,Bengal Gram(Gram),Manjeri,2015-12-21,6600.0,4.0,30.4,clear
39,Black Gram (Urd Beans),Kondotty,2015-12-21,9500.0,0.5,30.4,clear
40,Green Gram (Moong),Kondotty,2015-12-21,8900.0,0.5,30.4,clear
41,Green Gram (Moong),Manjeri,2015-12-21,9000.0,4.0,30.4,clear
42,Bengal Gram(Gram),Kondotty,2015-12-22,6000.0,0.0,30.8,clear
43,Bengal Gram(Gram),Manjeri,2015-12-22,6600.0,4.0,30.8,clear
44,Black Gram (Urd Beans),Kondotty,2015-12-22,9200.0,0.0,30.8,clear
45,Green Gram (Moong),Manjeri,2015-12-22,9000.0,4.0,30.8,clear
46,Bengal Gram(Gram),Kondotty,2015-12-23,5900.0,0.0,30.8,clear
47,Bengal Gram(Gram),Manjeri,2015-12-23,6600.0,4.0,30.8,clear
48,Green Gram (Moong),Kondotty,2015-12-23,8900.0,0.0,30.8,clear
49,Green Gram (Moong),Manjeri,2015-12-23,9000.0,4.0,30.8,clear
50,Bengal Gram(Gram),Kondotty,2015-12-26,6100.0,0.0,31.8,clear
51,Bengal Gram(Gram),Kondotty,2015-12-28,5900.0,0.5,31.0,clear
52,Black Gram (Urd Beans),Kondotty,2015-12-28,9500.0,0.5,31.0,clear
53,Green Gram (Moong),Kondotty,2015-12-28,9100.0,0.5,31.0,clear
54,Bengal Gram(Gram),Kondotty,2015-12-29,6100.0,0.0,31.4,clear
55,Bengal Gram(Gram),Manjeri,2015-12-29,6600.0,4.0,31.4,clear
56,Black Gram (Urd Beans),Kondotty,2015-12-29,9300.0,0.0,31.4,clear
57,Green Gram (Moong),Manjeri,2015-12-29,9000.0,4.0,31.4,clear
58,Bengal Gram(Gram),Manjeri,2015-12-24,6600.0,4.0,30.4,clear
59,Green Gram (Moong),Manjeri,2015-12-24,9000.0,4.0,30.4,clear
60,Bengal Gram(Gram),Manjeri,2015-12-25,6600.0,4.0,30.0,clear
61,Green Gram (Moong),Manjeri,2015-12-25,9000.0,4.0,30.0,clear
62,Bengal Gram(Gram),Manjeri,2015-12-30,6600.0,4.0,32.0,clear
63,Green Gram (Moong),Manjeri,2015-12-30,9000.0,4.0,32.0,clear
64,Bengal Gram(Gram),Manjeri,2015-12-31,6600.0,4.0,33.2,clear
65,Green Gram (Moong),Manjeri,2015-12-31,9000.0,4.0,33.2,clear
66,Black Gram (Urd Beans),Kondotty,2015-12-12,9100.0,0.0,29.4,clear
67,Arhar (Tur/Red Gram),Kondotty,2016-01-01,12600.0,0.0,25.0,clear
68,Bengal Gram(Gram),Kondotty,2016-01-01,5900.0,0.0,25.0,clear
69,Bengal Gram(Gram),Manjeri,2016-01-01,6600.0,4.0,25.0,clear
70,Black Gram (Urd Beans),Kondotty,2016-01-01,9100.0,0.0,25.0,clear
71,Green Gram (Moong),Kondotty,2016-01-01,8900.0,0.2,25.0,clear
72,Green Gram (Moong),Manjeri,2016-01-01,9000.0,4.0,25.0,clear
73,Arhar (Tur/Red Gram),Kondotty,2016-06-01,15000.0,0.0,25.2,clear
74,Bengal Gram(Gram),Kondotty,2016-06-01,5900.0,0.0,25.2,clear
75,Bengal Gram(Gram),Manjeri,2016-06-01,6600.0,4.0,25.2,clear
76,Black Gram (Urd Beans),Kondotty,2016-06-01,9900.0,0.0,25.2,clear
77,Green Gram (Moong),Kondotty,2016-06-01,9100.0,0.0,25.2,clear
78,Green Gram (Moong),Manjeri,2016-06-01,9000.0,4.0,25.2,clear
79,Arhar (Tur/Red Gram),Kondotty,2016-08-01,14500.0,0.0,28.0,clear
80,Bengal Gram(Gram),Kondotty,2016-08-01,5900.0,0.0,28.0,clear
81,Bengal Gram(Gram),Manjeri,2016-08-01,6600.0,4.0,28.0,clear
82,Black Gram (Urd Beans),Kondotty,2016-08-01,9600.0,0.0,28.0,clear
83,Green Gram (Moong),Kondotty,2016-08-01,8600.0,0.0,28.0,clear
84,Green Gram (Moong),Manjeri,2016-08-01,9000.0,4.0,28.0,clear
85,Arhar (Tur/Red Gram),Kondotty,2016-11-01,12900.0,1.0,26.4,rain
86,Bengal Gram(Gram),Kondotty,2016-11-01,5900.0,0.2,26.4,rain
87,Bengal Gram(Gram),Manjeri,2016-11-01,6600.0,4.0,26.4,rain
88,Black Gram (Urd Beans),Kondotty,2016-11-01,14000.0,0.5,26.4,rain
89,Green Gram (Moong),Kondotty,2016-11-01,9100.0,1.0,26.4,rain
90,Green Gram (Moong),Manjeri,2016-11-01,9000.0,4.0,26.4,rain
91,Arhar (Tur/Red Gram),Kondotty,2016-12-01,13100.0,0.0,27.2,clear
92,Bengal Gram(Gram),Kondotty,2016-12-01,5900.0,0.0,27.2,clear
93,Bengal Gram(Gram),Manjeri,2016-12-01,6600.0,4.0,27.2,clear
94,Black Gram (Urd Beans),Kondotty,2016-12-01,13000.0,0.25,27.2,clear
95,Green Gram (Moong),Manjeri,2016-12-01,9000.0,4.0,27.2,clear
96,Arhar (Tur/Red Gram),Kondotty,2016-01-13,13500.0,0.0,30.4,clear
97,Bengal Gram(Gram),Kondotty,2016-01-13,5900.0,0.0,30.4,clear
98,Bengal Gram(Gram),Manjeri,2016-01-13,6600.0,4.0,30.4,clear
99,Black Gram (Urd Beans),Kondotty,2016-01-13,14000.0,0.0,30.4,clear
