,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Adoni,2012-01-01,3350.0,0.0,30.0,clear
1,Groundnut,Allagadda,2012-01-01,3400.0,0.0,30.0,clear
2,Groundnut,Kurnool,2012-01-01,3290.0,0.0,30.0,clear
3,Groundnut,Yemmiganur,2012-01-01,2100.0,0.1,30.0,clear
4,Sunflower,Allagadda,2012-01-01,3800.0,0.0,30.0,clear
5,Sunflower,Atmakur,2012-01-01,2900.0,0.0,30.0,clear
6,Sunflower,Kurnool,2012-01-01,3040.0,0.0,30.0,clear
7,Sunflower,Nandikotkur,2012-01-01,2900.0,0.1,30.0,clear
8,Sunflower,Nandyal,2012-01-01,3100.0,0.1,30.0,clear
9,Groundnut,Adoni,2012-02-01,3900.0,7.9,30.0,clear
10,Groundnut,Allagadda,2012-02-01,3300.0,0.0,30.0,clear
11,Groundnut,Kurnool,2012-02-01,3250.0,3.1,30.0,clear
12,Groundnut,Yemmiganur,2012-02-01,3410.0,0.8,30.0,clear
13,Sunflower,Allagadda,2012-02-01,3800.0,0.0,30.0,clear
14,Sunflower,Atmakur,2012-02-01,3000.0,0.0,30.0,clear
15,Sunflower,Kurnool,2012-02-01,3080.0,10.4,30.0,clear
16,Sunflower,Nandikotkur,2012-02-01,2950.0,0.1,30.0,clear
17,Groundnut,Adoni,2012-03-01,3800.0,25.9,37.8,clear
18,Groundnut,Allagadda,2012-03-01,3300.0,0.0,37.8,clear
19,Groundnut,Kurnool,2012-03-01,3260.0,18.7,37.8,clear
20,Groundnut,Yemmiganur,2012-03-01,3881.0,43.4,37.8,clear
21,Sunflower,Allagadda,2012-03-01,3800.0,0.0,37.8,clear
22,Sunflower,Atmakur,2012-03-01,2900.0,0.0,37.8,clear
23,Sunflower,Kurnool,2012-03-01,3060.0,15.8,37.8,clear
24,Sunflower,Nandikotkur,2012-03-01,2950.0,0.1,37.8,clear
25,Sunflower,Yemmiganur,2012-03-01,3085.0,1.9,37.8,clear
26,Groundnut,Adoni,2012-04-01,4000.0,16.2,37.5,clear
27,Groundnut,Allagadda,2012-04-01,3300.0,0.0,37.5,clear
28,Groundnut,Kurnool,2012-04-01,3230.0,7.3,37.5,clear
29,Groundnut,Yemmiganur,2012-04-01,3656.0,7.9,37.5,clear
30,Sunflower,Allagadda,2012-04-01,3800.0,0.0,37.5,clear
31,Sunflower,Atmakur,2012-04-01,2800.0,0.0,37.5,clear
32,Sunflower,Kurnool,2012-04-01,3120.0,13.1,37.5,clear
33,Sunflower,Nandikotkur,2012-04-01,2900.0,0.1,37.5,clear
34,Sunflower,Yemmiganur,2012-04-01,2760.0,0.4,37.5,clear
35,Groundnut,Adoni,2012-05-01,3850.0,23.6,40.4,clear
36,Groundnut,Allagadda,2012-05-01,3300.0,0.0,40.4,clear
37,Groundnut,Kurnool,2012-05-01,3350.0,11.6,40.4,clear
38,Groundnut,Yemmiganur,2012-05-01,3820.0,14.0,40.4,clear
39,Sunflower,Allagadda,2012-05-01,3800.0,0.0,40.4,clear
40,Sunflower,Kurnool,2012-05-01,3060.0,11.2,40.4,clear
41,Sunflower,Nandikotkur,2012-05-01,2950.0,0.1,40.4,clear
42,Sunflower,Nandyal,2012-05-01,3000.0,0.1,40.4,clear
43,Groundnut,Adoni,2012-06-01,3850.0,24.1,37.4,clear
44,Groundnut,Allagadda,2012-06-01,3300.0,0.0,37.4,clear
45,Groundnut,Kurnool,2012-06-01,3440.0,30.6,37.4,clear
46,Groundnut,Yemmiganur,2012-06-01,3839.0,21.5,37.4,clear
47,Sunflower,Allagadda,2012-06-01,3800.0,0.0,37.4,clear
48,Sunflower,Kurnool,2012-06-01,3060.0,14.0,37.4,clear
49,Sunflower,Nandikotkur,2012-06-01,2900.0,0.1,37.4,clear
50,Sunflower,Nandyal,2012-06-01,2800.0,0.1,37.4,clear
51,Sunflower,Yemmiganur,2012-06-01,3030.0,0.9,37.4,clear
52,Groundnut,Adoni,2012-07-01,3850.0,24.1,34.4,rain
53,Groundnut,Allagadda,2012-07-01,3300.0,0.0,34.4,rain
54,Groundnut,Kurnool,2012-07-01,3320.0,9.9,34.4,rain
55,Groundnut,Yemmiganur,2012-07-01,2100.0,0.0,34.4,rain
56,Sunflower,Allagadda,2012-07-01,3800.0,0.0,34.4,rain
57,Sunflower,Atmakur,2012-07-01,2900.0,0.0,34.4,rain
58,Sunflower,Kurnool,2012-07-01,3070.0,10.7,34.4,rain
59,Sunflower,Nandikotkur,2012-07-01,2900.0,0.1,34.4,rain
60,Sunflower,Nandyal,2012-07-01,3200.0,0.1,34.4,rain
61,Sunflower,Yemmiganur,2012-07-01,3030.0,0.0,34.4,rain
62,Groundnut,Adoni,2012-08-01,3850.0,0.0,33.0,clear
63,Groundnut,Kurnool,2012-08-01,3320.0,0.0,33.0,clear
64,Groundnut,Yemmiganur,2012-08-01,3750.0,67.2,33.0,clear
65,Sunflower,Allagadda,2012-08-01,3800.0,0.0,33.0,clear
66,Sunflower,Atmakur,2012-08-01,2800.0,0.0,33.0,clear
67,Sunflower,Kurnool,2012-08-01,3070.0,0.0,33.0,clear
68,Sunflower,Nandikotkur,2012-08-01,3000.0,0.1,33.0,clear
69,Sunflower,Yemmiganur,2012-08-01,2919.0,6.6,33.0,clear
70,Groundnut,Adoni,2012-09-01,3850.0,15.3,30.6,rain
71,Groundnut,Allagadda,2012-09-01,3300.0,0.0,30.6,rain
72,Groundnut,Kurnool,2012-09-01,3250.0,9.3,30.6,rain
73,Groundnut,Yemmiganur,2012-09-01,3878.0,3.0,30.6,rain
74,Sunflower,Allagadda,2012-09-01,3800.0,0.0,30.6,rain
75,Sunflower,Atmakur,2012-09-01,2900.0,0.0,30.6,rain
76,Sunflower,Kurnool,2012-09-01,3070.0,9.0,30.6,rain
77,Sunflower,Nandikotkur,2012-09-01,3000.0,0.1,30.6,rain
78,Sunflower,Yemmiganur,2012-09-01,2769.0,1.3,30.6,rain
79,Groundnut,Adoni,2012-10-01,3800.0,35.4,27.2,clear
80,Groundnut,Allagadda,2012-10-01,3300.0,0.0,27.2,clear
81,Groundnut,Kurnool,2012-10-01,3420.0,15.3,27.2,clear
82,Groundnut,Yemmiganur,2012-10-01,3010.0,18.9,27.2,clear
83,Sunflower,Allagadda,2012-10-01,3800.0,0.0,27.2,clear
84,Sunflower,Atmakur,2012-10-01,2900.0,0.0,27.2,clear
85,Sunflower,Kurnool,2012-10-01,3040.0,16.9,27.2,clear
86,Sunflower,Nandikotkur,2012-10-01,3000.0,0.1,27.2,clear
87,Sunflower,Nandyal,2012-10-01,3200.0,0.1,27.2,clear
