,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Ichapuram,2015-04-25,2800.0,48.0,33.0,clear
1,Groundnut,Ichapuram,2015-04-26,2400.0,48.0,31.0,clear
2,Groundnut,Ichapuram,2015-04-27,3000.0,48.0,34.0,clear
3,Groundnut,Ichapuram,2015-04-28,3800.0,144.0,33.4,clear
4,Groundnut,Ichapuram,2015-04-29,3500.0,48.0,32.6,clear
5,Groundnut,Ichapuram,2015-01-05,4200.0,64.0,28.0,clear
6,Groundnut,Ichapuram,2015-02-05,4200.0,96.0,29.0,clear
7,Groundnut,Ichapuram,2015-09-05,4200.0,96.0,32.8,clear
8,Groundnut,Ichapuram,2015-10-05,4100.0,48.0,32.2,clear
9,Groundnut,Ichapuram,2015-11-05,4100.0,80.0,30.0,clear
10,Groundnut,Ichapuram,2015-12-05,4200.0,64.0,29.0,clear
11,Groundnut,Ichapuram,2015-05-13,4200.0,96.0,34.8,clear
12,Groundnut,Ichapuram,2015-05-14,4200.0,96.0,33.8,clear
13,Groundnut,Ichapuram,2015-05-15,4100.0,112.0,34.0,clear
14,Groundnut,Ichapuram,2015-05-16,4200.0,32.0,34.6,clear
15,Groundnut,Ichapuram,2015-05-19,6200.0,32.0,34.4,clear
16,Groundnut,Ichapuram,2015-05-20,4200.0,48.0,34.0,clear
17,Groundnut,Ichapuram,2015-05-21,4100.0,48.0,34.2,clear
18,Groundnut,Ichapuram,2015-05-22,4100.0,80.0,34.0,clear
19,Groundnut,Ichapuram,2015-05-23,4100.0,48.0,34.0,clear
20,Groundnut,Ichapuram,2015-06-19,4200.0,21.0,29.6,rain
21,Groundnut,Ichapuram,2015-06-23,4100.0,32.0,31.4,clear
22,Groundnut,Ichapuram,2015-06-24,4200.0,48.0,29.2,clear
23,Groundnut,Ichapuram,2015-06-26,6200.0,16.0,32.0,clear
24,Groundnut,Ichapuram,2015-06-27,4200.0,16.0,34.0,clear
25,Groundnut,Ichapuram,2015-06-28,4200.0,16.0,30.6,clear
26,Groundnut,Ichapuram,2015-06-30,4200.0,80.0,30.6,clear
27,Groundnut,Ichapuram,2015-01-07,4200.0,96.0,26.0,clear
28,Groundnut,Ichapuram,2015-02-07,4200.0,64.0,27.6,clear
29,Safflower,Ichapuram,2015-02-07,4200.0,16.0,27.6,clear
30,Groundnut,Ichapuram,2015-03-07,4200.0,112.0,30.2,clear
31,Groundnut,Ichapuram,2015-05-07,4200.0,48.0,33.6,clear
32,Groundnut,Ichapuram,2015-07-07,4200.0,32.0,36.4,clear
33,Groundnut,Ichapuram,2015-08-07,4200.0,32.0,32.0,clear
34,Groundnut,Ichapuram,2015-09-07,4200.0,32.0,30.4,clear
35,Groundnut,Ichapuram,2015-11-07,4200.0,32.0,29.2,clear
36,Groundnut,Ichapuram,2015-12-07,4200.0,32.0,28.6,clear
37,Groundnut,Ichapuram,2015-07-15,4200.0,16.0,34.0,clear
38,Groundnut,Ichapuram,2015-07-22,4200.0,32.0,31.0,clear
39,Groundnut,Ichapuram,2015-07-30,4200.0,16.0,31.6,clear
40,Groundnut,Ichapuram,2015-07-08,4200.0,16.0,32.2,clear
41,Groundnut,Ichapuram,2015-09-08,4200.0,48.0,30.4,clear
42,Groundnut,Ichapuram,2015-10-08,4200.0,48.0,33.0,clear
43,Groundnut,Ichapuram,2015-08-15,4200.0,16.0,32.0,clear
44,Groundnut,Ichapuram,2015-08-17,4200.0,16.0,31.6,clear
45,Groundnut,Ichapuram,2015-08-29,6200.0,16.0,31.0,clear
46,Groundnut,Ichapuram,2015-08-09,4200.0,16.0,32.4,clear
47,Groundnut,Ichapuram,2015-10-09,4200.0,16.0,34.0,clear
48,Groundnut,Ichapuram,2015-11-09,4200.0,16.0,28.0,clear
49,Groundnut,Ichapuram,2015-09-13,4200.0,16.0,28.6,rain
50,Groundnut,Ichapuram,2015-09-15,4200.0,16.0,28.0,clear
51,Groundnut,Ichapuram,2015-09-16,4200.0,16.0,31.2,clear
52,Groundnut,Ichapuram,2015-09-17,4200.0,32.0,31.2,clear
53,Groundnut,Ichapuram,2015-09-18,4200.0,16.0,31.4,clear
54,Groundnut,Ichapuram,2015-09-20,4200.0,16.0,28.6,clear
55,Groundnut,Ichapuram,2015-09-22,4200.0,16.0,31.6,clear
56,Groundnut,Ichapuram,2015-09-23,4200.0,9.0,33.2,clear
57,Groundnut,Ichapuram,2015-09-30,4200.0,32.0,31.4,clear
58,Groundnut,Ichapuram,2015-07-10,4200.0,80.0,32.0,clear
59,Groundnut,Ichapuram,2015-09-10,6200.0,41.0,33.4,clear
