,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Bhopal,2012-01-26,4000.0,10.0,22.4,clear
1,Groundnut,Bhopal,2012-12-05,2700.0,3.0,28.8,clear
2,Mustard,Berasia,2012-12-05,3314.0,0.4,28.8,clear
3,Mustard,Bhopal,2012-12-05,3581.0,0.1,28.8,clear
4,Soyabean,Berasia,2012-12-05,3238.0,25.0,28.8,clear
5,Soyabean,Bhopal,2012-12-05,3123.0,25.3,28.8,clear
6,Groundnut,Bhopal,2012-03-08,2400.0,3.0,27.4,clear
7,Soyabean,Bhopal,2012-03-08,4200.0,6.5,27.4,clear
8,Groundnut,Bhopal,2012-09-26,2400.0,5.0,29.4,clear
9,Soyabean,Berasia,2012-09-26,3032.0,7.8,29.4,clear
10,Soyabean,Bhopal,2012-09-26,3113.0,160.5,29.4,clear
11,Groundnut,Bhopal,2012-10-11,2200.0,0.2,32.6,clear
12,Soyabean,Berasia,2012-10-11,3130.0,353.0,32.6,clear
13,Soyabean,Bhopal,2012-10-11,3151.0,312.1,32.6,clear
14,Groundnut,Bhopal,2012-12-17,2400.0,0.1,25.8,clear
15,Soyabean,Berasia,2012-12-17,3260.0,275.1,25.8,clear
16,Mustard,Berasia,2012-05-01,2952.0,0.1,39.0,clear
17,Soyabean,Berasia,2012-05-01,2360.0,242.0,39.0,clear
18,Mustard,Berasia,2012-01-19,2861.0,0.2,20.2,clear
19,Soyabean,Berasia,2012-01-19,2330.0,88.2,20.2,clear
20,Soyabean,Bhopal,2012-01-19,2361.0,152.82,20.2,clear
21,Mustard,Berasia,2012-01-28,2800.0,0.1,25.0,clear
22,Soyabean,Berasia,2012-01-28,2300.0,62.0,25.0,clear
23,Soyabean,Bhopal,2012-01-28,2358.0,122.1,25.0,clear
24,Mustard,Berasia,2012-02-02,2623.0,0.1,22.6,clear
25,Soyabean,Berasia,2012-02-02,2305.0,95.8,22.6,clear
26,Soyabean,Bhopal,2012-02-02,2360.0,121.0,22.6,clear
27,Mustard,Berasia,2012-10-02,3046.0,0.5,32.8,clear
28,Soyabean,Berasia,2012-10-02,2320.0,93.7,32.8,clear
29,Soyabean,Bhopal,2012-10-02,2366.0,129.69,32.8,clear
30,Mustard,Berasia,2012-02-17,2900.0,0.1,23.6,clear
31,Soyabean,Berasia,2012-02-17,2385.0,125.4,23.6,clear
32,Soyabean,Bhopal,2012-02-17,2359.0,175.41,23.6,clear
33,Mustard,Berasia,2012-02-25,2300.0,0.1,32.2,clear
34,Soyabean,Berasia,2012-02-25,2418.0,80.2,32.2,clear
35,Soyabean,Bhopal,2012-02-25,2476.0,129.22,32.2,clear
36,Mustard,Berasia,2012-02-28,2301.0,2.1,31.4,clear
37,Mustard,Bhopal,2012-02-28,3700.0,0.2,31.4,clear
38,Soyabean,Berasia,2012-02-28,2428.0,128.2,31.4,clear
39,Soyabean,Bhopal,2012-02-28,2473.0,159.34,31.4,clear
40,Mustard,Berasia,2012-01-03,2501.0,5.5,20.8,clear
41,Mustard,Bhopal,2012-01-03,3300.0,0.2,20.8,clear
42,Soyabean,Berasia,2012-01-03,2426.0,102.6,20.8,clear
43,Soyabean,Bhopal,2012-01-03,2502.0,130.69,20.8,clear
44,Mustard,Berasia,2012-07-03,2417.0,0.6,35.4,rain
45,Mustard,Bhopal,2012-07-03,3263.0,0.1,35.4,rain
46,Soyabean,Berasia,2012-07-03,2575.0,59.8,35.4,rain
47,Soyabean,Bhopal,2012-07-03,2650.0,94.26,35.4,rain
48,Mustard,Berasia,2012-03-14,2569.0,9.0,28.2,clear
49,Mustard,Bhopal,2012-03-14,3375.0,0.4,28.2,clear
50,Soyabean,Berasia,2012-03-14,2620.0,83.2,28.2,clear
51,Soyabean,Bhopal,2012-03-14,2724.0,141.3,28.2,clear
52,Mustard,Berasia,2012-03-15,2539.0,5.0,32.4,clear
53,Mustard,Bhopal,2012-03-15,3517.0,5.9,32.4,clear
54,Soyabean,Berasia,2012-03-15,2655.0,62.9,32.4,clear
55,Soyabean,Bhopal,2012-03-15,2725.0,142.3,32.4,clear
56,Mustard,Berasia,2012-03-16,2611.0,8.6,34.6,clear
57,Mustard,Bhopal,2012-03-16,3500.0,4.0,34.6,clear
58,Soyabean,Berasia,2012-03-16,2650.0,71.7,34.6,clear
59,Soyabean,Bhopal,2012-03-16,2670.0,118.7,34.6,clear
60,Mustard,Berasia,2012-03-17,2635.0,3.6,35.0,clear
61,Mustard,Bhopal,2012-03-17,3704.0,6.2,35.0,clear
62,Soyabean,Berasia,2012-03-17,2665.0,85.1,35.0,clear
63,Soyabean,Bhopal,2012-03-17,2687.0,161.6,35.0,clear
64,Mustard,Berasia,2012-03-19,2541.0,4.5,36.6,clear
65,Mustard,Bhopal,2012-03-19,3701.0,5.7,36.6,clear
66,Soyabean,Berasia,2012-03-19,2680.0,76.2,36.6,clear
67,Soyabean,Bhopal,2012-03-19,2740.0,102.5,36.6,clear
68,Mustard,Berasia,2012-03-20,3501.0,0.5,37.4,clear
69,Mustard,Bhopal,2012-03-20,3657.0,4.1,37.4,clear
70,Soyabean,Berasia,2012-03-20,2616.0,67.0,37.4,clear
71,Soyabean,Bhopal,2012-03-20,2765.0,130.9,37.4,clear
72,Mustard,Berasia,2012-03-21,3435.0,0.2,33.0,clear
73,Mustard,Bhopal,2012-03-21,3612.0,1.7,33.0,clear
74,Soyabean,Berasia,2012-03-21,2640.0,76.9,33.0,clear
75,Soyabean,Bhopal,2012-03-21,2700.0,105.3,33.0,clear
76,Mustard,Berasia,2012-03-22,3452.0,0.4,31.8,clear
77,Mustard,Bhopal,2012-03-22,3655.0,9.6,31.8,clear
78,Soyabean,Berasia,2012-03-22,2618.0,27.6,31.8,clear
79,Soyabean,Bhopal,2012-03-22,2700.0,89.1,31.8,clear
80,Mustard,Berasia,2012-03-26,3111.0,0.3,37.8,clear
81,Mustard,Bhopal,2012-03-26,3390.0,4.3,37.8,clear
82,Soyabean,Berasia,2012-03-26,2655.0,30.4,37.8,clear
83,Soyabean,Bhopal,2012-03-26,2676.0,91.1,37.8,clear
84,Mustard,Berasia,2012-03-28,3300.0,0.6,38.4,clear
85,Mustard,Bhopal,2012-03-28,3485.0,1.3,38.4,clear
86,Soyabean,Berasia,2012-03-28,2700.0,17.9,38.4,clear
87,Soyabean,Bhopal,2012-03-28,2685.0,26.7,38.4,clear
88,Mustard,Berasia,2012-03-29,2524.0,2.2,36.0,clear
89,Mustard,Bhopal,2012-03-29,3468.0,2.7,36.0,clear
90,Soyabean,Berasia,2012-03-29,2665.0,26.2,36.0,clear
91,Soyabean,Bhopal,2012-03-29,2470.0,47.4,36.0,clear
92,Mustard,Berasia,2012-03-30,3181.0,0.5,36.0,clear
93,Mustard,Bhopal,2012-03-30,3400.0,7.1,36.0,clear
94,Soyabean,Berasia,2012-03-30,2614.0,19.1,36.0,clear
95,Soyabean,Bhopal,2012-03-30,2717.0,110.4,36.0,clear
96,Mustard,Berasia,2012-03-04,3250.0,1.5,32.4,clear
97,Mustard,Bhopal,2012-03-04,3400.0,4.4,32.4,clear
98,Soyabean,Berasia,2012-03-04,2841.0,21.5,32.4,clear
99,Soyabean,Bhopal,2012-03-04,2812.0,30.8,32.4,clear
100,Mustard,Berasia,2012-05-04,3300.0,2.0,37.2,clear
101,Mustard,Bhopal,2012-05-04,3400.0,11.3,37.2,clear
102,Soyabean,Berasia,2012-05-04,2970.0,20.2,37.2,clear
103,Soyabean,Bhopal,2012-05-04,2820.0,57.1,37.2,clear
104,Mustard,Berasia,2012-07-04,3371.0,0.3,33.4,clear
105,Mustard,Bhopal,2012-07-04,3375.0,3.4,33.4,clear
106,Soyabean,Berasia,2012-07-04,2986.0,21.6,33.4,clear
107,Soyabean,Bhopal,2012-07-04,2760.0,22.1,33.4,clear
108,Mustard,Berasia,2012-04-16,3200.0,1.6,37.2,clear
109,Mustard,Bhopal,2012-04-16,3381.0,6.1,37.2,clear
110,Soyabean,Berasia,2012-04-16,3065.0,15.9,37.2,clear
111,Soyabean,Bhopal,2012-04-16,3032.0,47.6,37.2,clear
112,Mustard,Berasia,2012-04-17,3201.0,3.3,37.0,clear
113,Mustard,Bhopal,2012-04-17,3395.0,6.7,37.0,clear
114,Soyabean,Berasia,2012-04-17,3036.0,57.9,37.0,clear
115,Soyabean,Bhopal,2012-04-17,2890.0,40.5,37.0,clear
116,Mustard,Berasia,2012-04-18,2699.0,1.0,37.4,clear
117,Mustard,Bhopal,2012-04-18,3300.0,3.7,37.4,clear
118,Soyabean,Berasia,2012-04-18,3021.0,37.9,37.4,clear
119,Soyabean,Bhopal,2012-04-18,2808.0,39.3,37.4,clear
120,Mustard,Berasia,2012-04-19,3158.0,0.2,37.6,clear
121,Mustard,Bhopal,2012-04-19,3300.0,0.4,37.6,clear
122,Soyabean,Berasia,2012-04-19,3060.0,41.1,37.6,clear
123,Soyabean,Bhopal,2012-04-19,3084.0,67.4,37.6,clear
124,Mustard,Berasia,2012-04-21,2251.0,1.0,35.4,clear
125,Mustard,Bhopal,2012-04-21,3300.0,1.9,35.4,clear
126,Soyabean,Berasia,2012-04-21,3050.0,50.0,35.4,clear
127,Soyabean,Bhopal,2012-04-21,3150.0,48.7,35.4,clear
128,Mustard,Berasia,2012-04-23,3221.0,0.3,37.0,clear
129,Mustard,Bhopal,2012-04-23,3365.0,9.3,37.0,clear
130,Soyabean,Berasia,2012-04-23,3050.0,39.9,37.0,clear
131,Soyabean,Bhopal,2012-04-23,3142.0,56.0,37.0,clear
132,Mustard,Berasia,2012-04-26,3235.0,0.4,39.4,clear
133,Mustard,Bhopal,2012-04-26,3500.0,1.2,39.4,clear
134,Soyabean,Berasia,2012-04-26,3240.0,34.9,39.4,clear
135,Soyabean,Bhopal,2012-04-26,3180.0,16.4,39.4,clear
136,Mustard,Berasia,2012-04-27,3269.0,1.7,36.4,clear
137,Mustard,Bhopal,2012-04-27,3333.0,2.4,36.4,clear
138,Soyabean,Berasia,2012-04-27,3315.0,49.6,36.4,clear
139,Soyabean,Bhopal,2012-04-27,3275.0,11.0,36.4,clear
140,Mustard,Berasia,2012-04-28,3319.0,0.4,37.6,clear
141,Soyabean,Berasia,2012-04-28,3405.0,27.3,37.6,clear
142,Soyabean,Bhopal,2012-04-28,3300.0,22.2,37.6,clear
143,Mustard,Berasia,2012-04-30,3152.0,0.6,38.6,clear
144,Mustard,Bhopal,2012-04-30,3299.0,0.9,38.6,clear
145,Soyabean,Berasia,2012-04-30,3511.0,22.9,38.6,clear
146,Soyabean,Bhopal,2012-04-30,3398.0,45.9,38.6,clear
147,Mustard,Berasia,2012-02-05,3349.0,0.3,26.6,clear
148,Mustard,Bhopal,2012-02-05,3344.0,3.0,26.6,clear
149,Soyabean,Berasia,2012-02-05,3560.0,61.0,26.6,clear
150,Sunflower,Bhopal,2012-02-05,3550.0,28.1,26.6,clear
151,Mustard,Berasia,2012-03-05,3340.0,0.3,34.0,clear
152,Mustard,Bhopal,2012-03-05,3361.0,1.6,34.0,clear
153,Soyabean,Berasia,2012-03-05,3570.0,45.3,34.0,clear
154,Soyabean,Bhopal,2012-03-05,3560.0,18.8,34.0,clear
155,Mustard,Berasia,2012-04-05,3264.0,0.3,37.0,clear
