,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Jabalpur,2012-03-09,3211.0,0.1,26.6,clear
1,Soyabean,Jabalpur,2012-03-09,3500.0,0.1,26.6,clear
2,Mustard,Shahpura(Jabalpur),2012-08-05,3008.0,30.9,26.6,rain
3,Soyabean,Jabalpur,2012-08-05,3100.0,2.8,26.6,rain
4,Soyabean,Shahpura(Jabalpur),2012-08-05,3300.0,41.3,26.6,rain
5,Mustard,Shahpura(Jabalpur),2012-05-17,3050.0,2.5,42.0,clear
6,Mustard,Shahpura(Jabalpur),2012-05-28,3975.0,2.5,42.8,clear
7,Mustard,Shahpura(Jabalpur),2012-06-14,3000.0,1.5,38.4,clear
8,Soyabean,Jabalpur,2012-02-01,2262.0,11.2,20.8,clear
9,Soyabean,Jabalpur,2012-03-01,2312.0,17.7,29.8,clear
10,Soyabean,Jabalpur,2012-04-01,2296.0,5.5,38.4,clear
11,Soyabean,Jabalpur,2012-05-01,2285.0,19.3,39.4,clear
12,Soyabean,Jabalpur,2012-06-01,2250.0,23.5,44.0,clear
13,Soyabean,Shahpura(Jabalpur),2012-06-01,2401.0,33.4,44.0,clear
14,Soyabean,Jabalpur,2012-07-01,2253.0,9.0,38.6,clear
15,Soyabean,Jabalpur,2012-09-01,2288.0,10.1,33.0,clear
16,Soyabean,Shahpura(Jabalpur),2012-09-01,2305.0,18.8,33.0,clear
17,Soyabean,Jabalpur,2012-10-01,2301.0,17.3,32.2,clear
18,Soyabean,Shahpura(Jabalpur),2012-10-01,2003.0,21.0,32.2,clear
19,Soyabean,Jabalpur,2012-11-01,2318.0,13.1,27.2,clear
20,Soyabean,Jabalpur,2012-12-01,2292.0,25.7,26.0,clear
21,Soyabean,Jabalpur,2012-01-14,2240.0,7.2,21.6,clear
22,Soyabean,Jabalpur,2012-01-16,2129.0,15.1,27.0,clear
23,Soyabean,Jabalpur,2012-01-17,2293.0,9.7,26.2,clear
24,Soyabean,Jabalpur,2012-01-18,2226.0,9.1,24.4,clear
25,Soyabean,Shahpura(Jabalpur),2012-01-18,2275.0,3.0,24.4,clear
26,Soyabean,Jabalpur,2012-01-19,2141.0,6.0,20.6,clear
27,Soyabean,Shahpura(Jabalpur),2012-01-19,2300.0,10.0,20.6,clear
28,Soyabean,Jabalpur,2012-01-20,2222.0,5.5,19.6,clear
29,Soyabean,Shahpura(Jabalpur),2012-01-20,2290.0,35.0,19.6,clear
30,Soyabean,Jabalpur,2012-01-21,2199.0,0.9,18.4,clear
31,Soyabean,Shahpura(Jabalpur),2012-01-21,2260.0,4.0,18.4,clear
32,Soyabean,Jabalpur,2012-01-23,2203.0,1.1,24.6,clear
33,Soyabean,Jabalpur,2012-01-24,2227.0,1.2,24.0,clear
34,Soyabean,Jabalpur,2012-01-25,2270.0,8.1,21.6,clear
35,Soyabean,Jabalpur,2012-01-27,2235.0,8.2,20.8,clear
36,Soyabean,Jabalpur,2012-01-28,2180.0,0.4,20.0,clear
37,Soyabean,Jabalpur,2012-01-31,2225.0,11.8,20.6,clear
38,Soyabean,Jabalpur,2012-01-02,2256.0,6.2,18.0,clear
39,Soyabean,Shahpura(Jabalpur),2012-01-02,2290.0,11.0,18.0,clear
40,Soyabean,Jabalpur,2012-02-02,2223.0,7.6,21.6,clear
41,Soyabean,Shahpura(Jabalpur),2012-02-02,2275.0,16.0,21.6,clear
42,Soyabean,Jabalpur,2012-03-02,2165.0,2.6,30.4,clear
43,Soyabean,Jabalpur,2012-04-02,2171.0,5.7,39.0,clear
44,Soyabean,Jabalpur,2012-06-02,1950.0,2.3,43.6,clear
45,Soyabean,Jabalpur,2012-08-02,2200.0,3.0,27.0,clear
46,Soyabean,Jabalpur,2012-09-02,2285.0,3.7,31.6,clear
47,Soyabean,Jabalpur,2012-10-02,2229.0,3.6,33.2,clear
48,Soyabean,Shahpura(Jabalpur),2012-10-02,2280.0,2.0,33.2,clear
49,Soyabean,Jabalpur,2012-11-02,2199.0,2.3,22.6,clear
50,Soyabean,Shahpura(Jabalpur),2012-11-02,2250.0,4.0,22.6,clear
51,Soyabean,Jabalpur,2012-02-13,2212.0,15.9,29.0,clear
52,Soyabean,Jabalpur,2012-02-15,2251.0,0.6,28.0,clear
53,Soyabean,Jabalpur,2012-02-16,2261.0,2.8,26.0,clear
54,Soyabean,Jabalpur,2012-02-17,2260.0,4.0,24.4,clear
55,Soyabean,Jabalpur,2012-02-18,2216.0,1.2,25.4,clear
56,Soyabean,Jabalpur,2012-02-22,2256.0,1.3,31.4,clear
57,Soyabean,Shahpura(Jabalpur),2012-02-22,2340.0,6.5,31.4,clear
58,Soyabean,Jabalpur,2012-02-23,2275.0,3.8,32.0,clear
59,Soyabean,Jabalpur,2012-02-24,2277.0,0.5,32.2,clear
60,Soyabean,Jabalpur,2012-02-25,2241.0,0.8,31.4,clear
61,Soyabean,Shahpura(Jabalpur),2012-02-25,2110.0,14.8,31.4,clear
62,Soyabean,Jabalpur,2012-02-27,2325.0,2.1,28.6,clear
63,Soyabean,Jabalpur,2012-02-29,2320.0,2.6,29.4,clear
64,Soyabean,Jabalpur,2012-01-03,2310.0,5.4,19.6,clear
65,Soyabean,Jabalpur,2012-02-03,2317.0,0.8,23.0,clear
