,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Sheopurbadod,2015-12-09,4140.0,1.6,25.0,clear
1,Mustard,Sheopurkalan,2015-12-09,4190.0,13.2,25.0,clear
2,Soyabean,Sheopurkalan,2015-12-09,3080.0,2.0,25.0,clear
3,Mustard,Sheopurbadod,2015-12-10,3600.0,0.2,27.0,clear
4,Mustard,Sheopurkalan,2015-12-10,4444.0,2.1,27.0,clear
5,Soyabean,Sheopurbadod,2015-12-10,3600.0,9.1,27.0,clear
6,Soyabean,Sheopurkalan,2015-12-10,3581.0,38.4,27.0,clear
7,Mustard,Sheopurkalan,2015-12-08,4076.0,8.7,25.4,clear
8,Soyabean,Sheopurbadod,2015-12-08,2800.0,0.2,25.4,clear
9,Soyabean,Sheopurkalan,2015-12-08,3075.0,18.0,25.4,clear
10,Mustard,Sheopurkalan,2015-12-12,4305.0,2.4,19.4,clear
11,Mustard,Vijaypur,2015-12-12,4300.0,15.0,19.4,clear
12,Soyabean,Sheopurbadod,2015-12-12,2961.0,0.8,19.4,clear
13,Soyabean,Sheopurkalan,2015-12-12,3445.0,21.7,19.4,clear
14,Mustard,Sheopurkalan,2015-12-14,4570.0,0.8,19.8,clear
15,Soyabean,Sheopurkalan,2015-12-14,3480.0,10.3,19.8,clear
16,Mustard,Sheopurkalan,2015-12-16,4575.0,5.2,22.0,clear
17,Soyabean,Sheopurbadod,2015-12-16,3385.0,0.1,22.0,clear
18,Soyabean,Sheopurkalan,2015-12-16,3391.0,11.1,22.0,clear
19,Mustard,Sheopurkalan,2015-12-17,4540.0,8.9,21.0,clear
20,Soyabean,Sheopurkalan,2015-12-17,3341.0,12.2,21.0,clear
21,Mustard,Sheopurkalan,2015-12-18,4530.0,4.4,20.6,clear
22,Soyabean,Sheopurkalan,2015-12-18,3299.0,10.8,20.6,clear
23,Mustard,Sheopurkalan,2015-12-19,4480.0,5.8,20.4,clear
24,Soyabean,Sheopurbadod,2015-12-19,3385.0,0.7,20.4,clear
25,Soyabean,Sheopurkalan,2015-12-19,3450.0,9.6,20.4,clear
26,Mustard,Sheopurkalan,2015-12-21,4495.0,4.3,20.0,clear
