,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Ujjain,2015-12-16,3650.0,0.1,23.6,clear
1,Soyabean,Badnagar,2015-12-16,3650.0,2968.0,23.6,clear
2,Soyabean,Khachrod,2015-12-16,3540.0,34.8,23.6,clear
3,Soyabean,Mahidpur,2015-12-16,3596.0,,23.6,clear
4,Soyabean,Tarana,2015-12-16,3520.0,76.0,23.6,clear
5,Soyabean,Ujjain,2015-12-16,3640.0,382.5,23.6,clear
6,Soyabean,Unhel,2015-12-16,3380.0,177.0,23.6,clear
7,Mustard,Ujjain,2015-12-21,3460.0,0.1,22.0,clear
8,Soyabean,Badnagar,2015-12-21,3652.0,,22.0,clear
9,Soyabean,Khachrod,2015-12-21,3650.0,26.6,22.0,clear
10,Soyabean,Nagda,2015-12-21,3675.0,29.8,22.0,clear
11,Soyabean,Tarana,2015-12-21,3620.0,105.0,22.0,clear
12,Soyabean,Ujjain,2015-12-21,3670.0,309.7,22.0,clear
13,Soyabean,Unhel,2015-12-21,3532.0,118.0,22.0,clear
14,Mustard,Ujjain,2015-12-22,2767.5,0.3,21.0,clear
15,Soyabean,Badnagar,2015-12-22,3672.0,2633.0,21.0,clear
16,Soyabean,Khachrod,2015-12-22,3641.0,20.6,21.0,clear
17,Soyabean,Mahidpur,2015-12-22,3542.0,,21.0,clear
18,Soyabean,Nagda,2015-12-22,3670.0,14.5,21.0,clear
19,Soyabean,Tarana,2015-12-22,3620.0,55.0,21.0,clear
20,Soyabean,Ujjain,2015-12-22,3623.0,276.8,21.0,clear
21,Soyabean,Unhel,2015-12-22,3587.0,209.0,21.0,clear
22,Mustard,Ujjain,2015-12-23,3900.0,0.2,21.0,clear
23,Soyabean,Badnagar,2015-12-23,3712.0,,21.0,clear
24,Soyabean,Khachrod,2015-12-23,3650.0,32.9,21.0,clear
25,Soyabean,Mahidpur,2015-12-23,3554.0,,21.0,clear
26,Soyabean,Ujjain,2015-12-23,3686.0,269.8,21.0,clear
27,Soyabean,Unhel,2015-12-23,3620.0,182.0,21.0,clear
28,Soyabean,Badnagar,2015-12-08,3122.0,338.0,27.6,clear
29,Soyabean,Khachrod,2015-12-08,3165.0,3.1,27.6,clear
30,Soyabean,Mahidpur,2015-12-08,3100.0,,27.6,clear
31,Soyabean,Tarana,2015-12-08,3175.0,1.0,27.6,clear
32,Soyabean,Badnagar,2015-12-09,3192.0,,27.0,clear
33,Soyabean,Khachrod,2015-12-09,3100.0,23.8,27.0,clear
34,Soyabean,Mahidpur,2015-12-09,3161.0,11.95,27.0,clear
35,Soyabean,Nagda,2015-12-09,3130.0,32.9,27.0,clear
36,Soyabean,Ujjain,2015-12-09,3232.0,166.5,27.0,clear
37,Soyabean,Badnagar,2015-12-12,3525.0,3284.0,22.0,clear
38,Soyabean,Khachrod,2015-12-12,3540.0,36.9,22.0,clear
39,Soyabean,Mahidpur,2015-12-12,3563.0,30.13,22.0,clear
40,Soyabean,Tarana,2015-12-12,3500.0,28.0,22.0,clear
41,Soyabean,Unhel,2015-12-12,3551.0,113.0,22.0,clear
42,Soyabean,Badnagar,2015-12-14,3560.0,,21.0,clear
43,Soyabean,Khachrod,2015-12-14,3569.0,34.6,21.0,clear
44,Soyabean,Mahidpur,2015-12-14,3508.0,,21.0,clear
45,Soyabean,Tarana,2015-12-14,3680.0,100.0,21.0,clear
46,Soyabean,Ujjain,2015-12-14,3570.0,262.2,21.0,clear
