,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Jalana,2015-12-28,3600.0,0.0,30.0,clear
1,Soyabean,Jalana,2015-12-28,3600.0,53.0,30.0,clear
2,Soyabean,Mantha,2015-12-28,3500.0,4.0,30.0,clear
3,Soyabean,Partur,2015-12-28,3501.0,4.0,30.0,clear
4,Safflower,Jalana,2015-12-12,3550.0,102.0,20.0,clear
5,Soyabean,Ambad (Vadigodri),2015-12-12,3300.0,3.0,20.0,clear
6,Soyabean,Bhokardan,2015-12-12,3500.0,6.0,20.0,clear
7,Soyabean,Jalana,2015-12-12,3550.0,102.0,20.0,clear
8,Soyabean,Ambad (Vadigodri),2015-12-14,3201.0,1.0,31.0,clear
9,Soyabean,Ashti(Jalna),2015-12-14,3341.0,0.0,31.0,clear
10,Soyabean,Jalana,2015-12-14,3600.0,92.0,31.0,clear
11,Soyabean,Mantha,2015-12-14,3550.0,12.0,31.0,clear
12,Soyabean,Ambad (Vadigodri),2015-12-15,3200.0,1.0,19.0,clear
13,Soyabean,Bhokardan(Pimpalgaon Renu),2015-12-15,3480.0,3.0,19.0,clear
14,Soyabean,Jalana,2015-12-15,3500.0,79.0,19.0,clear
15,Soyabean,Mantha,2015-12-15,3600.0,1.0,19.0,clear
16,Soyabean,Partur,2015-12-15,3556.0,5.0,19.0,clear
17,Soyabean,Ashti(Jalna),2015-12-11,3600.0,2.0,30.0,clear
18,Soyabean,Ghansawangi,2015-12-11,3550.0,5.0,30.0,clear
19,Soyabean,Jalana,2015-12-11,3600.0,199.0,30.0,clear
20,Soyabean,Ashti(Jalna),2015-12-22,3651.0,0.0,30.0,clear
21,Soyabean,Bhokardan(Pimpalgaon Renu),2015-12-22,3500.0,2.0,30.0,clear
22,Soyabean,Jalana,2015-12-22,3550.0,63.0,30.0,clear
23,Soyabean,Mantha,2015-12-22,3650.0,1.0,30.0,clear
24,Soyabean,Bhokardan,2015-12-09,3250.0,0.0,18.0,clear
25,Soyabean,Bhokardan,2015-12-19,3550.0,8.0,30.0,clear
26,Soyabean,Jalana,2015-12-19,3550.0,49.0,30.0,clear
27,Soyabean,Partur,2015-12-19,3513.0,3.0,30.0,clear
28,Soyabean,Bhokardan(Pimpalgaon Renu),2015-12-29,3600.0,6.0,30.0,clear
29,Soyabean,Jalana,2015-12-29,3500.0,41.0,30.0,clear
30,Soyabean,Mantha,2015-12-29,3450.0,2.0,30.0,clear
