,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Soyabean,Bhiwapur,2012-01-01,2375.0,35.0,26.4,clear
1,Soyabean,Mandhal,2012-01-01,2350.0,10.9,26.4,clear
2,Soyabean,Bhiwapur,2012-08-01,2315.0,52.7,27.4,clear
3,Soyabean,Katol,2012-08-01,2360.0,273.5,27.4,clear
4,Soyabean,Mandhal,2012-08-01,2250.0,33.8,27.4,clear
5,Soyabean,Bhiwapur,2012-12-01,2375.0,70.0,29.6,clear
6,Soyabean,Kalmeshwar,2012-12-01,2380.0,44.5,29.6,clear
7,Soyabean,Katol,2012-12-01,2330.0,285.0,29.6,clear
8,Soyabean,Mandhal,2012-12-01,2300.0,21.8,29.6,clear
9,Soyabean,Umared,2012-12-01,2350.0,551.8,29.6,clear
10,Soyabean,Bhiwapur,2012-01-15,2402.0,42.0,26.6,clear
11,Soyabean,Katol,2012-01-15,2300.0,238.0,26.6,clear
12,Soyabean,Mandhal,2012-01-15,2250.0,22.9,26.6,clear
13,Soyabean,Bhiwapur,2012-01-19,2350.0,20.0,27.6,clear
14,Soyabean,Kalmeshwar,2012-01-19,2290.0,34.5,27.6,clear
15,Soyabean,Katol,2012-01-19,2340.0,252.0,27.6,clear
16,Soyabean,Mandhal,2012-01-19,2275.0,14.8,27.6,clear
17,Soyabean,Nagpur,2012-01-19,2213.0,146.5,27.6,clear
18,Soyabean,Savner,2012-01-19,2300.0,25.1,27.6,clear
19,Soyabean,Bhiwapur,2012-01-22,2355.0,40.0,25.4,clear
20,Soyabean,Katol,2012-01-22,2350.0,275.0,25.4,clear
21,Soyabean,Mandhal,2012-01-22,2325.0,17.6,25.4,clear
22,Soyabean,Bhiwapur,2012-01-29,2350.0,20.0,24.6,clear
23,Soyabean,Katol,2012-01-29,2330.0,150.0,24.6,clear
24,Soyabean,Mandhal,2012-01-29,2300.0,4.3,24.6,clear
25,Soyabean,Bhiwapur,2012-05-02,2380.0,10.5,41.2,clear
26,Soyabean,Bhiwapur,2012-09-02,2400.0,10.0,33.0,rain
27,Soyabean,Kalmeshwar,2012-09-02,2325.0,20.5,33.0,rain
28,Soyabean,Katol,2012-09-02,2320.0,258.0,33.0,rain
29,Soyabean,Mandhal,2012-09-02,2300.0,6.6,33.0,rain
30,Soyabean,Nagpur,2012-09-02,2335.0,97.1,33.0,rain
31,Soyabean,Savner,2012-09-02,2353.0,49.0,33.0,rain
32,Soyabean,Umared,2012-09-02,2400.0,218.8,33.0,rain
33,Soyabean,Bhiwapur,2012-12-02,2330.0,20.0,29.2,clear
34,Soyabean,Mandhal,2012-12-02,2325.0,14.4,29.2,clear
35,Soyabean,Bhiwapur,2012-01-03,2418.0,38.3,22.8,clear
36,Soyabean,Kalmeshwar,2012-01-03,2350.0,40.5,22.8,clear
37,Soyabean,Katol,2012-01-03,2340.0,200.0,22.8,clear
38,Soyabean,Nagpur,2012-01-03,2340.0,89.9,22.8,clear
39,Soyabean,Bhiwapur,2012-04-03,2448.0,37.2,40.4,rain
40,Soyabean,Katol,2012-04-03,2350.0,250.0,40.4,rain
41,Soyabean,Mandhal,2012-04-03,2300.0,8.2,40.4,rain
42,Soyabean,Ramtek,2012-04-03,2150.0,1.6,40.4,rain
43,Soyabean,Bhiwapur,2012-11-03,2528.0,11.6,27.2,clear
44,Soyabean,Katol,2012-11-03,2370.0,120.0,27.2,clear
45,Soyabean,Mandhal,2012-11-03,2400.0,34.6,27.2,clear
46,Soyabean,Bhiwapur,2012-03-15,2636.0,7.0,34.0,clear
47,Soyabean,Kalmeshwar,2012-03-15,2530.0,24.5,34.0,clear
48,Soyabean,Mandhal,2012-03-15,2500.0,9.9,34.0,clear
49,Soyabean,Nagpur,2012-03-15,2575.0,100.3,34.0,clear
50,Soyabean,Savner,2012-03-15,2585.0,91.0,34.0,clear
51,Soyabean,Bhiwapur,2012-03-18,2562.0,27.3,40.0,clear
52,Soyabean,Mandhal,2012-03-18,2500.0,12.3,40.0,clear
53,Soyabean,Bhiwapur,2012-03-22,2625.0,18.5,38.2,clear
54,Soyabean,Kalmeshwar,2012-03-22,2550.0,21.5,38.2,clear
55,Soyabean,Katol,2012-03-22,2430.0,230.0,38.2,clear
56,Soyabean,Mandhal,2012-03-22,2525.0,8.6,38.2,clear
