,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Kalamb(Osmanabad),2012-02-27,3200.0,0.2,35.6,clear
1,Soyabean,Kalamb(Osmanabad),2012-02-27,2375.0,4.0,35.6,clear
2,Soyabean,Umarga,2012-02-27,2000.0,0.1,35.6,clear
3,Sunflower,Kalamb(Osmanabad),2012-02-27,2600.0,0.1,35.6,clear
4,Sunflower,Umarga,2012-02-27,3000.0,0.7,35.6,clear
5,Mustard,Kalamb(Osmanabad),2012-02-03,3150.0,0.1,31.6,clear
6,Safflower,Kalamb(Osmanabad),2012-02-03,2750.0,0.1,31.6,clear
7,Soyabean,Kalamb(Osmanabad),2012-02-03,2350.0,0.7,31.6,clear
8,Sunflower,Kalamb(Osmanabad),2012-02-03,2900.0,0.4,31.6,clear
9,Mustard,Kalamb(Osmanabad),2012-05-03,3300.0,0.2,41.2,clear
10,Safflower,Kalamb(Osmanabad),2012-05-03,2750.0,0.7,41.2,clear
11,Safflower,Umarga,2012-05-03,2800.0,0.3,41.2,clear
12,Soyabean,Kalamb(Osmanabad),2012-05-03,2450.0,3.4,41.2,clear
13,Soyabean,Umarga,2012-05-03,2371.0,0.1,41.2,clear
14,Sunflower,Kalamb(Osmanabad),2012-05-03,2900.0,0.1,41.2,clear
15,Sunflower,Umarga,2012-05-03,3250.0,0.2,41.2,clear
16,Mustard,Kalamb(Osmanabad),2012-06-03,3225.0,0.2,38.2,clear
17,Safflower,Umarga,2012-06-03,2871.0,0.1,38.2,clear
18,Soyabean,Kalamb(Osmanabad),2012-06-03,2425.0,2.7,38.2,clear
19,Soyabean,Umarga,2012-06-03,2331.0,0.1,38.2,clear
20,Sunflower,Kalamb(Osmanabad),2012-06-03,2800.0,0.1,38.2,clear
21,Mustard,Kalamb(Osmanabad),2012-09-03,3040.0,0.1,24.4,clear
22,Soyabean,Osmanabad,2012-09-03,1900.0,0.9,24.4,clear
23,Mustard,Kalamb(Osmanabad),2012-03-13,3300.0,0.3,36.6,clear
24,Safflower,Kalamb(Osmanabad),2012-03-13,2700.0,0.3,36.6,clear
25,Soyabean,Kalamb(Osmanabad),2012-03-13,2570.0,3.0,36.6,clear
26,Soyabean,Murim,2012-03-13,2300.0,0.2,36.6,clear
27,Sunflower,Kalamb(Osmanabad),2012-03-13,2700.0,0.2,36.6,clear
28,Sunflower,Murim,2012-03-13,3060.0,0.1,36.6,clear
29,Sunflower,Umarga,2012-03-13,3050.0,0.5,36.6,clear
30,Mustard,Kalamb(Osmanabad),2012-03-14,3250.0,0.1,36.6,clear
31,Safflower,Kalamb(Osmanabad),2012-03-14,2770.0,0.1,36.6,clear
32,Soyabean,Kalamb(Osmanabad),2012-03-14,2570.0,1.5,36.6,clear
33,Soyabean,Umarga,2012-03-14,2361.0,0.2,36.6,clear
