,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Barshi,2012-03-21,3300.0,0.3,41.0,clear
1,Mustard,Barshi,2012-03-23,3400.0,0.1,39.0,clear
2,Soyabean,Barshi,2012-03-23,2601.0,1.9,39.0,clear
3,Sunflower,Barshi,2012-03-23,2950.0,0.2,39.0,clear
4,Mustard,Barshi,2012-04-16,3800.0,0.2,39.0,clear
5,Mustard,Barshi,2012-05-17,3800.0,0.1,40.8,clear
6,Mustard,Barshi,2012-08-30,4000.0,0.1,30.8,clear
7,Safflower,Karmala,2012-07-20,4100.0,0.3,29.8,clear
8,Soyabean,Barshi,2012-08-31,4300.0,0.2,29.6,clear
9,Soyabean,Barshi,2012-10-16,2950.0,2.0,33.6,clear
10,Sunflower,Karmala,2012-10-16,3600.0,14.0,33.6,clear
11,Soyabean,Barshi,2012-10-17,2750.0,93.5,33.6,clear
12,Sunflower,Karmala,2012-10-17,3500.0,18.2,33.6,clear
13,Soyabean,Barshi,2012-10-18,2920.0,119.9,31.2,clear
14,Sunflower,Karmala,2012-10-18,3600.0,20.0,31.2,clear
15,Soyabean,Barshi,2012-10-19,3050.0,149.2,33.4,clear
16,Sunflower,Karmala,2012-10-19,3600.0,24.3,33.4,clear
17,Soyabean,Barshi,2012-10-20,3100.0,181.0,31.2,clear
18,Soyabean,Barshi,2012-10-22,3050.0,230.0,30.8,rain
19,Sunflower,Karmala,2012-10-22,3650.0,39.4,30.8,rain
20,Soyabean,Barshi,2012-10-23,3100.0,165.3,32.0,clear
21,Sunflower,Karmala,2012-10-23,3700.0,16.0,32.0,clear
22,Soyabean,Barshi,2012-10-24,3000.0,339.2,33.4,clear
23,Sunflower,Barshi,2012-10-24,3525.0,6.0,33.4,clear
24,Sunflower,Karmala,2012-10-24,3800.0,3.0,33.4,clear
25,Soyabean,Barshi,2012-10-25,3000.0,164.5,32.6,clear
26,Sunflower,Barshi,2012-10-25,3531.0,13.0,32.6,clear
27,Sunflower,Karmala,2012-10-25,3700.0,25.8,32.6,clear
28,Soyabean,Barshi,2012-10-27,3231.0,78.2,32.8,clear
29,Soyabean,Barshi,2012-02-11,3250.0,11.6,33.2,clear
30,Sunflower,Karmala,2012-02-11,3700.0,18.5,33.2,clear
31,Soyabean,Barshi,2012-03-11,3200.0,0.7,37.4,clear
32,Soyabean,Barshi,2012-07-11,3000.0,99.3,34.4,clear
33,Sunflower,Karmala,2012-07-11,3700.0,5.0,34.4,clear
34,Soyabean,Barshi,2012-11-16,3150.0,35.0,30.2,clear
35,Soyabean,Barshi,2012-11-17,3075.0,22.1,30.0,clear
36,Sunflower,Barshi,2012-11-17,3500.0,1.2,30.0,clear
37,Soyabean,Barshi,2012-11-27,3175.0,19.7,31.6,clear
38,Sunflower,Solapur,2012-11-27,3850.0,2.0,31.6,clear
39,Soyabean,Barshi,2012-11-29,3161.0,49.0,32.2,clear
40,Soyabean,Barshi,2012-11-30,3175.0,5.4,33.0,clear
41,Sunflower,Barshi,2012-11-30,3730.0,1.9,33.0,clear
42,Sunflower,Kurdwadi,2012-11-30,3500.0,0.2,33.0,clear
43,Soyabean,Barshi(Vairag),2012-09-27,3400.0,27.3,31.6,clear
44,Soyabean,Barshi(Vairag),2012-10-30,3265.0,8.9,31.6,clear
45,Sunflower,Barshi,2012-10-30,3575.0,2.5,31.6,clear
46,Sunflower,Karmala,2012-10-30,3751.0,27.5,31.6,clear
47,Soyabean,Barshi(Vairag),2012-11-12,3000.0,2.0,31.0,clear
48,Sunflower,Solapur,2012-11-12,3788.0,2.9,31.0,clear
49,Soyabean,Barshi(Vairag),2012-12-14,3175.0,2.0,32.8,clear
