,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Thattanchavady,2015-12-08,5949.0,0.32,27.4,clear
1,Groundnut,Thattanchavady,2015-12-14,2950.0,4.0,30.0,clear
2,Groundnut,Thattanchavady,2015-12-15,3245.0,2.8,31.0,clear
3,Groundnut,Thattanchavady,2015-12-16,6096.0,0.08,31.2,clear
4,Groundnut,Thattanchavady,2015-12-17,5898.0,0.32,31.6,clear
5,Groundnut,Thattanchavady,2015-12-18,2648.0,0.4,30.6,clear
6,Groundnut,Thattanchavady,2015-12-21,3339.0,1.0,32.6,clear
7,Groundnut,Thattanchavady,2015-12-22,3860.0,0.4,31.4,clear
8,Groundnut,Thattanchavady,2015-12-23,3535.0,2.0,32.2,clear
9,Groundnut,Thattanchavady,2015-12-28,3473.0,0.92,30.0,clear
10,Groundnut,Thattanchavady,2015-12-29,3224.0,2.4,31.8,clear
11,Groundnut,Thattanchavady,2015-12-30,3335.0,0.8,31.2,clear
12,Groundnut,Madagadipet,2016-03-24,2386.0,0.11,33.2,clear
13,Groundnut,Thattanchavady,2016-03-24,4729.0,20.0,33.2,clear
14,Groundnut,Madagadipet,2016-11-04,4548.0,0.76,35.2,clear
15,Groundnut,Madagadipet,2016-04-15,4340.0,0.37,34.0,clear
16,Groundnut,Thattanchavady,2016-04-15,4700.0,68.0,34.0,clear
17,Groundnut,Madagadipet,2016-10-24,1500.0,0.15,33.0,clear
18,Groundnut,Thattanchavady,2016-10-24,4048.0,2.8,33.0,clear
19,Groundnut,Thattanchavady,2016-04-01,2900.0,0.2,33.6,clear
20,Groundnut,Thattanchavady,2016-05-01,5361.0,1.2,36.2,clear
21,Groundnut,Thattanchavady,2016-06-01,3135.0,0.6,36.6,clear
22,Groundnut,Thattanchavady,2016-08-01,2523.0,0.08,34.4,clear
23,Groundnut,Thattanchavady,2016-11-01,3173.0,1.52,32.8,clear
24,Groundnut,Thattanchavady,2016-12-01,2568.0,0.16,24.8,rain
25,Groundnut,Thattanchavady,2016-01-19,2798.0,0.04,30.6,clear
26,Groundnut,Thattanchavady,2016-01-21,3273.0,1.0,29.6,clear
27,Groundnut,Thattanchavady,2016-01-22,2423.0,0.2,31.0,clear
28,Groundnut,Thattanchavady,2016-01-25,3023.0,0.4,31.2,clear
29,Groundnut,Thattanchavady,2016-01-27,3078.0,0.4,31.2,clear
30,Groundnut,Thattanchavady,2016-01-29,2588.0,1.0,32.0,clear
31,Groundnut,Thattanchavady,2016-03-02,2348.0,0.08,32.4,clear
32,Groundnut,Thattanchavady,2016-08-02,2193.0,0.37,35.0,clear
33,Groundnut,Thattanchavady,2016-09-02,2423.0,0.2,32.6,clear
34,Groundnut,Thattanchavady,2016-11-02,2143.0,0.12,30.8,clear
35,Groundnut,Thattanchavady,2016-02-17,2673.0,0.4,32.8,clear
36,Groundnut,Thattanchavady,2016-02-26,4846.0,0.08,31.6,clear
37,Groundnut,Thattanchavady,2016-03-03,5798.0,1.2,32.4,clear
38,Groundnut,Thattanchavady,2016-07-03,4144.0,0.08,35.8,clear
39,Mustard,Thattanchavady,2016-07-03,3382.0,0.08,35.8,clear
40,Groundnut,Thattanchavady,2016-10-03,3998.0,0.16,32.2,clear
41,Groundnut,Thattanchavady,2016-03-14,2523.0,0.4,32.6,clear
42,Groundnut,Thattanchavady,2016-03-16,5035.0,0.8,32.8,clear
43,Mustard,Thattanchavady,2016-03-16,3621.0,0.08,32.8,clear
44,Groundnut,Thattanchavady,2016-03-18,4023.0,0.8,32.0,clear
45,Mustard,Thattanchavady,2016-03-18,3121.0,0.08,32.0,clear
46,Groundnut,Thattanchavady,2016-03-21,4044.0,6.0,34.8,clear
47,Groundnut,Thattanchavady,2016-03-22,4780.0,5.2,35.2,clear
48,Groundnut,Thattanchavady,2016-03-23,3858.0,4.8,35.0,clear
49,Groundnut,Thattanchavady,2016-03-28,4391.0,34.0,34.2,clear
50,Groundnut,Thattanchavady,2016-03-29,3761.0,30.0,34.0,clear
51,Groundnut,Thattanchavady,2016-03-30,4306.0,20.0,33.8,clear
52,Mustard,Thattanchavady,2016-03-30,3882.0,0.16,33.8,clear
