,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Alwar,2016-12-01,4100.0,62.9,24.2,clear
1,Mustard,Khairthal,2016-12-01,4000.0,42.8,24.2,clear
2,Mustard,Khedh(Bodaramev),2016-12-01,0.0,0.0,24.2,clear
3,Mustard,Khedli(laxmangarh),2016-12-01,0.0,0.0,24.2,clear
4,Mustard,Kherli,2016-12-01,4290.0,26.6,24.2,clear
5,Mustard,Alwar,2016-09-02,3925.0,67.3,31.4,clear
6,Mustard,Khairthal,2016-09-02,3550.0,86.3,31.4,clear
7,Mustard,Khedli(laxmangarh),2016-09-02,3500.0,4.5,31.4,clear
8,Mustard,Kherli,2016-09-02,3690.0,14.0,31.4,clear
9,Mustard,Alwar,2016-11-02,3900.0,95.4,26.0,clear
10,Mustard,Khairthal,2016-11-02,3600.0,141.0,26.0,clear
11,Mustard,Khedli(laxmangarh),2016-11-02,3838.0,10.0,26.0,clear
12,Mustard,Kherli,2016-11-02,3940.0,30.9,26.0,clear
13,Mustard,Alwar,2016-12-02,3950.0,129.6,21.8,clear
14,Mustard,Khairthal,2016-12-02,3650.0,85.7,21.8,clear
15,Mustard,Khedli(laxmangarh),2016-12-02,3900.0,5.6,21.8,clear
16,Mustard,Kherli,2016-12-02,3990.0,28.0,21.8,clear
17,Mustard,Alwar,2016-12-03,3600.0,694.8,23.4,clear
18,Mustard,Khairthal,2016-12-03,3550.0,,23.4,clear
19,Mustard,Khedh(Bodaramev),2016-12-03,3600.0,366.5,23.4,clear
20,Mustard,Khedli(laxmangarh),2016-12-03,3430.0,195.3,23.4,clear
21,Mustard,Alwar,2016-09-05,4050.0,169.0,28.1,clear
22,Mustard,Khairthal,2016-09-05,3950.0,296.4,28.1,clear
23,Mustard,Khedh(Bodaramev),2016-09-05,4000.0,58.6,28.1,clear
24,Mustard,Khedli(laxmangarh),2016-09-05,3860.0,22.9,28.1,clear
25,Mustard,Kherli,2016-09-05,4075.0,150.1,28.1,clear
26,Mustard,Alwar,2016-10-05,4025.0,138.3,25.8,clear
27,Mustard,Khairthal,2016-10-05,4000.0,269.2,25.8,clear
28,Mustard,Khedh(Bodaramev),2016-10-05,3975.0,40.5,25.8,clear
29,Mustard,Khedli(laxmangarh),2016-10-05,3860.0,26.4,25.8,clear
30,Mustard,Kherli,2016-10-05,4110.0,148.7,25.8,clear
31,Mustard,Alwar,2016-11-05,4050.0,208.5,28.4,clear
32,Mustard,Khairthal,2016-11-05,4000.0,351.6,28.4,clear
33,Mustard,Khedh(Bodaramev),2016-11-05,4000.0,112.5,28.4,clear
34,Mustard,Khedli(laxmangarh),2016-11-05,3860.0,63.0,28.4,clear
35,Mustard,Kherli,2016-11-05,4000.0,282.6,28.4,clear
36,Mustard,Alwar,2016-12-05,4075.0,224.5,24.2,clear
37,Mustard,Khedh(Bodaramev),2016-12-05,3945.0,120.6,24.2,clear
38,Mustard,Khedli(laxmangarh),2016-12-05,3870.0,34.7,24.2,clear
39,Mustard,Kherli,2016-12-05,3990.0,189.8,24.2,clear
40,Mustard,Alwar,2016-09-06,4125.0,197.1,32.2,clear
41,Mustard,Khairthal,2016-09-06,4000.0,222.6,32.2,clear
42,Mustard,Khedh(Bodaramev),2016-09-06,4111.0,59.0,32.2,clear
43,Mustard,Khedli(laxmangarh),2016-09-06,4000.0,23.4,32.2,clear
44,Mustard,Kherli,2016-09-06,4040.0,207.4,32.2,clear
45,Mustard,Alwar,2016-10-06,4200.0,235.5,29.2,clear
46,Mustard,Khairthal,2016-10-06,4100.0,341.0,29.2,clear
47,Mustard,Khedh(Bodaramev),2016-10-06,4100.0,50.8,29.2,clear
48,Mustard,Khedli(laxmangarh),2016-10-06,4040.0,25.5,29.2,clear
49,Mustard,Kherli,2016-10-06,4110.0,298.0,29.2,clear
50,Mustard,Alwar,2016-11-06,4225.0,225.2,29.0,clear
51,Mustard,Khairthal,2016-11-06,4100.0,,29.0,clear
52,Mustard,Khedh(Bodaramev),2016-11-06,4000.0,80.2,29.0,clear
