,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Bayana,2012-11-01,3285.0,,27.5,clear
1,Mustard,Deeg,2012-11-01,3349.0,44.9,27.5,clear
2,Mustard,Kama,2012-11-01,3294.0,6.2,27.5,clear
3,Mustard,Nadwai,2012-11-01,3100.0,63.4,27.5,clear
4,Mustard,Nagar,2012-11-01,3350.0,200.0,27.5,clear
5,Mustard,Bayana,2012-12-01,3275.0,,21.3,clear
6,Mustard,Nadwai,2012-12-01,3248.0,38.3,21.3,clear
7,Mustard,Nagar,2012-12-01,3250.0,620.0,21.3,clear
8,Mustard,Bayana,2012-01-02,3050.0,19.6,18.1,clear
9,Mustard,Bharatpur,2012-01-02,3090.0,44.0,18.1,clear
10,Mustard,Bharatpur(Kumer),2012-01-02,3090.0,31.4,18.1,clear
11,Mustard,Deeg,2012-01-02,3096.0,5.3,18.1,clear
12,Mustard,Kama,2012-01-02,3005.0,3.7,18.1,clear
13,Mustard,Nadwai,2012-01-02,3112.0,50.0,18.1,clear
14,Mustard,Bayana,2012-04-02,3000.0,12.6,37.5,clear
15,Mustard,Bharatpur,2012-04-02,3100.0,23.0,37.5,clear
16,Mustard,Bharatpur(Kumer),2012-04-02,3080.0,2.6,37.5,clear
17,Mustard,Nadwai,2012-04-02,3155.0,22.9,37.5,clear
18,Mustard,Bayana,2012-06-02,3150.0,18.5,43.5,rain
19,Mustard,Bharatpur,2012-06-02,3000.0,31.1,43.5,rain
20,Mustard,Kama,2012-06-02,3285.0,1.8,43.5,rain
21,Mustard,Nadwai,2012-06-02,3156.0,15.9,43.5,rain
22,Mustard,Bayana,2012-02-13,3175.0,41.1,22.2,clear
23,Mustard,Bharatpur,2012-02-13,3300.0,60.6,22.2,clear
24,Mustard,Bharatpur(Kumer),2012-02-13,3300.0,2.7,22.2,clear
25,Mustard,Deeg,2012-02-13,3303.0,30.0,22.2,clear
26,Mustard,Kama,2012-02-13,3131.0,1.6,22.2,clear
27,Mustard,Nagar,2012-02-13,3150.0,11.05,22.2,clear
28,Mustard,Bayana,2012-02-14,3045.0,19.4,23.3,clear
29,Mustard,Bharatpur,2012-02-14,3300.0,39.6,23.3,clear
30,Mustard,Bharatpur(Kumer),2012-02-14,3300.0,11.5,23.3,clear
31,Mustard,Deeg,2012-02-14,3249.0,24.1,23.3,clear
32,Mustard,Kama,2012-02-14,2842.0,2.3,23.3,clear
33,Mustard,Nadwai,2012-02-14,3121.0,3.1,23.3,clear
34,Mustard,Nagar,2012-02-14,3150.0,1.7,23.3,clear
35,Mustard,Bayana,2012-02-15,2760.0,16.6,20.1,clear
36,Mustard,Bharatpur,2012-02-15,3068.0,44.4,20.1,clear
37,Mustard,Bharatpur(Kumer),2012-02-15,3218.0,5.1,20.1,clear
38,Mustard,Deeg,2012-02-15,3080.0,28.0,20.1,clear
39,Mustard,Kama,2012-02-15,2631.0,4.4,20.1,clear
40,Mustard,Nadwai,2012-02-15,3160.0,4.1,20.1,clear
41,Mustard,Nagar,2012-02-15,2401.0,3.14,20.1,clear
42,Mustard,Bayana,2012-02-18,3055.0,9.6,22.8,clear
43,Mustard,Bharatpur,2012-02-18,3250.0,42.8,22.8,clear
44,Mustard,Bharatpur(Kumer),2012-02-18,3345.0,7.3,22.8,clear
45,Mustard,Deeg,2012-02-18,2961.0,45.4,22.8,clear
46,Mustard,Kama,2012-02-18,3111.0,8.2,22.8,clear
47,Mustard,Nadwai,2012-02-18,3203.0,7.3,22.8,clear
48,Mustard,Nagar,2012-02-18,2800.0,7.48,22.8,clear
49,Mustard,Bayana,2012-02-27,3225.0,172.1,24.0,clear
50,Mustard,Bharatpur(Kumer),2012-02-27,3200.0,97.8,24.0,clear
51,Mustard,Deeg,2012-02-27,3342.0,250.2,24.0,clear
52,Mustard,Kama,2012-02-27,3221.0,108.5,24.0,clear
53,Mustard,Nadwai,2012-02-27,3366.0,122.7,24.0,clear
54,Mustard,Nagar,2012-02-27,3000.0,82.19,24.0,clear
55,Mustard,Bayana,2012-02-28,3100.0,172.3,26.0,clear
56,Mustard,Bharatpur,2012-02-28,3113.0,227.2,26.0,clear
57,Mustard,Bharatpur(Kumer),2012-02-28,3113.0,88.1,26.0,clear
58,Mustard,Deeg,2012-02-28,3194.0,220.1,26.0,clear
59,Mustard,Kama,2012-02-28,3000.0,111.7,26.0,clear
60,Mustard,Nadwai,2012-02-28,3281.0,115.9,26.0,clear
61,Mustard,Nagar,2012-02-28,2900.0,124.18,26.0,clear
62,Mustard,Bayana,2012-02-29,3050.0,161.1,25.7,clear
63,Mustard,Bharatpur,2012-02-29,3050.0,527.0,25.7,clear
64,Mustard,Bharatpur(Kumer),2012-02-29,3050.0,80.2,25.7,clear
65,Mustard,Deeg,2012-02-29,3151.0,307.3,25.7,clear
66,Mustard,Kama,2012-02-29,2836.0,134.4,25.7,clear
67,Mustard,Nadwai,2012-02-29,3216.0,151.7,25.7,clear
68,Mustard,Nagar,2012-02-29,2900.0,104.8,25.7,clear
69,Mustard,Bayana,2012-05-03,3250.0,293.2,37.4,rain
70,Mustard,Bharatpur,2012-05-03,3125.0,853.6,37.4,rain
71,Mustard,Bharatpur(Kumer),2012-05-03,3125.0,169.7,37.4,rain
72,Mustard,Kama,2012-05-03,3000.0,361.5,37.4,rain
73,Mustard,Nadwai,2012-05-03,3211.0,287.1,37.4,rain
74,Mustard,Nagar,2012-05-03,3000.0,245.22,37.4,rain
75,Mustard,Bayana,2012-10-03,3350.0,326.7,33.2,clear
76,Mustard,Bharatpur(Kumer),2012-10-03,3225.0,210.0,33.2,clear
77,Mustard,Deeg,2012-10-03,3374.0,656.4,33.2,clear
78,Mustard,Kama,2012-10-03,3195.0,478.0,33.2,clear
79,Mustard,Nadwai,2012-10-03,3250.0,402.0,33.2,clear
80,Mustard,Nagar,2012-10-03,3200.0,561.42,33.2,clear
81,Mustard,Bayana,2012-03-17,3450.0,595.0,32.8,clear
82,Mustard,Bharatpur,2012-03-17,3370.0,1106.0,32.8,clear
83,Mustard,Bharatpur(Kumer),2012-03-17,3370.0,352.8,32.8,clear
84,Mustard,Deeg,2012-03-17,3394.0,519.4,32.8,clear
85,Mustard,Nadwai,2012-03-17,3450.0,400.0,32.8,clear
86,Mustard,Nagar,2012-03-17,3400.0,528.44,32.8,clear
87,Mustard,Bayana,2012-03-19,3650.0,389.9,36.4,clear
88,Mustard,Bharatpur,2012-03-19,3323.0,680.9,36.4,clear
89,Mustard,Bharatpur(Kumer),2012-03-19,3423.0,252.8,36.4,clear
90,Mustard,Deeg,2012-03-19,3450.0,380.0,36.4,clear
91,Mustard,Kama,2012-03-19,3307.0,295.2,36.4,clear
92,Mustard,Nadwai,2012-03-19,3580.0,298.2,36.4,clear
93,Mustard,Nagar,2012-03-19,3400.0,306.85,36.4,clear
94,Mustard,Bayana,2012-03-20,3500.0,310.4,35.3,clear
95,Mustard,Bharatpur,2012-03-20,3435.0,579.7,35.3,clear
96,Mustard,Bharatpur(Kumer),2012-03-20,3435.0,228.3,35.3,clear
97,Mustard,Deeg,2012-03-20,3440.0,452.6,35.3,clear
98,Mustard,Kama,2012-03-20,3350.0,318.3,35.3,clear
99,Mustard,Nadwai,2012-03-20,3375.0,209.7,35.3,clear
100,Mustard,Nagar,2012-03-20,3485.0,302.68,35.3,clear
101,Mustard,Bayana,2012-03-22,3550.0,475.7,27.3,clear
102,Mustard,Bharatpur,2012-03-22,3423.0,553.9,27.3,clear
103,Mustard,Bharatpur(Kumer),2012-03-22,3385.0,141.4,27.3,clear
104,Mustard,Deeg,2012-03-22,3498.0,395.5,27.3,clear
105,Mustard,Kama,2012-03-22,3335.0,320.8,27.3,clear
106,Mustard,Nadwai,2012-03-22,3473.0,274.6,27.3,clear
107,Mustard,Bayana,2012-10-04,3605.0,225.4,33.2,clear
108,Mustard,Bharatpur,2012-10-04,3612.0,246.5,33.2,clear
109,Mustard,Bharatpur(Kumer),2012-10-04,3612.0,87.8,33.2,clear
110,Mustard,Deeg,2012-10-04,3677.0,177.9,33.2,clear
111,Mustard,Kama,2012-10-04,3680.0,53.3,33.2,clear
112,Mustard,Nadwai,2012-10-04,3642.0,201.7,33.2,clear
113,Mustard,Nagar,2012-10-04,3600.0,127.5,33.2,clear
114,Mustard,Bayana,2012-04-28,3650.0,191.2,36.2,clear
115,Mustard,Bharatpur,2012-04-28,3625.0,398.0,36.2,clear
116,Mustard,Bharatpur(Kumer),2012-04-28,3625.0,113.7,36.2,clear
117,Mustard,Deeg,2012-04-28,3725.0,185.9,36.2,clear
118,Mustard,Kama,2012-04-28,3706.0,42.2,36.2,clear
119,Mustard,Nagar,2012-04-28,3700.0,155.97,36.2,clear
120,Mustard,Bayana,2012-02-05,3750.0,121.1,21.5,clear
121,Mustard,Bharatpur,2012-02-05,3665.0,382.5,21.5,clear
122,Mustard,Bharatpur(Kumer),2012-02-05,3665.0,82.7,21.5,clear
123,Mustard,Deeg,2012-02-05,3741.0,177.8,21.5,clear
124,Mustard,Kama,2012-02-05,3725.0,30.5,21.5,clear
125,Mustard,Nagar,2012-02-05,3750.0,186.15,21.5,clear
126,Mustard,Bayana,2012-05-05,3650.0,101.9,38.0,clear
127,Mustard,Bharatpur,2012-05-05,3630.0,269.0,38.0,clear
128,Mustard,Bharatpur(Kumer),2012-05-05,3630.0,71.4,38.0,clear
129,Mustard,Deeg,2012-05-05,3681.0,96.6,38.0,clear
130,Mustard,Kama,2012-05-05,3680.0,17.0,38.0,clear
