,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Fatehpur,2015-12-15,4250.0,0.6,6.6,clear
1,Mustard,Sri Madhopur,2015-12-15,4200.0,0.4,6.6,clear
2,Mustard,Fatehpur,2015-12-19,4250.0,0.8,7.0,clear
3,Mustard,Sri Madhopur,2015-12-19,4350.0,0.8,7.0,clear
4,Mustard,Sikar,2015-12-10,4900.0,10.3,12.2,clear
5,Mustard,Surajgarh,2015-12-10,4600.0,1.5,12.2,clear
6,Mustard,Sri Madhopur,2015-12-08,3950.0,2.7,12.8,clear
7,Mustard,Surajgarh,2015-12-08,3825.0,1.3,12.8,clear
8,Mustard,Sri Madhopur,2015-12-09,4150.0,10.5,12.6,clear
9,Mustard,Surajgarh,2015-12-09,4013.0,26.0,12.6,clear
10,Mustard,Sri Madhopur,2015-12-16,4315.0,5.6,7.0,clear
11,Mustard,Sri Madhopur,2015-12-17,4200.0,11.4,6.2,clear
12,Mustard,Sri Madhopur,2015-12-18,4283.0,4.1,6.4,clear
13,Mustard,Sri Madhopur,2015-12-22,4315.0,0.7,7.2,clear
14,Mustard,Sri Madhopur,2015-12-23,4350.0,0.8,7.6,clear
15,Mustard,Sri Madhopur,2015-12-24,4350.0,3.0,7.2,clear
16,Mustard,Sri Madhopur,2015-12-25,4400.0,1.5,7.0,clear
17,Mustard,Sri Madhopur,2015-12-29,4400.0,6.5,11.2,clear
18,Mustard,Sri Madhopur,2015-12-31,4500.0,5.0,12.0,clear
19,Mustard,Fatehpur,2016-02-04,3700.0,4.3,11.8,clear
20,Mustard,Neem Ka Thana,2016-02-04,3710.0,4.7,11.8,clear
21,Mustard,Sikar,2016-02-04,3711.0,19.0,11.8,clear
22,Mustard,Sri Madhopur,2016-02-04,3700.0,148.2,11.8,clear
23,Mustard,Surajgarh,2016-02-04,3590.0,42.9,11.8,clear
24,Mustard,Fatehpur,2016-04-04,3600.0,6.0,25.4,clear
25,Mustard,Neem Ka Thana,2016-04-04,3795.0,4.1,25.4,clear
26,Mustard,Sikar,2016-04-04,3850.0,29.1,25.4,clear
27,Mustard,Sri Madhopur,2016-04-04,3750.0,194.8,25.4,clear
28,Mustard,Surajgarh,2016-04-04,3600.0,132.1,25.4,clear
29,Mustard,Fatehpur,2016-06-04,3600.0,1.7,43.0,clear
30,Mustard,Neem Ka Thana,2016-06-04,3790.0,3.4,43.0,clear
31,Mustard,Sikar,2016-06-04,3858.0,13.3,43.0,clear
32,Mustard,Sri Madhopur,2016-06-04,3800.0,183.3,43.0,clear
33,Mustard,Surajgarh,2016-06-04,3620.0,80.3,43.0,clear
34,Mustard,Fatehpur,2016-09-04,3700.0,2.1,30.2,clear
35,Mustard,Neem Ka Thana,2016-09-04,3837.0,2.8,30.2,clear
36,Mustard,Sikar,2016-09-04,3985.0,14.9,30.2,clear
37,Mustard,Sri Madhopur,2016-09-04,3892.0,159.7,30.2,clear
38,Mustard,Surajgarh,2016-09-04,3732.0,52.5,30.2,clear
39,Mustard,Fatehpur,2016-11-04,3710.0,4.3,27.6,clear
40,Mustard,Neem Ka Thana,2016-11-04,3877.0,1.1,27.6,clear
41,Mustard,Sri Madhopur,2016-11-04,3721.0,127.5,27.6,clear
42,Mustard,Fatehpur,2016-04-13,3725.0,15.4,28.0,clear
43,Mustard,Neem Ka Thana,2016-04-13,3850.0,0.7,28.0,clear
44,Mustard,Sri Madhopur,2016-04-13,3813.0,228.3,28.0,clear
45,Mustard,Surajgarh,2016-04-13,3720.0,47.4,28.0,clear
46,Mustard,Fatehpur,2016-04-14,3825.0,6.2,38.0,clear
47,Mustard,Neem Ka Thana,2016-04-14,3830.0,1.0,38.0,clear
48,Mustard,Sikar,2016-04-14,3895.0,67.1,38.0,clear
49,Mustard,Sri Madhopur,2016-04-14,3800.0,179.0,38.0,clear
50,Mustard,Surajgarh,2016-04-14,3750.0,44.2,38.0,clear
51,Mustard,Fatehpur,2016-04-15,3900.0,4.0,29.0,clear
52,Mustard,Neem Ka Thana,2016-04-15,3828.0,0.9,29.0,clear
53,Mustard,Sikar,2016-04-15,4100.0,52.5,29.0,clear
54,Mustard,Sri Madhopur,2016-04-15,3800.0,218.8,29.0,clear
55,Mustard,Surajgarh,2016-04-15,3725.0,98.4,29.0,clear
56,Mustard,Fatehpur,2016-04-16,4000.0,6.0,38.0,clear
57,Mustard,Neem Ka Thana,2016-04-16,3855.0,3.0,38.0,clear
58,Mustard,Sikar,2016-04-16,4050.0,98.8,38.0,clear
59,Mustard,Sri Madhopur,2016-04-16,3925.0,187.3,38.0,clear
60,Mustard,Surajgarh,2016-04-16,3775.0,56.9,38.0,clear
61,Mustard,Fatehpur,2016-04-18,4000.0,3.7,36.6,clear
62,Mustard,Neem Ka Thana,2016-04-18,3965.0,12.1,36.6,clear
63,Mustard,Sikar,2016-04-18,4106.0,50.7,36.6,clear
64,Mustard,Sri Madhopur,2016-04-18,4025.0,205.4,36.6,clear
65,Mustard,Surajgarh,2016-04-18,3850.0,102.4,36.6,clear
66,Mustard,Fatehpur,2016-04-19,4000.0,1.8,36.0,clear
67,Mustard,Neem Ka Thana,2016-04-19,3985.0,22.4,36.0,clear
68,Mustard,Sikar,2016-04-19,4111.0,112.6,36.0,clear
69,Mustard,Sri Madhopur,2016-04-19,4150.0,234.2,36.0,clear
70,Mustard,Surajgarh,2016-04-19,3900.0,46.4,36.0,clear
71,Mustard,Fatehpur,2016-04-20,3900.0,5.4,25.4,clear
72,Mustard,Sikar,2016-04-20,4058.0,54.6,25.4,clear
73,Mustard,Sri Madhopur,2016-04-20,4137.0,143.3,25.4,clear
74,Mustard,Surajgarh,2016-04-20,3900.0,68.6,25.4,clear
75,Mustard,Fatehpur,2016-04-21,4000.0,1.8,30.0,clear
76,Mustard,Neem Ka Thana,2016-04-21,4000.0,1.3,30.0,clear
77,Mustard,Sikar,2016-04-21,4104.0,64.8,30.0,clear
78,Mustard,Sri Madhopur,2016-04-21,4133.0,174.6,30.0,clear
79,Mustard,Surajgarh,2016-04-21,3900.0,56.9,30.0,clear
80,Mustard,Fatehpur,2016-04-22,3850.0,5.4,28.0,clear
81,Mustard,Sikar,2016-04-22,4056.0,33.1,28.0,clear
82,Mustard,Sri Madhopur,2016-04-22,4130.0,174.8,28.0,clear
83,Mustard,Surajgarh,2016-04-22,3875.0,69.6,28.0,clear
84,Mustard,Fatehpur,2016-04-23,4000.0,5.2,35.2,clear
85,Mustard,Neem Ka Thana,2016-04-23,3970.0,9.5,35.2,clear
86,Mustard,Sikar,2016-04-23,4066.0,122.3,35.2,clear
87,Mustard,Sri Madhopur,2016-04-23,4000.0,57.1,35.2,clear
88,Mustard,Fatehpur,2016-04-25,3850.0,7.4,37.2,clear
89,Mustard,Neem Ka Thana,2016-04-25,3950.0,0.4,37.2,clear
90,Mustard,Sikar,2016-04-25,4245.0,16.1,37.2,clear
91,Mustard,Sri Madhopur,2016-04-25,4133.0,204.9,37.2,clear
92,Mustard,Surajgarh,2016-04-25,3900.0,28.4,37.2,clear
93,Mustard,Fatehpur,2016-04-26,4000.0,8.9,37.0,clear
94,Mustard,Neem Ka Thana,2016-04-26,3900.0,2.0,37.0,clear
95,Mustard,Sri Madhopur,2016-04-26,4155.0,212.0,37.0,clear
96,Mustard,Surajgarh,2016-04-26,3850.0,39.9,37.0,clear
97,Mustard,Fatehpur,2016-04-27,4000.0,9.0,38.4,clear
98,Mustard,Sri Madhopur,2016-04-27,4185.0,168.6,38.4,clear
99,Mustard,Surajgarh,2016-04-27,3800.0,22.9,38.4,clear
100,Mustard,Fatehpur,2016-04-28,3900.0,10.6,38.2,clear
101,Mustard,Sikar,2016-04-28,3950.0,29.9,38.2,clear
102,Mustard,Sri Madhopur,2016-04-28,3800.0,115.6,38.2,clear
103,Mustard,Surajgarh,2016-04-28,3775.0,31.7,38.2,clear
104,Mustard,Fatehpur,2016-04-29,3900.0,13.0,27.8,clear
105,Mustard,Neem Ka Thana,2016-04-29,3872.0,8.5,27.8,clear
106,Mustard,Sri Madhopur,2016-04-29,4000.0,226.1,27.8,clear
107,Mustard,Surajgarh,2016-04-29,3800.0,18.0,27.8,clear
108,Mustard,Fatehpur,2016-04-30,3900.0,10.3,39.6,clear
109,Mustard,Neem Ka Thana,2016-04-30,3905.0,7.8,39.6,clear
110,Mustard,Surajgarh,2016-04-30,3825.0,19.2,39.6,clear
111,Mustard,Fatehpur,2016-02-05,3850.0,8.8,11.6,clear
112,Mustard,Sikar,2016-02-05,3900.0,66.2,11.6,clear
113,Mustard,Sri Madhopur,2016-02-05,4059.0,172.1,11.6,clear
114,Mustard,Fatehpur,2016-03-05,3850.0,7.1,15.2,clear
115,Mustard,Neem Ka Thana,2016-03-05,3850.0,0.4,15.2,clear
116,Mustard,Sikar,2016-03-05,3912.0,91.4,15.2,clear
117,Mustard,Sri Madhopur,2016-03-05,3980.0,147.2,15.2,clear
118,Mustard,Surajgarh,2016-03-05,3800.0,24.3,15.2,clear
119,Mustard,Fatehpur,2016-04-05,3800.0,5.8,35.6,clear
