,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Deoli,2012-06-16,3250.0,0.3,39.6,clear
1,Mustard,Malpura,2012-06-16,3600.0,41.2,39.6,clear
2,Mustard,Niwai,2012-06-16,3490.0,97.0,39.6,clear
3,Mustard,Tonk,2012-06-16,3591.0,869.0,39.6,clear
4,Mustard,Uniyara,2012-06-16,3479.0,25.8,39.6,clear
5,Groundnut,Deoli,2012-06-18,3250.0,0.5,38.6,clear
6,Mustard,Deoli,2012-06-18,3290.0,9.7,38.6,clear
7,Mustard,Malpura,2012-06-18,3600.0,62.6,38.6,clear
8,Mustard,Niwai,2012-06-18,3601.0,96.0,38.6,clear
9,Mustard,Tonk,2012-06-18,3574.0,759.0,38.6,clear
10,Mustard,Uniyara,2012-06-18,3480.0,2.1,38.6,clear
11,Groundnut,Deoli,2012-06-22,3250.0,0.5,40.6,clear
12,Mustard,Deoli,2012-06-22,3195.0,1.2,40.6,clear
13,Mustard,Malpura,2012-06-22,3650.0,28.0,40.6,clear
14,Mustard,Niwai,2012-06-22,3562.0,99.0,40.6,clear
15,Mustard,Tonk,2012-06-22,3640.0,486.0,40.6,clear
16,Mustard,Uniyara,2012-06-22,3517.0,3.1,40.6,clear
17,Groundnut,Deoli,2012-06-30,3350.0,0.6,40.8,clear
18,Mustard,Deoli,2012-06-30,3485.0,3.3,40.8,clear
19,Mustard,Malpura(Todaraisingh),2012-06-30,3500.0,1.1,40.8,clear
20,Mustard,Niwai,2012-06-30,3625.0,98.0,40.8,clear
21,Mustard,Tonk,2012-06-30,3654.0,842.0,40.8,clear
22,Groundnut,Deoli,2012-02-11,3500.0,0.5,22.4,clear
23,Groundnut,Niwai,2012-02-11,4700.0,184.0,22.4,clear
24,Groundnut,Tonk,2012-02-11,4500.0,22.0,22.4,clear
25,Mustard,Deoli,2012-02-11,3775.0,9.5,22.4,clear
26,Mustard,Malpura,2012-02-11,3900.0,26.8,22.4,clear
27,Mustard,Niwai,2012-02-11,3950.0,43.0,22.4,clear
28,Mustard,Tonk,2012-02-11,4050.0,476.0,22.4,clear
29,Mustard,Uniyara,2012-02-11,3985.0,3.8,22.4,clear
30,Soyabean,Deoli,2012-02-11,3085.0,4.3,22.4,clear
31,Groundnut,Deoli,2012-03-11,3500.0,0.3,26.2,clear
32,Groundnut,Niwai,2012-03-11,4750.0,289.0,26.2,clear
33,Groundnut,Tonk,2012-03-11,4300.0,25.0,26.2,clear
34,Mustard,Malpura,2012-03-11,3900.0,3.5,26.2,clear
35,Mustard,Niwai,2012-03-11,3900.0,32.0,26.2,clear
36,Mustard,Tonk,2012-03-11,4100.0,673.0,26.2,clear
37,Mustard,Uniyara,2012-03-11,3970.0,7.2,26.2,clear
38,Soyabean,Deoli,2012-03-11,3135.0,1.6,26.2,clear
39,Groundnut,Deoli,2012-05-11,3750.0,0.2,36.0,clear
40,Groundnut,Niwai,2012-05-11,4600.0,155.0,36.0,clear
41,Groundnut,Tonk,2012-05-11,4550.0,14.0,36.0,clear
42,Mustard,Deoli,2012-05-11,3750.0,0.6,36.0,clear
43,Mustard,Malpura,2012-05-11,3850.0,27.7,36.0,clear
44,Mustard,Niwai,2012-05-11,3940.0,23.0,36.0,clear
45,Mustard,Tonk,2012-05-11,4100.0,406.0,36.0,clear
46,Mustard,Uniyara,2012-05-11,3980.0,4.0,36.0,clear
47,Soyabean,Deoli,2012-05-11,2995.0,0.5,36.0,clear
48,Groundnut,Deoli,2012-08-11,3900.0,0.3,29.0,clear
49,Groundnut,Niwai,2012-08-11,4600.0,170.0,29.0,clear
50,Groundnut,Tonk,2012-08-11,4400.0,40.0,29.0,clear
51,Mustard,Deoli,2012-08-11,3695.0,2.4,29.0,clear
52,Mustard,Malpura,2012-08-11,3900.0,8.5,29.0,clear
53,Mustard,Malpura(Todaraisingh),2012-08-11,3925.0,0.2,29.0,clear
54,Mustard,Niwai,2012-08-11,3887.0,48.0,29.0,clear
55,Mustard,Tonk,2012-08-11,4151.0,471.0,29.0,clear
56,Mustard,Uniyara,2012-08-11,4032.0,1.2,29.0,clear
57,Soyabean,Deoli,2012-08-11,3000.0,0.4,29.0,clear
58,Groundnut,Deoli,2012-09-11,3550.0,1.6,30.6,rain
59,Groundnut,Niwai,2012-09-11,4600.0,155.0,30.6,rain
60,Groundnut,Tonk,2012-09-11,4430.0,12.0,30.6,rain
61,Mustard,Deoli,2012-09-11,3803.0,3.7,30.6,rain
62,Mustard,Malpura,2012-09-11,4200.0,36.5,30.6,rain
63,Mustard,Malpura(Todaraisingh),2012-09-11,3850.0,0.2,30.6,rain
64,Mustard,Niwai,2012-09-11,3875.0,25.0,30.6,rain
65,Mustard,Tonk,2012-09-11,4180.0,347.0,30.6,rain
66,Mustard,Uniyara,2012-09-11,4092.0,7.2,30.6,rain
67,Groundnut,Deoli,2012-10-11,4100.0,0.5,34.0,clear
68,Groundnut,Tonk,2012-10-11,4451.0,11.0,34.0,clear
69,Mustard,Deoli,2012-10-11,3750.0,1.0,34.0,clear
70,Mustard,Malpura,2012-10-11,4240.0,2.8,34.0,clear
71,Mustard,Malpura(Todaraisingh),2012-10-11,3875.0,0.4,34.0,clear
72,Mustard,Tonk,2012-10-11,4180.0,1176.0,34.0,clear
73,Mustard,Uniyara,2012-10-11,4107.0,1.1,34.0,clear
74,Groundnut,Deoli,2012-11-17,4038.0,0.1,28.0,clear
75,Groundnut,Malpura,2012-11-17,4650.0,4.5,28.0,clear
76,Groundnut,Niwai,2012-11-17,4650.0,141.0,28.0,clear
77,Groundnut,Tonk,2012-11-17,4450.0,13.0,28.0,clear
78,Mustard,Deoli,2012-11-17,3775.0,1.4,28.0,clear
79,Mustard,Malpura,2012-11-17,4230.0,28.6,28.0,clear
80,Mustard,Malpura(Todaraisingh),2012-11-17,4100.0,0.3,28.0,clear
81,Mustard,Niwai,2012-11-17,3950.0,52.0,28.0,clear
82,Mustard,Tonk,2012-11-17,4190.0,669.0,28.0,clear
83,Mustard,Uniyara,2012-11-17,4094.0,16.9,28.0,clear
84,Soyabean,Deoli,2012-11-17,3050.0,2.3,28.0,clear
85,Groundnut,Deoli,2012-11-24,4650.0,0.2,28.8,clear
86,Groundnut,Malpura,2012-11-24,4200.0,1.7,28.8,clear
87,Groundnut,Niwai,2012-11-24,4750.0,81.0,28.8,clear
88,Mustard,Deoli,2012-11-24,3700.0,1.5,28.8,clear
89,Mustard,Malpura,2012-11-24,4000.0,2.5,28.8,clear
90,Mustard,Malpura(Todaraisingh),2012-11-24,4000.0,1.5,28.8,clear
91,Mustard,Niwai,2012-11-24,4000.0,22.0,28.8,clear
92,Mustard,Uniyara,2012-11-24,4008.0,5.8,28.8,clear
93,Soyabean,Deoli,2012-11-24,2925.0,0.2,28.8,clear
94,Groundnut,Deoli,2012-11-26,4650.0,0.2,27.8,clear
