,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Achalda,2015-12-08,3975.0,2.5,24.0,clear
1,Mustard,Auraiya,2015-12-08,3920.0,7.0,24.0,clear
2,Mustard,Dibiapur,2015-12-08,4050.0,2.0,24.0,clear
3,Mustard,Achalda,2015-12-10,4050.0,2.2,16.5,clear
4,Mustard,Auraiya,2015-12-10,4100.0,6.5,16.5,clear
5,Mustard,Dibiapur,2015-12-10,4120.0,1.0,16.5,clear
6,Mustard,Achalda,2015-12-12,4345.0,1.8,21.0,clear
7,Mustard,Auraiya,2015-12-12,4260.0,4.5,21.0,clear
8,Mustard,Dibiapur,2015-12-12,4400.0,1.0,21.0,clear
9,Mustard,Achalda,2015-12-14,4330.0,3.0,20.0,clear
10,Mustard,Auraiya,2015-12-14,4250.0,3.5,20.0,clear
11,Mustard,Dibiapur,2015-12-14,4400.0,2.0,20.0,clear
12,Mustard,Achalda,2015-12-15,4350.0,2.5,19.0,clear
13,Mustard,Auraiya,2015-12-15,4265.0,2.5,19.0,clear
14,Mustard,Achalda,2015-12-18,4365.0,3.0,20.5,clear
15,Mustard,Dibiapur,2015-12-18,4400.0,1.0,20.5,clear
16,Mustard,Achalda,2015-12-19,4350.0,2.5,20.5,clear
17,Mustard,Dibiapur,2015-12-19,4400.0,2.0,20.5,clear
18,Mustard,Achalda,2015-12-21,0.0,3.5,18.5,clear
19,Mustard,Auraiya,2015-12-21,4250.0,3.5,18.5,clear
20,Mustard,Dibiapur,2015-12-21,4400.0,1.0,18.5,clear
21,Mustard,Achalda,2015-12-22,4340.0,3.0,19.0,clear
22,Mustard,Auraiya,2015-12-22,4250.0,6.0,19.0,clear
23,Mustard,Achalda,2015-12-23,4350.0,2.0,19.0,clear
24,Mustard,Auraiya,2015-12-23,4260.0,2.5,19.0,clear
25,Mustard,Dibiapur,2015-12-23,4500.0,1.0,19.0,clear
26,Mustard,Achalda,2015-12-24,4320.0,3.5,19.0,clear
27,Mustard,Auraiya,2015-12-24,4270.0,6.0,19.0,clear
28,Mustard,Dibiapur,2015-12-24,4500.0,1.0,19.0,clear
29,Mustard,Achalda,2015-12-25,4300.0,4.0,19.0,clear
30,Mustard,Auraiya,2015-12-25,4255.0,4.5,19.0,clear
31,Mustard,Dibiapur,2015-12-25,4500.0,1.0,19.0,clear
32,Mustard,Achalda,2015-12-26,4325.0,3.0,19.5,clear
33,Mustard,Auraiya,2015-12-26,4250.0,4.0,19.5,clear
34,Mustard,Dibiapur,2015-12-26,4500.0,1.0,19.5,clear
35,Mustard,Achalda,2015-12-28,4320.0,3.5,10.5,clear
36,Mustard,Dibiapur,2015-12-28,4600.0,1.0,10.5,clear
37,Mustard,Achalda,2015-12-29,4330.0,3.0,19.0,clear
38,Mustard,Achalda,2015-12-30,4350.0,2.5,22.0,clear
39,Mustard,Dibiapur,2015-12-30,4600.0,1.0,22.0,clear
40,Mustard,Achalda,2015-12-31,4335.0,3.5,23.5,clear
41,Mustard,Auraiya,2015-12-09,3875.0,5.0,24.0,clear
42,Mustard,Dibiapur,2015-12-09,3900.0,1.0,24.0,clear
43,Mustard,Auraiya,2015-12-16,4270.0,4.5,19.0,clear
44,Mustard,Dibiapur,2015-12-16,4400.0,2.0,19.0,clear
45,Mustard,Auraiya,2015-12-17,4275.0,3.5,20.5,clear
46,Mustard,Dibiapur,2015-12-11,3100.0,1.0,25.0,clear
47,Mustard,Dibiapur,2015-12-13,4300.0,1.0,20.5,clear
48,Mustard,Dibiapur,2015-12-20,4500.0,1.0,20.0,clear
49,Mustard,Achalda,2016-01-01,4340.0,3.0,22.5,clear
50,Mustard,Auraiya,2016-01-01,4255.0,5.0,22.5,clear
51,Mustard,Dibiapur,2016-01-01,4600.0,2.0,22.5,clear
52,Mustard,Achalda,2016-02-01,4350.0,2.2,24.5,clear
53,Mustard,Auraiya,2016-02-01,4250.0,1.5,24.5,clear
54,Mustard,Dibiapur,2016-02-01,4560.0,1.0,24.5,clear
55,Mustard,Achalda,2016-04-01,4335.0,2.8,37.0,clear
56,Mustard,Auraiya,2016-04-01,4250.0,2.5,37.0,clear
57,Mustard,Dibiapur,2016-04-01,4670.0,2.0,37.0,clear
58,Mustard,Achalda,2016-05-01,4345.0,2.5,42.0,clear
59,Mustard,Auraiya,2016-05-01,4260.0,2.5,42.0,clear
60,Mustard,Achalda,2016-07-01,4400.0,1.8,36.0,clear
61,Mustard,Auraiya,2016-07-01,4265.0,4.5,36.0,clear
62,Mustard,Dibiapur,2016-07-01,4600.0,1.0,36.0,clear
63,Mustard,Achalda,2016-08-01,4425.0,1.5,28.5,clear
64,Mustard,Auraiya,2016-08-01,4260.0,5.0,28.5,clear
65,Mustard,Dibiapur,2016-08-01,4670.0,2.0,28.5,clear
66,Mustard,Achalda,2016-09-01,4430.0,1.2,29.5,clear
67,Mustard,Auraiya,2016-09-01,4265.0,55.0,29.5,clear
68,Mustard,Dibiapur,2016-09-01,4700.0,1.0,29.5,clear
69,Mustard,Achalda,2016-11-01,4420.0,3.0,31.5,clear
70,Mustard,Auraiya,2016-11-01,4270.0,6.5,31.5,clear
71,Mustard,Achalda,2016-12-01,4450.0,2.5,21.0,clear
72,Mustard,Auraiya,2016-12-01,4265.0,5.0,21.0,clear
73,Mustard,Achalda,2016-01-13,4470.0,2.0,23.0,clear
74,Mustard,Auraiya,2016-01-13,4275.0,6.0,23.0,clear
75,Mustard,Achalda,2016-01-14,4460.0,30.0,22.5,clear
76,Mustard,Auraiya,2016-01-14,4270.0,3.5,22.5,clear
77,Mustard,Dibiapur,2016-01-14,4600.0,1.0,22.5,clear
78,Mustard,Achalda,2016-01-15,4480.0,2.4,18.1,clear
79,Mustard,Auraiya,2016-01-15,4260.0,2.5,18.1,clear
80,Mustard,Dibiapur,2016-01-15,4650.0,3.0,18.1,clear
81,Mustard,Achalda,2016-01-16,4500.0,2.0,18.0,clear
82,Mustard,Auraiya,2016-01-16,4250.0,4.0,18.0,clear
83,Mustard,Achalda,2016-01-18,4500.0,3.0,18.0,clear
84,Mustard,Auraiya,2016-01-18,4235.0,6.0,18.0,clear
85,Mustard,Dibiapur,2016-01-18,4560.0,2.0,18.0,clear
86,Mustard,Achalda,2016-01-19,4500.0,2.5,9.0,clear
87,Mustard,Auraiya,2016-01-19,4270.0,2.5,9.0,clear
88,Mustard,Achalda,2016-01-20,4520.0,2.2,13.5,clear
89,Mustard,Auraiya,2016-01-20,4250.0,3.0,13.5,clear
90,Mustard,Dibiapur,2016-01-20,4600.0,3.0,13.5,clear
91,Mustard,Achalda,2016-01-22,4525.0,2.6,16.5,clear
92,Mustard,Auraiya,2016-01-22,4235.0,3.0,16.5,clear
93,Mustard,Dibiapur,2016-01-22,4600.0,1.0,16.5,clear
94,Mustard,Achalda,2016-01-23,4530.0,2.0,18.5,clear
95,Mustard,Auraiya,2016-01-23,4230.0,4.0,18.5,clear
96,Mustard,Achalda,2016-01-25,4480.0,3.0,19.0,clear
97,Mustard,Auraiya,2016-01-25,4225.0,5.0,19.0,clear
98,Mustard,Achalda,2016-01-27,4450.0,3.5,22.5,clear
99,Mustard,Auraiya,2016-01-27,4220.0,2.5,22.5,clear
100,Mustard,Achalda,2016-01-28,4455.0,2.8,22.5,clear
101,Mustard,Auraiya,2016-01-28,4225.0,1.5,22.5,clear
102,Mustard,Dibiapur,2016-01-28,4620.0,2.0,22.5,clear
103,Mustard,Achalda,2016-01-29,4460.0,2.2,23.5,clear
104,Mustard,Auraiya,2016-01-29,4215.0,7.0,23.5,clear
105,Mustard,Dibiapur,2016-01-29,4600.0,1.0,23.5,clear
106,Mustard,Achalda,2016-01-30,4450.0,3.0,25.5,clear
107,Mustard,Achalda,2016-02-02,4360.0,3.5,21.5,clear
108,Mustard,Auraiya,2016-02-02,3900.0,5.0,21.5,clear
109,Mustard,Achalda,2016-03-02,4360.0,2.5,29.5,clear
110,Mustard,Auraiya,2016-03-02,3880.0,4.0,29.5,clear
111,Mustard,Dibiapur,2016-03-02,4650.0,1.0,29.5,clear
112,Mustard,Achalda,2016-04-02,4300.0,3.0,38.0,clear
113,Mustard,Auraiya,2016-04-02,3850.0,5.0,38.0,clear
114,Mustard,Dibiapur,2016-04-02,4670.0,1.0,38.0,clear
115,Mustard,Achalda,2016-05-02,4300.0,2.5,42.5,clear
116,Mustard,Auraiya,2016-05-02,3860.0,4.5,42.5,clear
117,Mustard,Dibiapur,2016-05-02,4320.0,2.0,42.5,clear
118,Mustard,Achalda,2016-06-02,4315.0,2.0,41.5,clear
119,Mustard,Auraiya,2016-06-02,3870.0,2.5,41.5,clear
120,Mustard,Dibiapur,2016-06-02,4320.0,2.0,41.5,clear
121,Mustard,Achalda,2016-08-02,4270.0,3.5,31.5,clear
122,Mustard,Auraiya,2016-08-02,3865.0,4.5,31.5,clear
123,Mustard,Dibiapur,2016-08-02,4200.0,1.0,31.5,clear
124,Mustard,Achalda,2016-09-02,4270.0,3.0,31.5,clear
125,Mustard,Auraiya,2016-09-02,3875.0,7.0,31.5,clear
126,Mustard,Achalda,2016-10-02,4230.0,2.0,30.5,clear
127,Mustard,Auraiya,2016-10-02,3870.0,5.0,30.5,clear
128,Mustard,Dibiapur,2016-10-02,4200.0,1.0,30.5,clear
129,Mustard,Achalda,2016-11-02,4200.0,3.5,19.5,clear
130,Mustard,Auraiya,2016-11-02,3860.0,4.5,19.5,clear
131,Mustard,Dibiapur,2016-11-02,4200.0,2.0,19.5,clear
132,Mustard,Achalda,2016-12-02,4150.0,4.0,21.5,clear
133,Mustard,Auraiya,2016-12-02,3880.0,2.5,21.5,clear
134,Mustard,Dibiapur,2016-12-02,3900.0,2.0,21.5,clear
135,Mustard,Achalda,2016-02-13,4160.0,3.0,25.0,clear
136,Mustard,Dibiapur,2016-02-13,3900.0,1.0,25.0,clear
137,Mustard,Achalda,2016-02-15,4100.0,3.5,25.5,clear
138,Mustard,Dibiapur,2016-02-15,3890.0,1.0,25.5,clear
139,Mustard,Achalda,2016-02-16,4000.0,4.0,25.5,clear
140,Mustard,Achalda,2016-02-17,3600.0,4.5,23.5,clear
141,Mustard,Dibiapur,2016-02-17,3450.0,2.0,23.5,clear
142,Mustard,Achalda,2016-02-18,3550.0,5.5,27.0,clear
143,Mustard,Auraiya,2016-02-18,3820.0,5.0,27.0,clear
144,Mustard,Dibiapur,2016-02-18,3400.0,1.0,27.0,clear
145,Mustard,Achalda,2016-02-19,3500.0,6.0,27.5,clear
146,Mustard,Auraiya,2016-02-19,3790.0,2.5,27.5,clear
147,Mustard,Dibiapur,2016-02-19,3300.0,2.0,27.5,clear
148,Mustard,Achalda,2016-02-20,3500.0,4.0,26.0,clear
149,Mustard,Auraiya,2016-02-20,3775.0,3.5,26.0,clear
150,Mustard,Dibiapur,2016-02-20,3400.0,1.0,26.0,clear
151,Mustard,Achalda,2016-02-22,3450.0,6.0,28.0,clear
152,Mustard,Auraiya,2016-02-22,3750.0,4.0,28.0,clear
153,Mustard,Dibiapur,2016-02-22,3400.0,1.0,28.0,clear
154,Mustard,Achalda,2016-02-23,3450.0,4.5,27.0,clear
155,Mustard,Auraiya,2016-02-23,3740.0,5.0,27.0,clear
156,Mustard,Achalda,2016-02-25,3400.0,6.0,28.0,clear
157,Mustard,Auraiya,2016-02-25,3625.0,4.0,28.0,clear
158,Mustard,Dibiapur,2016-02-25,3400.0,2.0,28.0,clear
159,Mustard,Achalda,2016-02-26,3420.0,3.5,27.5,clear
160,Mustard,Auraiya,2016-02-26,3550.0,5.0,27.5,clear
161,Mustard,Achalda,2016-02-27,3425.0,3.0,28.5,clear
162,Mustard,Auraiya,2016-02-27,3500.0,4.5,28.5,clear
163,Mustard,Dibiapur,2016-02-27,3300.0,2.0,28.5,clear
164,Mustard,Achalda,2016-02-29,3380.0,49.0,29.0,clear
165,Mustard,Dibiapur,2016-02-29,3300.0,1.0,29.0,clear
166,Mustard,Achalda,2016-01-03,3385.0,3.0,13.5,clear
167,Mustard,Auraiya,2016-01-03,3445.0,2.0,13.5,clear
168,Mustard,Achalda,2016-02-03,3340.0,3.5,21.5,clear
169,Mustard,Auraiya,2016-02-03,3450.0,5.0,21.5,clear
170,Mustard,Dibiapur,2016-02-03,3300.0,1.0,21.5,clear
171,Mustard,Achalda,2016-03-03,3280.0,4.0,31.5,clear
172,Mustard,Auraiya,2016-03-03,3520.0,6.0,31.5,clear
173,Mustard,Dibiapur,2016-03-03,3300.0,1.0,31.5,clear
174,Mustard,Achalda,2016-04-03,3250.0,4.5,38.0,clear
175,Mustard,Auraiya,2016-04-03,3525.0,7.5,38.0,clear
176,Mustard,Dibiapur,2016-04-03,3300.0,2.0,38.0,clear
177,Mustard,Achalda,2016-05-03,3260.0,3.0,38.0,clear
178,Mustard,Auraiya,2016-05-03,3510.0,6.5,38.0,clear
179,Mustard,Dibiapur,2016-05-03,3300.0,1.0,38.0,clear
180,Mustard,Achalda,2016-07-03,3250.0,4.0,32.5,clear
181,Mustard,Auraiya,2016-07-03,3540.0,3.5,32.5,clear
182,Mustard,Dibiapur,2016-07-03,3300.0,2.0,32.5,clear
183,Mustard,Achalda,2016-08-03,3270.0,3.5,32.0,clear
184,Mustard,Auraiya,2016-08-03,3550.0,4.0,32.0,clear
185,Mustard,Achalda,2016-09-03,3275.0,3.0,30.5,clear
186,Mustard,Auraiya,2016-09-03,3520.0,8.5,30.5,clear
187,Mustard,Dibiapur,2016-09-03,3300.0,1.0,30.5,clear
188,Mustard,Achalda,2016-10-03,3250.0,4.0,33.0,clear
189,Mustard,Auraiya,2016-10-03,3500.0,7.0,33.0,clear
190,Mustard,Dibiapur,2016-10-03,3320.0,1.0,33.0,clear
191,Mustard,Achalda,2016-11-03,3250.0,2.5,27.5,clear
192,Mustard,Auraiya,2016-11-03,3500.0,3.5,27.5,clear
193,Mustard,Dibiapur,2016-11-03,3300.0,2.0,27.5,clear
194,Mustard,Achalda,2016-12-03,3285.0,2.0,21.0,clear
195,Mustard,Auraiya,2016-12-03,3475.0,4.5,21.0,clear
196,Mustard,Dibiapur,2016-12-03,3320.0,1.0,21.0,clear
197,Mustard,Achalda,2016-03-14,3270.0,3.5,28.0,clear
198,Mustard,Auraiya,2016-03-14,3470.0,4.0,28.0,clear
199,Mustard,Dibiapur,2016-03-14,3400.0,2.0,28.0,clear
200,Mustard,Achalda,2016-03-15,3300.0,3.0,26.4,clear
201,Mustard,Achalda,2016-03-16,3340.0,2.5,30.0,clear
202,Mustard,Auraiya,2016-03-16,3455.0,3.5,30.0,clear
203,Mustard,Achalda,2016-03-17,3325.0,4.0,31.2,clear
204,Mustard,Auraiya,2016-03-17,3450.0,4.5,31.2,clear
205,Mustard,Achalda,2016-03-18,3350.0,3.5,33.0,clear
206,Mustard,Auraiya,2016-03-18,3460.0,4.0,33.0,clear
207,Mustard,Dibiapur,2016-03-18,3300.0,2.0,33.0,clear
208,Mustard,Achalda,2016-03-19,3400.0,3.0,32.5,clear
209,Mustard,Auraiya,2016-03-19,3450.0,5.5,32.5,clear
210,Mustard,Dibiapur,2016-03-19,3320.0,3.0,32.5,clear
211,Mustard,Achalda,2016-03-21,3380.0,3.5,32.5,clear
212,Mustard,Auraiya,2016-03-21,3440.0,3.0,32.5,clear
213,Mustard,Dibiapur,2016-03-21,3300.0,2.0,32.5,clear
214,Mustard,Achalda,2016-03-23,3400.0,2.5,32.5,clear
215,Mustard,Auraiya,2016-03-23,3435.0,6.0,32.5,clear
216,Mustard,Dibiapur,2016-03-23,3300.0,2.0,32.5,clear
217,Mustard,Achalda,2016-03-25,3410.0,1.5,35.5,clear
218,Mustard,Dibiapur,2016-03-25,3400.0,4.0,35.5,clear
219,Mustard,Achalda,2016-03-26,3400.0,2.0,35.4,clear
220,Mustard,Auraiya,2016-03-26,3420.0,3.5,35.4,clear
221,Mustard,Dibiapur,2016-03-26,3400.0,2.0,35.4,clear
222,Mustard,Achalda,2016-03-28,3380.0,4.0,34.5,clear
223,Mustard,Auraiya,2016-03-28,3430.0,5.5,34.5,clear
224,Mustard,Dibiapur,2016-03-28,3500.0,2.0,34.5,clear
225,Mustard,Achalda,2016-03-29,3380.0,3.0,23.0,clear
226,Mustard,Auraiya,2016-03-29,3500.0,4.0,23.0,clear
227,Mustard,Achalda,2016-03-30,3400.0,3.0,33.0,clear
228,Mustard,Auraiya,2016-03-30,3520.0,6.0,33.0,clear
229,Mustard,Achalda,2016-03-31,3380.0,3.5,36.0,clear
230,Mustard,Auraiya,2016-03-31,3510.0,5.0,36.0,clear
231,Mustard,Dibiapur,2016-03-31,3400.0,2.0,36.0,clear
232,Mustard,Achalda,2016-01-04,3400.0,2.6,22.5,clear
233,Mustard,Auraiya,2016-01-04,3515.0,4.5,22.5,clear
234,Mustard,Achalda,2016-02-04,3440.0,2.0,21.0,clear
235,Mustard,Auraiya,2016-02-04,3520.0,8.0,21.0,clear
236,Mustard,Dibiapur,2016-02-04,3500.0,2.0,21.0,clear
237,Mustard,Achalda,2016-04-04,3440.0,3.0,37.5,clear
238,Mustard,Auraiya,2016-04-04,3525.0,7.0,37.5,clear
239,Mustard,Dibiapur,2016-04-04,3500.0,2.0,37.5,clear
240,Mustard,Achalda,2016-05-04,3480.0,2.5,39.5,clear
241,Mustard,Auraiya,2016-05-04,3505.0,4.0,39.5,clear
242,Mustard,Achalda,2016-06-04,3500.0,2.0,41.5,clear
243,Mustard,Auraiya,2016-06-04,3500.0,6.5,41.5,clear
244,Mustard,Dibiapur,2016-06-04,3500.0,1.0,41.5,clear
245,Mustard,Achalda,2016-07-04,3480.0,4.0,31.5,clear
246,Mustard,Auraiya,2016-07-04,3510.0,5.0,31.5,clear
247,Mustard,Dibiapur,2016-07-04,3500.0,1.0,31.5,clear
248,Mustard,Achalda,2016-08-04,3500.0,3.0,32.5,clear
249,Mustard,Auraiya,2016-08-04,3505.0,7.5,32.5,clear
250,Mustard,Dibiapur,2016-08-04,3540.0,3.0,32.5,clear
251,Mustard,Achalda,2016-09-04,3550.0,2.0,31.0,clear
252,Mustard,Auraiya,2016-09-04,3505.0,8.0,31.0,clear
253,Mustard,Dibiapur,2016-09-04,3540.0,1.0,31.0,clear
254,Mustard,Achalda,2016-11-04,3540.0,3.8,26.2,clear
255,Mustard,Auraiya,2016-11-04,3500.0,6.5,26.2,clear
256,Mustard,Dibiapur,2016-11-04,3500.0,1.0,26.2,clear
257,Mustard,Achalda,2016-12-04,3600.0,3.0,21.5,clear
258,Mustard,Auraiya,2016-12-04,3510.0,4.5,21.5,clear
259,Mustard,Achalda,2016-04-13,3650.0,2.5,38.0,clear
260,Mustard,Auraiya,2016-04-13,3500.0,6.0,38.0,clear
261,Mustard,Achalda,2016-04-18,3750.0,2.5,40.0,clear
262,Mustard,Dibiapur,2016-04-18,3700.0,2.0,40.0,clear
263,Mustard,Achalda,2016-04-19,3750.0,3.0,40.5,clear
264,Mustard,Auraiya,2016-04-19,3515.0,5.0,40.5,clear
265,Mustard,Achalda,2016-04-20,3770.0,2.5,40.5,clear
266,Mustard,Auraiya,2016-04-20,3520.0,8.0,40.5,clear
267,Mustard,Dibiapur,2016-04-20,3800.0,1.5,40.5,clear
268,Mustard,Achalda,2016-04-21,3760.0,3.0,39.5,clear
269,Mustard,Auraiya,2016-04-21,3555.0,5.0,39.5,clear
270,Mustard,Achalda,2016-04-22,3800.0,2.4,40.6,clear
271,Mustard,Auraiya,2016-04-22,3550.0,4.5,40.6,clear
272,Mustard,Achalda,2016-04-23,3850.0,2.0,39.0,clear
273,Mustard,Auraiya,2016-04-23,3900.0,2.0,39.0,clear
274,Mustard,Dibiapur,2016-04-23,3800.0,1.2,39.0,clear
275,Mustard,Achalda,2016-04-25,3840.0,3.5,39.0,clear
276,Mustard,Auraiya,2016-04-25,3950.0,2.5,39.0,clear
277,Mustard,Dibiapur,2016-04-25,3850.0,2.0,39.0,clear
278,Mustard,Achalda,2016-04-26,3870.0,3.0,40.0,clear
279,Mustard,Auraiya,2016-04-26,3940.0,2.0,40.0,clear
280,Mustard,Achalda,2016-04-27,3870.0,2.5,41.0,clear
281,Mustard,Auraiya,2016-04-27,3925.0,3.5,41.0,clear
282,Mustard,Dibiapur,2016-04-27,3850.0,1.0,41.0,clear
283,Mustard,Achalda,2016-04-28,3870.0,3.0,39.5,clear
284,Mustard,Auraiya,2016-04-28,3925.0,4.0,39.5,clear
285,Mustard,Dibiapur,2016-04-28,3900.0,2.0,39.5,clear
286,Mustard,Achalda,2016-04-29,3890.0,2.5,40.5,clear
287,Mustard,Auraiya,2016-04-29,3930.0,4.5,40.5,clear
288,Mustard,Dibiapur,2016-04-29,3800.0,1.0,40.5,clear
289,Mustard,Achalda,2016-04-30,3900.0,2.0,41.0,clear
