,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Etah,2015-12-09,4280.0,4.0,22.8,clear
1,Mustard,Etah,2015-12-09,4310.0,8.0,22.8,clear
2,Mustard,Etah,2015-12-08,4200.0,40.0,21.8,clear
3,Mustard,Etah,2015-12-10,4100.0,11.0,17.4,clear
4,Mustard,Etah,2015-12-13,4420.0,6.0,16.6,clear
5,Mustard,Kasganj,2015-12-13,4210.0,1.2,16.6,clear
6,Mustard,Etah,2015-12-25,4410.0,6.0,15.2,clear
7,Mustard,Etah,2015-12-26,4430.0,6.0,16.6,clear
8,Mustard,Kasganj,2015-12-26,4240.0,1.8,16.6,clear
9,Mustard,Etah,2015-12-31,4400.0,4.5,20.2,clear
10,Mustard,Kasganj,2015-12-31,4100.0,3.2,20.2,clear
11,Mustard,Kasganj,2015-12-07,3975.0,1.5,21.2,clear
12,Mustard,Kasganj,2015-12-15,4240.0,1.0,18.2,clear
13,Mustard,Kasganj,2015-12-18,4230.0,1.5,16.2,clear
14,Mustard,Kasganj,2015-12-29,4180.0,2.6,20.4,clear
15,Groundnut,Etah,2016-07-27,5000.0,490.0,29.2,clear
16,Mustard,Etah,2016-07-27,4200.0,20.0,29.2,clear
17,Mustard,Kasganj,2016-07-27,4350.0,20.0,29.2,clear
18,Groundnut,Etah,2016-07-28,5100.0,450.0,30.2,clear
19,Mustard,Etah,2016-07-28,4300.0,5.0,30.2,clear
20,Mustard,Kasganj,2016-07-28,4310.0,26.0,30.2,clear
21,Groundnut,Etah,2016-07-29,5000.0,460.0,30.6,clear
22,Mustard,Etah,2016-07-29,4250.0,6.0,30.6,clear
23,Groundnut,Etah,2016-07-30,5000.0,450.0,30.4,clear
24,Mustard,Etah,2016-07-30,4250.0,6.0,30.4,clear
25,Mustard,Kasganj,2016-07-30,4300.0,21.0,30.4,clear
26,Groundnut,Etah,2016-07-31,4800.0,440.0,27.4,clear
27,Mustard,Etah,2016-07-31,4300.0,5.0,27.4,clear
28,Mustard,Kasganj,2016-07-31,4320.0,20.0,27.4,clear
29,Groundnut,Etah,2016-01-08,4900.0,420.0,21.0,clear
30,Mustard,Etah,2016-01-08,4250.0,6.0,21.0,clear
31,Groundnut,Etah,2016-03-08,4900.0,400.0,27.6,clear
32,Mustard,Etah,2016-03-08,4300.0,5.0,27.6,clear
33,Mustard,Kasganj,2016-03-08,4350.0,16.0,27.6,clear
34,Groundnut,Etah,2016-04-08,4800.0,410.0,35.4,clear
35,Mustard,Etah,2016-04-08,4250.0,6.0,35.4,clear
36,Mustard,Kasganj,2016-04-08,4360.0,14.0,35.4,clear
37,Groundnut,Etah,2016-05-08,4850.0,400.0,37.2,clear
38,Groundnut,Etah,2016-06-08,4800.0,410.0,37.8,clear
39,Mustard,Etah,2016-06-08,4250.0,7.0,37.8,clear
40,Groundnut,Etah,2016-08-08,4100.0,300.0,32.8,clear
41,Mustard,Etah,2016-08-08,4280.0,7.0,32.8,clear
42,Groundnut,Etah,2016-10-08,4000.0,280.0,33.2,clear
43,Mustard,Etah,2016-10-08,4300.0,5.0,33.2,clear
44,Mustard,Kasganj,2016-10-08,4360.0,18.0,33.2,clear
45,Groundnut,Etah,2016-11-08,4050.0,250.0,27.0,clear
46,Mustard,Etah,2016-11-08,4200.0,13.1,27.0,clear
47,Mustard,Kasganj,2016-11-08,4350.0,20.0,27.0,clear
48,Groundnut,Etah,2016-12-08,4000.0,260.0,17.8,clear
49,Mustard,Etah,2016-12-08,4250.0,10.0,17.8,clear
50,Mustard,Kasganj,2016-12-08,4300.0,18.0,17.8,clear
51,Groundnut,Etah,2016-08-20,4100.0,150.0,32.6,clear
52,Mustard,Etah,2016-08-20,4250.0,8.0,32.6,clear
53,Mustard,Etah,2016-01-01,4410.0,4.0,19.4,clear
54,Mustard,Ganjdudwara,2016-01-01,4430.0,2.0,19.4,clear
55,Mustard,Kasganj,2016-01-01,4120.0,3.6,19.4,clear
56,Mustard,Etah,2016-02-01,4400.0,4.5,21.4,clear
57,Mustard,Etah,2016-03-02,3580.0,12.0,29.2,clear
58,Mustard,Kasganj,2016-03-02,3600.0,12.0,29.2,clear
59,Mustard,Etah,2016-04-02,3550.0,13.0,37.2,clear
60,Mustard,Kasganj,2016-04-02,3580.0,14.0,37.2,clear
61,Mustard,Etah,2016-05-02,3530.0,14.0,42.0,clear
62,Mustard,Etah,2016-06-02,3550.0,11.0,41.0,clear
63,Mustard,Etah,2016-07-02,3580.0,10.0,25.4,clear
64,Mustard,Etah,2016-08-02,3550.0,11.0,29.6,clear
65,Mustard,Etah,2016-10-02,3500.0,12.0,33.6,clear
66,Mustard,Etah,2016-11-02,3400.0,13.0,19.0,clear
67,Mustard,Etah,2016-12-02,3350.0,14.0,21.4,clear
68,Mustard,Etah,2016-02-13,3380.0,13.0,24.4,clear
69,Mustard,Etah,2016-02-14,3400.0,14.0,22.0,clear
70,Mustard,Kasganj,2016-02-14,3360.0,70.0,22.0,clear
71,Mustard,Etah,2016-02-15,3360.0,16.0,22.4,clear
72,Mustard,Etah,2016-02-17,3380.0,17.0,22.6,clear
73,Mustard,Kasganj,2016-02-17,3360.0,60.0,22.6,clear
74,Mustard,Etah,2016-02-18,3390.0,15.0,19.8,clear
75,Mustard,Kasganj,2016-02-18,3370.0,40.0,19.8,clear
76,Mustard,Etah,2016-02-20,3360.0,20.0,25.2,clear
77,Mustard,Kasganj,2016-02-20,3360.0,60.0,25.2,clear
78,Mustard,Etah,2016-02-21,3350.0,22.0,24.2,clear
79,Mustard,Kasganj,2016-02-21,3390.0,40.0,24.2,clear
80,Mustard,Etah,2016-02-22,3370.0,20.0,24.0,clear
81,Mustard,Etah,2016-02-24,3380.0,19.0,25.8,clear
82,Mustard,Kasganj,2016-02-24,3360.0,80.0,25.8,clear
83,Mustard,Etah,2016-02-25,3360.0,26.0,26.8,clear
84,Mustard,Ganjdudwara,2016-02-25,3350.0,20.0,26.8,clear
85,Mustard,Kasganj,2016-02-25,3370.0,60.0,26.8,clear
86,Mustard,Etah,2016-02-26,3350.0,28.0,27.2,clear
87,Mustard,Kasganj,2016-02-26,3360.0,80.0,27.2,clear
88,Mustard,Etah,2016-02-29,3360.0,25.0,26.8,clear
89,Mustard,Etah,2016-03-03,3360.0,25.0,30.8,clear
90,Mustard,Kasganj,2016-03-03,3370.0,140.0,30.8,clear
91,Mustard,Etah,2016-04-03,3350.0,26.0,37.4,clear
92,Mustard,Kasganj,2016-04-03,3380.0,90.0,37.4,clear
93,Mustard,Etah,2016-11-03,3360.0,25.0,28.2,clear
94,Mustard,Kasganj,2016-11-03,3380.0,80.0,28.2,clear
95,Mustard,Etah,2016-12-03,3360.0,30.0,21.4,clear
96,Mustard,Etah,2016-03-13,3350.0,28.0,28.6,clear
97,Mustard,Kasganj,2016-03-13,3360.0,100.0,28.6,clear
98,Mustard,Etah,2016-03-14,3360.0,27.0,24.8,clear
99,Mustard,Etah,2016-03-16,3400.0,30.0,28.4,clear
