,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Faizabad,2013-05-29,3140.0,7.0,40.8,clear
1,Mustard,Faizabad,2015-12-07,3480.0,2.0,21.2,clear
2,Mustard,Faizabad,2015-12-08,3860.0,1.7,23.0,clear
3,Mustard,Faizabad,2015-12-09,3810.0,1.7,22.0,clear
4,Mustard,Faizabad,2015-12-10,3985.0,1.0,26.0,clear
5,Mustard,Faizabad,2015-12-12,4100.0,1.0,24.6,clear
6,Mustard,Faizabad,2015-12-13,4100.0,2.0,24.8,clear
7,Mustard,Faizabad,2015-12-14,4100.0,1.2,21.8,clear
8,Mustard,Faizabad,2015-12-15,4200.0,1.0,21.8,clear
9,Mustard,Faizabad,2015-12-16,4225.0,1.0,23.0,clear
10,Mustard,Faizabad,2015-12-18,4250.0,1.0,21.6,clear
11,Mustard,Faizabad,2015-12-20,4200.0,1.7,23.2,clear
12,Mustard,Faizabad,2015-12-21,4200.0,1.8,21.6,clear
13,Mustard,Faizabad,2015-12-22,4200.0,1.5,22.0,clear
14,Mustard,Faizabad,2015-12-23,4250.0,1.2,22.4,clear
15,Mustard,Faizabad,2015-12-25,4250.0,1.8,20.6,clear
16,Mustard,Faizabad,2015-12-26,4250.0,1.5,21.2,clear
17,Mustard,Faizabad,2015-12-27,4240.0,1.2,20.8,clear
18,Mustard,Faizabad,2015-12-28,4240.0,1.5,25.0,clear
19,Mustard,Faizabad,2015-12-29,4300.0,1.2,25.6,clear
20,Mustard,Faizabad,2015-12-30,4275.0,1.5,25.6,clear
21,Mustard,Faizabad,2016-01-01,4200.0,2.0,22.4,clear
22,Mustard,Faizabad,2016-02-01,4175.0,2.5,28.0,clear
23,Mustard,Faizabad,2016-03-01,4170.0,2.8,30.6,clear
24,Mustard,Faizabad,2016-04-01,4170.0,2.7,38.6,clear
25,Mustard,Faizabad,2016-05-01,4180.0,2.5,42.0,clear
26,Mustard,Faizabad,2016-06-01,4200.0,2.2,39.0,clear
27,Mustard,Faizabad,2016-08-01,4225.0,2.0,29.8,clear
28,Mustard,Faizabad,2016-09-01,4225.0,1.5,33.0,clear
29,Mustard,Faizabad,2016-10-01,4215.0,1.8,34.0,clear
30,Mustard,Faizabad,2016-11-01,4200.0,2.0,31.6,clear
31,Mustard,Faizabad,2016-12-01,4190.0,2.5,20.4,clear
32,Mustard,Faizabad,2016-01-13,4175.0,2.5,22.0,clear
33,Mustard,Faizabad,2016-01-15,4125.0,3.0,24.6,clear
34,Mustard,Faizabad,2016-01-16,4100.0,3.0,19.0,clear
35,Mustard,Faizabad,2016-01-17,4100.0,2.5,13.0,clear
36,Mustard,Faizabad,2016-01-18,4110.0,2.0,16.6,clear
37,Mustard,Faizabad,2016-01-19,4125.0,1.8,13.0,rain
38,Mustard,Faizabad,2016-01-22,4100.0,2.2,16.8,clear
39,Mustard,Faizabad,2016-01-24,4125.0,1.7,21.6,clear
40,Mustard,Faizabad,2016-01-25,4125.0,2.0,24.0,clear
41,Mustard,Faizabad,2016-01-29,3850.0,3.0,25.6,clear
42,Mustard,Faizabad,2016-01-31,3900.0,3.0,28.0,clear
43,Mustard,Faizabad,2016-01-02,3900.0,3.5,24.0,clear
44,Mustard,Faizabad,2016-03-02,3925.0,2.0,31.6,clear
45,Mustard,Faizabad,2016-05-02,3915.0,2.5,42.6,clear
46,Mustard,Faizabad,2016-06-02,3925.0,2.0,38.0,clear
47,Mustard,Faizabad,2016-07-02,3925.0,2.2,28.6,clear
48,Mustard,Faizabad,2016-08-02,3925.0,1.8,32.0,rain
49,Mustard,Faizabad,2016-09-02,3915.0,2.0,34.2,rain
50,Mustard,Faizabad,2016-10-02,3925.0,2.5,34.6,clear
51,Mustard,Faizabad,2016-12-02,3900.0,3.0,19.0,clear
52,Mustard,Faizabad,2016-02-13,3850.0,4.0,28.6,clear
53,Mustard,Faizabad,2016-02-14,3850.0,4.0,29.0,clear
54,Mustard,Faizabad,2016-02-15,3850.0,3.5,29.0,clear
55,Mustard,Faizabad,2016-02-16,3900.0,2.5,20.0,clear
56,Mustard,Faizabad,2016-02-19,3925.0,2.0,32.0,clear
57,Mustard,Faizabad,2016-02-24,3900.0,2.0,29.6,clear
58,Mustard,Faizabad,2016-02-03,3900.0,4.0,23.0,clear
