,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Khatauli,2015-12-18,4250.0,3.0,21.0,clear
1,Mustard,Khatauli,2015-12-18,4300.0,1.5,21.0,clear
2,Mustard,Muzzafarnagar,2015-12-18,4250.0,0.0,21.0,clear
3,Mustard,Khatauli,2015-12-15,4300.0,1.0,21.2,clear
4,Mustard,Muzzafarnagar,2015-12-15,4325.0,0.0,21.2,clear
5,Mustard,Muzzafarnagar,2015-12-08,3820.0,0.0,24.2,clear
6,Mustard,Muzzafarnagar,2015-12-10,4100.0,4.5,25.0,clear
7,Mustard,Shamli,2015-12-10,4070.0,0.0,25.0,clear
8,Mustard,Muzzafarnagar,2015-12-12,4350.0,0.0,14.8,clear
9,Mustard,Muzzafarnagar,2015-12-14,4325.0,8.0,20.4,clear
10,Mustard,Muzzafarnagar,2015-12-17,4250.0,11.0,19.6,clear
11,Mustard,Muzzafarnagar,2015-12-21,4270.0,0.0,19.4,clear
12,Mustard,Muzzafarnagar,2015-12-22,4250.0,9.0,19.6,clear
13,Mustard,Muzzafarnagar,2015-12-25,4250.0,0.0,18.8,clear
14,Mustard,Muzzafarnagar,2015-12-26,4250.0,8.0,21.0,clear
15,Mustard,Muzzafarnagar,2015-12-28,4270.0,4.0,23.2,clear
16,Mustard,Muzzafarnagar,2015-12-29,4270.0,0.0,20.0,clear
17,Mustard,Muzzafarnagar,2015-12-30,4250.0,8.0,23.8,clear
18,Mustard,Muzzafarnagar,2015-12-31,4230.0,7.0,22.4,clear
19,Groundnut,Khatauli,2016-03-01,4300.0,0.0,29.4,clear
20,Mustard,Khatauli,2016-03-01,4300.0,1.0,29.4,clear
21,Groundnut,Khatauli,2016-05-01,4300.0,0.0,38.8,clear
22,Mustard,Khatauli,2016-05-01,4270.0,2.0,38.8,clear
23,Mustard,Muzzafarnagar,2016-05-01,4280.0,11.0,38.8,clear
24,Groundnut,Khatauli,2016-06-01,4320.0,0.0,37.8,clear
25,Mustard,Khatauli,2016-06-01,4275.0,0.0,37.8,clear
26,Mustard,Muzzafarnagar,2016-06-01,4270.0,12.0,37.8,clear
27,Groundnut,Khatauli,2016-09-01,4200.0,0.0,29.8,clear
28,Mustard,Khatauli,2016-09-01,4250.0,1.0,29.8,clear
29,Groundnut,Khatauli,2016-12-01,4200.0,6.0,26.0,clear
30,Mustard,Khatauli,2016-12-01,4270.0,2.0,26.0,clear
31,Mustard,Muzzafarnagar,2016-12-01,4325.0,0.0,26.0,clear
32,Groundnut,Khatauli,2016-01-15,4300.0,0.0,14.6,clear
33,Mustard,Khatauli,2016-01-15,4300.0,0.0,14.6,clear
34,Mustard,Muzzafarnagar,2016-01-15,4350.0,0.0,14.6,clear
35,Groundnut,Khatauli,2016-01-17,4300.0,0.0,17.8,clear
36,Mustard,Khatauli,2016-01-17,4310.0,2.0,17.8,clear
37,Groundnut,Khatauli,2016-01-19,4300.0,0.0,16.0,clear
38,Mustard,Khatauli,2016-01-19,4300.0,0.0,16.0,clear
39,Mustard,Muzzafarnagar,2016-01-19,4330.0,0.0,16.0,clear
40,Groundnut,Khatauli,2016-01-20,4300.0,0.0,13.0,clear
41,Mustard,Khatauli,2016-01-20,4310.0,1.0,13.0,clear
42,Mustard,Muzzafarnagar,2016-01-20,4330.0,0.0,13.0,clear
43,Groundnut,Khatauli,2016-01-21,4300.0,0.0,12.8,clear
44,Mustard,Khatauli,2016-01-21,4310.0,2.0,12.8,clear
45,Groundnut,Khatauli,2016-01-22,4300.0,0.0,15.8,clear
46,Mustard,Khatauli,2016-01-22,4320.0,1.5,15.8,clear
47,Mustard,Muzzafarnagar,2016-01-22,4360.0,0.0,15.8,clear
48,Groundnut,Khatauli,2016-01-23,4300.0,0.0,17.6,clear
49,Mustard,Khatauli,2016-01-23,4320.0,1.0,17.6,clear
50,Mustard,Muzzafarnagar,2016-01-23,4380.0,5.0,17.6,clear
51,Groundnut,Khatauli,2016-01-24,4300.0,0.0,15.8,clear
52,Mustard,Khatauli,2016-01-24,4325.0,0.0,15.8,clear
53,Groundnut,Khatauli,2016-01-26,4300.0,0.0,17.4,clear
54,Mustard,Khatauli,2016-01-26,4320.0,2.0,17.4,clear
55,Groundnut,Khatauli,2016-01-27,4300.0,0.0,20.4,clear
56,Mustard,Khatauli,2016-01-27,4300.0,3.0,20.4,clear
57,Mustard,Muzzafarnagar,2016-01-27,4330.0,0.0,20.4,clear
58,Groundnut,Khatauli,2016-01-30,4300.0,0.0,25.2,clear
59,Mustard,Khatauli,2016-01-30,4250.0,3.0,25.2,clear
60,Mustard,Muzzafarnagar,2016-01-30,4350.0,7.0,25.2,clear
61,Groundnut,Khatauli,2016-01-31,4350.0,8.0,19.0,clear
62,Mustard,Khatauli,2016-01-31,4220.0,1.0,19.0,clear
63,Groundnut,Khatauli,2016-02-02,4300.0,0.0,20.2,clear
64,Mustard,Khatauli,2016-02-02,4370.0,1.0,20.2,clear
65,Mustard,Muzzafarnagar,2016-02-02,4300.0,0.0,20.2,clear
66,Groundnut,Khatauli,2016-03-02,4300.0,0.0,30.0,clear
67,Mustard,Khatauli,2016-03-02,4350.0,2.0,30.0,clear
68,Mustard,Muzzafarnagar,2016-03-02,4260.0,8.0,30.0,clear
69,Groundnut,Khatauli,2016-04-02,4300.0,0.0,36.4,clear
70,Mustard,Khatauli,2016-04-02,4350.0,0.0,36.4,clear
71,Mustard,Muzzafarnagar,2016-04-02,4230.0,11.0,36.4,clear
72,Groundnut,Khatauli,2016-06-02,4300.0,0.0,39.0,clear
73,Mustard,Khatauli,2016-06-02,4285.0,0.0,39.0,clear
74,Mustard,Muzzafarnagar,2016-06-02,4200.0,9.0,39.0,clear
75,Groundnut,Khatauli,2016-07-02,4300.0,0.0,28.0,rain
76,Mustard,Khatauli,2016-07-02,3920.0,0.0,28.0,rain
77,Groundnut,Khatauli,2016-09-02,4300.0,0.0,33.2,clear
78,Mustard,Khatauli,2016-09-02,3950.0,1.0,33.2,clear
79,Mustard,Muzzafarnagar,2016-09-02,4250.0,0.0,33.2,clear
80,Groundnut,Khatauli,2016-10-02,4300.0,0.0,35.8,clear
81,Mustard,Khatauli,2016-10-02,3960.0,2.0,35.8,clear
82,Mustard,Muzzafarnagar,2016-10-02,4230.0,8.0,35.8,clear
83,Groundnut,Khatauli,2016-11-02,4300.0,0.0,30.4,clear
84,Mustard,Khatauli,2016-11-02,3950.0,1.0,30.4,clear
85,Mustard,Muzzafarnagar,2016-11-02,4180.0,11.0,30.4,clear
86,Groundnut,Khatauli,2016-02-13,4300.0,0.0,20.4,clear
87,Mustard,Khatauli,2016-02-13,3960.0,0.0,20.4,clear
88,Mustard,Muzzafarnagar,2016-02-13,4170.0,6.0,20.4,clear
89,Groundnut,Khatauli,2016-02-14,4300.0,0.0,24.6,clear
90,Mustard,Khatauli,2016-02-14,3970.0,2.0,24.6,clear
91,Groundnut,Khatauli,2016-02-16,4300.0,0.0,24.8,clear
92,Mustard,Khatauli,2016-02-16,3950.0,1.0,24.8,clear
93,Mustard,Muzzafarnagar,2016-02-16,4100.0,12.0,24.8,clear
94,Groundnut,Khatauli,2016-02-17,4300.0,0.0,25.4,clear
95,Mustard,Khatauli,2016-02-17,3900.0,2.0,25.4,clear
96,Mustard,Muzzafarnagar,2016-02-17,4050.0,16.0,25.4,clear
97,Groundnut,Khatauli,2016-02-18,4300.0,0.0,25.8,clear
98,Mustard,Khatauli,2016-02-18,3850.0,2.5,25.8,clear
99,Mustard,Muzzafarnagar,2016-02-18,4030.0,17.0,25.8,clear
100,Groundnut,Khatauli,2016-02-23,4300.0,0.0,26.2,clear
101,Mustard,Khatauli,2016-02-23,3820.0,2.0,26.2,clear
102,Mustard,Muzzafarnagar,2016-02-23,3770.0,12.0,26.2,clear
103,Groundnut,Khatauli,2016-02-24,4300.0,0.0,27.0,clear
104,Mustard,Khatauli,2016-02-24,3830.0,3.0,27.0,clear
105,Mustard,Muzzafarnagar,2016-02-24,3730.0,14.0,27.0,clear
106,Groundnut,Khatauli,2016-02-26,4300.0,2.0,27.8,clear
107,Mustard,Khatauli,2016-02-26,3780.0,1.0,27.8,clear
108,Mustard,Muzzafarnagar,2016-02-26,3730.0,11.0,27.8,clear
109,Groundnut,Khatauli,2016-02-27,4300.0,0.0,27.4,clear
110,Mustard,Khatauli,2016-02-27,3750.0,0.0,27.4,clear
111,Mustard,Muzzafarnagar,2016-02-27,3680.0,16.0,27.4,clear
112,Groundnut,Khatauli,2016-01-03,4300.0,0.0,21.2,clear
113,Mustard,Khatauli,2016-01-03,3600.0,3.0,21.2,clear
114,Groundnut,Khatauli,2016-03-03,4300.0,0.0,31.2,clear
115,Mustard,Khatauli,2016-03-03,3430.0,3.0,31.2,clear
116,Mustard,Muzzafarnagar,2016-03-03,3520.0,24.0,31.2,clear
117,Mustard,Shamli,2016-03-03,3550.0,0.0,31.2,clear
118,Groundnut,Khatauli,2016-04-03,4300.0,0.0,36.0,clear
119,Mustard,Khatauli,2016-04-03,3400.0,1.0,36.0,clear
120,Mustard,Shamli,2016-04-03,3540.0,0.0,36.0,clear
121,Groundnut,Khatauli,2016-05-03,4300.0,0.0,36.8,clear
122,Mustard,Khatauli,2016-05-03,3370.0,2.0,36.8,clear
123,Mustard,Muzzafarnagar,2016-05-03,3420.0,28.0,36.8,clear
124,Mustard,Shamli,2016-05-03,3460.0,0.0,36.8,clear
