,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Mustard,Varanasi(Grain),2012-02-01,2860.0,25.0,19.6,clear
1,Mustard,Varanasi(Grain),2012-03-01,2860.0,20.0,25.0,clear
2,Mustard,Varanasi(Grain),2012-04-01,2850.0,30.0,34.4,clear
3,Mustard,Varanasi(Grain),2012-05-01,2850.0,27.5,36.8,clear
4,Mustard,Varanasi(Grain),2012-09-01,2850.0,35.0,35.2,clear
5,Mustard,Varanasi(Grain),2012-11-01,2875.0,20.0,22.2,clear
6,Mustard,Varanasi(Grain),2012-12-01,2875.0,25.0,19.8,clear
7,Mustard,Varanasi(Grain),2012-01-14,2875.0,20.0,19.0,clear
8,Mustard,Varanasi(Grain),2012-01-17,2900.0,30.0,19.0,clear
9,Mustard,Varanasi(Grain),2012-01-18,2900.0,35.0,15.2,clear
10,Mustard,Varanasi(Grain),2012-01-19,2900.0,32.0,16.4,clear
11,Mustard,Varanasi(Grain),2012-01-20,2900.0,30.0,16.4,clear
12,Mustard,Varanasi(Grain),2012-01-21,2900.0,35.0,15.6,clear
13,Mustard,Varanasi(Grain),2012-01-23,2900.0,32.0,19.0,clear
14,Mustard,Varanasi(Grain),2012-01-24,2880.0,32.5,20.0,clear
15,Mustard,Varanasi(Grain),2012-01-25,2880.0,30.0,19.4,clear
16,Mustard,Varanasi(Grain),2012-01-27,2880.0,26.0,19.2,clear
17,Mustard,Varanasi(Grain),2012-01-28,2880.0,27.0,18.2,clear
18,Mustard,Varanasi(Grain),2012-01-30,2880.0,27.5,19.0,clear
19,Mustard,Varanasi(Grain),2012-01-31,2880.0,30.0,20.0,clear
20,Mustard,Varanasi(Grain),2012-09-02,2890.0,30.0,26.8,clear
21,Mustard,Varanasi(Grain),2012-10-02,2890.0,22.5,31.4,clear
22,Mustard,Varanasi(Grain),2012-11-02,2890.0,30.0,24.4,clear
23,Mustard,Varanasi(Grain),2012-02-13,2890.0,22.0,21.4,clear
24,Mustard,Varanasi(Grain),2012-02-14,2890.0,21.0,23.0,clear
25,Mustard,Varanasi(Grain),2012-02-16,2860.0,30.0,20.0,clear
26,Mustard,Varanasi(Grain),2012-02-17,2860.0,25.0,21.0,clear
27,Mustard,Varanasi(Grain),2012-02-18,2860.0,30.0,21.4,clear
28,Mustard,Varanasi(Grain),2012-02-20,2860.0,25.0,22.2,clear
29,Mustard,Varanasi(Grain),2012-02-21,2860.0,20.0,27.0,clear
30,Mustard,Varanasi(Grain),2012-02-22,2850.0,32.5,27.0,clear
31,Mustard,Varanasi(Grain),2012-02-23,2900.0,30.0,27.2,clear
32,Mustard,Varanasi(Grain),2012-02-25,2950.0,20.0,23.0,clear
33,Mustard,Varanasi(Grain),2012-02-27,2950.0,35.0,21.2,clear
34,Mustard,Varanasi(Grain),2012-02-28,2950.0,32.5,24.0,clear
35,Mustard,Varanasi(Grain),2012-02-29,2950.0,30.0,24.0,clear
36,Mustard,Varanasi(Grain),2012-01-03,2950.0,25.0,20.2,clear
37,Mustard,Varanasi(Grain),2012-02-03,2970.0,27.5,20.2,clear
38,Mustard,Varanasi(Grain),2012-03-03,2970.0,30.0,26.8,clear
39,Mustard,Varanasi(Grain),2012-06-03,2970.0,20.0,41.8,clear
40,Mustard,Varanasi(Grain),2012-07-03,2970.0,15.0,36.2,clear
41,Mustard,Varanasi(Grain),2012-09-03,2970.0,22.5,29.8,clear
42,Mustard,Varanasi(Grain),2012-12-03,2970.0,27.5,21.8,clear
43,Mustard,Varanasi(Grain),2012-03-14,2980.0,20.0,24.0,clear
44,Mustard,Varanasi(Grain),2012-03-15,2980.0,25.0,26.2,clear
45,Mustard,Varanasi(Grain),2012-03-16,2980.0,30.0,26.0,clear
46,Mustard,Varanasi(Grain),2012-03-17,2980.0,25.0,30.4,clear
47,Mustard,Varanasi(Grain),2012-03-19,2980.0,35.0,31.4,clear
48,Mustard,Varanasi(Grain),2012-03-20,2980.0,40.0,34.4,clear
49,Mustard,Varanasi(Grain),2012-03-21,2980.0,35.0,26.4,clear
50,Mustard,Varanasi(Grain),2012-03-22,2960.0,45.0,25.4,clear
51,Mustard,Varanasi(Grain),2012-03-23,2960.0,43.0,29.0,clear
52,Mustard,Varanasi(Grain),2012-03-24,2960.0,35.0,30.8,clear
53,Mustard,Varanasi(Grain),2012-03-26,2960.0,32.5,33.2,clear
54,Mustard,Varanasi(Grain),2012-03-27,2960.0,30.0,35.0,clear
55,Mustard,Varanasi(Grain),2012-03-28,2960.0,27.5,32.0,clear
56,Mustard,Varanasi(Grain),2012-03-29,2950.0,30.0,30.2,clear
57,Mustard,Varanasi(Grain),2012-03-30,2950.0,32.5,31.0,clear
58,Mustard,Varanasi(Grain),2012-03-31,2950.0,35.0,34.4,clear
59,Mustard,Varanasi(Grain),2012-02-04,2950.0,32.5,23.0,clear
60,Mustard,Varanasi(Grain),2012-04-04,2950.0,35.0,36.0,clear
61,Mustard,Varanasi(Grain),2012-05-04,2925.0,40.0,37.0,clear
62,Mustard,Varanasi(Grain),2012-06-04,2925.0,35.0,38.0,clear
63,Mustard,Varanasi(Grain),2012-07-04,2925.0,32.5,35.8,clear
64,Mustard,Varanasi(Grain),2012-09-04,2925.0,40.0,31.8,clear
65,Mustard,Varanasi(Grain),2012-10-04,2925.0,30.0,32.4,clear
66,Mustard,Varanasi(Grain),2012-11-04,2925.0,40.0,26.0,clear
67,Mustard,Varanasi(Grain),2012-12-04,2900.0,37.5,23.2,clear
68,Mustard,Varanasi(Grain),2012-04-13,2900.0,42.5,32.4,clear
69,Mustard,Varanasi(Grain),2012-04-14,2900.0,40.0,34.0,clear
70,Mustard,Varanasi(Grain),2012-04-16,2900.0,35.0,34.2,clear
71,Mustard,Varanasi(Grain),2012-04-17,2900.0,40.0,36.2,clear
72,Mustard,Varanasi(Grain),2012-04-18,2900.0,37.5,34.6,clear
73,Mustard,Varanasi(Grain),2012-04-19,2950.0,40.0,37.0,clear
74,Mustard,Varanasi(Grain),2012-04-20,2950.0,30.0,38.2,clear
75,Mustard,Varanasi(Grain),2012-04-21,2950.0,28.0,35.0,clear
76,Mustard,Varanasi(Grain),2012-04-23,2950.0,32.5,36.4,clear
