,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Gadag,2012-02-01,3300.0,60.0,28.2,clear
1,Groundnut,Laxmeshwar,2012-02-01,2949.0,118.0,28.2,clear
2,Groundnut,Mundaragi,2012-02-01,3492.0,28.0,28.2,clear
3,Groundnut,Rona,2012-02-01,3280.0,2.0,28.2,clear
4,Safflower,Gadag,2012-02-01,2651.0,0.0,28.2,clear
5,Safflower,Laxmeshwar,2012-02-01,2649.0,0.0,28.2,clear
6,Sunflower,Gadag,2012-02-01,2900.0,194.0,28.2,clear
7,Sunflower,Laxmeshwar,2012-02-01,2986.0,15.0,28.2,clear
8,Sunflower,Mundaragi,2012-02-01,3176.0,35.0,28.2,clear
9,Sunflower,Rona,2012-02-01,3110.0,3.0,28.2,clear
10,Groundnut,Gadag,2012-05-01,3200.0,15.0,36.6,clear
11,Groundnut,Laxmeshwar,2012-05-01,3100.0,25.0,36.6,clear
12,Groundnut,Mundaragi,2012-05-01,3496.0,16.0,36.6,clear
13,Groundnut,Rona,2012-05-01,3310.0,5.0,36.6,clear
14,Safflower,Gadag,2012-05-01,2200.0,0.0,36.6,clear
15,Sunflower,Gadag,2012-05-01,2950.0,136.0,36.6,clear
16,Sunflower,Laxmeshwar,2012-05-01,2986.0,4.0,36.6,clear
17,Sunflower,Mundaragi,2012-05-01,3079.0,22.0,36.6,clear
18,Sunflower,Rona,2012-05-01,3200.0,5.0,36.6,clear
19,Groundnut,Gadag,2012-06-01,3550.0,37.0,34.0,clear
20,Groundnut,Laxmeshwar,2012-06-01,3740.0,129.0,34.0,clear
21,Groundnut,Mundaragi,2012-06-01,3089.0,14.0,34.0,clear
22,Groundnut,Rona,2012-06-01,3050.0,1.0,34.0,clear
23,Safflower,Laxmeshwar,2012-06-01,2708.0,0.0,34.0,clear
24,Sunflower,Gadag,2012-06-01,2900.0,173.0,34.0,clear
25,Sunflower,Laxmeshwar,2012-06-01,2967.0,10.0,34.0,clear
26,Sunflower,Mundaragi,2012-06-01,3027.0,26.0,34.0,clear
27,Groundnut,Gadag,2012-07-01,3500.0,90.0,28.2,clear
28,Groundnut,Laxmeshwar,2012-07-01,3469.5,14.0,28.2,clear
29,Groundnut,Mundaragi,2012-07-01,3309.0,20.0,28.2,clear
30,Groundnut,Rona,2012-07-01,3580.0,1.0,28.2,clear
31,Safflower,Gadag,2012-07-01,2655.0,0.0,28.2,clear
32,Safflower,Laxmeshwar,2012-07-01,2732.0,0.0,28.2,clear
33,Sunflower,Gadag,2012-07-01,2000.0,232.0,28.2,clear
34,Sunflower,Laxmeshwar,2012-07-01,2998.0,1.0,28.2,clear
35,Sunflower,Mundaragi,2012-07-01,3109.0,26.0,28.2,clear
36,Sunflower,Rona,2012-07-01,3150.0,2.0,28.2,clear
37,Groundnut,Gadag,2012-09-01,3600.0,38.0,28.2,clear
38,Groundnut,Laxmeshwar,2012-09-01,3699.0,56.0,28.2,clear
39,Groundnut,Mundaragi,2012-09-01,3289.0,13.0,28.2,clear
40,Safflower,Gadag,2012-09-01,2701.0,0.0,28.2,clear
41,Safflower,Laxmeshwar,2012-09-01,2809.0,0.0,28.2,clear
42,Sunflower,Gadag,2012-09-01,2500.0,139.0,28.2,clear
43,Sunflower,Laxmeshwar,2012-09-01,2916.0,5.0,28.2,clear
44,Sunflower,Mundaragi,2012-09-01,3046.0,25.0,28.2,clear
45,Sunflower,Nargunda,2012-09-01,2760.0,3.0,28.2,clear
46,Groundnut,Gadag,2012-10-01,3200.0,28.0,26.6,clear
47,Groundnut,Laxmeshwar,2012-10-01,3699.5,13.0,26.6,clear
48,Groundnut,Mundaragi,2012-10-01,3124.0,16.0,26.6,clear
49,Groundnut,Rona,2012-10-01,3385.0,1.0,26.6,clear
50,Sunflower,Gadag,2012-10-01,2800.0,102.0,26.6,clear
51,Sunflower,Laxmeshwar,2012-10-01,2926.0,1.0,26.6,clear
52,Sunflower,Mundaragi,2012-10-01,3077.0,25.0,26.6,clear
53,Sunflower,Rona,2012-10-01,3150.0,2.0,26.6,clear
54,Groundnut,Gadag,2012-11-01,3550.0,20.0,21.6,clear
55,Groundnut,Laxmeshwar,2012-11-01,3389.0,13.0,21.6,clear
56,Groundnut,Mundaragi,2012-11-01,3512.0,13.0,21.6,clear
57,Groundnut,Rona,2012-11-01,3380.0,0.0,21.6,clear
58,Safflower,Gadag,2012-11-01,2400.0,0.0,21.6,clear
59,Safflower,Laxmeshwar,2012-11-01,2842.0,0.0,21.6,clear
60,Sunflower,Gadag,2012-11-01,2800.0,93.0,21.6,clear
61,Sunflower,Laxmeshwar,2012-11-01,3016.0,1.0,21.6,clear
62,Sunflower,Mundaragi,2012-11-01,3089.0,20.0,21.6,clear
63,Sunflower,Rona,2012-11-01,3050.0,2.0,21.6,clear
64,Groundnut,Gadag,2012-12-01,3400.0,33.0,30.2,clear
65,Groundnut,Laxmeshwar,2012-12-01,3372.0,16.0,30.2,clear
66,Safflower,Gadag,2012-12-01,2731.0,0.0,30.2,clear
67,Sunflower,Gadag,2012-12-01,2500.0,145.0,30.2,clear
68,Sunflower,Laxmeshwar,2012-12-01,2897.0,2.0,30.2,clear
69,Groundnut,Gadag,2012-01-13,3250.0,17.0,26.4,clear
70,Groundnut,Laxmeshwar,2012-01-13,3309.0,49.0,26.4,clear
71,Groundnut,Mundaragi,2012-01-13,3170.0,6.0,26.4,clear
72,Groundnut,Rona,2012-01-13,2810.0,1.0,26.4,clear
73,Safflower,Gadag,2012-01-13,2400.0,0.0,26.4,clear
74,Safflower,Laxmeshwar,2012-01-13,2856.0,0.0,26.4,clear
75,Sunflower,Gadag,2012-01-13,2800.0,80.0,26.4,clear
76,Sunflower,Laxmeshwar,2012-01-13,3002.0,6.0,26.4,clear
77,Sunflower,Mundaragi,2012-01-13,3149.0,8.0,26.4,clear
78,Sunflower,Nargunda,2012-01-13,3000.0,13.0,26.4,clear
79,Sunflower,Rona,2012-01-13,3085.0,1.0,26.4,clear
80,Groundnut,Gadag,2012-01-16,3500.0,26.0,29.6,clear
81,Groundnut,Laxmeshwar,2012-01-16,3219.0,27.0,29.6,clear
82,Groundnut,Mundaragi,2012-01-16,3141.0,12.0,29.6,clear
83,Groundnut,Rona,2012-01-16,3150.0,4.0,29.6,clear
84,Sunflower,Gadag,2012-01-16,2800.0,119.0,29.6,clear
85,Sunflower,Laxmeshwar,2012-01-16,2980.0,4.0,29.6,clear
86,Sunflower,Mundaragi,2012-01-16,3119.0,25.0,29.6,clear
87,Sunflower,Nargunda,2012-01-16,3000.0,13.0,29.6,clear
88,Sunflower,Rona,2012-01-16,3080.0,3.0,29.6,clear
89,Groundnut,Gadag,2012-01-17,3750.0,28.0,29.6,clear
90,Groundnut,Laxmeshwar,2012-01-17,3389.0,7.0,29.6,clear
91,Groundnut,Mundaragi,2012-01-17,3330.0,34.0,29.6,clear
92,Groundnut,Rona,2012-01-17,4050.0,4.0,29.6,clear
93,Safflower,Gadag,2012-01-17,2200.0,0.0,29.6,clear
94,Sunflower,Gadag,2012-01-17,2500.0,37.0,29.6,clear
95,Sunflower,Laxmeshwar,2012-01-17,3018.0,1.0,29.6,clear
96,Sunflower,Mundaragi,2012-01-17,3037.0,47.0,29.6,clear
97,Sunflower,Nargunda,2012-01-17,2678.0,2.0,29.6,clear
98,Sunflower,Rona,2012-01-17,3010.0,1.0,29.6,clear
99,Groundnut,Gadag,2012-01-18,3600.0,22.0,30.6,clear
100,Groundnut,Laxmeshwar,2012-01-18,3204.0,5.0,30.6,clear
101,Groundnut,Mundaragi,2012-01-18,3409.0,6.0,30.6,clear
102,Groundnut,Rona,2012-01-18,3460.0,4.0,30.6,clear
103,Safflower,Gadag,2012-01-18,2400.0,0.0,30.6,clear
104,Soyabean,Laxmeshwar,2012-01-18,2996.0,0.0,30.6,clear
105,Sunflower,Gadag,2012-01-18,2800.0,42.0,30.6,clear
106,Sunflower,Mundaragi,2012-01-18,3069.0,17.0,30.6,clear
107,Sunflower,Rona,2012-01-18,3010.0,2.0,30.6,clear
108,Groundnut,Gadag,2012-01-19,3575.0,25.0,29.8,clear
109,Groundnut,Laxmeshwar,2012-01-19,3383.0,5.0,29.8,clear
110,Groundnut,Mundaragi,2012-01-19,3139.0,5.0,29.8,clear
111,Groundnut,Rona,2012-01-19,3650.0,3.0,29.8,clear
112,Sunflower,Gadag,2012-01-19,2500.0,41.0,29.8,clear
113,Sunflower,Laxmeshwar,2012-01-19,3012.0,0.0,29.8,clear
114,Sunflower,Mundaragi,2012-01-19,3059.0,13.0,29.8,clear
115,Sunflower,Rona,2012-01-19,3100.0,1.0,29.8,clear
116,Groundnut,Gadag,2012-01-20,3700.0,16.0,29.4,clear
117,Groundnut,Laxmeshwar,2012-01-20,3729.0,180.0,29.4,clear
118,Groundnut,Mundaragi,2012-01-20,3789.0,7.0,29.4,clear
119,Safflower,Laxmeshwar,2012-01-20,0.0,0.0,29.4,clear
120,Sunflower,Gadag,2012-01-20,2800.0,29.0,29.4,clear
121,Sunflower,Laxmeshwar,2012-01-20,2859.0,8.0,29.4,clear
122,Sunflower,Mundaragi,2012-01-20,3059.0,11.0,29.4,clear
123,Groundnut,Gadag,2012-01-21,3700.0,48.0,29.6,clear
124,Groundnut,Laxmeshwar,2012-01-21,3389.0,4.0,29.6,clear
125,Groundnut,Mundaragi,2012-01-21,3239.0,7.0,29.6,clear
126,Groundnut,Rona,2012-01-21,4050.0,8.0,29.6,clear
127,Safflower,Gadag,2012-01-21,2200.0,0.0,29.6,clear
128,Sunflower,Gadag,2012-01-21,2500.0,64.0,29.6,clear
129,Sunflower,Laxmeshwar,2012-01-21,2949.0,0.0,29.6,clear
130,Sunflower,Mundaragi,2012-01-21,3016.0,15.0,29.6,clear
131,Sunflower,Rona,2012-01-21,3010.0,1.0,29.6,clear
132,Groundnut,Gadag,2012-01-24,3725.0,28.0,29.6,clear
133,Groundnut,Laxmeshwar,2012-01-24,3764.0,25.0,29.6,clear
134,Groundnut,Mundaragi,2012-01-24,4177.0,11.0,29.6,clear
135,Groundnut,Rona,2012-01-24,3890.0,14.0,29.6,clear
136,Safflower,Gadag,2012-01-24,2211.0,0.0,29.6,clear
137,Safflower,Laxmeshwar,2012-01-24,2819.0,0.0,29.6,clear
