,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Groundnut,Mysore (Bandipalya),2013-07-15,3946.0,2.0,23.0,clear
1,Groundnut,Mysore (Bandipalya),2013-07-16,4666.0,2.0,22.8,clear
2,Sunflower,Mysore (Bandipalya),2013-07-16,3100.0,0.0,22.8,clear
3,Groundnut,Mysore (Bandipalya),2013-07-17,3886.0,1.0,22.4,clear
4,Groundnut,Mysore (Bandipalya),2013-12-20,3359.0,0.0,19.4,clear
5,Groundnut,Mysore (Bandipalya),2013-12-21,3250.0,1.0,20.2,clear
6,Mustard,Mysore (Bandipalya),2013-12-27,2369.0,0.0,19.8,clear
7,Groundnut,Mysore (Bandipalya),2014-06-01,3500.0,0.0,24.4,clear
8,Groundnut,Mysore (Bandipalya),2014-07-01,3827.0,0.0,25.2,clear
9,Groundnut,Mysore (Bandipalya),2014-08-01,4278.0,0.0,22.4,clear
10,Sunflower,Mysore (Bandipalya),2014-08-01,3327.0,0.0,22.4,clear
11,Groundnut,Mysore (Bandipalya),2014-09-01,4278.0,0.0,23.6,clear
12,Sunflower,Mysore (Bandipalya),2014-09-01,3150.0,0.0,23.6,clear
13,Groundnut,Mysore (Bandipalya),2014-01-13,3246.0,0.0,22.0,clear
14,Sunflower,Mysore (Bandipalya),2014-01-13,3150.0,0.0,22.0,clear
15,Groundnut,Mysore (Bandipalya),2014-01-17,2509.0,0.0,20.8,clear
16,Groundnut,Mysore (Bandipalya),2014-01-20,4209.0,1.0,22.2,clear
17,Groundnut,Mysore (Bandipalya),2014-01-21,3100.0,0.0,19.8,clear
18,Groundnut,Mysore (Bandipalya),2014-01-24,4089.0,0.0,21.2,clear
19,Groundnut,Mysore (Bandipalya),2014-01-28,3829.0,1.0,19.0,clear
20,Mustard,Mysore (Bandipalya),2014-01-28,3200.0,2.0,19.0,clear
21,Groundnut,Mysore (Bandipalya),2014-01-29,2300.0,0.0,20.6,clear
22,Sunflower,Mysore (Bandipalya),2014-01-29,3100.0,0.0,20.6,clear
23,Groundnut,Mysore (Bandipalya),2014-01-30,3100.0,0.0,20.0,clear
24,Groundnut,Mysore (Bandipalya),2014-01-31,3350.0,1.0,21.0,clear
25,Groundnut,Mysore (Bandipalya),2014-05-02,3860.0,0.0,25.2,clear
26,Groundnut,Mysore (Bandipalya),2014-06-02,3219.0,0.0,24.8,clear
27,Groundnut,Mysore (Bandipalya),2014-02-17,3280.0,1.0,20.8,clear
28,Groundnut,Mysore (Bandipalya),2014-02-22,2900.0,0.0,23.6,clear
29,Groundnut,Mysore (Bandipalya),2014-06-03,4050.0,0.0,21.2,clear
30,Groundnut,Mysore (Bandipalya),2014-07-03,3100.0,0.0,24.0,clear
31,Groundnut,Mysore (Bandipalya),2014-10-03,3750.0,1.0,22.0,clear
32,Groundnut,Mysore (Bandipalya),2014-03-14,3300.0,10.0,24.8,clear
33,Groundnut,Mysore (Bandipalya),2014-03-19,3800.0,0.0,25.2,clear
34,Groundnut,Mysore (Bandipalya),2014-03-20,3700.0,0.0,25.8,clear
35,Groundnut,Mysore (Bandipalya),2014-03-29,2300.0,0.0,28.4,clear
36,Groundnut,Mysore (Bandipalya),2014-05-04,3800.0,0.0,24.8,clear
37,Groundnut,Mysore (Bandipalya),2014-08-04,3591.0,0.0,23.4,clear
38,Groundnut,Mysore (Bandipalya),2014-11-04,3150.0,0.0,19.8,clear
39,Groundnut,Mysore (Bandipalya),2014-04-15,3750.0,0.0,25.0,clear
40,Groundnut,Mysore (Bandipalya),2014-04-21,2900.0,0.0,25.6,clear
41,Groundnut,Mysore (Bandipalya),2014-04-24,3000.0,0.0,26.8,clear
42,Groundnut,Mysore (Bandipalya),2014-06-05,2000.0,4.0,24.0,clear
43,Groundnut,Mysore (Bandipalya),2014-05-14,2401.0,0.0,25.2,clear
44,Groundnut,Mysore (Bandipalya),2014-05-15,3000.0,0.0,24.0,clear
45,Groundnut,Mysore (Bandipalya),2014-05-19,2750.0,0.0,26.6,clear
46,Groundnut,Mysore (Bandipalya),2014-05-21,3700.0,0.0,24.2,clear
47,Sunflower,Mysore (Bandipalya),2014-05-21,2800.0,0.0,24.2,clear
48,Groundnut,Mysore (Bandipalya),2014-05-22,2507.0,0.0,25.6,clear
49,Groundnut,Mysore (Bandipalya),2014-05-23,2750.0,0.0,26.0,clear
50,Groundnut,Mysore (Bandipalya),2014-05-24,2800.0,0.0,26.0,clear
51,Groundnut,Mysore (Bandipalya),2014-05-28,2259.0,0.0,24.0,clear
52,Groundnut,Mysore (Bandipalya),2014-05-29,3950.0,0.0,24.6,clear
53,Sunflower,Mysore (Bandipalya),2014-05-29,3150.0,0.0,24.6,clear
54,Groundnut,Mysore (Bandipalya),2014-05-30,3600.0,0.0,23.4,clear
55,Groundnut,Mysore (Bandipalya),2014-10-06,3457.0,0.0,22.0,clear
56,Groundnut,Mysore (Bandipalya),2014-11-06,3029.0,0.0,19.8,clear
57,Groundnut,Mysore (Bandipalya),2014-12-06,2350.0,0.0,21.0,clear
58,Groundnut,Mysore (Bandipalya),2014-06-13,2612.0,0.0,23.6,clear
59,Groundnut,Mysore (Bandipalya),2014-06-23,2002.0,0.0,24.4,clear
60,Groundnut,Mysore (Bandipalya),2014-06-24,2600.0,0.0,25.2,clear
61,Groundnut,Mysore (Bandipalya),2014-06-25,2669.0,0.0,24.6,clear
62,Groundnut,Mysore (Bandipalya),2014-06-26,2800.0,0.0,25.0,clear
63,Groundnut,Mysore (Bandipalya),2014-06-27,2800.0,0.0,24.0,clear
