,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Lentil(Masur),Hailakandi,2015-12-10,9900.0,1.0,24.4,clear
1,Lentil(Masur),Hailakandi,2015-12-14,10300.0,1.0,24.6,clear
2,Lentil(Masur),Hailakandi,2015-12-23,10300.0,1.0,23.2,clear
3,Lentil(Masur),Hailakandi,2015-12-24,10300.0,1.0,22.8,clear
4,Lentil(Masur),Hailakandi,2015-12-29,10300.0,1.0,22.2,clear
5,Lentil(Masur),Hailakandi,2015-12-31,10300.0,1.0,24.2,clear
6,Green Gram (Moong),Hailakandi,2016-11-22,7500.0,0.6,26.6,clear
7,Lentil(Masur),Hailakandi,2016-11-22,9800.0,2.0,26.6,clear
8,Lentil(Masur),Hailakandi,2016-05-01,10300.0,1.0,31.2,clear
9,Lentil(Masur),Hailakandi,2016-06-01,10300.0,1.0,32.8,clear
10,Lentil(Masur),Hailakandi,2016-11-01,10300.0,1.0,32.6,clear
11,Lentil(Masur),Hailakandi,2016-12-01,10300.0,1.0,27.8,clear
12,Lentil(Masur),Hailakandi,2016-01-17,10300.0,1.0,23.8,clear
13,Lentil(Masur),Hailakandi,2016-01-18,10300.0,1.0,23.4,clear
14,Lentil(Masur),Hailakandi,2016-01-19,10300.0,0.0,24.4,clear
15,Lentil(Masur),Hailakandi,2016-01-22,10300.0,1.0,22.6,clear
16,Lentil(Masur),Hailakandi,2016-01-24,10300.0,1.0,21.2,clear
17,Lentil(Masur),Hailakandi,2016-01-25,10300.0,1.0,22.2,clear
18,Lentil(Masur),Hailakandi,2016-01-27,10300.0,1.0,22.2,clear
19,Lentil(Masur),Hailakandi,2016-01-29,10300.0,1.0,24.2,clear
20,Lentil(Masur),Hailakandi,2016-01-02,10300.0,1.0,25.6,clear
21,Lentil(Masur),Hailakandi,2016-06-02,10300.0,1.0,35.0,clear
22,Lentil(Masur),Hailakandi,2016-08-02,10300.0,1.0,36.0,clear
23,Lentil(Masur),Hailakandi,2016-10-02,10300.0,1.0,33.0,clear
24,Lentil(Masur),Hailakandi,2016-02-16,10300.0,1.0,29.2,clear
