,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Jorhat,2015-12-08,10400.0,1.5,23.2,clear
1,Green Gram (Moong),Jorhat,2015-12-08,8500.0,10.0,23.2,clear
2,Lentil(Masur),Jorhat,2015-12-08,9600.0,12.0,23.2,clear
3,Arhar (Tur/Red Gram),Jorhat,2015-12-10,15500.0,2.5,23.4,clear
4,Arhar (Tur/Red Gram),Jorhat,2015-12-11,17500.0,4.0,23.0,clear
5,Green Gram (Moong),Jorhat,2015-12-11,9800.0,14.0,23.0,clear
6,Lentil(Masur),Jorhat,2015-12-11,10200.0,14.0,23.0,clear
7,Arhar (Tur/Red Gram),Jorhat,2015-12-14,14000.0,2.5,21.4,clear
8,Green Gram (Moong),Jorhat,2015-12-14,9700.0,7.5,21.4,clear
9,Lentil(Masur),Jorhat,2015-12-14,10200.0,8.0,21.4,clear
10,Arhar (Tur/Red Gram),Jorhat,2015-12-15,14000.0,5.0,19.2,clear
11,Green Gram (Moong),Jorhat,2015-12-15,9600.0,7.0,19.2,clear
12,Lentil(Masur),Jorhat,2015-12-15,10300.0,15.0,19.2,clear
13,Arhar (Tur/Red Gram),Jorhat,2015-12-16,14000.0,4.0,20.8,clear
14,Green Gram (Moong),Jorhat,2015-12-16,9700.0,12.0,20.8,clear
15,Lentil(Masur),Jorhat,2015-12-16,10500.0,15.0,20.8,clear
16,Arhar (Tur/Red Gram),Jorhat,2015-12-18,14000.0,2.0,22.0,clear
17,Green Gram (Moong),Jorhat,2015-12-18,9600.0,9.0,22.0,clear
18,Lentil(Masur),Jorhat,2015-12-18,10300.0,10.0,22.0,clear
19,Arhar (Tur/Red Gram),Jorhat,2015-12-19,14000.0,4.0,21.6,clear
20,Green Gram (Moong),Jorhat,2015-12-19,9600.0,7.0,21.6,clear
21,Lentil(Masur),Jorhat,2015-12-19,10300.0,12.0,21.6,clear
22,Arhar (Tur/Red Gram),Jorhat,2015-12-21,14000.0,3.0,21.8,clear
23,Green Gram (Moong),Jorhat,2015-12-21,9600.0,15.0,21.8,clear
24,Lentil(Masur),Jorhat,2015-12-21,10400.0,18.0,21.8,clear
25,Arhar (Tur/Red Gram),Jorhat,2015-12-22,14000.0,9.0,17.6,clear
26,Green Gram (Moong),Jorhat,2015-12-22,9600.0,28.0,17.6,clear
27,Lentil(Masur),Jorhat,2015-12-22,10600.0,45.0,17.6,clear
28,Arhar (Tur/Red Gram),Jorhat,2015-12-23,14000.0,5.0,21.8,clear
29,Green Gram (Moong),Jorhat,2015-12-23,9600.0,16.0,21.8,clear
30,Lentil(Masur),Jorhat,2015-12-23,10300.0,18.0,21.8,clear
31,Arhar (Tur/Red Gram),Jorhat,2015-12-24,14000.0,5.0,19.4,clear
32,Green Gram (Moong),Jorhat,2015-12-24,9700.0,16.0,19.4,clear
33,Lentil(Masur),Jorhat,2015-12-24,10300.0,15.0,19.4,clear
34,Arhar (Tur/Red Gram),Jorhat,2015-12-28,14000.0,4.0,23.4,clear
35,Green Gram (Moong),Jorhat,2015-12-28,9200.0,16.0,23.4,clear
36,Lentil(Masur),Jorhat,2015-12-28,9800.0,18.0,23.4,clear
37,Arhar (Tur/Red Gram),Jorhat,2015-12-29,14000.0,6.0,23.4,clear
38,Green Gram (Moong),Jorhat,2015-12-29,9200.0,17.5,23.4,clear
39,Lentil(Masur),Jorhat,2015-12-29,9800.0,16.0,23.4,clear
40,Arhar (Tur/Red Gram),Jorhat,2015-12-30,15000.0,4.0,23.8,clear
41,Green Gram (Moong),Jorhat,2015-12-30,9600.0,10.0,23.8,clear
42,Lentil(Masur),Jorhat,2015-12-30,10300.0,15.0,23.8,clear
43,Arhar (Tur/Red Gram),Jorhat,2015-12-31,15000.0,6.5,23.8,clear
44,Green Gram (Moong),Jorhat,2015-12-31,9600.0,9.0,23.8,clear
45,Lentil(Masur),Jorhat,2015-12-31,10300.0,16.0,23.8,clear
46,Green Gram (Moong),Jorhat,2015-12-17,9700.0,9.0,21.8,clear
47,Lentil(Masur),Jorhat,2015-12-17,10300.0,8.0,21.8,clear
48,Arhar (Tur/Red Gram),Jorhat,2016-01-01,15000.0,5.0,25.2,clear
49,Green Gram (Moong),Jorhat,2016-01-01,9600.0,18.0,25.2,clear
50,Lentil(Masur),Jorhat,2016-01-01,10300.0,16.0,25.2,clear
51,Arhar (Tur/Red Gram),Jorhat,2016-05-01,15500.0,5.0,26.8,clear
52,Green Gram (Moong),Jorhat,2016-05-01,9500.0,20.0,26.8,clear
53,Lentil(Masur),Jorhat,2016-05-01,10400.0,18.0,26.8,clear
54,Arhar (Tur/Red Gram),Jorhat,2016-08-01,15500.0,5.0,34.8,clear
55,Black Gram (Urd Beans),Jorhat,2016-08-01,8000.0,3.0,34.8,clear
56,Green Gram (Moong),Jorhat,2016-08-01,9600.0,11.0,34.8,clear
57,Lentil(Masur),Jorhat,2016-08-01,10400.0,10.0,34.8,clear
58,Arhar (Tur/Red Gram),Jorhat,2016-11-01,15500.0,6.0,30.6,clear
59,Black Gram (Urd Beans),Jorhat,2016-11-01,8000.0,3.5,30.6,clear
60,Green Gram (Moong),Jorhat,2016-11-01,9600.0,9.0,30.6,clear
61,Lentil(Masur),Jorhat,2016-11-01,10400.0,14.0,30.6,clear
62,Arhar (Tur/Red Gram),Jorhat,2016-12-01,15500.0,7.0,26.8,clear
63,Black Gram (Urd Beans),Jorhat,2016-12-01,8000.0,9.0,26.8,clear
64,Green Gram (Moong),Jorhat,2016-12-01,9500.0,16.0,26.8,clear
65,Lentil(Masur),Jorhat,2016-12-01,10400.0,18.0,26.8,clear
66,Arhar (Tur/Red Gram),Jorhat,2016-01-13,15500.0,9.0,22.4,clear
67,Green Gram (Moong),Jorhat,2016-01-13,9500.0,14.0,22.4,clear
68,Lentil(Masur),Jorhat,2016-01-13,10400.0,16.0,22.4,clear
69,Arhar (Tur/Red Gram),Jorhat,2016-01-18,15000.0,8.0,21.4,clear
70,Black Gram (Urd Beans),Jorhat,2016-01-18,7800.0,9.0,21.4,clear
71,Green Gram (Moong),Jorhat,2016-01-18,9500.0,16.0,21.4,clear
72,Lentil(Masur),Jorhat,2016-01-18,10500.0,18.0,21.4,clear
