,comm_name,market_center_name,ArrivalDate,MODALPRICE,arrivalquantity,T,weather
0,Arhar (Tur/Red Gram),Nalbari,2012-02-01,4800.0,6.0,22.6,clear
1,Bengal Gram(Gram),Nalbari,2012-02-01,2600.0,7.0,22.6,clear
2,Arhar (Tur/Red Gram),Nalbari,2012-03-01,4800.0,5.0,28.4,clear
3,Arhar (Tur/Red Gram),Nalbari,2012-10-01,4800.0,6.0,28.2,clear
4,Bengal Gram(Gram),Nalbari,2012-10-01,2900.0,7.0,28.2,clear
5,Arhar (Tur/Red Gram),Nalbari,2012-11-01,4800.0,6.0,29.6,clear
6,Bengal Gram(Gram),Nalbari,2012-11-01,2900.0,5.0,29.6,clear
7,Arhar (Tur/Red Gram),Nalbari,2012-12-01,4800.0,4.0,26.4,clear
8,Bengal Gram(Gram),Nalbari,2012-12-01,2700.0,3.0,26.4,clear
9,Arhar (Tur/Red Gram),Nalbari,2012-01-17,4800.0,4.0,21.2,clear
10,Bengal Gram(Gram),Nalbari,2012-01-17,2600.0,3.0,21.2,clear
11,Arhar (Tur/Red Gram),Nalbari,2012-01-20,4800.0,4.0,20.1,rain
12,Bengal Gram(Gram),Nalbari,2012-01-20,2600.0,4.0,20.1,rain
13,Arhar (Tur/Red Gram),Nalbari,2012-01-21,4800.0,3.0,18.2,clear
14,Bengal Gram(Gram),Nalbari,2012-01-21,2600.0,4.0,18.2,clear
15,Arhar (Tur/Red Gram),Nalbari,2012-01-24,4800.0,3.0,22.4,clear
16,Bengal Gram(Gram),Nalbari,2012-01-24,2500.0,6.0,22.4,clear
17,Arhar (Tur/Red Gram),Nalbari,2012-01-02,4700.0,8.0,17.0,clear
18,Bengal Gram(Gram),Nalbari,2012-01-02,2600.0,5.0,17.0,clear
19,Arhar (Tur/Red Gram),Nalbari,2012-02-02,4800.0,2.0,21.6,clear
20,Bengal Gram(Gram),Nalbari,2012-02-02,2600.0,5.0,21.6,clear
21,Arhar (Tur/Red Gram),Nalbari,2012-03-02,4800.0,3.0,28.8,clear
22,Bengal Gram(Gram),Nalbari,2012-03-02,2600.0,3.0,28.8,clear
23,Arhar (Tur/Red Gram),Nalbari,2012-06-02,4800.0,3.0,31.4,clear
24,Bengal Gram(Gram),Nalbari,2012-06-02,2600.0,3.0,31.4,clear
25,Arhar (Tur/Red Gram),Nalbari,2012-08-02,4800.0,4.0,30.8,clear
26,Bengal Gram(Gram),Nalbari,2012-08-02,2500.0,3.0,30.8,clear
27,Arhar (Tur/Red Gram),Nalbari,2012-02-13,4800.0,2.0,26.2,clear
28,Bengal Gram(Gram),Nalbari,2012-02-13,2600.0,2.0,26.2,clear
29,Arhar (Tur/Red Gram),Nalbari,2012-02-14,4800.0,2.0,26.0,clear
30,Bengal Gram(Gram),Nalbari,2012-02-14,2600.0,3.0,26.0,clear
31,Arhar (Tur/Red Gram),Nalbari,2012-02-15,4800.0,3.0,26.1,clear
32,Bengal Gram(Gram),Nalbari,2012-02-15,2600.0,4.0,26.1,clear
33,Arhar (Tur/Red Gram),Nalbari,2012-02-17,4800.0,2.0,28.8,clear
34,Bengal Gram(Gram),Nalbari,2012-02-17,2600.0,4.5,28.8,clear
35,Arhar (Tur/Red Gram),Nalbari,2012-02-18,4800.0,2.0,28.0,clear
36,Bengal Gram(Gram),Nalbari,2012-02-18,2600.0,8.5,28.0,clear
37,Arhar (Tur/Red Gram),Nalbari,2012-02-20,4800.0,2.0,26.6,clear
38,Bengal Gram(Gram),Nalbari,2012-02-20,2600.0,3.0,26.6,clear
39,Arhar (Tur/Red Gram),Nalbari,2012-02-21,4800.0,2.0,28.4,clear
40,Bengal Gram(Gram),Nalbari,2012-02-21,2600.0,8.0,28.4,clear
41,Arhar (Tur/Red Gram),Nalbari,2012-02-23,4800.0,2.0,27.4,clear
42,Bengal Gram(Gram),Nalbari,2012-02-23,2600.0,4.0,27.4,clear
43,Arhar (Tur/Red Gram),Nalbari,2012-02-24,4800.0,2.0,29.0,clear
44,Bengal Gram(Gram),Nalbari,2012-02-24,2600.0,2.0,29.0,clear
45,Arhar (Tur/Red Gram),Nalbari,2012-02-29,4800.0,3.0,29.6,clear
46,Bengal Gram(Gram),Nalbari,2012-02-29,2600.0,4.5,29.6,clear
47,Arhar (Tur/Red Gram),Nalbari,2012-01-03,4800.0,3.0,21.4,clear
48,Bengal Gram(Gram),Nalbari,2012-01-03,2600.0,2.0,21.4,clear
49,Arhar (Tur/Red Gram),Nalbari,2012-02-03,4800.0,2.0,24.8,clear
50,Bengal Gram(Gram),Nalbari,2012-02-03,2600.0,4.0,24.8,clear
51,Arhar (Tur/Red Gram),Nalbari,2012-05-03,4800.0,2.0,31.2,clear
52,Bengal Gram(Gram),Nalbari,2012-05-03,2600.0,4.0,31.2,clear
53,Arhar (Tur/Red Gram),Nalbari,2012-06-03,4800.0,2.0,29.2,rain
54,Bengal Gram(Gram),Nalbari,2012-06-03,2700.0,6.0,29.2,rain
55,Arhar (Tur/Red Gram),Nalbari,2012-07-03,4800.0,2.5,33.0,clear
56,Arhar (Tur/Red Gram),Nalbari,2012-12-03,4800.0,2.0,27.4,clear
57,Bengal Gram(Gram),Nalbari,2012-12-03,2600.0,3.0,27.4,clear
58,Arhar (Tur/Red Gram),Nalbari,2012-03-13,4800.0,8.0,27.0,clear
59,Bengal Gram(Gram),Nalbari,2012-03-13,2600.0,4.0,27.0,clear
60,Arhar (Tur/Red Gram),Nalbari,2012-03-14,4800.0,4.0,29.2,clear
61,Bengal Gram(Gram),Nalbari,2012-03-14,2600.0,4.0,29.2,clear
62,Arhar (Tur/Red Gram),Nalbari,2012-03-19,4800.0,3.0,33.2,clear
63,Bengal Gram(Gram),Nalbari,2012-03-19,2900.0,4.0,33.2,clear
64,Arhar (Tur/Red Gram),Nalbari,2012-03-20,4800.0,4.0,33.4,clear
65,Bengal Gram(Gram),Nalbari,2012-03-20,2600.0,4.0,33.4,clear
66,Arhar (Tur/Red Gram),Nalbari,2012-03-26,4800.0,4.0,34.2,clear
67,Bengal Gram(Gram),Nalbari,2012-03-26,2600.0,3.0,34.2,clear
68,Arhar (Tur/Red Gram),Nalbari,2012-03-27,4800.0,4.0,33.2,clear
69,Bengal Gram(Gram),Nalbari,2012-03-27,2700.0,5.0,33.2,clear
70,Arhar (Tur/Red Gram),Nalbari,2012-03-28,4800.0,4.0,30.4,clear
71,Bengal Gram(Gram),Nalbari,2012-03-28,2600.0,4.0,30.4,clear
72,Arhar (Tur/Red Gram),Nalbari,2012-03-29,4800.0,3.0,34.2,clear
73,Bengal Gram(Gram),Nalbari,2012-03-29,2600.0,6.0,34.2,clear
74,Arhar (Tur/Red Gram),Nalbari,2012-02-04,4800.0,4.0,25.8,clear
75,Bengal Gram(Gram),Nalbari,2012-02-04,2600.0,4.0,25.8,clear
76,Arhar (Tur/Red Gram),Nalbari,2012-04-04,4800.0,4.0,24.4,clear
77,Bengal Gram(Gram),Nalbari,2012-04-04,2600.0,5.0,24.4,clear
78,Arhar (Tur/Red Gram),Nalbari,2012-05-04,4800.0,3.0,29.4,clear
79,Bengal Gram(Gram),Nalbari,2012-05-04,2600.0,5.0,29.4,clear
80,Arhar (Tur/Red Gram),Nalbari,2012-07-04,4800.0,4.0,30.2,clear
81,Bengal Gram(Gram),Nalbari,2012-07-04,2600.0,3.5,30.2,clear
82,Arhar (Tur/Red Gram),Nalbari,2012-11-04,4800.0,5.0,28.4,clear
83,Bengal Gram(Gram),Nalbari,2012-11-04,2600.0,5.0,28.4,clear
84,Arhar (Tur/Red Gram),Nalbari,2012-12-04,4800.0,4.0,27.4,clear
85,Bengal Gram(Gram),Nalbari,2012-12-04,2600.0,5.0,27.4,clear
86,Arhar (Tur/Red Gram),Nalbari,2012-04-16,4800.0,4.0,31.3,clear
87,Bengal Gram(Gram),Nalbari,2012-04-16,2600.0,5.8,31.3,clear
88,Arhar (Tur/Red Gram),Nalbari,2012-04-17,4800.0,4.0,32.0,clear
89,Bengal Gram(Gram),Nalbari,2012-04-17,2600.0,5.0,32.0,clear
90,Arhar (Tur/Red Gram),Nalbari,2012-04-19,4800.0,4.0,29.2,rain
91,Bengal Gram(Gram),Nalbari,2012-04-19,2600.0,5.0,29.2,rain
92,Arhar (Tur/Red Gram),Nalbari,2012-04-21,4800.0,5.0,32.6,rain
93,Bengal Gram(Gram),Nalbari,2012-04-21,2600.0,5.0,32.6,rain
94,Arhar (Tur/Red Gram),Nalbari,2012-04-23,4800.0,3.0,35.0,clear
95,Bengal Gram(Gram),Nalbari,2012-04-23,2600.0,3.0,35.0,clear
96,Arhar (Tur/Red Gram),Nalbari,2012-04-24,4800.0,3.0,33.2,clear
97,Bengal Gram(Gram),Nalbari,2012-04-24,2900.0,3.0,33.2,clear
98,Arhar (Tur/Red Gram),Nalbari,2012-04-25,4800.0,4.0,32.2,clear
99,Bengal Gram(Gram),Nalbari,2012-04-25,2900.0,5.0,32.2,clear
100,Arhar (Tur/Red Gram),Nalbari,2012-04-26,4800.0,4.0,31.0,clear
101,Bengal Gram(Gram),Nalbari,2012-04-26,2900.0,5.0,31.0,clear
102,Arhar (Tur/Red Gram),Nalbari,2012-04-27,4800.0,3.0,32.4,rain
103,Bengal Gram(Gram),Nalbari,2012-04-27,2600.0,16.5,32.4,rain
104,Arhar (Tur/Red Gram),Nalbari,2012-04-30,4800.0,3.0,28.4,clear
105,Bengal Gram(Gram),Nalbari,2012-04-30,2900.0,5.0,28.4,clear
106,Arhar (Tur/Red Gram),Nalbari,2012-03-05,4800.0,5.0,26.0,clear
107,Bengal Gram(Gram),Nalbari,2012-03-05,2900.0,6.0,26.0,clear
108,Arhar (Tur/Red Gram),Nalbari,2012-07-05,4800.0,4.0,30.0,clear
109,Bengal Gram(Gram),Nalbari,2012-07-05,2900.0,5.0,30.0,clear
110,Arhar (Tur/Red Gram),Nalbari,2012-09-05,4800.0,4.0,31.4,rain
111,Bengal Gram(Gram),Nalbari,2012-09-05,2900.0,5.0,31.4,rain
112,Arhar (Tur/Red Gram),Nalbari,2012-10-05,4800.0,5.0,31.8,clear
113,Bengal Gram(Gram),Nalbari,2012-10-05,2900.0,8.0,31.8,clear
114,Arhar (Tur/Red Gram),Nalbari,2012-11-05,4800.0,5.0,28.4,clear
115,Bengal Gram(Gram),Nalbari,2012-11-05,2900.0,5.0,28.4,clear
